['চাচা', '২০১২', 'তৃতীয়', 'পরিত্রাণ', 'মৃত্যুদন্ড', 'সালে', 'সা\u200cলে', '\u200eসালে', 'বাংলাদেশেও', 'বংশধর']
['অধীত', 'গ্রেস', 'সহযোদ্ধার', 'মুডস', 'সাইরেন', 'এনসিও', 'হারিয়ানা', 'সেটিংস', 'পাউরুটির', 'লরেন্স']
['রেবতী', 'কর্ণবতী', 'গুণবতী', 'রূপবতী', 'কর্ণাবতী', 'সত্যবতী', 'চৌধুরাণী', 'বেদবতী', 'টলুইন', 'শিলাবতী']
['অধীত', 'গ্রেস', 'সহযোদ্ধার', 'মুডস', 'সাইরেন', 'সেটিংস', 'হারিয়ানা', 'প্রাইস', 'এনসিও', 'লরেন্স']
['বিশ্বব্যাংক', 'আমলা', 'কাঠ', 'ক্রিকেটাররা', 'সফর', 'ভূমিহীন', 'অফিসার', 'সূচ', 'মনমোহন', 'হুমড়ি']
['বানর', 'অধীত', 'এনসিও', 'লরেন্স', 'পাউরুটির', 'গ্রেস', 'মুডস', 'উপজাত', 'লিপস', 'ভঙ্গিতে']
['গুণবতী', 'বেগবতী', 'ফলবতী', 'দ্বারাবতী', 'কর্ণবতী', 'জিঞ্জার', 'মাগুরছড়া', 'কর্ণাবতী', 'বঙ্গভঙ্গ', 'আইনভঙ্গ']
['ভূমিহীন', 'প্রমথ', 'তালিকা', 'আমন্ত্রণে', 'ইস্কুল', 'বিশ্বব্যাংক', 'ভীরু', 'দয়া', 'কুতুব', 'বারান্দায়']
['বেগবতী', 'দ্বারাবতী', 'গুণবতী', 'জ্যোতির্বিজ্ঞান', 'ডিসকভার', 'দ্যুমার', 'কলাবতী', 'অ্যাটমিক', 'জ্যেষ্ঠপুত্র', 'পাতাছড়া']
['অধীত', 'গ্রেস', 'সহযোদ্ধার', 'মুডস', 'সাইরেন', 'সেটিংস', 'হারিয়ানা', 'প্রাইস', 'এনসিও', 'পাউরুটির']
['ভঙ্গিতে', 'বানর', 'সংসারী', 'ভূমিহীন', 'উপজাত', 'ইস্কুল', 'পিচ্চি', 'জরিপ', 'জিডি', 'পেন্ট']
['অধীত', 'গ্রেস', 'সহযোদ্ধার', 'মুডস', 'এনসিও', 'সাইরেন', 'পাউরুটির', 'বানর', 'হারিয়ানা', 'লরেন্স']
['অধীত', 'গ্রেস', 'সহযোদ্ধার', 'মুডস', 'সাইরেন', 'সেটিংস', 'হারিয়ানা', 'প্রাইস', 'এনসিও', 'পাউরুটির']
['অধীত', 'গ্রেস', 'মুডস', 'সহযোদ্ধার', 'সাইরেন', 'এনসিও', 'হারিয়ানা', 'সেটিংস', 'লরেন্স', 'প্রাইস']
['ছাত্র', 'উনিশ', 'ভোটাধিকার', 'মেয়েটা', 'বেরোচ্ছে', 'ছাত্রছাত্রী', 'একটায়', 'সমিতি', 'লাগলেও', 'বক্তারা']
['শিক্ষক', 'যাইনি', 'আসেননি', 'আহ্বায়ক', 'কইরা', 'হয়নি', 'লাগছে', 'আগষ্ট', 'করেছিস', 'সতেরো']
['কলকাতায়', 'নেতা', 'পাড়ে', 'তুলল', '10', 'নিলা', 'আইটি', 'চলতে', 'ফুসফুসের', 'চতুর']
['অধীত', 'গ্রেস', 'সহযোদ্ধার', 'মুডস', 'সাইরেন', 'সেটিংস', 'হারিয়ানা', 'প্রাইস', 'এনসিও', 'লরেন্স']
['অধীত', 'গ্রেস', 'সহযোদ্ধার', 'মুডস', 'সাইরেন', 'সেটিংস', 'হারিয়ানা', 'প্রাইস', 'এনসিও', 'পাউরুটির']
['অধীত', 'গ্রেস', 'লরেন্স', 'মুডস', 'সহযোদ্ধার', 'এনসিও', 'হেদায়েত', 'পাউরুটির', 'সাইরেন', 'বানর']
['ভূমিহীন', 'ভঙ্গিতে', 'সংসারী', 'ইস্কুল', 'বানর', 'উপজাত', 'লরেন্স', 'জরিপ', 'পিচ্চি', 'পেন্ট']
['মুজাহিদ', 'সমন্বয়ক', 'অরণ্যে', 'চিড়িয়াখানা', '২৬', 'গেছেন', '06', 'কুসংস্কার', 'আশে', 'এবার']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'প্রতিবন্ধিতা', 'কোর্টানা', 'মারুতি', 'ভাগ্নি', 'নিস্পন্দ', 'আরাবিয়া', 'সিবলী']
['সালে', 'সা\u200cলে', '\u200eসালে', 'নামে', 'না\u200cমে', 'বংশধর', 'করিয়ে', 'দিতেও', 'সাইদ', 'মাহমুদুর']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'বল্টু', 'ভাগ্নি', 'তেনকা', 'প্রতিবন্ধিতা', 'থোকা', 'রানকিন']
['', '', '', '', '', '', '', '', '', '']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'বল্টু', 'ভাগ্নি', 'তেনকা', 'থোকা', 'রানকিন', 'হেলগা']
['ফাউ', 'বাঘ', 'ট্রেনে', 'গোত্র', 'আসলো', 'ধরেছে', 'কইতে', 'গাল', 'জেলে', 'ফর্সা']
['ইম্পালা', 'দুঃসাহসিক', 'আলাবেদ', 'মিলনায়তন', 'সুরসিক', 'মহত্তর', 'রাজমালা', 'হুবার্ট', 'পাটাতন', 'হানুমা']
['প্রেরনায়', 'অধিনে', 'কালনায়', 'স্টকে', 'পরাজয়ে', 'মূলনীতির', 'উত্তাপে', 'হারামে', 'বন্দে', 'কলহে']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'প্রতিবন্ধিতা', 'কোর্টানা', 'ভাগ্নি', 'মারুতি', 'নিস্পন্দ', 'চটকা', 'আরাবিয়া']
['নামে', 'না\u200cমে', 'ডিসেম্বর', 'সাইদ', 'করিয়ে', 'সংগঠনটি', 'নির্মল', 'বলতাম', 'হলফ', 'সালে']
['আসলো', 'ফকির', 'শুনো', 'শাহর', 'সম্প্রদায়ের', 'ট্রেনে', 'পরিস্থিতি', 'ঝুঁকি', 'বয়স', 'অধীনে']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'বল্টু', 'তেনকা', 'ভাগ্নি', 'রানকিন', 'হেলগা', 'থোকা']
['ট্রান্সককেশিয়া', 'ডানায়িনি', 'কন্সার্ট', 'ডোমিনি', 'হাড়মাসড়া', 'পাটাতন', 'এন্ড্রু', 'কার্ডিনি', 'দ্যুমা', 'বিকলাঙ্গতা']
['বাঘ', 'ফাউ', 'ধরেছে', 'ফর্সা', 'গাল', 'মোর্চা', 'কইতে', 'গোত্র', '১৯০', 'ট্রেনে']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'বল্টু', 'ভাগ্নি', 'তেনকা', 'থোকা', 'রানকিন', 'প্রতিবন্ধিতা']
['উদ্ভোধনী', 'কিচনার', 'আকাশপথের', 'অঙ্গানু', 'উর্মিলা', 'কনসালটিং', 'মালিনীর', 'পান্থপথের', 'বিনোদন', 'উত্তরাপথের']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'বল্টু', 'ভাগ্নি', 'তেনকা', 'থোকা', 'রানকিন', 'প্রতিবন্ধিতা']
['বুদ্ধিমতী', 'আশ্রিতা', 'কারভান', 'হাতুরি', 'রোজিনা', 'ঘরানা', 'ইশিতা', 'কোর্টানা', 'আদ্রিতা', 'প্রতিবন্ধিতা']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'প্রতিবন্ধিতা', 'ভাগ্নি', 'বল্টু', 'তেনকা', 'জাতিসত্তা', 'নিস্পন্দ']
['পুরোহিত', 'উদ্ভোধনী', 'কন্সার্ট', 'উর্মিলা', 'রক্তবাহ', 'নির্জীব', 'পাটাতন', 'পান্থপথের', 'পৌরনিক', 'হুবার্ট']
['পুরোহিত', 'পাটাতন', 'উদ্ভোধনী', 'হুবার্ট', 'কন্সার্ট', 'ঘরামী', 'নির্জীব', 'ইম্পালা', 'রক্তবাহ', 'কনসালটিং']
['ডানায়িনি', 'ইম্পালা', 'কার্ডিনি', 'অ্যাপার্ট', 'কন্সার্ট', 'রক্তবাহ', 'নির্জীব', 'ঘরামী', 'মূত্রে', 'পূর্বতন']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'বল্টু', 'ভাগ্নি', 'তেনকা', 'থোকা', 'রানকিন', 'হেলগা']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'প্রতিবন্ধিতা', 'ভাগ্নি', 'কোর্টানা', 'মারুতি', 'নিস্পন্দ', 'চটকা', 'কান্টি']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'বল্টু', 'ভাগ্নি', 'তেনকা', 'থোকা', 'প্রতিবন্ধিতা', 'জাতিসত্তা']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'বল্টু', 'ভাগ্নি', 'তেনকা', 'থোকা', 'রানকিন', 'হেলগা']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'বল্টু', 'ভাগ্নি', 'তেনকা', 'থোকা', 'প্রতিবন্ধিতা', 'রানকিন']
['সংখ্যালঘুদের', 'সন্ত্রাসী', 'পুলিশকে', 'হাসছে', 'সমিতি', 'চাইনা', 'ধরে', 'ধ\u200cরে', 'বেকারত্ব', 'ছেলেমেয়ে']
['টিচার', 'প্রশিক্ষক', 'খাই', 'ড্রাইভিং', 'কাউন্সিলর', 'অগ্রগতি', 'ভালবাসে', 'করিলাম', 'হইলেও', 'অসন্তুষ্ট']
['মানববন্ধনসহ', 'আছিয়া', 'কলেজসহ', 'সাহিত্যধারার', 'আহমদসহ', 'ডিসকারাস', 'তেরিয়ান', 'ইনস্টিটিউটসহ', 'ক্যাথিড্রাল', 'ওয়েম্বলিতে']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'বল্টু', 'ভাগ্নি', 'তেনকা', 'থোকা', 'রানকিন', 'হেলগা']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'বল্টু', 'ভাগ্নি', 'তেনকা', 'থোকা', 'রানকিন', 'হেলগা']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'চটকা', 'ভাগ্নি', 'প্রতিবন্ধিতা', 'বল্টু', 'তেনকা', 'কোর্টানা', 'থোকা']
['বুদ্ধিমতী', 'আশ্রিতা', 'রোজিনা', 'প্রতিবন্ধিতা', 'ভাগ্নি', 'কোর্টানা', 'মারুতি', 'নিস্পন্দ', 'চটকা', 'কান্টি']
['বুনিয়াদ', 'ম্যাসকট', 'পৈত্রিক', 'হাতেগোনা', 'সাহিদা', 'অধীকার', 'শ্রীমঙ্গল', 'দেলুতি', 'লুমেট', 'অদ্ভুদ']
['জরুরী', 'নত', 'অনুমোদন', 'বান্দর', 'রুমা', 'উচ্ছেদ', 'অনুকূল', 'মতলব', 'অনতি', 'বিষয়টি']
['হরতাল', 'পড়ালেখা', 'সংলাপ', 'হাঁটতে', 'বিসিবি', 'কমিশন', 'ডানে', 'কবরের', 'শ্রাবন্তী', 'বডি']
['দমবন্ধ', 'অনতি', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'একদমই', 'পলাশ', 'নড়েচড়ে', 'বাজেট', 'সরেজমিনে']
['', '', '', '', '', '', '', '', '', '']
['দমবন্ধ', 'অনতি', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'একদমই', 'পলাশ', 'নড়েচড়ে', 'বাজেট', 'বেষ্ট']
['ট্রেনটা', 'সাপ', 'নির্বাচক', 'খল', 'কনফারেন্স', 'ছােট', 'ওইখানে', 'অবাধে', 'বদলায়', 'গুহা']
['পাছে', 'এটাতো', 'সেটি', 'সে\u200cটি', 'একটুখানি', 'ফাজিল', 'সহকারী', 'ইনচার্জ', 'মাইক্রোবাস', 'কুমিল্লায়']
['কমেনি', 'ঈদুল', 'নিঃসন্দেহে', 'নির্বিকার', 'ড্রিংক', 'নির্বিঘ্নে', 'বলেনি', 'নিরস্ত্র', 'থমথমে', 'চর্চার']
['জরুরী', 'অনতি', 'রুমা', 'বান্দর', 'দমবন্ধ', 'গোল', 'অনুমোদন', 'উচ্ছেদ', 'একদমই', 'প্রাণিসম্পদ']
['পড়ালেখা', 'হরতাল', 'হাঁটতে', 'সংলাপ', 'ইনজেকশন', 'কমিশন', 'বিসিবি', 'ফিক', '০৬', 'এছাড়াও']
['বান্ধবীদের', 'মানসম্মত', 'পর্বতের', 'পাউডার', 'হরতাল', 'মতবাদের', 'খবরই', 'ঘটিয়েছে', 'পড়াশুনা', 'কট্টর']
['দমবন্ধ', 'অনতি', 'গোল', 'প্রাণিসম্পদ', 'রুমা', 'নড়েচড়ে', 'পলাশ', 'বেষ্ট', 'বাজেট', 'একদমই']
['আরাফুরা', 'হাতিয়ে', 'আঙ্গুরা', 'ভীড়', 'পুনশ্চ', 'ঢেলে', 'বড়লোক', 'দূরেই', 'শয্যা', 'সাদাক']
['নির্বাচক', 'ট্রেনটা', 'স্মারকলিপি', 'সাপ', 'ছােট', 'খল', 'উঠি', 'কনফারেন্স', 'বদলায়', '১৯৩৭']
['দমবন্ধ', 'অনতি', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'একদমই', 'পলাশ', 'নড়েচড়ে', 'বাজেট', 'সরেজমিনে']
['নির্বিকার', 'কমেনি', 'নিঃসন্দেহে', 'নির্বিঘ্নে', 'ঈদুল', 'বলেনি', 'অসহনীয়', 'স্বস্তি', 'অজু', 'হাসিখুশি']
['দমবন্ধ', 'অনতি', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'একদমই', 'পলাশ', 'নড়েচড়ে', 'বাজেট', 'সরেজমিনে']
['নত', 'জরুরী', 'ফিল্ডিং', 'অনুকূল', 'অনুমোদন', 'কতটুকু', 'দরখাস্ত', 'বাস্তবতায়', 'নমুনা', 'অনুষ্কা']
['অনতি', 'দমবন্ধ', 'জরুরী', 'রুমা', 'গোল', 'একদমই', 'প্রাণিসম্পদ', 'বান্দর', 'মারমা', 'উচ্ছেদ']
['নির্বিকার', 'নির্বিঘ্নে', 'কমেনি', 'অজু', 'কর্নার', 'ঘটনাস্থল', 'দুটিতে', 'উদ্দিন', 'স্বস্তি', 'উইন্ড']
['নত', 'জরুরী', 'দুটিতে', 'নির্বিকার', 'নির্বিঘ্নে', 'ঘটনাস্থল', 'হাতিয়ে', 'উইন্ড', 'নুর', 'প্রেরণ']
['জরুরী', 'নত', 'ফিল্ডিং', 'অনুমোদন', 'অনুকূল', 'বান্দর', 'কতটুকু', 'নিতু', 'পারমিশন', 'মতলব']
['দমবন্ধ', 'অনতি', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'পলাশ', 'একদমই', 'নড়েচড়ে', 'বাজেট', 'বেষ্ট']
['জরুরী', 'রুমা', 'অনতি', 'বান্দর', 'দমবন্ধ', 'গোল', 'অনুমোদন', 'উচ্ছেদ', 'একদমই', 'বিষয়টি']
['দমবন্ধ', 'অনতি', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'একদমই', 'পলাশ', 'নড়েচড়ে', 'সরেজমিনে', 'বাজেট']
['দমবন্ধ', 'অনতি', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'পলাশ', 'একদমই', 'নড়েচড়ে', 'বাজেট', 'বেষ্ট']
['দমবন্ধ', 'অনতি', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'একদমই', 'পলাশ', 'নড়েচড়ে', 'বাজেট', 'সরেজমিনে']
['হরতালের', 'পাঁচটায়', 'পৌষ', 'পাইপ', 'চিটা', 'চেয়ারপারসন', 'সালা', '১১টা', 'পীরের', 'ইন্টারন্যাশনাল']
['যান্ত্রিক', 'সেক্রেটারী', 'জরুরি', 'জরু\u200cরি', 'স্বাস্থ্যকেন্দ্র', 'নমুনা', 'স্ট্যাম্প', '০৮', 'সুনামগঞ্জ', 'মাঠেই']
['শীত', 'প্রজেক্ট', '06', 'কইলাম', 'নববর্ষ', 'অরণ্যে', 'পদ', 'ভাসানী', 'জুলুম', 'হাস্য']
['দমবন্ধ', 'অনতি', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'পলাশ', 'একদমই', 'নড়েচড়ে', 'বাজেট', 'বেষ্ট']
['দমবন্ধ', 'অনতি', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'পলাশ', 'একদমই', 'নড়েচড়ে', 'বাজেট', 'বেষ্ট']
['দমবন্ধ', 'অনতি', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'একদমই', 'জরুরী', 'পলাশ', 'বাজেট', 'নড়েচড়ে']
['জরুরী', 'রুমা', 'অনতি', 'বান্দর', 'অনুমোদন', 'দমবন্ধ', 'গোল', 'উচ্ছেদ', 'একদমই', 'মতলব']
['ফেইন', 'এহন', 'বিলীন', 'কাজটি', 'স্ট্যাম্প', 'এটন', 'হেইল', 'প্রত্ন', 'শিগগির', 'বাইরন']
['বাবা', 'ওয়েস্টার্ন', 'জেলা', 'ভণ্ড', 'প্রেমিক', 'ডাকবে', 'পিএইচডি', 'বাদেই', 'কাজল', 'নাল']
['চাচা', 'অমুসলিম', 'লাগি', 'তৃতীয়', 'পাইলে', 'ওয়ানডেতে', 'ট্রাইব্যুনালে', 'মৃত্যুদন্ড', 'দায়িত্বও', 'দিলে']
['দাদা', 'কোহলি', 'কমরেড', 'সামান্য', 'সোপ', 'ব্যাঙ', 'বাঘের', 'বাবদ', 'জাত', 'আমন্ত্রিত']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'যথারীতি', 'ম্যারেজ', 'মন্দের', 'মেজ', 'ইতিহাস', 'মাসখানেক', 'সংরক্ষণ', 'ফ্রম', 'বিকেলের']
['জেলে', 'ভক্তের', 'জোয়ার', 'পৈশাচিক', 'পিছন', 'দাঁড়ায়', 'ট্রেনে', 'পুলিশ', 'পু\u200cলিশ', 'গোত্র']
['ধোপা', 'মনপা', 'মারপা', 'মেটেপা', 'সুমপা', 'ভাঁপা', 'রোপা', 'সপা', 'শীপা', 'পেঁপা']
['বেদে', 'বালে', 'মঠে', 'কুড়ে', 'লালে', 'নলে', 'বেলুনে', 'কুকুরে', 'ইসে', 'ড্যামে']
['গুরু', 'পড়', 'থাকতেন', 'চিনা', 'ওকে', 'হলুদের', 'যাত্রীদের', 'বিমানবন্দর', 'মাতার', 'সুরু']
['ছেলে', 'ছে\u200cলে', 'সামনে', 'বিবরণী', 'প্ল্যাটফর্মে', 'নেতৃত্বে', 'বাগান', 'নিল', 'আগেও', 'পারলেও']
['বর', 'ব্যবহারকারী', 'জনাব', 'লাখ', 'পায়েল', 'আব্বু', 'ধরলাম', 'চিন্তা', 'একাউন্ট', 'আদিত্য']
['বাদশা', 'ঝড়', 'দীপ্ত', 'রুই', 'রক্তিম', 'ক্ষেপণ', 'কাশ্মীরে', 'হাও', 'আয়ে', 'শ্মশানে']
['কাঙ্গাল', 'নোডাল', 'স্যাম্পেল', 'স্পঞ্জর', 'মুগডাল', 'টাইডাল', 'কুর্টজ', 'দৌর্বল্য', 'জেব্বাল', 'উচ্চকিত']
['বাঘ', 'ধরেছে', 'জোয়ার', 'ফর্সা', 'ভোটার', 'মোর্চা', 'কইতে', 'বিবর্তন', 'তিনজনে', 'জেলে']
['যোগী', 'স্থাপন', 'যাদবপুর', 'মেন', '13', 'আনুমানিক', '১২৯', 'সারাদেশে', 'দুপুরের', 'পরবর্তিতে']
['তেজস্বী', 'স্বকীয়', 'এইনু', 'জন্মলগ্ন', 'শিক্ষাথী', 'ভাগ্নী', 'মতোয়ালী', 'অধিকারিণী', 'আধুনিকমনস্ক', 'আরূঢ়']
['কিশোর', 'অ্যান্টিবায়োটিক', 'খাঁ', 'জং', 'আবাস', 'বয়', 'গিরিশ', 'পতি', 'শ্রাবণের', 'দশটি']
['নর', 'ওয়ার্ন', 'মাইরা', 'অন্য', 'অন\u200d্য', 'উত্থান', 'অস্বাভাবিক', 'গাছটা', 'কমিউনিটির', 'ভদ্রলোকের']
['সুন্দর', 'আরাম', 'এখানেও', 'মুনিয়া', 'ইমো', 'নফল', 'কত', 'চিনি', 'তৃপ্তির', 'ওপর']
['গুণবান', 'রূপবান', 'দায়িত্ববান', 'আদর্শবান', 'সংস্কৃতিবান', 'স্বাস্থ্যবান', 'নীতিবান', 'মগবান', 'অস্তিত্ববান', 'মেজবান']
['পুণ্যবান', 'ধনবান', 'বিত্তবান', 'সামর্থবান', 'রূপবান', 'দয়াবান', 'মেজবান', 'গুণবান', 'মর্যাদাবান', 'ন্যায়বান']
['বুদ্ধিমান', 'রাখে', 'নীল', 'নৃশংস', 'রয়েল', 'রেফারেন্স', 'বিবাদ', 'বাঁধানো', 'বলিয়াই', 'ফলাফলে']
['শ্রীমান', 'জমিদান', 'খারান', 'সোপান', 'জাফরান', 'কিয়ান', 'শাহান', 'আফসান', 'হুনান', 'বলবান']
['পাঠক', 'কলিম', 'তিস্তা', 'পনের', 'ভরিয়া', 'চাহিয়া', 'নির্বাচনকে', 'টেস্ট', 'ভেলা', 'অঝোর']
['লেখক', 'কালেকশন', 'ফাংশন', 'রুদ্রের', 'এশিয়ার', 'একদিনের', 'কাটা', '৭০', 'খন্দকার', 'উন্নতির']
['হয়', 'হয়েছে', 'নিয়ে', 'হয়ে', 'সময়', 'যায়', 'দিয়ে', 'দেওয়া', 'জাতীয়', 'নয়']
['খোকা', 'রাখেনি', 'তামিম', 'লকডাউন', 'শপথ', 'দ্বন্দ', 'রাত্রিতে', 'এপ্রিল', 'রূপান্তর', 'দুর্গা']
['ছাত্র', 'বেরোচ্ছে', 'সমিতি', 'ভোটাধিকার', 'উনিশ', 'ছাত্রছাত্রী', 'দারোগা', 'মেয়েটা', 'খাই', 'পুলিশকে']
['শিক্ষক', 'যাইনি', 'হয়নি', 'কইরা', 'আসেননি', 'করেছিস', 'করিতেছি', 'লাগছে', 'দেখেছি', 'করিনি']
['নেতা', 'তুলল', 'থাকিয়া', 'টেরর', 'করত', 'পাড়ে', 'আইটি', 'প্রায়শ্চিত্ত', 'লাগায়', 'তাকাতেই']
['পাগল', 'বক্ষে', '১১১', 'লাইনটা', 'ইতিহাস', 'শীতের', 'ঘোষণ', 'কাঠামো', 'কাঠা\u200cমো', 'আমদানির']
['হয়', 'হয়েছে', 'নিয়ে', 'হয়ে', 'সময়', 'যায়', 'দিয়ে', 'দেওয়া', 'জাতীয়', 'নয়']
['কনিষ্ঠ', 'বিষয়ক', 'খুচরা', 'ঘুমের', 'শুক্রবারের', '২৪টি', 'অক্ষরের', 'অক্ষ\u200cরের', 'কর্মক্ষেত্রে', 'গলার']
['লোক', 'সাম্প্রদায়িক', 'বিনু', 'গেলে', 'গে\u200cলে', 'ভোটাররা', 'শূণ্য', 'নেকড়ে', 'ভজন', 'সংকীর্ণ']
['শ্রমিক', '194', 'ফালতু', 'তারিক', 'যেতেও', 'দেবো', 'খাজ', 'প্রাইমারি', 'পালিয়ে', 'খুন']
['পাঠিকা', 'নাটিকা', 'উপন্যাসিকা', 'রিতিকা', 'সোনিকা', 'বটিকা', 'পরিচালিকা', 'শারিকা', 'তমালিকা', 'হারমোনিকা']
['সালে', 'সা\u200cলে', '\u200eসালে', 'নামে', 'না\u200cমে', 'বংশধর', 'করিয়ে', 'সাইদ', 'দিতেও', 'তাকিয়ে']
['পাঠিকা', 'নাটিকা', 'উপন্যাসিকা', 'বটিকা', 'রিতিকা', 'কুমারিকা', 'চলন্তিকা', 'পরিচালিকা', 'সোনিকা', 'চালিকা']
['', '', '', '', '', '', '', '', '', '']
['পাঠিকা', 'নাটিকা', 'উপন্যাসিকা', 'বটিকা', 'রিতিকা', 'কুমারিকা', 'চলন্তিকা', 'পরিচালিকা', 'সোনিকা', 'চালিকা']
['ফাউ', 'বাঘ', 'ট্রেনে', 'আসলো', 'গোত্র', 'কইতে', 'ধরেছে', 'গাল', 'ফর্সা', 'জেলে']
['ইম্পালা', 'মহত্তর', 'নাট্যাচার্য', 'দুঃসাহসিক', 'ঘরামী', 'সংগীতাচার্য', 'কামিনি', 'আলাবেদ', 'হুবার্ট', 'লাচিত']
['স্টকে', 'হারামে', 'উত্তাপে', 'অধিনে', 'মূলনীতির', 'ক্লোজে', 'মাহবুবে', 'জ্যামে', 'বেতে', 'গোলযোগে']
['পাঠিকা', 'নাটিকা', 'উপন্যাসিকা', 'রিতিকা', 'বটিকা', 'সোনিকা', 'পরিচালিকা', 'শারিকা', 'তমালিকা', 'চলন্তিকা']
['নামে', 'না\u200cমে', 'ডিসেম্বর', 'সাইদ', 'করিয়ে', 'সংগঠনটি', 'নির্মল', 'বলতাম', 'সালে', 'সা\u200cলে']
['আসলো', 'ফকির', 'শাহর', 'শুনো', 'ট্রেনে', 'সম্প্রদায়ের', 'পরিস্থিতি', 'ঝুঁকি', 'অধীনে', 'বয়স']
['পাঠিকা', 'নাটিকা', 'উপন্যাসিকা', 'বটিকা', 'রিতিকা', 'কুমারিকা', 'চলন্তিকা', 'পরিচালিকা', 'চালিকা', 'সোনিকা']
['ট্রান্সককেশিয়া', 'ধোনির', 'ডোমিনি', 'ডানায়িনি', 'হাড়মাসড়া', 'দ্যুমা', 'বিকলাঙ্গতা', 'কন্সার্ট', 'ধাপ্পাবাজি', 'কার্ডিনি']
['বাঘ', 'ফাউ', 'মোর্চা', 'ফর্সা', 'গাল', 'ধরেছে', '১৯০', 'কইতে', 'ট্রেনে', 'গোত্র']
['পাঠিকা', 'নাটিকা', 'উপন্যাসিকা', 'বটিকা', 'রিতিকা', 'কুমারিকা', 'চলন্তিকা', 'পরিচালিকা', 'সোনিকা', 'চালিকা']
['উর্মিলা', 'উদ্ভোধনী', 'আকাশপথের', 'কিচনার', 'বিনোদন', 'ভেরোনার', 'পুরোহিত', 'তবলায়', 'মালিনীর', 'উত্তরাপথের']
['পাঠিকা', 'নাটিকা', 'উপন্যাসিকা', 'বটিকা', 'রিতিকা', 'কুমারিকা', 'চলন্তিকা', 'পরিচালিকা', 'সোনিকা', 'চালিকা']
['সোনিকা', 'শারিকা', 'কনিকা', 'নাটিকা', 'চন্ডিকা', 'পাঠিকা', 'পরিচালিকা', 'রিতিকা', 'চয়নিকা', 'তানজিকা']
