['অ্যাসিস', 'ডেনিস', 'মাতিস', 'ওনান', 'ক্যান্ডিস', 'ম্যারিস', 'ক্যালিস', 'উলিস', 'অ্যাক্সিস', 'মাকিস']
['রিজিয়া', 'সাফিয়া', 'জাকিয়া', 'ঐশ্বরিয়া', 'ওয়াদিয়া', 'অনিহা', 'স্ট্রিংস', 'ফোরকান', 'লিনিয়া', 'আফিয়া']
['অ্যালান', 'নড়িয়া', 'লিসান', 'অ্যালো', 'থিয়া', 'জামানিয়া', 'থেরান', 'মুত্তিয়া', 'ভাণ্ডারিয়া', 'সংক্রান']
['সোফিয়া', 'কলেজছাত্রী', 'উমিয়া', 'জিজিয়া', 'রাকিয়া', 'মুত্তিয়া', 'পাঞ্চাল', 'বাপ্পী', 'লিভি', 'গুডি']
['', '', '', '', '', '', '', '', '', '']
['সাফিয়া', 'রাকিয়া', 'ফিলিয়া', 'আপিয়া', 'ওয়াদিয়া', 'ফিনিশিয়া', 'রিজিয়া', 'লেগিয়া', 'লিনিয়া', 'সেভিয়া']
['', '', '', '', '', '', '', '', '', '']
['মামুনুল', 'ডাকাতিয়া', 'দাতারা', 'পটুয়ারা', 'প্রস্তাবটিতে', 'কারখানাতে', 'মারুফুল', 'হানাদাররা', 'চাপতে', 'পোষাতে']
['ঘাটলার', 'চলনের', 'গোলরক্ষকের', 'ভাষ্যের', 'অ্যাডলার', 'অসমর্থ', 'সহযোদ্ধার', 'ব্যভিচার', 'স্যান্ডস', 'প্যারাসুট']
['লুকান', 'নাসিফ', 'উমিয়া', 'ওয়াইল্ডার', 'ফেরালেন', 'অ্যাংকার', 'সঞ্জিত', 'নিরাপত্তারক্ষী', 'ক্রিস্টান', 'ক্র্যাশ']
['মঙ্গোলিয়ায়', 'রুবেলার', 'লুসিয়ায়', 'সানজিদার', 'ফয়সালার', 'নির্যাতিতার', 'রোকার', 'কাটারার', 'ভিলায়', 'রতির']
['আবদু', 'আব্দু', 'টেম্পু', 'গিফু', 'লিলু', 'সালু', 'ডিমু', 'ন্যু', 'ক্যু', 'জলদস্যু']
['বামাকো', 'ব্যাখ্যাকার', 'ভিতরকার', 'জেরিকো', 'হ্যাভিয়ের', 'সাডেন', 'কর্তিনা', 'ভাষ্যকার', 'ফিনিশিয়া', 'অ্যালকিন']
['শ্যালক', 'বন্ধুক', 'ব্যাংকক', 'উচ্চশিক্ষায়', 'স্বস্তিক', 'আহাম্মক', 'উত্তোলক', 'চড়ক', 'ব্যবসায়ীক', 'পরিবেশক']
['', '', '', '', '', '', '', '', '', '']
['গোলরক্ষকের', 'ভাষ্যের', 'ঘাটলার', 'চলনের', 'অসমর্থ', 'অ্যাডলার', 'সহযোদ্ধার', 'জইয়ের', 'গড্রিক', 'স্যান্ডস']
['সত্যকার', 'ওপরকার', 'চোকার', 'এলকার', 'ক্যাথরিনা', 'জাস্টিন', 'উমিয়া', 'লুকান', 'ড্যানিয়েলসন', 'সিলিয়া']
['ঐশ্বরিয়া', 'উসমানিয়া', 'স্কটিয়া', 'বেনিয়া', 'গ্রেজার', 'কোয়েজার', 'ওয়াদিয়া', 'রিজিয়া', 'সাফিয়া', 'লিডিয়া']
['', '', '', '', '', '', '', '', '', '']
['জোসেফিন', 'জেরিনা', 'এলকার', 'মেডেলিন', 'নিবন্ধকার', 'গডিন', 'ওপরকার', 'রাশেদিন', 'প্রোপিন', 'মুরালি']
['গোলরক্ষকের', 'ঘাটলার', 'ভাষ্যের', 'চলনের', 'অ্যাডলার', 'অসমর্থ', 'সহযোদ্ধার', 'সাজিদের', 'জইয়ের', 'স্যান্ডস']
['ফর্মকে', 'দিনটাকে', 'ক্লোহি', 'অবসরকে', 'প্রকারকে', 'বৃটেন', 'সঙ্ঘাত', 'মনসব', 'আশাহি', 'গবাদিপশু']
['হাসাইল', 'আখড়া', 'ভাংড়া', 'ইর্দা', 'ফাসাইল', 'মাহমুদনগর', 'পাটলী', 'ফ্লিক', 'তাআলার', 'খামারি']
['জেরুসালেম', 'অ্যালুমিনিয়াম', 'হন্ডুরাস', 'বেক্সিমকো', 'কর্মক্ষমতা', 'টাইফয়েড', 'জেরুসালেমে', 'জেরুসালেমকে', 'কাব্যগাথা', 'কানেকটিকাটের']
['আখড়া', 'হিজড়া', 'বাংড়া', 'নর্দ্দা', 'পুটাইল', 'ডুবাইল', 'ধামাইল', 'ভাংড়া', 'কোদালিয়া', 'পানাইল']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হন্ডুরাস', 'জেরুসালেম', 'বেক্সিমকো', 'হন্ডুরাসে', 'বার্বাডোজ', 'ভেনিজুয়েলা', 'কানেকটিকাট', 'অ্যালুমিনিয়াম', 'হন্ডুরাসের', 'তাসখন্দ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আখড়া', 'ক্রিকেটিং', 'হিজড়া', 'ভাংড়া', 'কোদালা', 'পর্বতময়', 'বউচি', 'ক্যাচিং', 'বাংড়া', 'তাড়াইল']
['অগ্নুৎপাত', 'ক্যাকটাস', 'রিপ্লেসমেন্ট', 'অ্যাক্রেডিটেশন', 'ব্যবসাসফল', 'টাইফয়েড', 'জেরুসালেম', 'ফণীভূষণ', 'স্ট্র্যাটেজি', 'রত্নভান্ডার']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['৮টির', '৪টার', '৯টির', '১১টির', 'জলাবদ্ধতার', 'প্রতিবন্ধীর', 'খাগড়াছড়ির', '১০টির', 'জাকারিয়ার', 'জঙ্গীর']
['হন্ডুরাস', 'বেক্সিমকো', 'বার্বাডোজ', 'জেরুসালেম', 'কানেকটিকাট', 'কর্মক্ষমতা', 'ইউনেস্কো', 'আগুনঝরা', 'মানবপাচার', 'হন্ডুরাসে']
['বাংড়া', 'ধামাইল', 'খইল', 'পুটাইল', 'ড্রেইন', 'টুরিজম', 'পাইকড়া', 'আখড়া', 'হিজড়া', 'মাঝিড়া']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['মানবপাচার', 'অর্থপাচার', 'ইনক্রিমেন্ট', 'জেরুসালেম', 'বেক্সিমকো', 'নিউজপেপার', 'হন্ডুরাস', 'বার্বাডোজ', 'কানেকটিকাট', 'কর্মক্ষমতা']
['জেরুসালেম', 'অ্যালুমিনিয়াম', 'মেনিনজাইটিস', 'স্ন্যাপড্রাগন', 'লাক্ষাদ্বীপ', 'হন্ডুরাস', 'ব্রোমউইচ', 'চিকুনগুনিয়া', 'অন্ত্যেষ্টিক্রিয়া', 'অ্যাক্রিডিটেশন']
['অধীত', 'গ্রেস', 'ঘুচবে', 'গুলাল', 'প্রনীত', 'সাইরেন', 'প্রাইস', 'স্ফীত', 'সেটিংস', 'মুডস']
['ক্যুয়ের', 'রবীন্দ্রনাথ', 'বাধ্যতামূলক', 'আত্ম', 'ফরিদা', 'আবাসিক', 'বয়সি', 'সংশোধন', 'পল', 'এনামুল']
['এটাতো', 'হুট', 'পাছে', 'যেরূপ', 'অনায়াস', 'গন্ডগোল', 'সেটিও', 'যথা', 'অয়লার', 'যত্র']
['রবীন্দ্রনাথ', 'আত্ম', 'বাধ্যতামূলক', 'দরপত্র', 'এনামুল', 'ডটকম', 'ফরিদা', 'সংশোধন', 'স্বয়ংক্রিয়', 'স্টুয়ার্ট']
['স্মল', 'প্রাইস', 'গ্রেস', 'এনসিও', 'লিপস', 'বিউরেন', 'মুডস', 'গুলাল', 'সাইরেন', 'অ্যারিয়ানা']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['শীঘ্র', 'এটাতো', 'অসাধারন', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম', 'ইনচার্জ', 'সেটি', 'সে\u200cটি']
['এটন', 'শর্টস', 'খরগোস', 'ডলস', 'বিউরেন', 'লাইটস', 'বাইরন', 'ফেইন', 'থেইন', 'পোর্টস']
['খরগোস', 'লাইটস', 'إِنَّا', 'বিউরেন', 'ক্যাটস', 'হ্যান্ডস', 'তুস', 'পোর্টস', 'লরেন্স', 'মুডস']
['অধীত', 'গুলাল', 'পাউরুটির', 'সাইরেন', 'অস্তিমান', 'ডাইনার', 'হারিয়ানা', 'ঘাটলার', 'গ্রেস', 'ভেনেজুয়েলার']
['নির্বিকার', 'আলহামদুলিল্লাহ', 'অনতি', 'দমবন্ধ', 'স্পোর্টিং', 'বিস্তারিত', 'কর্নার', 'নির্দ্বিধায়', 'হাসিখুশি', 'অজু']
['বিউরেন', 'খরগোস', 'কোল্ডপ্লে', 'লাইটস', 'হ্যান্ডস', 'থেইন', 'এটন', 'গ্রীস', 'তুস', 'লিপস']
['খরগোস', 'লাইটস', 'বিউরেন', 'এটন', 'অধীত', 'পোর্টস', 'মুডস', 'লরেন্স', 'থেইন', 'ক্যাটস']
['কুমিল্লায়', 'ক্লোজ', 'টেনিস', 'টাকাপয়সা', 'সেটি', 'সে\u200cটি', 'ধী', 'চর', 'বগুড়ার', 'ভোরবেলা']
['', '', '', '', '', '', '', '', '', '']
['বিউরেন', 'এটন', 'খরগোস', 'থেইন', 'লাইটস', 'শর্টস', 'বাইরন', 'হ্যান্ডস', 'এহন', 'কোল্ডপ্লে']
['গুলাল', 'মুডস', 'প্রাইস', 'সেটিংস', 'গ্রেস', 'সাইরেন', 'হারিয়ানা', 'স্মল', 'লিপস', 'অধীত']
['বিউরেন', 'থেইন', 'খুড়তুতো', 'কোল্ডপ্লে', 'স্মল', 'পাউরুটির', 'অ্যারিয়ানা', 'লুসিয়ানা', 'গুলাল', 'হেভি']
['', '', '', '', '', '', '', '', '', '']
['সহযোদ্ধার', 'স্ফীত', 'ভগলার', 'প্যান্টস', 'মোক্তার', 'হকিন্স', 'সেটিংস', 'ঘুচবে', 'জইয়ের', 'সন্স']
['', '', '', '', '', '', '', '', '', '']
['দমবন্ধ', 'হাসিখুশি', 'ফ্রেড্রিক', 'অয়লার', 'স্পীড', 'বেষ্ট', 'অনতি', 'কোনোভাবে', 'স্ট্রাইক', 'যেগুলোর']
['এটাতো', 'নড়েচড়ে', 'বেষ্ট', 'পলাশ', 'বাজেট', 'দমবন্ধ', 'যেরূপ', 'যথা', 'হুট', 'অনায়াস']
['গেইমস', 'রবীন্দ্রনাথের', 'খাদ্যশস্য', 'ইয়ান', 'সংখ্যায়', 'শৃঙ্গার', 'থাকছেন', 'আম্পায়ার', 'অমিতাভ', 'দাওয়াত']
['নিঃসন্দেহে', 'কমেনি', 'নির্বিকার', 'ঈদুল', 'বলেনি', 'নির্বিঘ্নে', 'থমথমে', 'নিরস্ত্র', 'দমে', 'ড্রিংক']
['গেইমস', 'স্মল', 'এপ্রোচ', 'ফুরফুরা', 'গুলাল', 'অ্যারিয়ানা', 'দ্যাটস', 'পাঁঠা', 'পাবনা', 'বাধ্যতামূলক']
['সহযোদ্ধার', 'আমনুরা', 'নরসিংদী', 'স্যান্ডস', 'ফরোয়ার্ড', 'নিষেধ', 'আঙুলে', 'বিশ্বজিৎ', 'ফরিদপুরের', 'টাঙ্গাইল']
['ফ্রেড্রিক', 'দমবন্ধ', 'অয়লার', 'বেষ্ট', 'স্পীড', 'নড়েচড়ে', 'অনতি', 'কোনোভাবে', 'রুদ্ধ', 'ওসি']
['', '', '', '', '', '', '', '', '', '']
['এটাতো', 'যেরূপ', 'হুট', 'পাছে', 'অনায়াস', 'যথা', 'বেষ্ট', 'গন্ডগোল', 'নড়েচড়ে', 'যত্র']
['ঈশ্বরদী', 'স্থানীয়ভাবে', 'সবচে', 'আনন্দময়', 'কম্পিউটারে', 'বাশ', 'মোরশেদ', 'কতিপয়', 'কাভার্ড', 'চাকুরী']
['খরগোস', 'লরেন্স', 'অধীত', 'বিউরেন', 'মুডস', 'গ্রেস', 'পোর্টস', 'ডাইনার', 'লাইটস', 'গুলাল']
['', '', '', '', '', '', '', '', '', '']
['দরপত্র', 'বললেনঃ', 'সার্জন', 'প্রতিদ্বন্দ্বিতায়', 'চিহ্নিত', 'চি\u200cহ্নিত', 'প্রবাসী', 'ময়মনসিংহের', 'বিশ্লেষণে', 'বৈদ্যুতিক']
['এটাতো', 'যেরূপ', 'হুট', 'অনায়াস', 'যথা', 'বেষ্ট', 'নড়েচড়ে', 'পলাশ', 'বাজেট', 'পাছে']
['খরগোস', 'লাইটস', 'মুডস', 'বিউরেন', 'গ্রেস', 'অধীত', 'পোর্টস', 'ক্যাটস', 'থেইন', 'গুলাল']
['শর্টস', 'ডলস', 'বিউরেন', 'অটিস্টিক', 'খরগোস', 'এটন', 'মেশিনস', 'স্ট্রেস', 'আর্মার্ড', 'إِنَّا']
['অ্যারিয়ানা', 'হোসে', 'ডেল', 'সন্ন্যাস', 'বাতি', 'তাবিজ', 'ক্লাশ', 'মরি', 'একাডেমী', 'দৈত্য']
['আইসো', 'ইকবাল', 'পাল্টে', 'জানাব', 'অমিত', 'আঞ্চলিক', 'জিয়াউল', 'বোঝাতে', 'এগোয়', 'খুলে']
['দমবন্ধ', 'অনতি', 'নড়েচড়ে', 'বেষ্ট', 'স্পীড', 'গোল', 'সরেজমিনে', 'পলাশ', 'কোনোভাবে', 'ওসি']
['আইসো', 'ইকবাল', 'পাল্টে', 'ছাত্রছাত্রীদের', 'অমিত', 'দমনের', 'দেহ', 'জিয়াউল', 'লিখেছে', 'আঞ্চলিক']
['জানাব', 'ইকবাল', 'পাল্টে', 'এগোয়', 'আতঙ্কের', 'বোঝাতে', 'শুনতেই', 'জিয়াউল', 'হারাল', 'ফিরিয়ে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছাত্রছাত্রীদের', 'চেনে', 'অবগত', 'চর্চার', 'বড়সড়', 'ফাটিয়ে', 'দমে', 'ভারতবর্ষের', 'বোঝানোর', 'পরিবেশের']
['ফেইন', 'হেইল', 'খুশল', 'এটন', 'অ্যালাইস', 'গ্রীস', 'এহন', 'শর্টস', 'বাইরন', 'অ্যানাস']
['অভ্যন্তরীণ', 'অঙ্কুর', 'লিখিয়ে', 'জানাব', 'সম্পৃক্ততা', 'বলত', 'ভাষায়', 'শোনা', 'বিভক্ত', 'হওয়ার']
['আইসো', 'ডানকান', 'অভ্যন্তরীণ', 'বলত', 'ভালোবাসতেন', 'ভাষায়', 'গম', 'চালকদের', '১৯২', 'পোস্টের']
['দুমড়ে', 'অবগত', 'দমনের', 'ছাত্রছাত্রীদের', 'লিখেছে', 'জিয়াউল', 'দৃঢ়', 'শুনতেই', 'ফিরিয়ে', 'চালিয়েছেন']
['অভ্যন্তরীণ', 'অঙ্কুর', 'লিখিয়ে', 'সন্দিহান', 'বয়সে', 'পড়ত', 'রাঘব', 'পরিণাম', 'একক', 'দোষারোপ']
['মৌসুমে', 'উদ্বাস্তু', 'অসহযোগ', 'বদ', 'গেরিলা', 'পাঠালেন', 'ডাকতে', 'পরপর', 'ইকবাল', 'ঘোলা']
['ছাত্রছাত্রীদের', 'অবগত', 'দুমড়ে', 'লিখেছে', 'দমনের', 'ফাটিয়ে', 'চেনে', 'ভারতবর্ষের', 'কংক্রিটের', 'চালিয়েছেন']
['', '', '', '', '', '', '', '', '', '']
['অভ্যন্তরীণ', 'উস্কে', 'বয়সে', 'বিবাদ', 'ভুগে', 'পড়ত', 'গাওয়ার', 'দোষারোপ', 'লিখিয়ে', 'স্টেট']
['অভ্যন্তরীণ', 'জানাব', 'বলত', 'অঙ্কুর', 'লিখিয়ে', 'চলত', 'আতঙ্কের', 'পরিণাম', 'রাজবংশের', 'উঠতো']
['বড়ো', 'অভ্যন্তরীণ', 'পরিণাম', 'আতঙ্কের', 'অঙ্কুর', 'রাঘব', 'দুমড়ে', 'শুনতেই', 'মিশতে', 'পাওয়ার']
['', '', '', '', '', '', '', '', '', '']
['চলনের', 'আইসো', 'গোলরক্ষকের', 'পাল্টে', 'ইকবাল', 'সাজিদের', 'প্যারাসুট', 'ব্যভিচার', 'বর্জনের', 'ভাষায়']
['', '', '', '', '', '', '', '', '', '']
['কমেনি', 'নিঃসন্দেহে', 'ঈদুল', 'ছাত্রছাত্রীদের', 'চর্চার', 'দমে', 'অবগত', 'ভাষ্যমতে', 'চেনে', 'নির্বিকার']
['দমবন্ধ', 'অনতি', 'রুমা', 'গোল', 'নড়েচড়ে', 'সরেজমিনে', 'একদমই', 'স্পোর্টিং', 'আলহামদুলিল্লাহ', 'কোনোভাবে']
['ইকবাল', 'আইসো', 'জানাব', 'শুনতেই', 'জিয়াউল', 'অমিত', 'দুমড়ে', 'পাল্টে', 'বোঝাতে', 'দমনের']
['দুমড়ে', 'বড়ো', 'অবগত', 'শুনতেই', 'পাওয়ার', 'জিয়াউল', 'ভেবেই', 'দৃঢ়', 'দমনের', 'ফিরিয়ে']
['গেইমস', 'দমবন্ধ', 'বরণ', 'প্লুরা', 'জনগণের', 'অনড়', 'হেল্পলাইন', 'নিন্দা', 'সরেজমিনে', '00']
['ইকবাল', 'পাল্টে', 'আইসো', 'এগোয়', 'আঞ্চলিক', 'দূত', 'চলনের', 'ইংরেজির', 'অমিত', 'প্রাণীর']
['কমেনি', 'ঈদুল', 'নিঃসন্দেহে', 'ভাষ্যমতে', 'সুবিচার', 'নির্বিকার', 'কতটুকু', 'নির্বিঘ্নে', 'চর্চার', 'কিসের']
['', '', '', '', '', '', '', '', '', '']
['দমবন্ধ', 'অনতি', 'নড়েচড়ে', 'রুমা', 'গোল', 'সরেজমিনে', 'স্পীড', 'বেষ্ট', 'কোনোভাবে', 'পলাশ']
['ইকবাল', 'দুমড়ে', 'দমনের', 'জিয়াউল', 'শুনতেই', 'লিখেছে', 'অবগত', 'অমিত', 'ছাত্রছাত্রীদের', 'ফিরিয়ে']
['ইকবাল', 'ডাকতে', 'পাল্টে', 'এগোয়', 'বদ', 'যুদ্ধবিমান', 'বিরহ', 'ঘটক', 'অসহযোগ', 'ভাষায়']
['', '', '', '', '', '', '', '', '', '']
['ইকবাল', 'ছাত্রছাত্রীদের', 'পাল্টে', 'আইসো', 'আজকে', 'দমনের', 'লিখেছে', 'চেনে', 'ভিতরে', 'ভাষ্যমতে']
['দমবন্ধ', 'অনতি', 'রুমা', 'নড়েচড়ে', 'গোল', 'সরেজমিনে', 'আলহামদুলিল্লাহ', 'একদমই', 'স্পোর্টিং', 'স্পীড']
['পাল্টে', 'ইকবাল', 'বিরহ', 'বদনাম', 'অসহযোগ', 'উঠলেই', 'মৌসুমে', 'নাম', 'ডলারের', 'হার্ট']
['হেঁটেই', 'উস্কে', 'লিকস', 'বিবাদ', 'উপমহাদেশের', 'ধূর্ত', 'বেসে', 'সন্দিহান', 'পিট', 'গ্রামের']
['অবগত', 'লিখেছে', 'ভারতবর্ষের', 'দুমড়ে', 'কংক্রিটের', 'দৃঢ়', 'দমনের', 'চালিয়েছেন', 'জীবনযাত্রার', 'বড়সড়']
['দুমড়ে', 'দমনের', 'অবগত', 'জিয়াউল', 'লিখেছে', 'ফিরিয়ে', 'ছাত্রছাত্রীদের', 'শুনতেই', 'অমিত', 'ইকবাল']
['অ্যারিয়ানা', 'ব্লেড', 'খালেদা', 'খা\u200cলেদা', 'ফাজিল', 'ঢের', 'পাছে', 'ধোলাই', 'খিল', 'স্কোয়াড']
['আলবেনিয়া', 'আওলিয়া', 'ধামালিয়া', 'আউলিয়া', 'বাজালিয়া', 'আহলিয়া', 'কোহেলিয়া', 'আনুলিয়া', 'কারেলিয়া', 'অফেলিয়া']
['তিউনিস', 'আলবেনিয়া', 'আরবিট্রেশন', 'জুবিলী', 'সেলেউকোস', 'টেট্রেশন', 'এন্ট্রান্স', 'শ্লেষ্মা', 'ইউজেনিয়া', 'লাভিনিয়া']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আলবেনিয়া', 'করোটিকা', 'ভালদানো', 'পিণ্ডি', 'ডোমেনিকা', 'মিস্ট্রিস', 'বিতরনী', 'গোণ্ডি', 'আত্তিয়া', 'বিলাতী']
['মুজাইয়িনিন', 'হেইলুংচিয়াং', 'অর্নিথোপোডা', 'থুরিনগিয়া', 'আপোল্লোদোতোস', 'বাসানাভিস্যুস', 'এরাতোস্থেনেস', 'অর্নিথিস্কিয়া', 'লিমেনিটিডিনি', 'ব্রানডাউয়া']
['সাইটোটক্সিক', 'আইসোপ্রিন', 'বাইরোস্ট্রিস', 'অ্যারোম্যাটিক', 'কন্সতান্তিন', 'চুল্লীটি', 'লুগান্ডা', 'দমায়ন্তী', 'সিনাওয়াত্রার', 'গ্যানটিউম']
['হার্লোর', 'জঙ্ঘা', 'মিল্লিয়া', 'বিদ্যার্থী', 'স্কেলিটন', 'দাবাড়ু', 'আশাবরী', 'আলবেনিয়া', 'জাওয়ি', 'রোডেসিয়া']
['ডোমেনিকো', 'টিট্রো', 'ফ্রোডো', 'সিনেম্যাটিক', 'শিরোমণি', 'খোসলা', 'মার্স্টাস', 'পূর্নাংগ', 'ডাইনামিক', 'মারিশ্যা']
['কন্সতান্তিন', 'হেবূলি', 'আইসোপ্রিন', 'লুগান্ডা', 'নেগ্রিটো', 'সিনাওয়াত্রার', 'ঝুয়াংক্সুর', 'ভিসিতাসিওন', 'চিক্সুলাব', 'চুল্লীটি']
['ডুর্খেইম', 'গ্ঝান', 'লিমেনিটিডিনি', 'অর্নিথোপড', 'ভরতনট্যম', 'সিক্যোয়েল', 'গোষ্ঠী', 'আবদাল্লাত', 'হোশমান্দ', 'সারিকাইত']
['আলবেনিয়া', 'করোটিকা', 'মিস্ট্রিস', 'আত্তিয়া', 'হ্যাংকস', 'মারকোস', 'পিণ্ডি', 'ডোমেনিকা', 'এর্ভিন', 'অন্ননালী']
['', '', '', '', '', '', '', '', '', '']
['মন্টেনিগ্রো', 'ম্যানিটোবা', 'এক্সকাভেটর', 'মুয়াম্মর', 'চৌধূরী', 'জৈবচুল্লি', 'ম্যাগনিট্রন', 'তেজস্ক্রিয়ামিতি', 'রেজোলিউশন', 'রিমেম্বার']
['চিঁড়া', 'স্পুড', 'আলবেনিয়া', 'গালিসিয়া', 'গারসিয়া', 'রোসিয়া', 'অ্যাপ্রোন', 'শ্লেষ্মা', 'চূঁড়া', 'নাইসিয়া']
['আমেলিয়া', 'ডাম্বো', 'ইউজেনিয়া', 'চূঁড়া', 'শের্বো', 'জুবিলী', 'আলবেনিয়া', 'অফেলিয়া', 'বজরঙ্গী', 'এমেলিয়া']
['', '', '', '', '', '', '', '', '', '']
['আলবেনিয়া', 'সেসিলিয়া', 'ওসেনিয়া', 'সিগিরিয়া', 'স্টিরিয়া', 'মিল্লিয়া', 'সিস্তান', 'গাল্লিয়া', 'মেলানেশিয়া', 'কম্পুচিয়া']
['', '', '', '', '', '', '', '', '', '']
['মার্স্টাস', 'আস্টিন', 'নলিউড', 'অজন্তা', 'কুচিন্তা', 'কেওয়ারী', 'কেন্ট্রন', 'তালতলি', 'সিরামিক', 'অ্যাকিউট']
['এটা', 'কোটা', 'শিস', 'গেইল', 'ওপরই', 'গৃহবধূর', 'টেকনিক', 'সালমা', 'পুনশ্চ', 'মতলব']
['আলবেনিয়া', 'রূড়কি', 'আওলিয়া', 'গনোরিয়া', 'অন্ননালী', 'বাজালিয়া', 'প্রেন্টিস', 'পারসুইট', 'এন্ট্রাস', 'আনুলিয়া']
['মার্স্টাস', 'কেন্ট্রন', 'নাইন্টিন', 'আস্টিন', 'তালতলি', 'জিনেটিক', 'হিন্দুয়ানী', 'দিওয়ানি', 'পয়েটিক', 'মানিয়ানি']
['ইলু', 'মন্তু', 'মুন্নু', 'গ্যু', 'ইবু', 'রেনু', 'পৃথু', 'সাগু', 'জুলু', 'লাহু']
['', '', '', '', '', '', '', '', '', '']
['বুরকিনা', 'কাদিপুর', 'ক্ষুদ্রকাঠী', 'ঢামেক', 'বিশ্বম্ভর', 'ঝালকাঠী', 'জেনারেটর', 'হাদিপুর', 'পাথরকুচি', 'ফ্রাসোয়া']
['', '', '', '', '', '', '', '', '', '']
['অ্যারিয়ানা', 'শিস', 'খিল', 'গেইল', 'কোটা', 'ভাঙ্গুরা', 'অনার্স', 'সালমা', 'মোনাজাত', 'এটা']
['আলবেনিয়া', 'ভালদানো', 'মিস্ট্রিস', 'কোহেলিয়া', 'জোসেলিন', 'কাঠাদিয়া', 'আত্তিয়া', 'হেক্সিন', 'গনোরিয়া', 'অফেলিয়া']
['চৌধূরী', 'মোজাহিদ', 'আরাবল্লী', 'মাবুদ', 'বাসষ্ট্যান্ড', 'বাঘমুন্ডি', 'তাওহিদ', 'গোষ্ঠী', 'আমগুড়ি', 'হাইব্রিড']
['', '', '', '', '', '', '', '', '', '']
['আলবেনিয়া', 'এর্ভিন', 'লাভিনিয়া', 'অালম', 'দ্যোতিত', 'সিস্টোলিক', 'কেরাটিন', 'হ্যাংকস', 'য়াংস', 'ভালদানো']
['অ্যারিয়ানা', 'কোটা', 'শিস', 'গেইল', 'এটা', 'সালমা', 'সুযোগও', 'ওপরই', 'খিল', 'ভাঙ্গুরা']
['পেলোমিক্সা', 'স্নায়ুতন্তু', 'বিশকেক', 'শেরবত্সী', 'জেনোমিক্স', 'ডেভেলপম্যান্ট', 'এপিডিডিমিসে', 'ডেসপ্যারক্স', 'মোজাহিদীন', 'আবদাল্লাত']
['ব্রাতিস্লাভা', 'ফ্রিকুয়েন্সী', 'কংগ্রুয়েন্স', 'ব্র্যান্ডেনবুর্গ', 'অষ্ট্রেলিয়া', 'হরিনাকুন্ডু', 'আউগুস্তো', 'জিয়ানলুইজি', 'কন্সতান্তিন', 'অ্যারোনটিক্স']
['গারসিয়া', 'রোসিয়া', 'আলবেনিয়া', 'মিলিসিয়া', 'মর্সিয়া', 'ধুবরী', 'ম্যানহেম', 'ফ্যাকটরি', 'বজরঙ্গী', 'আরবিট্রেশন']
['আলবেনিয়া', 'অফেলিয়া', 'কোহেলিয়া', 'নলিউড', 'মাধ্যামিক', 'সিনেম্যাটিক', 'নাট্যাঙ্গন', 'ডাইনামিক', 'ইনফোসিস', 'অর্ধাঙ্গিনী']
['কন্ডোলিৎসা', 'গারসিয়া', 'পেরুভিয়ান', 'মর্সিয়া', 'রোসিয়া', 'বুদাপেস্ট', 'স্ক্যালোনি', 'আলবেনিয়া', 'গালিসিয়া', 'কন্সতান্তিন']
['ত্রিপোলি', 'নৈহাটি', 'ফেলিসিটি', 'আরডিএ', 'কিংসফোর্ড', 'নাচিন্দা', 'বেরিংটন', 'হার্টফোর্ড', 'বাথুলী', 'ইলিংটন']
['তিউনিস', 'থার্টিন', 'মুল্লুক', 'এন্ট্রান্স', 'জুবিলী', 'ইস্কাটন', 'জিউকস', 'উইকেটকিপিং', 'শেরাটন', 'ম্যান্ডোলিন']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ভিয়েনা', 'রীনা', 'রামনা', 'পারানা', 'বুয়েনা', 'ঘানা', 'আলনা', 'মদীনা', 'হিশনা', 'হতনা']
