['পহেলা', 'পয়লা', 'বৈশাখে', 'অগাষ্ট', 'শুক্লপক্ষে', '১৩৫৪', '১৪০৮', 'পঁচিশে', '২৫ই', '২004']
['বিশে', 'চৌধুরাণীর', 'স্যাগার্স', 'রুগেন', 'ডেকাইন', 'শ্যাফটের', 'ফ্রিগের', 'কলিন্সের', 'হ্যাভেনের', 'রামলাল']
['বিশে', 'সাত', 'শিলাদিত্যের', 'প্যারাজনভের', 'সেনাসহ', 'সহচরীর', 'সন্তানদ্বয়ের', 'বেরেন', 'প্রজননতন্ত্রের', 'তৃতীয়াংশকে']
['মেক্সিকানসহ', 'বিশে', 'সাবজার', 'আট', 'খেলোয়ারের', 'সেনাসহ', 'সহচরীর', 'ইস্যু্র', 'ঝউ', 'প্রজননকারী']
['নয়', 'সবার', 'সময়ই', 'কারও', 'জন্যই', 'নাকি', 'ঢোপকলই', 'কেন', 'কোনোভাবেই', 'শুধু']
['বিশে', '২০জনের', 'ডেকাইন', 'ইস্যু্র', 'ষড়যন্ত্রকারীদের', 'প্যারাজনভের', 'সেনাসহ', 'সধবাকে', 'সন্দেহভাজনের', 'গ্রহই']
['বিশে', '২০জনের', 'বারজন', 'নিতম্বাস্থি', 'রোক্সেলানার', 'একেশ্বর', 'ফেলিসিটি', 'ডেইজির', 'অনুরোধকারী', 'সোন্ডারকোমান্ডো']
['বিশে', 'চাকমাসহ', 'উপাচার্যসহ', '২০জনের', 'কুমারীদের', 'এসপিজি', 'গাইডসের', 'দাবিদারের', 'ক্লাস্টারে', 'হেপওয়ার্থের']
['বিশে', 'আধিবাসী', 'থানেশ্বরের', 'একেশ্বর', 'ফিউনারেল', 'রোক্সেলানার', 'নবকান্ত', 'পার্কওয়ের', 'লিমিকোদের', '২০জনের']
['বিশে', 'ডেইজির', 'রোক্সেলানার', 'থিইয়া', 'চৌধুরাণীর', 'সমাজতন্ত্রবিরোধী', 'একেশ্বর', 'ইমরানুলকে', 'কলিন্সের', 'ফ্রিজিয়ান']
['বিশে', '২০জনের', 'অনাহূত', 'ডেইজির', 'যত্নআত্তি', 'মেন্ডেজের', 'কোনোখানে', 'কুতুবে', 'ফ্লাগ', 'অনুরোধকারী']
['বিশে', 'খাসকামরায়', 'থানেশ্বরের', 'কুলদেবতা', 'নিবন্ধকের', 'ডেইজির', 'মেন্ডেজের', 'জ্যাকসনভিলে', 'ইসমাতের', 'রোক্সেলানার']
['বিশে', 'বীজাগার', 'সতেরো', 'চন্দ্রঘোনায়', 'বিল্ডার্সের', 'প্লেসমেন্ট', 'সিমুলেটেড', 'পর্যটনকেন্দ্রের', 'পু\u200cলিশ', 'মাতাই']
['বিশে', 'জেডব্লিউজির', 'গোমনাতি', 'পোট্টি', 'ফেলানী', 'এনডিপিপির', 'মূর্তিতেও', 'ন্যাটো', 'মান্তাদেরকে', 'শিরিনের']
['বিশে', 'নিশিনাথের', 'মহাশোলের', 'সোলায়মানের', 'অতুলের', 'খাবারগুলোর', 'ইনভিন্সিবল', 'সেরিবেলার', 'ড্যানিয়েলস', 'চন্দ্রগোমী']
['বিশে', 'চোগিয়াল', 'চলচ্চিত্রকর্মী', 'বাসাইলের', 'দুর্গাসুন্দরী', 'রাষ্ট্রনায়কের', 'শোফিল্ড', 'কাকাদের', 'রুদ্রবীণা', 'ভাবখালী']
['যত্নআত্তি', 'ডুয়ানে', 'বোতাম', 'মেন্ডেজের', 'দেবসহ', 'কৌরের', 'কিরণময়', 'সর্বউত্তর', 'রাহির', 'বিশে']
['বিশে', 'মেন্ডেজের', 'জঙের', 'সিমরিতের', 'ক্লাসিকে', 'ডেইজির', 'হেপওয়ার্থের', 'ফেইরি', 'কাস্তাফিয়রের', 'জন্মভিটে']
['চব্বিশ', 'পরগনা', 'গোবরডাঙা', 'আইচা', 'খড়িবাড়ী', 'নদীয়া', 'সোনারপুর', 'পাথরপ্রতিমা', 'ডিআইজির', 'আর্কট']
['বিশে', 'রোক্সেলানার', 'ডেইজির', 'রেখাসমূহের', 'প্রকাশার্থে', 'আউলিয়াদের', 'অ্যালেনকে', 'মেন্ডেজের', 'রাজারবাগে', 'কালুরায়']
['মেন্ডেজের', 'বিশে', 'রোক্সেলানার', 'গ্যাব্রিয়েলা', 'রাইওলা', 'ভাইয়ার', 'গাইডসের', 'কাস্তাফিয়রের', 'ক্রেটের', 'রোশনকে']
['বিশে', 'ডেইজির', 'মেন্ডেজের', 'হেপওয়ার্থের', 'দোলোরেস', 'রোক্সেলানার', 'স্ট্রাইস্যান্ডের', 'ব্যারিমোরের', 'ভাদুড়ির', 'গাম্পের']
['বিশে', 'তাকেদার', 'মেন্ডেজের', 'ডেমেট্রিয়াডেসের', 'হেপওয়ার্থের', 'আনন্দনগর', 'রোক্সেলানার', 'বোতাম', 'চুরা', 'গ্যাব্রিয়েলা']
['তাকেদার', 'বিশে', 'দোলোরেস', 'জারেদ', 'উটা', 'রাইওলা', 'ডেইজির', 'সন্দেসরা', 'মহানামার', 'হার্টেক']
['বিশে', 'সহযোগিতাকারী', 'বিয়ন্সে', 'ঝুঁকিই', 'কোনোখানে', 'গ্রিপে', 'কাপিল', 'পরাক্রমশীল', 'রাপ্পার', 'জানাজাতে']
['বিশে', 'মেঠো', 'যত্নআত্তি', 'ওয়ত', 'এনএসপিসিসি', 'দোলোরেস', 'এলকায়', 'غَفُورٌ', 'তাকেদার', 'গ্রোন']
['এক', 'একুশে', 'অনুষ্ঠানে', 'বিশেষ', 'এ', 'সম্প্রতি', 'তিন', 'সম্মাননা', 'জানানো', 'দেশের']
['দুই', 'তিন', 'পাঁচ', 'একুশে', 'দেশের', 'দুটি', 'বিশেষ', 'এতে', 'চার', 'এক']
['তিন', 'একুশে', 'পাঁচ', '২০১৭', 'চার', 'সম্মাননা', '২০১৪', '২০১৩', '২০১৫', 'দুই']
['তিন', 'চার', 'পাঁচ', 'একুশে', '২০১৭', '২০১৪', '২০১৫', 'সম্মাননা', 'একই', '২০১৩']
['পাঁচ', 'একুশে', 'সম্মাননা', 'তিন', '২০১৭', '২০১৩', '২০১৪', 'পুরস্কার', 'চার', 'মাসে']
['একুশে', 'সম্মাননা', '১৯৭৫', 'ভূষিত', 'জানুয়ারি', '২০১০', '১৯৫২', 'ফেব্রুয়ারি', '১৯৭৬', '২০০৪']
['একুশে', 'পাঁচ', 'সাত', 'মাসে', 'তিন', 'সম্মাননা', '২৫', '২০১৭', '২৮', 'মার্চ']
['একুশে', 'আট', 'সম্মাননা', 'পাঁচ', 'তিন', '২০১৭', '২০১৫', '২০১৪', '২০১৩', '২৫']
['নয়', 'একুশে', 'দেশের', 'ছাড়া', 'শুধু', 'সম্প্রতি', 'সব', 'সবার', '—', '২০১৪']
['একুশে', 'সম্মাননা', 'ভূষিত', '২০১০', '২০১৩', 'অবদানের', 'দশ', '২০১৫', '২০১৭', '২০০৯']
['একুশে', 'সম্মাননা', 'ভূষিত', '১৯৭৫', '১৯৭৬', '১৯৫২', 'ফেব্রুয়ারিতে', '২০০৪', 'অবদানের', 'জানুয়ারি']
['একুশে', 'সম্মাননা', 'ভূষিত', '১৯৭৬', '১৯৭৫', '২০০৪', 'ফেব্রুয়ারিতে', '১৯৫২', 'বারো', 'মরণোত্তর']
['একুশে', 'সম্মাননা', 'ফেব্রুয়ারিতে', '২০০৪', 'ভূষিত', 'শিল্পকলায়', 'বইমেলাতে', 'জিতেছিলো', 'ডিসেম্বরে', 'উল্টোরথ']
['একুশে', 'সম্মাননা', 'অবদানের', 'ভূষিত', 'শিল্পকলায়', '১৯৭৫', '১৯৭৬', 'জিতেছিলো', 'গ্রন্থমেলায়', 'চিত্রগ্রহণে']
['একুশে', 'সম্মাননা', 'ভূষিত', 'অবদানের', 'পদকপ্রাপ্ত', 'পুরস্কারে', '১৯৭৬', 'শিশুসাহিত্যে', 'পদকে', 'খুনিকণ্ঠ']
['একুশে', 'সম্মাননা', 'পদকপ্রাপ্ত', 'চিত্রগ্রহণে', 'পদকে', 'ফেব্রুয়ারিতে', 'গ্রন্থমেলায়', 'জিতেছিলো', 'শিল্পকলায়', 'নাইটহুডে']
['একুশে', 'সম্মাননা', 'সতেরো', 'স্মৃতিস্তম্ভ', 'স্মরণে', '১৯৭৬', 'বড়কুঠি', 'উৎসবেও', 'স্মারক', 'জিতেছিলো']
['একুশে', 'সম্মাননা', '১৯৮৫', '১৯৭৫', '১৯৭৬', 'অবদানের', 'পদকপ্রাপ্ত', '১৯৮৯', '২০০৪', 'আঠারো']
['একুশে', 'অবদানের', '১৯৭৬', 'সম্মাননা', '১৯৭৫', 'ভূষিত', '১৯৯০', 'ফেব্রুয়ারিতে', '১৯৯৯', '২০০৪']
['একুশে', 'সম্মাননা', 'অবদানের', '২০০৪', '২০১০', '১৯৭৬', '১৯৭৫', '২০১৩', '২০০০', 'ফেব্রুয়ারিতে']
['একুশে', 'সম্মাননা', 'গ্রন্থমেলায়', 'চিত্রগ্রহণে', 'বইমেলাতে', 'হুইটব্রেড', 'বাইশ', 'জিতেছিলো', 'পদকপ্রাপ্ত', '২007']
['একুশে', 'সম্মাননা', 'ভূষিত', 'খুনিকণ্ঠ', 'গ্রন্থমেলায়', 'মরণোত্তর', 'তেইশ', 'অবদানের', 'জিতেছিলো', 'ক্ষেত্রকেও']
['একুশে', 'চব্বিশ', 'সম্মাননা', 'পরগনা', 'ভূষিত', 'পশ্চিমবঙ্গ', 'অবদানের', 'পরগণা', 'পদকে', 'গ্রন্থমেলা']
['একুশে', 'সম্মাননা', 'অবদানের', 'শিশুসাহিত্যে', 'ভূষিত', 'পঁচিশ', 'পদকপ্রাপ্ত', 'জিতেছিলো', 'গ্রন্থমেলায়', 'চিত্রগ্রহণে']
['একুশে', 'সম্মাননা', 'জিতেছিলো', 'শিল্পকলায়', 'বিতরনী', 'হুইটব্রেড', 'মরনোত্তর', 'শিশুসাহিত্যে', 'গ্রন্থমেলায়', 'ভূষিত']
['একুশে', 'জিতেছিলো', 'সম্মাননা', 'হুইটব্রেড', '১৯৭৬', '১৯৭৫', 'বইমেলাতে', 'গ্রন্থমেলায়', 'ফেব্রুয়ারিতে', 'খুনিকণ্ঠ']
['একুশে', 'জিতেছিলো', 'গ্রন্থমেলায়', 'সম্মাননা', 'শিল্পকলায়', 'পদকপ্রাপ্ত', 'শিশুসাহিত্যে', 'হুইটব্রেড', 'বইমেলাতে', 'বিতরনী']
['একুশে', 'শিশুসাহিত্যে', 'শিল্পকলায়', 'বইমেলাতে', 'জিতেছিলো', 'গ্রন্থমেলায়', 'ওয়াকিল', 'হুইটব্রেড', 'মালকোভা', 'মরনোত্তর']
['একুশে', 'ত্রিশ', 'সম্মাননা', 'অবদানের', '২০০৪', 'ভূষিত', 'চিত্রগ্রহণে', 'পদকপ্রাপ্ত', 'ফেব্রুয়ারী', '১৯৭৬']
['একুশে', 'সম্মাননা', 'জিতেছিলো', 'গ্রন্থমেলায়', 'বইমেলাতে', 'মালকোভা', 'শিল্পকলায়', 'বিতরনী', 'হুইটব্রেড', 'নাইটহুডে']
['এক', 'সম্প্রতি', 'ওই', 'খবর', 'সেই', 'বলা', 'বৃহস্পতিবার', 'আসে', 'মাসে', 'একই']
['দুই', 'তিন', 'চার', 'দুটি', 'পাঁচ', 'দিন', 'একই', 'ছয়', 'সাত', 'তিনটি']
['তিন', 'চার', 'ছয়', 'পাঁচ', 'মাস', 'সাত', '১২', 'একই', 'আট', 'মাসে']
['চার', 'ছয়', 'তিন', 'পাঁচ', 'সাত', '১২', 'পরপর', 'টানা', 'আটটি', 'মাস']
['পাঁচ', 'ছয়', 'চার', 'সাত', 'আট', 'তিন', '১২', 'অভিযোগে', 'মাসে', 'আটটি']
['ছয়', 'বাইশে', '১৯৩৫', 'দুইবার', 'বার', 'পরপর', 'মলমাস', 'সাত', '১৯৫০', '১৯৯৯']
['সাত', 'ছয়', 'মাস', 'পাঁচ', 'মাসের', 'বাইশে', 'মাসে', 'আট', 'মলমাস', 'চার']
['আট', 'বাইশে', 'আটটি', 'ছয়', 'মেক্সিকানসহ', 'পাঁচ', 'আইইডিসিআরে', 'বার', 'সাত', 'তিনবার']
['নয়', 'শুধু', 'সম্প্রতি', 'তাই', 'বরং', 'আবার', 'জন্যই', 'নেই', 'সবার', 'যাচ্ছে']
['বাইশে', 'দশ', 'ক্ষুদ্রান্ত্রে', 'বার', 'বছরেই', 'মলমাস', '১২তম', '১১তম', 'সংকলনটি', 'ছয়']
['বাইশে', 'এগারো', 'পূর্বাভাষ', 'শ্রাবণ', 'মরশুমের', 'আইসোটোপের', 'প্রত্যাদেশ', 'মরসুম', 'কম্বোডিয়ায়', '১১৭তম']
['বাইশে', 'বারো', 'বিশ্বকর্মার', 'মৌমাছিদের', 'অ্যাস্টেরিক্সের', 'দুখেকে', 'মেনসিয়াসের', 'ধ\u200cরে', 'ভূইয়ার', 'ভারতীয়কে']
['বাইশে', 'তেরো', 'পূর্বাভাষ', 'কম্বোডিয়ায়', 'মলমাস', '১৯৭টি', 'ইয়াসমিনের', 'কৌতিনিউ', 'মালয়ে', 'এমসিএসকে']
['বাইশে', 'চৌদ্দ', 'কম্বোডিয়ায়', 'মলমাস', 'আইসোটোপের', '১৪২১', 'কিছুসময়', 'তীর্থযাত্রার', 'মালয়ে', 'ভাড়ায়']
['বাইশে', 'পনেরো', 'একাদিক্রমে', 'মালয়ে', 'প্রত্যাদেশ', 'কম্বোডিয়ায়', 'কেয়ামতের', 'আইসোটোপের', 'থরকে', 'জয়সহ']
['বাইশে', 'মালয়ে', 'কম্বোডিয়ায়', 'সুলায়মানের', 'তের', 'জাতীয়ভাবে', 'ইয়াজদগিরদ', 'ষোলতম', 'কিছুসময়', 'মেনসিয়াসের']
['সতেরো', 'বড়কুঠি', 'বাইশে', 'জয়মতী', 'প্রক্ষেপন', 'বায়োপিক', 'প্রথন', 'মালয়ে', 'পারসোনা', 'কূপটি']
['আঠারো', 'কম্বোডিয়ায়', 'বাইশে', '১৩২৪', 'ব্রিটেনে', 'কথামালা', 'হ্ত', 'নাফীসের', '১৩৬২', 'সিরিয়ানা']
['উনিশ', 'বাইশে', 'বিংশ', 'ঊনবিংশ', '১৯শ', 'ব্রিটেনে', 'প্রথমদিকে', 'শেষভাগে', 'শেষার্ধে', 'ভারতবর্ষে']
['বাইশে', 'কম্বোডিয়ায়', 'ব্রিটেনে', '১৩৬০', '১৪২১', 'বিংশ', 'প্রথমদিকে', 'শ্রেনিতে', 'ধর্মকীর্তি', 'বিশ']
['একুশ', 'বাইশে', 'কম্বোডিয়ায়', 'নরওয়েতে', 'কেয়ামতের', 'দিনপঞ্জির', 'পদ্মসম্ভব', 'সাংয়ের', 'মালয়ে', 'ভানুসিংহের']
['বাইশে', 'তেইশ', 'শ্রাবণ', 'মরশুমের', 'অ্যাস্টেরিক্সের', 'কালবেলা', 'ওজেএস', '১৩৬২', 'গুনছিলেন', 'সাংয়ের']
['চব্বিশ', 'পরগনা', 'পরগণা', 'কাকদ্বীপ', 'নদীয়া', 'বাইশে', 'উলুবেড়িয়া', 'পশ্চিমবঙ্গ', 'নদীয়া', 'নদিয়া']
['বাইশে', '১৩৪৪', '১২৭০', '১৪২১', 'শ্রাবণ', '১৩২৭', 'মালয়ে', '১৩৮৬', '১৩৪৩', '১৩৫০']
['বাইশে', '১৩৪৩', 'মরসুম', '১৪২১', '১৮৭টি', 'খাবো', 'গুজারিশ', 'সুধর্ম', 'সায়া', 'ভার্দার']
['বাইশে', 'সাংয়ের', 'সুধর্ম', 'কেয়ামতের', '১৪২১', 'মুহাররাম', 'খাবো', 'উনপঞ্চাশ', 'শ্রাবণে', '1946']
['বাইশে', 'খাবো', '১৪২১', 'পঞ্চমীর', 'সাংয়ের', 'কম্বোডিয়ায়', 'মুহাররাম', 'কেয়ামতের', 'ম্যাসেজিং', 'অ্যামাজিং']
['বাইশে', 'সুধর্ম', 'মুঠোফোনে', 'কোয়েন্টিন', 'সাংয়ের', 'মুঠোফোনটিও', 'কৌশলপত্রে', 'মাইমুনা', 'ট্রান্সমিশনের', 'প্রশান্তের']
['বাইশে', 'ত্রিশ', 'মলমাস', '১৩৪৪', 'বাহানা', '১৩৮৯', '১৩৬২', 'প্রেমপত্র', 'বড়দিনে', 'নভোযান']
['বাইশে', 'আনলাকি', 'কেয়ামতের', 'পূর্বাভাষ', 'গুনছিলেন', 'কোয়েন্টিন', 'ওজেএস', 'এছারা', 'সকালবেলায়', 'মৃত্যুবার্ষিকীর']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'বৃহস্পতিবার', 'আজ', 'শুক্রবার', 'রাতে', 'এমন', 'সোমবার', 'সম্প্রতি', 'শনিবার', 'সেই']
['দুই', 'দিনে', 'তিন', 'বুধবার', '—', 'উভয়', 'দুটি', 'আজ', 'একই', 'তাই']
['তিন', 'চার', 'আগের', 'ছয়', '•', 'দিনে', 'শেষে', '১২', '২৮', 'পরশু']
['চার', 'ছয়', '•', '১২', 'তিন', 'পাঁচ', 'আগের', 'পরশু', 'বাকি', 'দিনে']
['পাঁচ', 'ফেব্রুয়ারি', 'ছয়', '২৮', '•', 'দিনে', '১২', 'আগামী', '১১', 'মার্চ']
['খালেদাসহ', 'দ্বাদশীর', 'উল্টোরথের', 'পঁচিশে', 'অগ্রহায়ণ', 'আষাঢ়ের', 'পিএসআর', 'ফাল্গুনের', 'একাদশীর', 'মহানবমীর']
['সাত', 'ফেব্রুয়ারি', 'পঁচিশে', 'উল্টোরথের', 'ছয়', '•', 'মাসের', 'সাক্ষ্যগ্রহণের', '২৮', 'দিনসংখ্যা']
['আট', 'মেক্সিকানসহ', 'পঁচিশে', 'উল্টোরথের', 'পরশু', '•', 'দ্বাদশীর', 'দিনগত', 'মাসকেই', 'দিনসংখ্যা']
['নয়', 'হোক', '—', 'সেটা', 'কেন', 'তাই', 'শুধু', 'পরশু', 'নেই', 'সবার']
['পঁচিশে', 'উল্টোরথের', 'ইস্যু্র', 'অগ্রহায়ণ', 'আষাঢ়ের', 'মাসকেই', 'দিনসংখ্যা', 'সুমতিনাথ', 'স্প্রিলওয়ে', 'বিল্ডারবার্গ']
['পঁচিশে', 'দ্বাদশীর', 'আষাঢ়ের', 'একাদশীর', 'ভিবি', 'মহানবমীর', 'সন্ধ্যাবেলায়', 'অগ্রহায়ণ', 'ফসে', 'তেজস্ক্রিয়মিতিক']
['পঁচিশে', 'বিজয়াদশমী', 'অগ্রহায়ণ', 'হ্যালোইন', 'পিএসআর', 'সুমতিনাথ', 'অ্যালকট', 'টেরিয়ার', 'গ্রিজোদুবোভা', 'ওলাইচণ্ডী']
['পঁচিশে', 'কুলিয়ারচরের', 'জুলুস', 'ভেন্না', 'হ্যালোইন', 'প্রস্রবন', 'নেত্রকোনায়', 'ক্রিস্তিনা', 'ভিবি', 'লোসার']
['পঁচিশে', 'দক্ষিণায়ন', 'অগ্রহায়ণ', 'একাদশীর', 'বিদা', 'বিজয়াদশমী', 'মহানবমীর', 'আষাঢ়ের', 'ফসে', 'দোলযাত্রার']
['পঁচিশে', 'সিঙ্গাপুরেই', 'মহানবমীর', 'উল্টোরথের', 'একাদশীর', 'বিজয়াদশমী', 'দিনগত', 'দোলযাত্রার', 'দ্বাদশীর', 'চৈত্রসংক্রান্তি']
['পঁচিশে', 'বিদা', 'ফুরোচ্ছে', '২০১৬র', 'অবসরেই', 'বর্গাচাষিরা', 'কুলিয়ারচরের', 'লেভেরকের', 'আগামীকালও', 'হিমলারের']
['সতেরো', 'মনেকরা', 'পঁচিশে', 'আঠারো', 'পাঙ্গাসিনান', 'ইলশেগুঁড়ি', 'ˈɪ', 'বসন্তকালীন', 'কাশিয়াডাঙ্গা', 'কালরাত্রি']
['আঠারো', 'পঁচিশে', '২০১৪ইং', 'অগাষ্ট', '১১০৯', '২৪ই', '1920', '২৯ই', 'অগ্রহায়ণ', 'একাদশীর']
['আঠারোশ', 'উনিশ', '১৯৮০এর', 'পঁচিশে', 'প্রথমদিক', 'সপ্তাদশ', 'গোঁড়ার', 'ক্রিটেশিয়াসের', 'ষষ্ঠদশ', 'আঠারো']
['পঁচিশে', 'আঠারোশ', '১৩৬০', 'উপাসনালয়টি', '1২', '১৯৮০এর', 'রাসপূর্ণিমা', '২০১৪ইং', 'পরশুই', '1970০']
['পঁচিশে', 'আইনা', 'একাদশীর', 'আগামীকালও', 'এস্তি', 'জেনারেটরটি', 'চেঁচিয়ে', 'দিনগত', 'গিনজবার্গ', 'বিল্পব']
['পঁচিশে', 'সোবহানবাগে', 'গজে', 'ডিসেম্বের', 'মাজুজ', 'বিদা', 'দহ', '২৪ই', 'বহাগ', 'অবসরেই']
['পঁচিশে', 'দিনগত', 'মহানবমীর', 'পোহালে', 'ফ্রেব্রুয়ারী', 'গালিভার্স', 'কেবিই', 'মদীয়', 'হিমলারের', '১৫৮তম']
['চব্বিশ', 'পরগনা', 'পরগনায়', 'কাশিয়াডাঙ্গা', 'নদীয়া', 'আর্কট', 'দস্তুর', 'পরগণা', 'খগড়িয়া', 'এরনাকুলম']
['পঁচিশে', 'দিনগত', 'হিমলারের', 'ভিলজোয়েন', 'ফ্রেব্রুয়ারী', 'আর্মিস্টিস', 'কাইলকে', 'জন্মজয়ন্তী', 'মিয়ারা', 'মাসকেই']
['পঁচিশে', 'চৈত্রসংক্রান্তি', 'হিমলারের', 'দিনগত', 'পোহালে', 'উল্টোরথের', '২মার্চ', 'আর্মিস্টিস', 'وَنُذُرِ', 'লিবের্তাদোরেসে']
['পঁচিশে', 'বিদা', '২৪ই', 'দিনগত', 'ǎ', 'হিমলারের', 'ঝুমকা', 'মাসজুড়েই', 'উল্টোরথের', 'চৌঠা']
['পঁচিশে', 'সেনারত্নে', 'বিদা', 'দিনগত', 'রাতিয়া', 'অ্যাথলেটিকের', 'আলিয়েভাহ', 'কেবিই', 'বের্থা', 'হিমলারের']
['পঁচিশে', 'বিজয়াদশমী', 'কাতুলী', 'নভেম্বরকে', 'দোলযাত্রার', 'নানবান', 'এবিসু', 'কল্লোনতাই', 'একাদশীর', 'ফ্রেব্রুয়ারী']
['পঁচিশে', 'দিনগত', 'বিদা', 'ǎ', 'ফ্রেব্রুয়ারী', 'হিমলারের', 'আর্মিস্টিস', 'ক্যারিবিয়ানে', '২৪ই', 'রাতিয়া']
['এক', 'আরেক', 'এমন', 'তিন', 'একই', 'সম্প্রতি', 'সেই', 'শুক্রবার', 'বৃহস্পতিবার', 'তখন']
['দুই', 'তিন', 'চার', 'আরেক', 'একই', 'দিনে', 'জুলাই', 'উভয়', 'এরই', 'দুটি']
['তিন', 'চার', 'দুই', 'ছয়', '১২', 'পাঁচ', 'একই', 'আরেক', '১৮', '২৮']
['চার', 'তিন', 'ছয়', '১২', 'পাঁচ', 'সাত', '১৮', '১৬', '•', '২৮']
['পাঁচ', 'তিন', 'সাত', 'চার', '২৮', 'ছয়', '১২', '১৮', '১১', '২২']
['ছয়', 'ফলশ্রুতিতে', 'ছাব্বিশে', 'করায়', '১৯২১', 'কেবলমাত্র', '১৯৩৩', 'খালেদাসহ', '১৯১০', 'উভয়েই']
['সাত', 'ছয়', '২৮', 'ছয়', '১২', '২৭', 'দিনের', 'পাঁচ', '•', '১৬']
['আট', 'মেক্সিকানসহ', '•', '২৮', '২৪', 'সাত', '২৬', '১২', 'ছয়', '২২']
['নয়', 'শুধু', 'সেটি', 'বরং', 'কোনোভাবেই', 'সেটা', 'সবার', '—', 'হোক', 'এটা']
['দশ', 'ছয়', 'স্কাইম্যান', 'ছাব্বিশে', 'কেহ্\u200cলার', 'ব্রতটি', 'ব্লেডগুলোর', 'খালেদাসহ', 'পায়োনীয়ার', 'ডেকাইন']
['এগারো', 'ছাব্বিশে', 'সফরকারিরা', '২০১৪তে', 'আগুয়েরো', 'সিনিয়রে', 'অর্থাত্\u200d', 'দ্বাদশীর', 'আষাঢ়ের', '৩৬দিন']
['বারো', 'ছাব্বিশে', 'ভূইয়ার', 'আহসানুল্লাহর', 'ভুঁইয়ার', 'বেন্ডার', 'পায়োনীয়ার', 'কৌতিনিউ', 'সাহল', '175']
['তেরো', 'ছাব্বিশে', 'কুরেশ', 'রক্ষণাবেক্ষণও', 'ভদ্রাবতী', 'কৌতিনিউ', 'সফরকারিরা', 'মালিয়া', 'মান্ডু', 'নেত্রকোনায়']
['চৌদ্দ', 'ছাব্বিশে', 'কৌতিনিউ', 'দানিয়েল', 'সফরকারিরা', 'পিভেন', 'গান্ধীজী', 'প্ল্যাথ', 'কুরেশ', 'ভিত্তিপ্রস্তরটি']
['ছাব্বিশে', 'পনেরো', '৩৬দিন', 'সফরকারিরা', 'কেহিল', 'মঞ্চাভিনয়', 'ভোটগণনা', 'অক্টাভিয়ান', 'সিনিয়রে', 'ম্যাংকাভিৎস']
['ষোল', 'ছাব্বিশে', 'রাইনের', 'মান্ডু', '২০১৬র', 'যৌথবাহিনী', 'সিঙ্গাইরে', 'বাচ্য', 'আনুভূমিকভাবে', 'বর্গাচাষিরা']
['সতেরো', 'ঊনিশ', 'বড়কুঠি', 'শেষভাবে', 'পেসমেকার', 'মান্ডু', 'সংবিধানবিরোধী', 'ব্দুন', 'ব্যাবিলনে', 'জোহানেস']
