['তুমি', 'আমরা', 'দেখি', 'আমাদেরকে', 'তোমরা', 'তোমাকে', 'তোমায়', 'আমায়', 'জানি', 'ওরা']
['শিক্ষকবৃন্দ', 'শিক্ষক-শিক্ষার্থী', 'ছাত্রীরা', 'অধ্যাপকগণ', 'পরীক্ষাসমূহে', 'ছাত্ররাও', 'স্নাতকগণ', 'ছাত্ররা', 'ছাত্রছাত্রীরা', 'মেডিকাল']
['মান্তা', 'মাছকে', 'গরু', 'গোশত', 'শূকর', 'খচ্চর', 'শূকরের', 'খেয়েছিল', 'গরুর', 'গাধার']
['ছেলে', 'ভাই', 'বোনকে', 'সংসারে', 'বোন', 'পুত্র', 'কন্যা', 'কন্যাসন্তান', 'জমজ', 'পুত্রসন্তান']
['', '', '', '', '', '', '', '', '', '']
['ভাই', 'বোন', 'ভাইকে', 'বোনকে', 'ভাইয়ের', 'ছেলে', 'রানীকে', 'ভাইও', 'বাইশদিয়া', 'সৎভাই']
['পাখি', 'মান্তা', 'সাপ', 'জলচর', 'বাদুড়', 'টিকটিকি', 'হাঙ্গর', 'ব্যাঙ', 'কচ্ছপ', 'কুমির']
['সদস্য', 'সদস্যভূক্ত', 'সদস্যগণ', 'উচ্চকক্ষ', 'ক্ষমতাসীন', 'নিম্নকক্ষ', 'নামিবিয়া', 'সদস্যও', 'সদস্যভুক্ত', 'নিম্নকক্ষে']
['সচিব', 'মন্ত্রী', 'মন্ত্রক', 'স্বরাষ্ট্র', 'আর্টসখ', 'অন্তর্বর্তীকালীন', 'সচিবের', 'মন্ত্রনালয়ে', 'ফেডারাল', 'ওবামা']
['দর্শক', 'একদিনে', 'দর্শকের', '৩-২', '২-১', 'দর্শকদের', '৩-০', '৫-০', 'ব্যবধানে', 'ধারণক্ষমতার']
['২-১', '৩-২', '২-০', '০-০', '২-২', '৪-১', 'চক্রবৃদ্ধি', '৩-০', 'টপকিয়ে', '৫-০']
['সম্পাদক', 'সম্পাদকের', 'ইনকিলাব', 'সভাপতি', 'বুর্ডা', 'অবজার্ভার', 'মুখপত্র', 'আহ্বায়ক', 'সমকাল', 'সহ-সভাপতি']
['পরবর্তীকালের', 'পণ্ডিত', 'পাকিস্তান-অধিকৃত', 'চিক্কণ', 'প্রাচীনতর', 'সাঙের', 'আইবক', 'চিচেন', 'হিউয়েন-সাং', 'ব্রাহ্মণ্যবাদী']
['মন্ত্রী', 'মন্ত্রক', 'থাকসিন', 'মন্ত্রীর', 'প্রতিমন্ত্রী', 'মন্ত্রণালয়', 'মন্ত্রীসভায়', 'আর্টসখ', 'প্রধানমন্ত্রী', 'সুসিলো']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আমি', 'আমরা', 'তোমরা', 'আপনি', 'তুমি', 'তোমার', 'আমাকে', 'আপনাকে', 'আমার', 'ওরা']
['তুমি', 'আমায়', 'দেখ', 'বলো', 'তোমার', 'তোমাকে', 'তুই', 'তোমরা', 'ওরা', 'তোর']
['সে', 'সেই', 'সেটার', 'ওই', 'সেও', 'সেটা', 'ঘুমানোর', 'ওদের', 'সবকিছু', 'শীতলীকরণের']
['তিনি', 'তারা', 'ফিরতি', 'দলটি', 'নামার', 'আপের', 'পুরো', 'টানার', 'ড্রপ', 'উইম্বলডনের']
['শিক্ষক', 'শিক্ষিকা', 'ক্যাডেট', 'পরীক্ষাকেন্দ্র', 'অধ্যক্ষের', 'হেডমাস্টার', 'শিক্ষিক', 'নার্সিং', 'ছাত্রী', 'পরিদর্শকের']
['টেম্\u200cস', 'কর্ণফুলী', 'নাব্যতা', 'বাঁকে', 'হালদা', 'ডিঙি', 'কালনাগিনী', 'মধুমতি', 'থেমস', 'শীতলক্ষ্যা']
['ছাত্র', 'ক্যাডেট', 'ছাত্রী', 'শ্রমিক', 'দনিয়া', 'ট্রেড', 'স্কাউট', 'কালমার', 'শিক্ষার্থী', 'ছাত্ররা']
['ধনী', 'কাছের', 'বাসযোগ্য', 'ঘনবসতিপূর্ণ', 'বিলাসবহুল', 'বসবাসযোগ্য', 'পালতোলা', 'খামারের', 'লাভজনক', 'সচ্ছল']
['ভাই', 'বোন', 'ছেলে', 'ভাইয়ের', 'ভাইকে', 'ভাই-বোন', 'ভাইও', 'ভাইবোন', 'বোনকে', 'জমজ']
['শিক্ষক', 'শিক্ষিকা', 'ক্যাডেট', 'পরীক্ষাকেন্দ্র', 'অধ্যক্ষের', 'হেডমাস্টার', 'শিক্ষিক', 'নার্সিং', 'ছাত্রী', 'পরিদর্শকের']
['খাঁচায়', 'মাছকে', 'খাঁচা', 'খাচায়', 'গরু', 'মাছগুলো', 'ময়লা', 'বাসা', 'ব্রয়লার', 'উটপাখির']
['ছেলে', 'মেয়ে', 'সংসারে', 'ভাই-বোন', 'জমজ', 'বোনকে', 'বোন', 'সন্তান', 'নাতি-নাতনী', 'ছেলের']
['', '', '', '', '', '', '', '', '', '']
['ভাই', 'বোন', 'ছেলে', 'ভাইয়ের', 'ভাইকে', 'ভাই-বোন', 'ভাইও', 'ভাইবোন', 'বোনকে', 'জমজ']
['পাখি', 'হাঙ্গর', 'সাপ', 'মান্তা', 'ব্যাঙ', 'ইঁদুর', 'পাখিরা', 'কচ্ছপ', 'চড়ুই', 'পাখির']
['সদস্য', 'সদস্যগণ', 'সদস্যভূক্ত', 'মেম্বার', 'চেয়ারম্যান', 'সদস্যরা', 'আহ্বায়ক', 'চেয়ারপারসন', 'সহ-সভাপতি', 'সভাপতি']
['সচিব', 'উপসচিব', 'সচিবের', 'নৌ-পরিবহন', 'প্রতিমন্ত্রী', 'ভারপ্রাপ্ত', 'সেক্রেটারি', 'স্বরাষ্ট্র', 'মন্ত্রী', 'মন্ত্রণালয়ে']
['দর্শক', 'ধারণক্ষমতার', 'ধারণক্ষমতা', 'দর্শকের', 'দর্শকদের', 'একদিনে', 'পয়েন্ট', 'যাত্রীর', 'সার্ভাইভার', 'সুপারস্পোর্ট']
['শিক্ষক', 'শিক্ষিকা', 'ক্যাডেট', 'পরীক্ষাকেন্দ্র', 'অধ্যক্ষের', 'হেডমাস্টার', 'শিক্ষিক', 'নার্সিং', 'ছাত্রী', 'পরিদর্শকের']
['ফায়ারিং', 'টেম্\u200cস', 'স্বয়ংক্রিয়ভাবে', '১-১', 'রিটার্ন', 'সমতায়', 'বর্জ', 'সচল', 'ল্যান্ডিং', '4875']
['সম্পাদক', 'সম্পাদকের', 'চেয়ারম্যান', 'সহ-সম্পাদক', 'সভাপতি', 'আহ্বায়ক', 'ইত্তেফাক', 'সহ-সভাপতি', 'চেয়ারম্যানের', 'সহসভাপতি']
['মন্ত্রী', 'প্রতিমন্ত্রী', 'সচিব', 'মন্ত্রীর', 'মন্ত্রণালয়ের', 'মন্ত্রণালয়', 'মন্ত্রিসভায়', 'উপমন্ত্রী', 'মন্ত্রনালয়ের', 'মন্ত্রক']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
