['বাগদাদ', 'মিশর', 'সিরিয়া', 'আনাতোলিয়া', 'মেসোপটেমিয়া', 'পারস্য', 'বুখারা', 'খোরাসান', 'আলেপ্পো', 'বসরা']
['লিবিয়া', 'ইরিত্রিয়া', 'সোমালিয়া', 'আলজেরিয়া', 'ইথিওপিয়া', 'লেবানন', 'মরক্কো', 'সুদান', 'মিশর', 'তিউনিসিয়া']
['লিবিয়া', 'ইরিত্রিয়া', 'সোমালিয়া', 'লেবানন', 'আলজেরিয়া', 'সুদান', 'ইথিওপিয়া', 'বাহরাইন', 'অ্যাঙ্গোলা', 'তুরস্ক']
['লিবিয়া', 'ইরিত্রিয়া', 'আলজেরিয়া', 'লেবানন', 'সোমালিয়া', 'সুদান', 'তুরস্ক', 'তিউনিসিয়া', 'ইথিওপিয়া', 'বুলগেরিয়া']
['', '', '', '', '', '', '', '', '', '']
['লিবিয়া', 'ইরিত্রিয়া', 'আলজেরিয়া', 'সোমালিয়া', 'সুদান', 'ইথিওপিয়া', 'অ্যাঙ্গোলা', 'লেবানন', 'মোজাম্বিক', 'তিউনিসিয়া']
['', '', '', '', '', '', '', '', '', '']
['লিবিয়া', 'ইরিত্রিয়া', 'আলজেরিয়া', 'সোমালিয়া', 'সুদান', 'লেবানন', 'ইথিওপিয়া', 'অ্যাঙ্গোলা', 'বুলগেরিয়া', 'তুরস্ক']
['লিবিয়া', 'মিশর', 'আস্তানা', 'ইরিত্রিয়া', 'ইথিওপিয়া', 'বসতি', 'মরক্কো', 'মেসোপটেমিয়া', 'সিরিয়া', 'অ্যাঙ্গোলা']
['লিবিয়া', 'গ্রিস', 'মরক্কো', 'বুলগেরিয়া', 'ইরিত্রিয়া', 'আলজেরিয়া', 'লেবানন', 'তিউনিসিয়া', 'হাঙ্গেরি', 'মিশর']
['বাগদাদ', 'মিশর', 'সিরিয়া', 'লিবিয়া', 'আলেপ্পো', 'বসরা', 'দামেস্ক', 'আনাতোলিয়া', 'ইরাক', 'বুখারা']
['লিবিয়া', 'ইরিত্রিয়া', 'লেবানন', 'আলজেরিয়া', 'তিউনিসিয়া', 'বাহরাইন', 'মরক্কো', 'সোমালিয়া', 'বুলগেরিয়া', 'সুদান']
['লিবিয়া', 'ইরিত্রিয়া', 'আলজেরিয়া', 'সোমালিয়া', 'লেবানন', 'সুদান', 'ইথিওপিয়া', 'অ্যাঙ্গোলা', 'তিউনিসিয়া', 'নাইজেরিয়া']
['ব্যাংকক', 'লিবিয়া', 'ইরিত্রিয়া', 'তাইওয়ান', 'মালয়েশিয়া', 'কম্বোডিয়া', 'সোমালিয়া', 'থাইল্যান্ড', 'সিঙ্গাপুর', 'ঘানা']
['', '', '', '', '', '', '', '', '', '']
['বেইজিং', 'জিবুতি', 'সিঙ্গাপুর', 'কম্বোডিয়া', 'ইরিত্রিয়া', 'মালয়েশিয়া', 'ইন্দোনেশিয়া', 'ফিলিপাইন', 'তাশখন্দ', 'কুয়ালালামপুর']
['লিবিয়া', 'লেবানন', 'ইরিত্রিয়া', 'আলজেরিয়া', 'সোমালিয়া', 'সুদান', 'মরক্কো', 'তিউনিসিয়া', 'জর্ডান', 'বাহরাইন']
['লিবিয়া', 'ইরিত্রিয়া', 'আলজেরিয়া', 'তিউনিসিয়া', 'বুলগেরিয়া', 'সোমালিয়া', 'লেবানন', 'মরক্কো', 'ঘানা', 'মোজাম্বিক']
['', '', '', '', '', '', '', '', '', '']
['বার্লিন', 'মস্কো', 'জর্জিয়া', 'মরক্কো', 'সুইডেন', 'বৈরুত', 'ফ্রান্স', 'ইতালি', 'প্যারিস', 'বার্লিনের']
['লিবিয়া', 'বার্ন', 'জর্ডান', 'ইরিত্রিয়া', 'সিঙ্গাপুর', 'ঘানা', 'ফিলিপাইন', 'তিউনিসিয়া', 'হুন্ডাই', 'নাইজেরিয়া']
['লিবিয়া', 'ইরিত্রিয়া', 'আলজেরিয়া', 'সোমালিয়া', 'সুদান', 'লেবানন', 'অ্যাঙ্গোলা', 'ইথিওপিয়া', 'মোজাম্বিক', 'নাইজেরিয়া']
['লিবিয়া', 'ইরিত্রিয়া', 'আলজেরিয়া', 'সোমালিয়া', 'লেবানন', 'সুদান', 'ইথিওপিয়া', 'মোজাম্বিক', 'নাইজেরিয়া', 'অ্যাঙ্গোলা']
['লিবিয়া', 'আলজেরিয়া', 'ইরিত্রিয়া', 'বুলগেরিয়া', 'মরক্কো', 'সেনেগাল', 'গ্রিস', 'ইথিওপিয়া', 'হাঙ্গেরি', 'ভেনেজুয়েলা']
['লিবিয়া', 'ইরিত্রিয়া', 'আলজেরিয়া', 'সোমালিয়া', 'লেবানন', 'তিউনিসিয়া', 'বুলগেরিয়া', 'নাইজেরিয়া', 'অ্যাঙ্গোলা', 'সুদান']
['লিবিয়া', 'ইরিত্রিয়া', 'আলজেরিয়া', 'লেবানন', 'সোমালিয়া', 'মরক্কো', 'তিউনিসিয়া', 'নাইজেরিয়া', 'বুলগেরিয়া', 'সুদান']
['', '', '', '', '', '', '', '', '', '']
['কায়রো', 'লিবিয়া', 'লেবানন', 'আলেপ্পো', 'সিরিয়া', 'ইরিত্রিয়া', 'মরক্কো', 'বাহরাইন', 'মিশর', 'বাগদাদ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ভিয়েনা', 'তিউনিসিয়া', 'লিথুয়ানিয়া', 'সুইডেন', 'প্যারিস', 'মরক্কো', 'কলম্বিয়া', 'অস্ট্রিয়া', 'জর্জিয়া', 'আঙ্কারা']
['তিউনিসিয়া', 'ঘানা', 'আলজেরিয়া', 'মোজাম্বিক', 'ইরিত্রিয়া', 'জাম্বিয়া', 'বতসোয়ানা', 'নাইজেরিয়া', 'টোগো', 'তুর্কমেনিস্তান']
['তিউনিসিয়া', 'আলজেরিয়া', 'নাইজেরিয়া', 'ঘানা', 'বতসোয়ানা', 'টোগো', 'হার্জেগোভিনা', 'মরক্কো', 'লিথুয়ানিয়া', 'লেবানন']
['তিউনিসিয়া', 'নাইজেরিয়া', 'ঘানা', 'উগান্ডা', 'লিথুয়ানিয়া', 'টোগো', 'মালদ্বীপ', 'ডেনমার্ক', 'ওয়ারশ', 'রোমানিয়া']
['তিউনিসিয়া', 'নাইজেরিয়া', 'আলজেরিয়া', 'ঘানা', 'উগান্ডা', 'হার্জেগোভিনা', 'বতসোয়ানা', 'জাম্বিয়া', 'টোগো', 'নামিবিয়া']
['ইয়েরেভান', 'তিউনিসিয়া', 'গুয়াতেমালা', 'আজারবাইজান', 'জর্জিয়া', 'কুয়ালালামপুর', 'মাল্টা', 'তানজানিয়া', 'বৈরুত', 'বাহরাইন']
['তিউনিসিয়া', 'নাইজেরিয়া', 'ঘানা', 'আলজেরিয়া', 'টোগো', 'বতসোয়ানা', 'উগান্ডা', 'হার্জেগোভিনা', 'বুলগেরিয়া', 'লাইবেরিয়া']
['তিউনিসিয়া', 'নাইজেরিয়া', 'ঘানা', 'আলজেরিয়া', 'বতসোয়ানা', 'জাম্বিয়া', 'উগান্ডা', 'তুর্কমেনিস্তান', 'রুয়ান্ডা', 'ইরিত্রিয়া']
['তিউনিসিয়া', 'আলজেরিয়া', 'ইসরাইল', 'লেবানন', 'লিবিয়া', 'হার্জেগোভিনা', 'তুরস্ক', 'নাইজেরিয়া', 'সুদান', 'কিরগিজিস্তান']
['তিউনিসিয়া', 'মরক্কো', 'ঘানা', 'আলজেরিয়া', 'লেবানন', 'নাইজেরিয়া', 'ইরিত্রিয়া', 'মোজাম্বিক', 'হাইতি', 'সোমালিয়া']
['তিউনিসিয়া', 'বাহরাইন', 'লেবানন', 'ইরিত্রিয়া', 'সোমালিয়া', 'আলজেরিয়া', 'ঘানা', 'নাইজেরিয়া', 'সুদান', 'তানজানিয়া']
['তিউনিসিয়া', 'নাইজেরিয়া', 'আলজেরিয়া', 'ঘানা', 'লেবানন', 'ইরিত্রিয়া', 'বাহরাইন', 'তুর্কমেনিস্তান', 'বুলগেরিয়া', 'লিথুয়ানিয়া']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['তিউনিসিয়া', 'নাইজেরিয়া', 'আলজেরিয়া', 'বতসোয়ানা', 'ঘানা', 'উগান্ডা', 'হার্জেগোভিনা', 'বুলগেরিয়া', 'জাম্বিয়া', 'টোগো']
['আস্তানা', 'বসতি', 'শিবির', 'আবাস', 'দূতাবাস', 'মরক্কো', 'কনস্যুলেট-জেনারেল', 'মিশর', 'তিউনিসিয়া', 'উগান্ডা']
['তিউনিসিয়া', 'এথেন্স', 'মরক্কো', 'বুলগেরিয়া', 'স্পেন', 'নাইজেরিয়া', 'হাঙ্গেরি', 'সার্বিয়া', 'আলজেরিয়া', 'রোমানিয়া']
['বাগদাদ', 'দামেস্ক', 'বসরা', 'সিরিয়া', 'মিশর', 'ইরাক', 'আলেপ্পো', 'বুখারা', 'মসুল', 'মিসর']
['তিউনিসিয়া', 'বাকু', 'লেবানন', 'বাহরাইন', 'আজারবাইজান', 'মরক্কো', 'হন্ডুরাস', 'আলজেরিয়া', 'বুলগেরিয়া', 'বসনিয়া']
['বাথ', 'ডেমোক্র্যাটিক', 'সোশ্যালিস্ট', 'ডেমোক্রেটিক', 'ন্যাশনালিস্ট', 'লিবারেল', 'প্যালেস্টাইন', 'কম্যুনিস্ট', 'তিউনিসিয়া', 'কনজারভেটিভ']
['ব্যাংকক', 'সিঙ্গাপুর', 'মালয়েশিয়া', 'তাইওয়ান', 'মরিশাস', 'ইন্দোনেশিয়া', 'ঘানা', 'থাইল্যান্ড', 'ফিলিপাইন', 'কম্বোডিয়া']
['', '', '', '', '', '', '', '', '', '']
['বেইজিং', 'কুয়ালালামপুর', 'সিঙ্গাপুর', 'জিবুতি', 'সাংহাই', 'জাকার্তা', 'হংকং', 'ইন্দোনেশিয়া', 'আজারবাইজান', 'তানজানিয়া']
['তিউনিসিয়া', 'বৈরুত', 'লেবানন', 'আলজেরিয়া', 'মরক্কো', 'সুদান', 'বাহরাইন', 'নাইজেরিয়া', 'ইরিত্রিয়া', 'জর্ডান']
['তিউনিসিয়া', 'ঘানা', 'নাইজেরিয়া', 'বুলগেরিয়া', 'হার্জেগোভিনা', 'ক্রোয়েশিয়া', 'মরক্কো', 'ফিনল্যান্ড', 'আলজেরিয়া', 'টোগো']
['', '', '', '', '', '', '', '', '', '']
['বার্লিন', 'মস্কো', 'প্যারিস', 'জেনেভা', 'বার্লিনের', 'ভিয়েনা', 'বৈরুত', 'অসলো', 'ফ্রান্স', 'জার্মানি']
['বার্ন', 'এক্সপোর্ট', 'এইচএসবিসি', 'ল্যাবরেটরিজ', 'অয়েল', 'সিস্টেমস', 'মোটরস', 'গুডস', 'রাইস', 'এএমএ']
['তিউনিসিয়া', 'নাইজেরিয়া', 'আলজেরিয়া', 'ঘানা', 'বতসোয়ানা', 'জাম্বিয়া', 'হার্জেগোভিনা', 'টোগো', 'বুরুন্ডি', 'উগান্ডা']
['তিউনিসিয়া', 'নাইজেরিয়া', 'আলজেরিয়া', 'ঘানা', 'টোগো', 'বতসোয়ানা', 'হার্জেগোভিনা', 'উগান্ডা', 'জাম্বিয়া', 'মোজাম্বিক']
['তিউনিসিয়া', 'লিথুয়ানিয়া', 'সুইডেন', 'আলজেরিয়া', 'বুলগেরিয়া', 'মরক্কো', 'নাইজেরিয়া', 'ডেনমার্ক', 'সেনেগাল', 'হাঙ্গেরি']
['তিউনিসিয়া', 'নাইজেরিয়া', 'ঘানা', 'টোগো', 'আলজেরিয়া', 'বতসোয়ানা', 'লিথুয়ানিয়া', 'রোমানিয়া', 'বুলগেরিয়া', 'লাটভিয়া']
['তিউনিসিয়া', 'নাইজেরিয়া', 'মরক্কো', 'সুইডেন', 'ঘানা', 'ডেনমার্ক', 'আলজেরিয়া', 'বুলগেরিয়া', 'ফিলিপাইন', 'নেদারল্যান্ড']
['', '', '', '', '', '', '', '', '', '']
['কায়রো', 'বৈরুত', 'ইস্তাম্বুল', 'ইস্তানবুল', 'তিউনিসিয়া', 'আঙ্কারা', 'লেবানন', 'বাহরাইন', 'দামেস্ক', 'মরক্কো']
['তিউনিসিয়া', 'ঘানা', 'নাইজেরিয়া', 'বতসোয়ানা', 'মোজাম্বিক', 'মরিশাস', 'ভেনিজুয়েলা', 'জাম্বিয়া', 'ফিজি', 'লাইবেরিয়া']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'স্লোভেনিয়া', 'লাটভিয়া', 'কিরগিজস্তান', 'ক্রোয়েশিয়া', 'রোমানিয়া', 'ফিনল্যান্ড', 'মোজাম্বিক', 'ডেনমার্ক']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ক্রোয়েশিয়া', 'ফিনল্যান্ড', 'রোমানিয়া', 'ডেনমার্ক', 'স্লোভেনিয়া', 'লাটভিয়া', 'নরওয়ে', 'হার্জেগোভিনা']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ক্রোয়েশিয়া', 'ডেনমার্ক', 'ফিনল্যান্ড', 'রোমানিয়া', 'লাটভিয়া', 'বেলজিয়াম', 'নাইজেরিয়া', 'ইউক্রেন']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ফিনল্যান্ড', 'ডেনমার্ক', 'কিরগিজস্তান', 'হার্জেগোভিনা', 'ক্রোয়েশিয়া', 'রোমানিয়া', 'নাইজেরিয়া', 'স্লোভেনিয়া']
['অস্ট্রিয়া', 'ফিনল্যান্ড', 'বুলগেরিয়া', 'ক্রোয়েশিয়া', 'ডেনমার্ক', 'স্লোভেনিয়া', 'নরওয়ে', 'বেলজিয়াম', 'হাঙ্গেরি', 'নেদারল্যান্ডস']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ফিনল্যান্ড', 'ক্রোয়েশিয়া', 'ডেনমার্ক', 'স্লোভেনিয়া', 'রোমানিয়া', 'লাটভিয়া', 'কিরগিজস্তান', 'নাইজেরিয়া']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ক্রোয়েশিয়া', 'ফিনল্যান্ড', 'রোমানিয়া', 'লাটভিয়া', 'কিরগিজস্তান', 'স্লোভেনিয়া', 'নাইজেরিয়া', 'ডেনমার্ক']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ফিনল্যান্ড', 'ক্রোয়েশিয়া', 'কিরগিজস্তান', 'ডেনমার্ক', 'রোমানিয়া', 'লাটভিয়া', 'নাইজেরিয়া', 'স্লোভেনিয়া']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ফিনল্যান্ড', 'ইউক্রেন', 'রোমানিয়া', 'ক্রোয়েশিয়া', 'লাটভিয়া', 'হাঙ্গেরি', 'বেলজিয়াম', 'ডেনমার্ক']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ইউক্রেন', 'ক্রোয়েশিয়া', 'কিরগিজস্তান', 'লাটভিয়া', 'তাজিকিস্তান', 'উজবেকিস্তান', 'ফিনল্যান্ড', 'নাইজেরিয়া']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'রোমানিয়া', 'কিরগিজস্তান', 'বেলজিয়াম', 'ক্রোয়েশিয়া', 'লাটভিয়া', 'ফিনল্যান্ড', 'হাঙ্গেরি', 'ডেনমার্ক']
['', '', '', '', '', '', '', '', '', '']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ক্রোয়েশিয়া', 'ফিনল্যান্ড', 'রোমানিয়া', 'হার্জেগোভিনা', 'কিরগিজস্তান', 'স্লোভেনিয়া', 'লাটভিয়া', 'ডেনমার্ক']
['', '', '', '', '', '', '', '', '', '']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ফিনল্যান্ড', 'ক্রোয়েশিয়া', 'কিরগিজস্তান', 'রোমানিয়া', 'লাটভিয়া', 'স্লোভেনিয়া', 'হার্জেগোভিনা', 'ডেনমার্ক']
['আস্তানা', 'অস্ট্রিয়া', 'চেকোস্লোভাকিয়া', 'বুলগেরিয়া', 'অ্যাঙ্গোলা', 'উপনিবেশ', 'মঙ্গোলিয়া', 'মিশর', 'পোল্যান্ড', 'বসতি']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'হাঙ্গেরি', 'ক্রোয়েশিয়া', 'রোমানিয়া', 'ইতালি', 'বেলজিয়াম', 'সার্বিয়া', 'পর্তুগাল', 'ডেনমার্ক']
['মিশর', 'সিরিয়া', 'বাগদাদ', 'লিবিয়া', 'আনাতোলিয়া', 'অস্ট্রিয়া', 'বসরা', 'সিসিলি', 'তুরস্ক', 'বুখারা']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ক্রোয়েশিয়া', 'ইউক্রেন', 'ফিনল্যান্ড', 'হাঙ্গেরি', 'বেলজিয়াম', 'পোল্যান্ড', 'ডেনমার্ক', 'স্লোভাকিয়া']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ফিনল্যান্ড', 'ক্রোয়েশিয়া', 'ডেনমার্ক', 'রোমানিয়া', 'কিরগিজস্তান', 'লাটভিয়া', 'স্লোভেনিয়া', 'নাইজেরিয়া']
['অস্ট্রিয়া', 'মরিশাস', 'পেরু', 'থাইল্যান্ড', 'তাইওয়ান', 'ডেনমার্ক', 'নরওয়ে', 'বেলজিয়াম', 'নাইজেরিয়া', 'মোজাম্বিক']
['', '', '', '', '', '', '', '', '', '']
['বেইজিং', 'পেরু', 'কাজাখস্তান', 'অস্ট্রিয়া', 'কম্বোডিয়া', 'অ্যাঙ্গোলা', 'নাইজেরিয়া', 'তুর্কমেনিস্তান', 'ক্রোয়েশিয়া', 'বুলগেরিয়া']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'আলজেরিয়া', 'ফিনল্যান্ড', 'লাটভিয়া', 'কিরগিজস্তান', 'নাইজেরিয়া', 'ইউক্রেন', 'ক্রোয়েশিয়া', 'রোমানিয়া']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ক্রোয়েশিয়া', 'ফিনল্যান্ড', 'রোমানিয়া', 'হাঙ্গেরি', 'ডেনমার্ক', 'স্লোভেনিয়া', 'বেলজিয়াম', 'নরওয়ে']
['', '', '', '', '', '', '', '', '', '']
['জার্মানি', 'অস্ট্রিয়া', 'ফ্রান্স', 'ইতালি', 'বেলজিয়াম', 'বার্লিন', 'নরওয়ে', 'সুইডেন', 'ফিনল্যান্ড', 'বুলগেরিয়া']
['কানাডা', 'অস্ট্রিয়া', 'ডেনমার্ক', 'ফিনল্যান্ড', 'নরওয়ে', 'নেদারল্যান্ডস', 'যুক্তরাজ্য', 'নাইজেরিয়া', 'বুলগেরিয়া', 'মরিশাস']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'কিরগিজস্তান', 'ফিনল্যান্ড', 'লাটভিয়া', 'ডেনমার্ক', 'স্লোভেনিয়া', 'ক্রোয়েশিয়া', 'রোমানিয়া', 'হার্জেগোভিনা']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ফিনল্যান্ড', 'লাটভিয়া', 'কিরগিজস্তান', 'রোমানিয়া', 'স্লোভেনিয়া', 'ডেনমার্ক', 'ক্রোয়েশিয়া', 'নরওয়ে']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'বেলজিয়াম', 'ডেনমার্ক', 'ফিনল্যান্ড', 'ক্রোয়েশিয়া', 'হাঙ্গেরি', 'ইতালি', 'নরওয়ে', 'রোমানিয়া']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ফিনল্যান্ড', 'রোমানিয়া', 'ক্রোয়েশিয়া', 'ডেনমার্ক', 'লাটভিয়া', 'স্লোভেনিয়া', 'হাঙ্গেরি', 'নরওয়ে']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ডেনমার্ক', 'ফিনল্যান্ড', 'নরওয়ে', 'ক্রোয়েশিয়া', 'হাঙ্গেরি', 'রোমানিয়া', 'বেলজিয়াম', 'নাইজেরিয়া']
['', '', '', '', '', '', '', '', '', '']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'লিবিয়া', 'লেবানন', 'তুরস্ক', 'মরক্কো', 'আলজেরিয়া', 'আলবেনিয়া', 'মিশর', 'সুদান']
['অস্ট্রিয়া', 'ডেনমার্ক', 'ফিনল্যান্ড', 'নাইজেরিয়া', 'বুলগেরিয়া', 'বেলজিয়াম', 'নরওয়ে', 'লাটভিয়া', 'নেদারল্যান্ডস', 'স্লোভেনিয়া']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ক্রোয়েশিয়া', 'ফিনল্যান্ড', 'ডেনমার্ক', 'লাটভিয়া', 'নাইজেরিয়া', 'রোমানিয়া', 'নরওয়ে', 'স্লোভেনিয়া']
['', '', '', '', '', '', '', '', '', '']
['অস্ট্রিয়া', 'বুলগেরিয়া', 'ফিনল্যান্ড', 'ক্রোয়েশিয়া', 'রোমানিয়া', 'লাটভিয়া', 'স্লোভেনিয়া', 'ডেনমার্ক', 'কিরগিজস্তান', 'হার্জেগোভিনা']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'কিরগিজস্তান', 'মালয়েশিয়া', 'ফিলিপাইন', 'লিবিয়া', 'টোগো', 'নরওয়ে', 'মরিশাস']
['লাওস', 'কম্বোডিয়া', 'থাইল্যান্ড', 'ফিলিপাইন', 'টোগো', 'নাইজেরিয়া', 'ফিনল্যান্ড', 'মালয়েশিয়া', 'নরওয়ে', 'মরিশাস']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'কিরগিজস্তান', 'মালয়েশিয়া', 'ফিলিপাইন', 'নাইজেরিয়া', 'মরিশাস', 'সোমালিয়া', 'মায়ানমার']
['লাওস', 'মরিশাস', 'থাইল্যান্ড', 'মালয়েশিয়া', 'তানজানিয়া', 'কম্বোডিয়া', 'সিঙ্গাপুর', 'ইরিত্রিয়া', 'ফিলিপাইন', 'ফিনল্যান্ড']
['', '', '', '', '', '', '', '', '', '']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'মালয়েশিয়া', 'কিরগিজস্তান', 'ফিলিপাইন', 'নাইজেরিয়া', 'মরিশাস', 'সোমালিয়া', 'লিবিয়া']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'মালয়েশিয়া', 'কিরগিজস্তান', 'ফিলিপাইন', 'মরিশাস', 'সোমালিয়া', 'নাইজেরিয়া', 'লিবিয়া']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'লিবিয়া', 'মোজাম্বিক', 'সোমালিয়া', 'ইরিত্রিয়া', 'সেনেগাল', 'কিরগিজস্তান', 'অ্যাঙ্গোলা']
['লাওস', 'থাইল্যান্ড', 'মালয়েশিয়া', 'কম্বোডিয়া', 'সোমালিয়া', 'ইরিত্রিয়া', 'লিবিয়া', 'ফিলিপাইন', 'মায়ানমার', 'মরিশাস']
['লাওস', 'কম্বোডিয়া', 'থাইল্যান্ড', 'মালয়েশিয়া', 'কিরগিজস্তান', 'ইরিত্রিয়া', 'লিবিয়া', 'নাইজেরিয়া', 'ফিলিপাইন', 'আলজেরিয়া']
['', '', '', '', '', '', '', '', '', '']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'কিরগিজস্তান', 'সোমালিয়া', 'মরিশাস', 'লিবিয়া', 'মালয়েশিয়া', 'ফিলিপাইন', 'টোগো']
['', '', '', '', '', '', '', '', '', '']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'কিরগিজস্তান', 'মালয়েশিয়া', 'লিবিয়া', 'সোমালিয়া', 'ফিলিপাইন', 'মায়ানমার', 'মরিশাস']
['লাওস', 'থাইল্যান্ড', 'মায়ানমার', 'মিয়ানমার', 'কম্বোডিয়া', 'লিবিয়া', 'অ্যাঙ্গোলা', 'শ্রীলংকা', 'সেনেগাল', 'মরক্কো']
['লাওস', 'কম্বোডিয়া', 'মরক্কো', 'লিবিয়া', 'থাইল্যান্ড', 'নাইজেরিয়া', 'নরওয়ে', 'বুলগেরিয়া', 'সেনেগাল', 'রোমানিয়া']
['লিবিয়া', 'বাগদাদ', 'ইরান', 'সিরিয়া', 'মিশর', 'ইরাক', 'বাহরাইন', 'লেবানন', 'মরক্কো', 'মিসর']
['লাওস', 'কম্বোডিয়া', 'থাইল্যান্ড', 'উজবেকিস্তান', 'মরিশাস', 'ইরিত্রিয়া', 'তানজানিয়া', 'ফিলিপাইন', 'মালয়েশিয়া', 'তিউনিসিয়া']
['লাওস', 'থাইল্যান্ড', 'কম্বোডিয়া', 'কিরগিজস্তান', 'মালয়েশিয়া', 'ফিলিপাইন', 'লিবিয়া', 'নাইজেরিয়া', 'মরিশাস', 'সোমালিয়া']
