['চা', 'চি', 'মা', 'চং', 'মাচ', 'ওচ', 'ওচা', 'চাম', 'আচা', 'ঘা']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'তানা', 'নাতনী', 'নানী', 'নানি', 'নীনা', 'মানা', 'নাতনি', 'নাতি', 'নাজা']
['জেলে', 'জেতে', 'জেলী', 'তেজে', 'জেতো', 'লেতে', 'তেলে', 'লেজে', 'তেলী', 'তেড়ে']
['ধোপা', 'তোপে', 'ধোপে', 'পেতো', 'তোরো', 'গোপী', 'ঝোপে', 'তোজো', 'লোপো', 'টোপো']
['বেদে', 'দেবে', 'বেতে', 'বেদী', 'বেদীতে', 'গেদে', 'দেবী', 'বেধে', 'ফেতে', 'দেবীতে']
['গুরু', 'রুগী', 'ডুগু', 'চুরু', 'গুরো', 'গোরু', 'মুগু', 'মুরু', 'কুরু', 'বুরু']
['ছেলে', 'লেতে', 'তেলে', 'ছুতে', 'চেলে', 'ঠেলে', 'তেলী', 'ডেলে', 'লড়েছে', 'গেলে']
['বর', 'বং', 'বহ', 'বি', 'বধ', 'বচ', 'বজ', 'বড', 'বম', 'বগ']
['বাদশা', 'বরদাশত', 'বারদী', 'দশাতে', 'বিদাত', 'বিবাদী', 'বাদশার', 'গবাদী', 'মতবাদই', 'মতবাদে']
['বঙ্গালী', 'টাঙ্গুত', 'গঙ্গাতীর', 'রঙ্গালী', 'বাঙ্গালী', 'মাতঙ্গী', 'করেঙ্গাতলী', 'পতুর্গাল', 'কালেঙ্গা', 'পর্তুগাল']
['বাঘ', 'বাত', 'বাঘী', 'মাঘ', 'বাঘি', 'বাচ', 'ঘাত', 'বাধ', 'বাজ', 'বাতু']
['যোগী', 'রোগী', 'ভোগী', 'যুগী', 'গীতে', 'গোরী', 'যোগে', 'গোপী', 'গোমতী', 'মুতী']
['তেজস্বী', 'স্বীকৃতী', 'তুর্কীতে', 'বুতের্সে', 'সুতীব্র', 'বস্তুতে', 'সতীত্বের', 'পুত্রী', 'তত্ত্বীয়', 'লেস্তে']
['কিশোরী', 'কিশোর', 'শিকোর', 'রিকোতে', 'কিশোরীর', 'কিশোরকে', 'তোশিকো', 'সিরোতে', 'কিশো', 'কিশোরের']
['নর', 'নত', 'রন', 'রত', 'নঃ', 'নং', 'নচ', 'তর', 'নি', 'নহ']
['সুন্দরী', 'সুদীপ্ত', 'সুদত্ত', 'কুর্দী', 'সুদীর্ঘ', 'দুস্তর', 'দস্তুর', 'দ্রুত', 'সুত্রে', 'রুদ্ধ']
['গুণবতী', 'যুগবাণী', 'গুণাবলী', 'গুণবান', 'কর্ণবতী', 'বহুগুণ', 'যুবতী', 'বামুণী', 'মৃতুবরণ', 'ফুলবাণী']
['মুত্যুবরণ', 'যুক্তবর্ণ', 'নৈপুণ্যতা', 'পুত্রবধূ', 'পুত্রবধু', 'বর্ণযুক্ত', 'মৃত্যুবরণ', 'তথ্যপূর্ণ', 'পূর্ববতী', 'গুপ্তযুগ']
['বুদ্ধিমতী', 'বুদ্ধিতে', 'বুদ্ধিমত্তা', 'বুদ্ধিমতি', 'বৃদ্ধিতে', 'সমৃদ্ধিতে', 'বৃদ্ধিতেও', 'বুদ্ধিতেই', 'বুদ্ধিবৃত্তি', 'যুদ্ধনীতি']
['বিজয়', 'বিজয়ী', 'বিজয়ে', 'বিজু', 'বিজে', 'বিটু', 'জিতু', 'বিগড়ে', 'লিবীয়', 'বিতে']
['পাঠক', 'পাঠকই', 'পঠিত', 'পাঠকে', 'পাঠকও', 'পাঠরত', 'পাঠও', 'ঘাতক', 'বৈঠক', 'কাঠি']
['লেখক', 'লেখতে', 'খুলতে', 'খেলতে', 'লেখে', 'খেলুক', 'রুখতে', 'খেলত', 'খেলতো', 'শেখকে']
['গায়ক', 'গৌতায়', 'রায়গড়', 'গায়কি', 'রায়কে', 'গায়কের', 'মতুয়া', 'গায়ে', 'রয়কে', 'গাঁয়ে']
['খোকা', 'খেকো', 'চোখকে', 'খুকী', 'খোলকে', 'কোঁত', 'তুমকো', 'খেতো', 'কোতা', 'রুখতে']
['ছত্রী', 'ছাত্রী', 'ছাত্ৰ', 'ছত্রে', 'ছাত্রে', 'ছত্র', 'ছাত্র', 'ছত্রের', 'চত্তরে', 'পাত্রী']
['শিক্ষক', 'শিক্ষণে', 'ক্ষিতীশ', 'বিক্ষত', 'শৈক্ষিক', 'শিক্ষণ', 'দিক্ষীত', 'দীক্ষিত', 'শিক্ষিত', 'শক্তিকে']
['নেতা', 'তেতে', 'বেতী', 'নেতি', 'রেতে', 'তেত', 'তেতলী', 'নড়তে', 'তেতো', 'বেতনে']
['পাগল', 'পাগলী', 'পাগলু', 'লাগত', 'পতংগ', 'পলতা', 'পাতলু', 'বাগপত', 'পাগলি', 'গালপো']
['প্রিয়', 'ত্রয়ী', 'পুত্রী', 'ত্রয়ীর', 'ট্রী', 'পুত্ৰ', 'পৌত্রী', 'প্রণয়', 'পত্রী', 'প্ৰতি']
['অতীষ্ঠ', 'দিক্ষীত', 'কনিষ্ঠ', 'ক্ষিতীশ', 'দীক্ষিত', 'তক্ষুনি', 'কিন্তু', 'অতিষ্ঠ', 'নিষ্কৃতি', 'ততক্ষনে']
['লোক', 'লোকো', 'তোল', 'লোকে', 'কোল', 'কোত', 'কোলো', 'তুলো', 'লুত', 'কোলে']
['শ্রীমতি', 'শ্রমিক', 'রশ্মিতে', 'রশ্মিকে', 'শ্রমকে', 'বিক্রমী', 'প্রতিকী', 'শক্তির', 'মিত্রকে', 'রক্তিম']
['বানাবার', 'লাবিবা', 'বাবনা', 'বাবারা', 'বাহাবা', 'বাহানা', 'হাবিবা', 'ভাবখানা', 'বাবরনামা', 'শাবানা']
['নাচানাচি', 'চাচারা', 'চাচার', 'চাঁচা', 'কাচিনা', 'চাঁচাই', 'চানাচুর', 'চাচাত', 'চারচালা', 'চামচা']
['দানাদার', 'দাদারা', 'দাদার', 'দাদাও', 'দাদরা', 'দারদা', 'দাউদার', 'হাদ্দাদি', 'নাদিরা', 'দফাদার']
['', '', '', '', '', '', '', '', '', '']
['নানান', 'নামাননি', 'নানকানা', 'জানাননি', 'জানিনা', 'হাননান', 'কিনানা', 'বানাননি', 'রানঝানা', 'জানানা']
['জেলেকে', 'জেলটেনের', 'সেলেনের', 'হেলেনের', 'মেডেলে', 'লড়েছেন', 'রেনেলের', 'ছেলেরে', 'জেলেদের', 'জেনেছে']
['ধোপাদী', 'পানিরোধী', 'কোপানোর', 'পোমোনা', 'তুলাধোনা', 'ধূমপানে', 'ছোপানো', 'গোরেপানি', 'ধুমপানের', 'শোধরানো']
['বেদেনী', 'লেনদেনে', 'বোনেদের', 'চীনদেশে', 'বেদীতে', 'দীনেশের', 'সেদেশে', 'মেহেদী', 'লেবেদেফ', 'দেবীদের']
['মুগুরের', 'শ্রীগুরু', 'সুগুনু', 'কুলগুরু', 'পুখুরী', 'ডুমুরের', 'গুরুদের', 'ঝুমুরের', 'সৎগুরুর', 'গুরুকে']
['ছেলেরে', 'মেলেছে', 'ফেলেছেন', 'ফেলেছে', 'চেলেছে', 'ঢেলেছেন', 'খেলেছেন', 'ঢেলেছে', 'খেলেছে', 'তুলেছেন']
['বরন', 'বির', 'বরি', 'বর', 'বরই', 'রবি', 'বহর', 'বরা', 'বার', 'বকর']
['রশিদাবাদ', 'শিবদাসানি', 'সারাদিনই', 'বাদাখশান', 'বেদনানাশক', 'চাঁদপাশা', 'নকশাদার', 'বাদশাহরা', 'দাদামশাই', 'বাদশাহি']
['কাঙ্গালিনী', 'টাঙ্গানিকা', 'লিঙ্গানুপাত', 'তেলঙ্গানার', 'দাঙ্গাকারী', 'তেলাঙ্গানা', 'অ্যাঙ্গলিকান', 'রাঙ্গুনিয়া', 'কালেঙ্গার', 'ঢেঙ্কানাল']
['বাঘি', 'বাঘিনী', 'বিঘার', 'বিঘাই', 'বিঘা', 'বাঘা', 'বাঘার', 'রাঘবন', 'বাঘিল', 'বাঘই']
['মনোযোগী', 'যোগীকে', 'যোনীতে', 'যোগীপোল', 'যোগীদের', 'খোমেনী', 'মনোযোগে', 'অমনোযোগী', 'যোগিনী', 'রোগীতে']
['তেজস্বিনী', 'রেসিডেন্সী', 'আত্মীয়স্বজনের', 'দুর্নীতিকে', 'স্রোতস্বিনী', 'দুর্নীতিকেই', 'দুর্নীতিই', 'সীতাকুন্ডে', 'প্রেসিডেন্সী', 'সেচমন্ত্রী']
['কিশোরীটি', 'কিশোরীটির', 'কিশোরীর', 'শিশুকিশোর', 'কিশোরীরা', 'মোহনকিশোর', 'কিশোরের', 'নোটিশের', 'কোরিলেশন', 'রুশকিনের']
['নর', 'নরি', 'নির', 'নরা', 'রনি', 'নরম', 'নার', 'ননি', 'কনর', 'নরক']
['সুন্নিদের', 'সুন্দরীর', 'নুরুদ্দিন', 'সিন্ধুনদের', 'নূরুদ্দিন', 'দুর্দিনে', 'সুন্নীদের', 'ইন্দ্রনীল', 'দুর্দিনের', 'নন্দীপুর']
['গুণান্বিত', 'অনুমানগুলি', 'নমুনাগুলি', 'গণশুনানি', 'পুনর্গণনার', 'নমুনাগুলির', 'গণশুনানির', 'অনুমানগুলির', 'নোবুনাগা', 'গুণমানের']
['গুইন্যান্ড', 'পুণ্যস্নান', 'পুনর্নিমাণের', 'পুণ্যস্নানের', 'পুনর্বিন্যাস', 'পূর্বানুমান', 'পায্যন্নুর', 'যন্ত্রণাহীন', 'নিত্যানন্দপুর', 'হিন্দুয়ানী']
['বুদ্ধিমানের', 'বুদ্ধিমান', 'নাজিমুদ্দিনের', 'নির্বুদ্ধিতা', 'বুদ্ধিনাথের', 'যুদ্ধবিমানের', 'নির্বুদ্ধিতার', 'মুমিনুন্নিসা', 'নির্দ্ধিধায়', 'যুদ্ধবিমানে']
['নির্মানাধীন', 'ধর্মানুশীলন', 'ইন্টার্নশীপ', 'শ্রীমান', 'নির্মাণাধীন', 'নির্ধারনী', 'আর্মেনীরা', 'ধর্মানুশীলনের', 'সীমান্তহীন', 'নিম্নাংশের']
['পাঠিকা', 'পাঠিকার', 'মাপকাঠি', 'মাপকাঠির', 'গাঠনিক', 'পাঠাক', 'মিঠাপানি', 'পাঠাননি', 'পাঠকারী', 'পাঠানকে']
['লেখনীটি', 'আলেখিনের', 'লেখেননি', 'লেখনীর', 'লেখেনি', 'লেখকেরা', 'আলেখনের', 'লেখালেন', 'লেখালেখি', 'লেখকদের']
['গায়িকা', 'গিয়াকে', 'গনোরিয়া', 'যোগানিয়া', 'জায়গাটিকে', 'গায়কির', 'অধিনায়ক', 'পাটনায়েক', 'জায়গাকে', 'গায়িকার']
['পোকখালী', 'কোনখানে', 'কোনাখালী', 'কোনোখানে', 'লেখানোর', 'খোকনের', 'খোন্দকার', 'ধানীখোলা', 'শোকানোর', 'কোনাকুনি']
['ছাত্রীটি', 'ছাত্তারের', 'ছাত্রীরা', 'ছাত্রীটির', 'ছাত্রনেতা', 'ছাত্রীর', 'ছাত্রেরা', 'ছাত্রনেতার', 'ছাত্রীও', 'ছাত্রীই']
['নিরীক্ষক', 'নিরীক্ষিত', 'শিক্ষানীতি', 'নিরীক্ষন', 'শিক্ষনীয়', 'শিক্ষিক', 'শিক্ষানীতির', 'লোকশিক্ষা', 'প্রশিক্ষক', 'শিক্ষিকা']
['মনোনীত', 'নমুনাতেই', 'নতুনেরা', 'নিকেতনে', 'নিকেতনের', 'জেতেননি', 'নীতিতেই', 'শুনাতেন', 'শোনাতেন', 'নেতাকেই']
['নাগপাল', 'গানপাগল', 'পাগলাপীর', 'পাগলামি', 'পাগলি', 'পালাগান', 'গোপালনগর', 'নগরপাল', 'নাগালিম', 'লিনগালা']
['প্রিন্টে', 'শ্রীপ্রিয়া', 'প্রিন্টের', 'সুপ্রিয়র', 'নিষ্ক্রিয়', 'ট্রিপিয়ের', 'মন্ট্রিয়ল', 'প্রোটিনে', 'সুপ্রিয়া', 'স্ট্রিপে']
['নীতিনিষ্ঠা', 'আনুষ্ঠানিক', 'নিষ্কন্টক', 'কর্মনিষ্ঠা', 'অনুষ্ঠানিক', 'নিরীক্ষন', 'মন্দাকিনী', 'সন্নিকর্ষ', 'অনিষ্পন্ন', 'মিষ্টান্ন']
['কলোনী', 'কলোনীর', 'নিকোলো', 'কোলোন', 'কলোনের', 'নিকোলে', 'লোকেশন', 'লোকনীতি', 'খোলেনি', 'ফোকলোর']
['খনিশ্রমিক', 'কৃষিশ্রমিক', 'কাশ্মিরীর', 'কর্মকমিশনের', 'কাশ্মীরির', 'পারিশ্রমিক', 'পারিশ্রমিকে', 'ক্রিশ্চিন', 'কাশ্মিরী', 'নির্মাণশ্রমিক']
['বাহাবা', 'লাবিবা', 'হাবিবা', 'বাবাজি', 'বাবামা', 'বামবা', 'বাবাই', 'বাবার', 'বাবারা', 'বাবা']
['চাচা', 'চাঁচা', 'চাচার', 'চামচা', 'চাচারা', 'চাচাত', 'চাচাও', 'চাচির', 'চামচিকা', 'কাচিনা']
['দাদা', 'দাদারা', 'দাদার', 'দারদা', 'দাদরা', 'দানাদার', 'দাদাও', 'দাদির', 'নাকাদা', 'নাদিরা']
['', '', '', '', '', '', '', '', '', '']
['জানিনা', 'কিনানা', 'নানান', 'নাকানি', 'নিশানা', 'নানা', 'নানার', 'নাজনা', 'নাগিনা', 'নাথানা']
['জেলেকে', 'জেলেই', 'ডিজেলে', 'জেলে', 'মেডেলে', 'জেহেল', 'বেলিজে', 'ভিলেজে', 'সেকেলে', 'জেলের']
['ধোপা', 'ধোপার', 'ঝোপালো', 'ধোনিরা', 'ধোপাদী', 'ধোনি', 'ছোপানো', 'ধুপিয়া', 'ধোঁয়াশা', 'কোপানো']
['বেদিতে', 'বেদেনী', 'বেদীতে', 'বেদে', 'দেবীতে', 'সেদেশে', 'দেবেই', 'বেদকে', 'বিদেশে', 'দেবিকে']
['গুরুজি', 'গুঁড়ি', 'গুরুর', 'গুরুং', 'গুরুকে', 'গুরু', 'সৎগুরু', 'গুরুই', 'মুগুরের', 'কুলগুরু']
['মেলেছে', 'চেলেছে', 'ঢেলেছে', 'ছেলেরে', 'ছেলেকে', 'ফেলেছে', 'মিলেছে', 'তুলেছে', 'ছেলেই', 'খেলেছে']
['বর', 'বির', 'বরি', 'বি', 'বার', 'রবি', 'বরা', 'বহর', 'ববি', 'বকর']
['মাদিবা', 'বাদশাহি', 'রাশিদা', 'রশিদাবাদ', 'বাদশাহ', 'বাদশার', 'বাদশা', 'শিলাদামা', 'বাদিয়া', 'বাদশাহরা']
['টাঙ্গানিকা', 'কাঙ্গালিনী', 'কালিগঙ্গা', 'কাঙ্গাল', 'বাঙ্গালিরা', 'বাঙ্গালির', 'কাজিরাঙ্গা', 'মালিঙ্গার', 'বাঙ্গালি', 'মালিঙ্গাও']
['বাঘি', 'বিঘা', 'বাঘা', 'বিঘার', 'বাঘ', 'বাঘিল', 'বিঘাই', 'বাহি', 'বাঘই', 'বাঘাব']
['যোগিনী', 'যোগীকে', 'যোগী', 'সুযোগে', 'মনোযোগী', 'যোগীর', 'নিয়োগী', 'রোগীতে', 'সংযোগী', 'গোমতী']
['তেজস্বিনী', 'মেস্তিজো', 'তেজস্বীর', 'তেজস্বী', 'গীতিস্বামী', 'বেলুচিস্তানে', 'রেসিডেন্সী', 'তেজস্ক্রিয়', 'ফার্মেসিতে', 'স্বাতীকে']
['কিশোরটি', 'কিশোরটির', 'কিশোর', 'কিশোরীটি', 'কিশোরীটির', 'হরকিশোর', 'কিশোরীর', 'কিশোরের', 'শিশুকিশোর', 'শিশুটির']
['নর', 'নির', 'নরি', 'নরা', 'রনি', 'রিন', 'নি', 'নার', 'নরম', 'কনর']
['সুন্নিদের', 'সুন্দরি', 'সিন্দুর', 'সুরিন্দর', 'কাসুন্দি', 'দুর্দিনে', 'সুবিন্দু', 'হিন্দুরা', 'বসুন্দিয়া', 'কুর্দিস']
['গুণাবলি', 'গুণাবলির', 'গুণবান', 'গুণাবলিকে', 'গুণান্বিত', 'লিচুবাগান', 'গুনাবলি', 'গণবাহিনী', 'গুণাবলী', 'কণিকাগুলি']
['গুণান্বিত', 'পুণ্যবান', 'ডিম্বাণুর', 'পুর্ণিয়া', 'ডিম্বানুর', 'পূর্ণিমায়', 'প্ল্যানিং', 'স্প্যানিয়', 'ফ্যাবিয়ান', 'নির্মাণব্যয়']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'যুদ্ধবিমান', 'নির্বুদ্ধিতা', 'সন্তুষ্টিবিধান', 'নির্দ্ধিধায়', 'নির্বুদ্ধিতার', 'বুদ্ধিমতি', 'যুদ্ধবিমানে', 'বুদ্ধিনাথ']
['কীর্তিমান', 'শ্রীমান', 'কাশ্মিরীর', 'শ্রীনিবাস', 'মূর্তিমান', 'কাশ্মিরী', 'নিম্নাংশের', 'মার্কিনীরা', 'শর্মীমালা', 'কাশ্মীরির']
['বিজয়া', 'বাড়িটি', 'বিজয়িনী', 'রিজিয়া', 'বিজয়', 'বিজয়ন', 'জিটুজি', 'লিবিয়া', 'বিলিয়া', 'হাটিজে']
['লেখিকা', 'লেখিকার', 'লেখকই', 'আলেখিন', 'লেখাটি', 'লেখকঃ', 'লেখটি', 'লেখকেরা', 'লেখাকে', 'লেখিকাকে']
['গায়িকা', 'গায়কি', 'গায়িকার', 'গায়কির', 'নায়িকা', 'গিয়াকে', 'গাড়িটা', 'বাকিয়া', 'কাটিয়া', 'জাকিয়া']
['খোকা', 'খোকার', 'খোকাকে', 'লেখিকা', 'খোলাকে', 'পোকখালী', 'কোকিলা', 'গোপিকা', 'বোকামি', 'খোঁটা']
['ছাত্তার', 'ছাত্রটি', 'ছাত্তারের', 'ছাত্রেরা', 'ছাত্রটির', 'ছাত্রীটি', 'ছত্তার', 'ছাত্রের', 'চিত্কার', 'ছাত্র']
['শিক্ষিকা', 'শিক্ষিক', 'শিক্ষিকার', 'শিক্ষিতা', 'শিক্ষিত', 'সুশিক্ষিত', 'শিক্ষাটি', 'শিক্ষকরা', 'অশিক্ষিত', 'শিক্ষকতা']
['নেতাজি', 'নিকেতা', 'নেতাই', 'বেনিতা', 'কানেতা', 'নেতাকে', 'নেতা', 'নেতার', 'চেনাতে', 'নাতিকে']
['পাগলি', 'পাগলা', 'বালিগা', 'নাগপাল', 'গলাচিপা', 'গাপটিল', 'লাগিল', 'কিগালি', 'পাগলার', 'পালিকা']
['প্রিয়া', 'প্রিয়', 'ক্রিয়া', 'সুপ্রিয়', 'প্রিয়ার', 'সুপ্রিয়া', 'ক্রিমিয়া', 'ক্রিমিয়ায়', 'প্রিয়তা', 'সুপ্রিয়র']
['কনিষ্ঠা', 'নিষিক্ত', 'নিষ্কাম', 'নিষ্কাষন', 'কনিষ্ঠ', 'কনিষ্ঠতম', 'নীতিনিষ্ঠা', 'নিবিষ্ট', 'নিরিক্ষা', 'নিষ্কাশিত']
['লোকি', 'লোকা', 'কোলি', 'লোকির', 'নিকোলো', 'ঢোলকি', 'টিকোলো', 'নিকোলে', 'লোকই', 'কোকিল']
['কাশ্মিরি', 'শ্রমিকরা', 'শ্রমিকই', 'মিমিক্রির', 'শ্রমিকও', 'পারিশ্রমিক', 'ড্রিমিং', 'মিমিক্রি', 'কাশ্মির', 'সংমিশ্রিত']
['বাহাবা', 'বাবা', 'বাবার', 'বাবারা', 'বাবামা', 'বাবাজি', 'হাবিবা', 'লাবিবা', 'মাসাবা', 'বামবা']
['চাচা', 'চাচার', 'চাচারা', 'চাচাত', 'চাচাও', 'চামচা', 'চাঁচা', 'চাচির', 'কাচিনা', 'চাচাসহ']
['দাদা', 'দাদার', 'দাদারা', 'দারদা', 'দাদাও', 'দাদরা', 'দানাদার', 'নাকাদা', 'নাদিরা', 'হাদাদ']
['', '', '', '', '', '', '', '', '', '']
['নানান', 'জানিনা', 'নানা', 'নানার', 'কিনানা', 'নাজনা', 'পাননা', 'জানান', 'নাকানি', 'নাথানা']
['ডিজেলে', 'বেলিজে', 'জেতালে', 'জেলাতে', 'জেলেনা', 'ভিলেজে', 'জেলাকে', 'জেলেরা', 'কোলে', 'জোটে']
['ধোপার', 'ধোপা', 'ধোনিরা', 'টোপাজ', 'গোপিকা', 'ধুপিয়া', 'রিকোপা', 'বোঝাপড়া', 'কোপানো', 'ঝোপাল']
['বেদিতে', 'দেবিকে', 'বেদেনা', 'বিদেশে', 'বিভেদে', 'বেদেরা', 'বেদকে', 'সেদিকে', 'যেদিকে', 'মেচেদা']
['গুরুজি', 'গুরুরা', 'গুরুমা', 'গুঁড়ার', 'গুরুর', 'গুরুজির', 'গুরুং', 'গুরুতর', 'গুঁড়ি', 'গুরু']
['মিলেছে', 'পেছালে', 'ছিলেনে', 'ছেলেরা', 'ফেলেছি', 'মেলছে', 'গেছিলো', 'ছেলেটা', 'গোলে', 'ছেলে']
['বর', 'বির', 'বরা', 'বার', 'বরি', 'বি', 'বা', 'রবি', 'বহর', 'বরজ']
['মাদিবা', 'রাশিদা', 'বাদশা', 'বাদশার', 'বাদশাহি', 'বাদশাহ', 'রশিদাবাদ', 'মাদিবার', 'বাদিয়া', 'বাদামি']
['টাঙ্গানিকা', 'কাজিরাঙ্গা', 'সাঙ্গাকারা', 'কাঙ্গাল', 'বাঙ্গালিরা', 'কাজিরাঙ্গার', 'বাঙ্গালির', 'রাঙ্গামাটি', 'কামাঙ্গার', 'বাঙ্গালার']
['বাঘি', 'বাঘা', 'বিঘা', 'বাঘ', 'বিঘার', 'বাঘার', 'বাঘাব', 'বাঘও', 'বাজি', 'বারি']
['যোগিনী', 'যোগীরা', 'সোহাগী', 'নিয়োগী', 'যোগীর', 'সংযোগী', 'যোগী', 'যোগাতো', 'অধোগামী', 'ম্যাগী']
['তেজস্বিনী', 'গীতিস্বামী', 'তেজস্বীর', 'সাবিত্রীকে', 'কৃত্তিবাসী', 'প্রবাসীতে', 'বুড়িতিস্তা', 'স্বাতীকে', 'তেজস্বী', 'মোস্তাফিজে']
['কিশোরটি', 'কিশোরটির', 'কিশোররা', 'কিশোর', 'কাশ্মিরি', 'পিকাসোর', 'কাশিপুর', 'শিকাগোর', 'সোনিকার', 'হরকিশোর']
['নর', 'নরা', 'নির', 'নরি', 'নার', 'রনি', 'রিন', 'নি', 'না', 'নরম']
['কাসুন্দি', 'সুরিন্দর', 'সুরিন্দার', 'বিন্দুসার', 'পুরিন্দা', 'সুন্দরি', 'হিন্দুরা', 'সিন্দুর', 'সুনন্দার', 'সুচন্দার']
['গুণাবলি', 'গুণবান', 'গুণাবলির', 'লিচুবাগান', 'গুনাবলি', 'গণবাহিনী', 'বীণাপাণি', 'চুনিবালা', 'গুনাহগার', 'ফুলবাগান']
['পুণ্যবান', 'স্প্যানিয়', 'ফ্যাবিয়ান', 'পূর্ণিমায়', 'পুর্ণিয়া', 'গুণান্বিত', 'স্ট্যামিনা', 'ক্যাস্পিয়ান', 'ম্যাক্সিকান', 'নির্মাণব্যয়']
['বুদ্ধিমান', 'নির্দ্বিধায়', 'সিদ্ধান্তমাফিক', 'সিদ্ধান্তটির', 'নাম্বুদিরি', 'যুদ্ধবিমানটি', 'যুদ্ধবিমান', 'সিদ্ধান্তটিই', 'নিজামুদ্দিন', 'চুক্তিনামার']
['কীর্তিমান', 'মার্কিনীরা', 'কীর্তিনাশা', 'শ্রীনিবাস', 'কাশ্মীরিরা', 'কাশ্মিরীর', 'শান্তিকামী', 'শ্রীমান', 'কাশ্মিরী', 'মূর্তিমান']
['বিজয়া', 'বাড়িটি', 'রিজিয়া', 'বিজয়ন', 'বিজয়', 'বাড়িটা', 'লিবিয়া', 'জিনিয়া', 'বিঘায়', 'বিজয়ও']
['পাঠিকা', 'পাঠাক', 'পাঠিকার', 'পাঠকরা', 'মাপকাঠি', 'পাটকাঠি', 'পাকিজা', 'ঠিকানা', 'পিঠার', 'পাঠকও']
['গায়িকা', 'গায়িকার', 'গায়কি', 'গায়কির', 'নায়িকা', 'জাকিয়া', 'বাকিয়া', 'গাড়িটা', 'সাকিয়া', 'কাটিয়া']
['খোকার', 'খোকা', 'গোপিকা', 'বোকাখাত', 'কোকিলা', 'বোকামি', 'খোকসা', 'লেখিকা', 'পোকাটি', 'মুখঢাকা']
['ছাত্তার', 'ছাত্রটি', 'ছাত্ররা', 'ছাত্রটির', 'ছাত্র', 'ডাক্তারি', 'ডাক্তার', 'ছত্তার', 'ছাত্রও', 'মাত্রার']
['শিক্ষিকা', 'শিক্ষিকার', 'শিক্ষিক', 'শিক্ষিতা', 'শিক্ষকরা', 'শিক্ষিকারা', 'শিক্ষিত', 'শিক্ষাটি', 'শিক্ষকতা', 'মক্ষিকার']
['নেতাজি', 'বেনিতা', 'নিকেতা', 'কানেতা', 'নেতারা', 'নেতার', 'নেতাই', 'নেতাও', 'কেনতা', 'নাতিকে']
['পাগলা', 'পাগলি', 'নাগপাল', 'পাগলার', 'পরাগল', 'পাগল', 'বালিগা', 'পাগান', 'গাপটিল', 'রাগিপ']
['প্রিয়া', 'প্রিয়ার', 'ক্রিয়া', 'প্রিয়তা', 'ক্রিমিয়া', 'পিয়ার্স', 'প্রিয়', 'পুরিয়া', 'অপ্রিয়', 'কর্নিয়া']
['কনিষ্ঠা', 'নিষ্কাম', 'নিষ্কাষন', 'নিরিক্ষা', 'কনিষ্ঠ', 'নিষিক্ত', 'নিষ্কাশিত', 'কনিষ্ঠতম', 'একনিষ্ঠ', 'নিষ্কাশন']
['লোকি', 'লোকা', 'লোকির', 'কোলি', 'কোলা', 'লোকাল', 'জিলোকা', 'হোলিকা', 'কোকিল', 'লোকাস']
['শ্রমিকরা', 'কাশ্মিরি', 'পারিশ্রমিক', 'কাশ্মির', 'শ্রমিকও', 'ক্রামনিক', 'ক্রিমিনাল', 'ক্রিমার', 'মিমিক্রির', 'ক্রিমিয়া']
['লাবিবা', 'হাবিবা', 'বাহাবা', 'বাবা', 'বাবাজি', 'বামবা', 'বাবার', 'বাহবা', 'বাবামা', 'বাবনা']
['চাচা', 'চাঁচা', 'চামচা', 'চাচার', 'চাচারা', 'চাচাত', 'চাচির', 'চাচাও', 'কাচিনা', 'চাচি']
['দাদা', 'দারদা', 'দাদার', 'দাদারা', 'দাদরা', 'দানাদার', 'নাদিরা', 'দাদাও', 'দাদির', 'দিদার']
['', '', '', '', '', '', '', '', '', '']
['জানিনা', 'নানান', 'নানা', 'কিনানা', 'নাজনা', 'নিশানা', 'নানার', 'পাননা', 'নাথানা', 'নাকানি']
['ডিজেলে', 'বেলিজে', 'জেলেই', 'জেলে', 'ভিলেজে', 'জেলেনা', 'কলেজেই', 'জেহেল', 'জেলেকে', 'হেজেল']
['ধোপা', 'ধোপার', 'ধোনিরা', 'ধোনির', 'ঝোপালো', 'ধুপিয়া', 'ধোনিই', 'ধোনিও', 'ধোনি', 'কোপানো']
['বেদিতে', 'দেবিকে', 'বিদেশে', 'বেদেনা', 'বেদে', 'দেবেই', 'বেদেনী', 'বিভেদে', 'বেদীতে', 'বেদকে']
['গুরুজি', 'গুরুর', 'গুঁড়ি', 'গুরুং', 'গুরুজির', 'গুরু', 'গুরুরা', 'গুরুমা', 'গুরুতর', 'গুরুই']
['মিলেছে', 'ছিলেনে', 'ছেলেই', 'ফেলেছি', 'মেলেছে', 'ছেলে', 'চেলেছে', 'ছেলেরে', 'মেলছে', 'ঢেলেছে']
['বর', 'বির', 'বরি', 'বি', 'রবি', 'বরা', 'বার', 'বহর', 'ববি', 'বরজ']
['মাদিবা', 'রাশিদা', 'বাদশাহি', 'বাদশা', 'রশিদাবাদ', 'বিদিশা', 'বাদশার', 'বাদশাহ', 'বিদিশার', 'বাদিয়া']
