['মেহেদুল', 'হেলেদুলে', 'বহুদেশে', 'দেহগুলো', 'জায়েদুল', 'হেদায়েতুল', 'সেহুন্দা', 'দোয়েল', 'লেন্দুপ', 'সায়েদুল']
['পেরোতে', 'মেত্রো', 'পেরোয়', 'যেতো৷', 'বেরোতে', 'তোড়ে', 'তেরো', 'মেয়েরে', 'পেত্রো', 'রোধে']
['চোদ্দো', 'নৌযুদ্ধে', 'যুদ্ধে', 'কেন্দ্ৰ', 'দৌড়েছে', 'পেদ্রো', 'বৌদ্ধের', 'চন্দ্রে', 'দৌড়েও', 'পেদ্রু']
['পেরোতে', 'সেরেনো', 'পেরোয়', 'পেরোনো', 'পেরোলে', 'মোরেনো', 'রেপোশে', 'ভেনেতো', 'পেত্রো', 'ডোমেনে']
['তোলে৷', 'ষোলো', 'শোলে', 'রোলে', 'তোলে', 'মেলো', 'হোলে', 'গোলে', 'রোষে', 'লোডে']
['পেরোতে', 'মেত্রো', 'স্রোতে', 'বেরোতে', 'পেত্রো', 'জোসেতে', 'মেরুতে', 'সেহোরে', 'ট্রেতে', 'সোতেরের']
['আঠেরো', 'আনোয়ারের', 'পারেতো', 'জোয়ারে', 'নাটোরে', 'বোরো', 'গামেরো', 'তোয়ালে', 'তানোরে', 'জোয়ারের']
['উনিশে', 'উনিশের', 'নিউনেস', 'নিউমেন', 'উঠেনি', 'ইউনিপে', 'নিউরনে', 'উনিশশো', 'ইউনিটে', 'ইউনিয়ন']
['একুশে', 'একুশের', 'মুকেশ', 'শুকে', 'পশুকে', 'সুকেশ', 'শুকের', 'যীশুকে', 'কুশের', 'আশেকুল']
['বাইশে', 'রাইশে', 'পাশেই', 'বাইরেই', 'বাইরে', 'যাইবে', 'বাইতে', 'যাবেই', 'বারেই', 'পাইবে']
['লেইতে', 'মেইতেই', 'তেইদে', 'যেতেই', 'পেতেই', 'দেশেই', 'খেতেই', 'আয়েশেই', 'লেইনে', 'মেইলে']
['বিশ্বেই', 'চেতেশ্বর', 'প্রবেশে', 'বিশ্বে', 'বিশ্বেও', 'বটেশ্বরে', 'বিশ্বের', 'চত্বরেই', 'ছাব্বিশে', 'সর্বশেষে']
['পঁচিশে', 'পঁচিশের', 'পাঁচশো', 'সুইচিং', 'পাঁচেই', 'পাঁচেক', 'রুচিশীল', 'পশ্চিমেই', 'পাঁচে', 'পুলিশে']
['ছাব্বিশে', 'পার্শ্বেই', 'পাটেশ্বরী', 'পার্শ্বে', 'বালেশ্বরে', 'চেম্বারে', 'বের্শেবা', 'মোবাশ্বের', 'নাগেশ্বরী', 'মার্বেলে']
['শাসাতে', 'সালাতে', 'হাসাতে', 'সারাতে', 'সানাতে', 'সাইতারে', 'সাজাতে', 'ভাসাতে', 'বাসাতে', 'বাতাসে']
['এটাশে', 'আইয়ান', 'আইলায়', 'শাটেল', 'আইয়ার', 'আইয়াজ', 'আইয়া', 'আনাইয়া', 'লাইটে', 'আশালয়']
['শ্রেনিতে', 'পঁয়ত্রিশে', 'কিন্তেরো', 'লন্ড্রিতে', 'বনশ্রীতে', 'ম্ত্শানের', 'স্টোরিতে', 'প্রতিশোধে', 'জনশ্রুতিতে', 'মন্তেরে']
['ত্রিশে', 'তেরশ্রী', 'তেত্রিশ', 'ত্রিশের', 'শ্রেনিতে', 'পেত্রি', 'মিত্রে', 'ট্রিতে', 'শর্তে', 'ফ্রিতে']
['পঁয়ত্রিশে', 'এক্সরেতে', 'শক্তিরূপে', 'শক্তিতেই', 'একাত্তরে', 'শক্তিদের', 'কীর্তিতে', 'এক্তেশ্বর', 'মিত্রকে', 'শ্রুতিকে']
['এক', 'একই', 'এই', 'একে', 'একা', 'একং', 'এত', 'একি', 'এমই', 'একর']
['দেশে', 'বেদে', 'দুরে', 'দেহে', 'দেবে', 'দুধে', 'রুদে', 'দেবু', 'দেগে', 'দেহু']
['তিনে', 'তিন', 'তিনই', 'তিনু', 'নিতে', 'তিরে', 'তিতে', 'সনিতে', 'তিনি', 'বিনতে']
['চারে', 'চারী', 'চার', 'চারো', 'চারু', 'চারের', 'চারই', 'আচারে', 'চেরা', 'চরেরা']
['পাঁচে', 'চাপুই', 'পাঁচের', 'পাঁচেই', 'পাঁচু', 'পেঁচা', 'পেঁচার', 'পাঁচেও', 'বাঁচে', 'রুপাই']
['ছয়ে', 'ছয়', 'রয়ছে', 'হয়ছে', 'ছয়ের', 'জয়ে', 'রয়েছ', 'রয়ে', 'হয়েছ', 'নয়ে']
['সাতে', 'সাত', 'সারতে', 'তাসে', 'সরাতে', 'সাতই', 'বসাতে', 'সাতো', 'হাসতে', 'সাজতে']
['আট', 'আটে', 'আটা', 'ইট', 'আটি', 'আই', 'আধ', 'আহট', 'আয়ই', 'আঁট']
['নয়ে', 'নয়', 'নেয়', 'নড়ে', 'নয়৷', 'নয়নে', 'রয়ে', 'বয়ে', 'নে', 'জয়ে']
['দশ', 'দই', 'দশে', 'দশা', 'দি', 'দশম', 'দন', 'দহ', 'দর', 'দং']
['এগারোতে', 'গামেরো', 'রোজগারে', 'ওরেগানো', 'এগারো', 'বেরগামো', 'যোগাবে', 'বোরো', 'সারোগেট', 'লার্গো']
['বোরো', 'বারোতে', 'বোররে', 'বারো', 'ঘোরাবে', 'বারে', 'পারেতো', 'বোলারে', 'বার্লো', 'গামেরো']
['তেরো', 'পেরোতে', 'বেরোতে', 'তোরে', 'মেত্রো', 'তেরে', 'রোধে', 'পেত্রো', 'রেতে', 'ধেরে']
['চৌদ্দ', 'চোদ্দো', 'রৌদ্রে', 'চোদ্দ', 'চন্দ্রে', 'বৌদ্ধের', 'পেদ্রো', 'বোর্দে', 'চন্দ্ৰ', 'পেদ্রু']
['সেরেনো', 'পেরোনো', 'পেরোতে', 'রেপোশে', 'পনেরো', 'বেরোনো', 'পেরোলে', 'মোরেনো', 'বেরোতে', 'বেঘোরে']
['ষোলো', 'রোষে', 'শোলে', 'রোলে', 'হোলে', 'পোষে', 'ষোল', 'হেলো', 'দোষে', 'সোলে']
['সতেরো', 'বেরোতে', 'পেরোতে', 'স্রোতে', 'মেত্রো', 'সেহোরে', 'রেস্তো', 'পেত্রো', 'সোতেরের', 'জোসেতে']
['আঠেরো', 'আঠারো', 'বোরো', 'তোমারে', 'তানোরে', 'ডোমারে', 'পারেতো', 'জেনারো', 'গামেরো', 'রেনাতো']
['উনিশে', 'উনিশের', 'উনিশশো', 'উনিশ', 'নিউরনে', 'উনিই', 'নিউনেস', 'মিশনে', 'শিউরে', 'পজিশনে']
['বিশে', 'শিবে', 'বিশী', 'বিশু', 'বিশ', 'বেশি', 'শিবই', 'মিশে', 'বিষে', 'বিশেষ']
['বাইশে', 'রাইশে', 'বাইরে', 'বাইরেই', 'বারেই', 'যাইবে', 'পাশেই', 'পেশাই', 'পাইবে', 'সেবাই']
['লেইতে', 'তেইদে', 'দেশেই', 'যেতেই', 'মেইতেই', 'পেতেই', 'তেইশ', 'খেতেই', 'শেষেই', 'শোতেই']
['বিশ্বে', 'বিশ্বের', 'বিশ্বেই', 'ছাব্বিশে', 'বিশ্বেরই', 'বিশ্বেও', 'চব্বিশ', 'বিশ্বকে', 'আশ্বিনে', 'বিশ্বনবী']
['পঁচিশে', 'পঁচিশের', 'পঁচিশ', 'পাঁচশো', 'পুলিশই', 'পঁচাশি', 'ইশিবপুর', 'চিপলুন', 'শিবচরে', 'পশ্চিম']
['ছাব্বিশে', 'মহাবিশ্বে', 'সারাবিশ্বে', 'বিশ্বেরই', 'মহাবিশ্বের', 'বানেশ্বর', 'বিশ্বাসে', 'বালেশ্বরে', 'ছাব্বিশ', 'বাগেশ্বর']
['শাসাতে', 'বাসাতে', 'সারাতে', 'হাসাতে', 'সাতাইশ', 'বাতাসে', 'সানাতে', 'সালাতে', 'সেতারা', 'সাইতারে']
['এটাশে', 'আশালয়', 'আমাশয়', 'আয়শার', 'আটাশ', 'আয়শা', 'শাটেল', 'আইলায়', 'পটাশের', 'আশায়']
['নিঃশর্তে', 'তেত্রিশ', 'মিশ্রনে', 'শ্রেনিতে', 'বিনাশর্তে', 'রশ্মিতে', 'পঁয়ত্রিশে', 'মিশ্রনের', 'তেত্রিশজন', 'মিত্রদেশ']
['ত্রিশে', 'ত্রিশের', 'তেত্রিশ', 'ফ্রিতে', 'রশ্মিতে', 'থ্রিতে', 'ট্রিতে', 'ত্রিশূর', 'ত্রিসে', 'পেত্রি']
['তেত্রিশ', 'বিক্রিতে', 'রশ্মিতে', 'পঁয়ত্রিশে', 'তেত্রিশটি', 'ত্রিশেরও', 'হিতেশ্বর', 'শক্তিদের', 'মিত্রদেশ', 'তেত্রিশতম']
['এক', 'একে', 'একই', 'একো', 'এরে', 'এমে', 'এসে', 'এলে', 'একং', 'একি']
['দুধে', 'দেশে', 'দেগু', 'দুরে', 'রুদে', 'দেহু', 'দেহে', 'দেকে', 'দেগে', 'দু্ই']
['তিনে', 'তিনু', 'নিতে', 'তিতে', 'তিরে', 'নিতু', 'তিথী', 'নিতো', 'সনিতে', 'নতিতে']
['চারে', 'চারু', 'চারী', 'চারো', 'চেরা', 'আচারে', 'চাষে', 'চারের', 'চোর', 'নাচের']
['পাঁচে', 'পাঁচু', 'চাপুই', 'পেঁচা', 'পাঁচেক', 'পাঁচের', 'পাচু', 'পাঁচেও', 'পাঁচেই', 'কাঁচে']
['ছয়ে', 'রয়ছে', 'হয়ছে', 'ছয়', 'ছয়ের', 'জয়ে', 'রয়েছ', 'হয়েছ', 'কয়ে', 'ওয়ে']
['সাতে', 'সাতো', 'তাসে', 'সারতে', 'সরাতে', 'সাজতে', 'হাসতে', 'আসাতে', 'সরতে', 'বসাতে']
['আট', 'আটে', 'আয়', 'আয়ই', 'আটি', 'আধ', 'আটা', 'আলে', 'আটক', 'এটে']
['নয়ে', 'নেয়', 'নয়', 'নয়৷', 'নড়ে', 'রয়ে', 'জয়ে', 'সয়ে', 'শয়ে', 'বয়ে']
['দশ', 'দশে', 'দেশ', 'দরে', 'দই', 'নদে', 'দি', 'দুশ', 'দলে', 'দশা']
['এগারোতে', 'গামেরো', 'মার্গো', 'লার্গো', 'ওরেগানো', 'মার্গে', 'মোরগের', 'কাগোমে', 'সোমারে', 'তুরাগে']
['বোরো', 'বারোতে', 'বোররে', 'পারেতো', 'মেরো', 'সেরো', 'পেরো', 'সতেরো', 'তেরো', 'মোরে']
['তেরো', 'পেরোতে', 'মেত্রো', 'যেতো৷', 'বেরোতে', 'পেত্রো', 'তোড়ে', 'তোরে', 'রোধে', 'পেরোয়']
['চোদ্দো', 'চৌদ্দ', 'চন্দ্ৰ', 'চন্দ্রে', 'রৌদ্রে', 'চোদ্দ', 'পেদ্রো', 'দুদ্দু', 'পেদ্রু', 'নৌযুদ্ধে']
['পেরোনো', 'পেরোতে', 'সেরেনো', 'মোরেনো', 'রেপোশে', 'পেরোলে', 'পেত্রো', 'পেরোয়', 'বেরোনো', 'কোনেরু']
['ষোলো', 'রোষে', 'শোলে', 'কোষে', 'পোষে', 'হলো৷', 'রোলে', 'দোষে', 'হোলে', 'সোলে']
['স্রোতে', 'মেত্রো', 'পেরোতে', 'রেস্তো', 'পেত্রো', 'সতেরো', 'বেরোতে', 'জোসেতে', 'মেরুতে', 'সেহোরে']
['আঠেরো', 'তোমারে', 'পারেতো', 'ডোমারে', 'বোরো', 'তানোরে', 'গামেরো', 'আঠারো', 'কাঠুরে', 'নাটোরে']
['উনিশে', 'উনিশের', 'উনিশশো', 'মিশনে', 'নিউরনে', 'নিউনেস', 'শিউরে', 'নিউমেন', 'ফিশনে', 'উন্নি']
['বিশে', 'বিশু', 'শিবে', 'বিশী', 'মিশে', 'শিবু', 'বেশি', 'বিষে', 'কিশে', 'বিশেষ']
['একুশে', 'পশুকে', 'একুশের', 'শুকে', 'মুকেশ', 'সুকেশ', 'বুশকে', 'মিশুকে', 'কুশের', 'কুশোক']
['লেইতে', 'পেতেই', 'তেইদে', 'যেতেই', 'দেশেই', 'মেইতেই', 'খেতেই', 'শোতেই', 'শেষেই', 'শীতেই']
['বিশ্বে', 'বিশ্বকে', 'বিশ্বের', 'বিশ্বেও', 'আশ্বিনে', 'বিশ্বেই', 'চর্বিতে', 'ছাব্বিশে', 'পশ্চিমে', 'সর্বশেষে']
['পঁচিশে', 'পঁচিশের', 'পাঁচশো', 'পিচুর', 'অশুচি', 'পশ্চিম', 'চিপলুন', 'খিচুনি', 'চিতপুর', 'সুইচিং']
['ছাব্বিশে', 'পার্শ্বে', 'প্বার্শে', 'প্রতিবেশে', 'মহাবিশ্বে', 'পার্শ্বেই', 'মোবাশ্বের', 'বিশ্বেরই', 'বালেশ্বরে', 'জীবাশ্মে']
['শাসাতে', 'হাসাতে', 'সারাতে', 'বাসাতে', 'সালাতে', 'বাতাসে', 'সানাতে', 'সাতশো', 'সেতারা', 'সাতারু']
['এটাশে', 'আমাশয়', 'আশালয়', 'আয়শা', 'আয়শার', 'আশায়', 'শাটেল', 'আইয়ান', 'আইয়ার', 'ইয়াশ']
['পঁয়ত্রিশে', 'শ্রেনিতে', 'রশ্মিতে', 'লন্ড্রিতে', 'তেত্রিশ', 'নিঃশর্তে', 'বনশ্রীতে', 'প্রতিশোধ', 'মিশ্রনে', 'জনশ্রুতিতে']
['ত্রিশে', 'তেত্রিশ', 'ত্রিশের', 'ফ্রিতে', 'থ্রিতে', 'রশ্মিতে', 'ত্রিশূর', 'মিত্রে', 'ট্রিতে', 'পেত্রি']
['শক্তিরূপে', 'পঁয়ত্রিশে', 'মিত্রকে', 'তেত্রিশ', 'রশ্মিতে', 'শক্তিতে', 'শ্রুতিকে', 'মিশ্রকে', 'শক্তিদের', 'বিক্রিতে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'একে', 'একই', 'এই', 'এরে', 'একো', 'একা', 'এবে', 'এমে', 'একং']
['দেশে', 'দুধে', 'বেদে', 'দেহে', 'দেবে', 'দেগে', 'দেবু', 'দুরে', 'দেগু', 'দেহু']
['তিনে', 'তিরে', 'নিতে', 'তিনু', 'তিতে', 'তিন', 'তিলে', 'নিতো', 'তানে', 'তিনের']
['চারে', 'চারো', 'চারী', 'চারু', 'চেরা', 'চারের', 'চোর', 'আচারে', 'চরেরা', 'চার']
['পাঁচে', 'চাপুই', 'পাঁচের', 'বাঁচে', 'পাঁচেই', 'পাঁচেক', 'কাঁপে', 'পাঁচেও', 'পাঁচু', 'পেঁচা']
['ছয়ে', 'ছয়', 'রয়ছে', 'হয়ছে', 'রয়ে', 'জয়ে', 'ছয়ের', 'বয়ে', 'ওয়ে', 'নয়ে']
['সাতে', 'তাসে', 'সাতো', 'সরাতে', 'সারে', 'সারতে', 'সাত', 'বসাতে', 'সাজতে', 'আসাতে']
['আট', 'আটে', 'ইট', 'আয়', 'আই', 'আটা', 'আধ', 'আয়ই', 'আটি', 'আঠ']
['নয়', 'নয়ে', 'নেয়', 'নড়ে', 'নয়৷', 'রয়ে', 'বয়ে', 'নে', 'জয়ে', 'শয়ে']
['দশ', 'দশে', 'দই', 'দশা', 'দরে', 'দা', 'দেশ', 'দল', 'দর', 'দং']
['গামেরো', 'এগারোতে', 'বোরো', 'লার্গো', 'ওরেগানো', 'মার্গে', 'মার্গো', 'এগারো', 'বেরগামো', 'যোগাবে']
['বোরো', 'বারোতে', 'বোররে', 'বারো', 'ঘোরাবে', 'বোলারে', 'বারে', 'বার্লো', 'ব্যারো', 'গামেরো']
['তেরো', 'বেরোতে', 'পেরোতে', 'রোধে', 'তোরে', 'মেত্রো', 'তেরে', 'ধেরে', 'বেরোয়', 'রেতে']
['চোদ্দো', 'রৌদ্রে', 'চৌদ্দ', 'বৌদ্ধের', 'বোর্দে', 'চন্দ্রে', 'দৌড়েও', 'পেদ্রো', 'চন্দ্ৰ', 'চোদ্দ']
['সেরেনো', 'পেরোতে', 'পেরোনো', 'মোরেনো', 'বেরোনো', 'রেপোশে', 'পেরোলে', 'বেরোতে', 'বেঘোরে', 'পনেরো']
['ষোলো', 'রোষে', 'শোলে', 'রোলে', 'হোলে', 'কোষে', 'ভোলে', 'ষোল', 'হেলো', 'মেলো']
['বেরোতে', 'স্রোতে', 'মেত্রো', 'সতেরো', 'পেরোতে', 'রেস্তো', 'সেহোরে', 'জোসেতে', 'পেত্রো', 'মেরুতে']
['আঠেরো', 'বোরো', 'আঠারো', 'ডোমারে', 'তোমারে', 'গামেরো', 'তানোরে', 'ঘোরালে', 'পারেতো', 'বারোতে']
['উনিশে', 'উনিশের', 'উনিশশো', 'মিশনে', 'নিউরনে', 'শিউরে', 'নিবেশ', 'নিউনেস', 'নিউমেন', 'ফিশনে']
['বিশে', 'শিবে', 'বিশু', 'বিশী', 'বেশি', 'বশে', 'মিশে', 'বংশে', 'শিবু', 'বিষে']
['একুশে', 'একুশের', 'মুকেশ', 'বুশকে', 'শুকে', 'পশুকে', 'সুকেশ', 'কুশের', 'শুকের', 'কুরেশ']
['বাইশে', 'রাইশে', 'বাইরে', 'যাইবে', 'বারেই', 'যাবেই', 'ভাইবে', 'বাইরেই', 'পাশেই', 'ভাবেই']
['লেইতে', 'যেতেই', 'তেইদে', 'দেশেই', 'মেইতেই', 'পেতেই', 'খেতেই', 'তেইশ', 'শোতেই', 'লেইনে']
['বিশ্বে', 'বিশ্বের', 'বিশ্বেই', 'ছাব্বিশে', 'বিশ্বেও', 'বিশ্বকে', 'বিশ্বেরই', 'কিব্বের', 'প্রবেশে', 'বলেশ্বর']
['ছাব্বিশে', 'ছাব্বের', 'মহাবিশ্বে', 'মোবাশ্বের', 'বালেশ্বরে', 'রাব্বিকে', 'পার্শ্বেই', 'বিশ্বেরই', 'সারাবিশ্বে', 'বের্শেবা']
['শাসাতে', 'বাসাতে', 'সারাতে', 'হাসাতে', 'বাতাসে', 'সালাতে', 'ভাসাতে', 'সানাতে', 'সেতারা', 'সাজাতে']
['এটাশে', 'আমাশয়', 'শাটেল', 'আশালয়', 'আশায়', 'ইয়াশ', 'আয়শা', 'আয়শার', 'আইলায়', 'আইয়ার']
['শ্রেনিতে', 'নিঃশর্তে', 'রশ্মিতে', 'বনশ্রীতে', 'পঁয়ত্রিশে', 'তেত্রিশ', 'লন্ড্রিতে', 'মিশ্রনে', 'মিশ্রনের', 'ত্রিশে']
['ত্রিশে', 'ত্রিশের', 'তেত্রিশ', 'শর্তে', 'ফ্রিতে', 'থ্রিতে', 'ট্রিতে', 'তেরশ্রী', 'শর্তের', 'রশ্মিতে']
['তেত্রিশ', 'মিত্রকে', 'রশ্মিতে', 'বিক্রিতে', 'মিশ্রকে', 'একাত্তরে', 'পঁয়ত্রিশে', 'শক্তিদের', 'একত্রে', 'অতিক্রমে']
['এক', 'একই', 'এই', 'একং', 'একা', 'এত', 'একি', 'এং', 'একজ', 'এর']
['দুই', 'দেই', 'রুদে', 'দুরে', 'দেগু', 'লেদু', 'বেদে', 'দেশে', 'দেহু', 'দেবু']
['তিন', 'তিনই', 'তিনে', 'তনি', 'নিত', 'নতি', 'তিনি', 'তিনু', 'তিনা', 'তিং']
['চার', 'চারে', 'চাই', 'চারই', 'চাইর', 'চরা', 'চারী', 'চারু', 'আচার', 'চাং']
['পাঁচ', 'পাঁচে', 'চাপুই', 'পাঁচু', 'পাচঁ', 'চাঁই', 'পেঁচা', 'পাঁচের', 'পাচু', 'পাঁচেই']
['ছয়', 'ছয়ে', 'বছয়', 'ছয়শ', 'ইয়', 'রয়ছে', 'হয়ছে', 'আয়', 'জয়ে', 'জয়']
['সাত', 'সাতে', 'সাতই', 'তাসে', 'সাতা', 'সাই', 'সাতো', 'সাতি', 'সাংত', 'সাধ']
['আট', 'ইট', 'আই', 'আটা', 'আল', 'আটি', 'আঠ', 'আঁট', 'আটক', 'আটে']
['নয়', 'নয়ে', 'নেয়', 'নে', 'নৈ', 'টু', 'নড়ে', 'নু', 'নয়৷', 'নী']
['দশ', 'দই', 'দল', 'দি', 'দং', 'দন', 'দম', 'দর', 'দহ', 'দস']
['এগারো', 'এগারোতে', 'গামেরো', 'রোজগারে', 'ওরেগানো', 'আরাগো', 'এগারোর', 'গোরাই', 'সারোগেট', 'ইমাগো']
['বোরো', 'বারো', 'বারে', 'বোররে', 'মারো', 'বারোতে', 'হারো', 'ফারো', 'ঘোরাবে', 'কারো']
['তেরো', 'তোরে', 'তেরে', 'পেরোতে', 'বেরোতে', 'রেতে', 'রোধে', 'যেতো', 'তেতো', 'নেতো']
['চৌদ্দ', 'চোদ্দ', 'চোদ্দো', 'রৌদ্রে', 'বৌদ্ধের', 'চন্দ্রে', 'বৌদ্ধ', 'চৌদ্দশ', 'পেদ্রু', 'বোর্দে']
['পনেরো', 'সেরেনো', 'পেরোনো', 'পেরোতে', 'পেরোলে', 'মোরেনো', 'রেপোশে', 'বেরোনো', 'মরেনো', 'পেরোন']
['ষোল', 'ষোলো', 'রোষে', 'রোলে', 'শোলে', 'সোলে', 'হোলে', 'কোষে', 'সেলো', 'পোষে']
['সতেরো', 'বেরোতে', 'পেরোতে', 'সেহোরে', 'সোতের', 'স্রোতে', 'সেতো', 'তেরো', 'ওতেরো', 'জোসেতে']
['আঠারো', 'আঠেরো', 'আঠারোর', 'আঠালো', 'আঠারো', 'আধারে', 'আঁধারে', 'বোরো', 'আঠারোশ', 'ঘোরালে']
['উনিশে', 'উনিশ', 'উনিই', 'উনিশের', 'নিউই', 'ইউনি', 'উইনি', 'ইউনিস', 'উনিশশো', 'উনিও']
['বিশ', 'বিশে', 'বিই', 'শিবই', 'শিবে', 'বিশু', 'বিশী', 'বিশি', 'শিব', 'বিশষ']
['একুশে', 'একুশ', 'একুশের', 'এঁকে', 'মুকেশ', 'সুকেশ', 'বুশকে', 'পশুকে', 'শুকে', 'শুকের']
['বাইশে', 'বাইশ', 'রাইশে', 'বাইরে', 'বারেই', 'যাইবে', 'বাইল', 'পাশেই', 'শাইবা', 'বাইরেই']
['তেইশ', 'লেইতে', 'তেইদে', 'মেইতেই', 'যেতেই', 'দেশেই', 'পেতেই', 'খেতেই', 'লেইনে', 'শেইন']
['চব্বিশ', 'বিশ্বে', 'বিশ্বেই', 'বিশ্বের', 'বিশ্বেও', 'বিশ্বকে', 'ছাব্বিশে', 'বিশ্বেরই', 'বিশ্বকেই', 'আশ্বিনে']
['পঁচিশে', 'পঁচিশ', 'পঁচিশের', 'পঁচাশি', 'পঁচিশটি', 'পুলিশই', 'পঁচিশজন', 'চিপলুন', 'পাঁচশো', 'পিচুর']
['শাসাতে', 'সাতাইশ', 'সাতাশ', 'বাসাতে', 'সালাতে', 'সারাতে', 'হাসাতে', 'বাতাসে', 'সানাতে', 'নাতসাই']
['আটাশ', 'এটাশে', 'আশাটা', 'আশালয়', 'আটার', 'আয়শা', 'শাটেল', 'আমাশয়', 'আইলায়', 'আশায়']
['নিঃশর্তে', 'ঊনত্রিশ', 'মিত্রদেশ', 'মিশ্রনের', 'তেত্রিশজন', 'মিশ্রনে', 'বিনাশর্তে', 'রশ্মিতে', 'ঊনসত্তরের', 'নথিপত্রে']
['ত্রিশে', 'ত্রিশের', 'থ্রিতে', 'তেত্রিশ', 'ত্রিশূর', 'ফ্রিতে', 'ট্রিতে', 'ত্রিসে', 'ত্রিশ', 'রশ্মিতে']
['বিক্রিতে', 'শক্তিদের', 'একত্রিশ', 'অতিক্রমে', 'অতর্কিতে', 'মিত্রকে', 'শক্তিরই', 'অতিক্রমের', 'তেত্রিশটি', 'শক্তিবলে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
