['মুরতা', 'মুরাত', 'মুতার', 'তোমরা', 'বুমরা', 'তুরান', 'মুরাতা', 'তুবার', 'হুমরা', 'তুরার']
['মন্ত্রীদের', 'চন্দ্রকীর্তি', 'বরেন্দ্রর', 'ইন্দ্রাণীর', 'অমরেন্দ্রর', 'স্বতন্ত্রদের', 'অতীন্দ্রীয়', 'মন্ত্রীরা', 'আনন্দতীর্থ', 'নরেন্দ্রপুর']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আমি', 'আগমণ', 'আমিও', 'আওমি', 'আমিন', 'আজমি', 'আরমি', 'আগমন', 'আমরি', 'আমগর']
['অণুমতি', 'তুমি', 'তুমিও', 'গোমতি', 'অণুমিত', 'মুমিনগণ', 'মধুমতি', 'গুরমিত', 'গুমি', 'গুনতি']
['সে', 'সেই', 'গেস', 'ইসে', 'গে', 'সোই', 'মসে', 'আসে', 'সেং', 'সহে']
['তিগিন', 'তিনি', 'মিনতি', 'তিনটি', 'বিনতি', 'তিনিও', 'তিঁনি', 'নিতিন', 'নিতি', 'মগিনি']
['শিক্ষকগণ', 'গণশিক্ষা', 'শিক্ষাগত', 'শিক্ষকও', 'শিক্ষিক', 'শিক্ষকরা', 'অশিক্ষক', 'শিক্ষক', 'শিক্ষিকা', 'শিক্ষকই']
['মাঝি', 'মাঝির', 'মামণি', 'মাঝিরা', 'ঘটমাঝি', 'মাঝারি', 'আগামি', 'মাজি', 'জামি', 'রাজমণি']
['ছাত্রগণ', 'ছাত্রও', 'ছাত্তার', 'ছাত্রই', 'ছাত্র', 'ছাত্ররা', 'ছত্তার', 'জাগ্রত', 'ছত্রাক', 'ছাত্রটি']
['ধনী', 'ধমনী', 'ধরনী', 'ধনীক', 'ধানী', 'ধনীর', 'ধমণী', 'ধনু', 'ধরনে', 'ধনে']
['ভাই', 'ভাগই', 'ভাইও', 'ভাইট', 'ভাইন', 'ভাইর', 'ভাইল', 'ভাইব', 'লাভই', 'ভালই']
['শিক্ষকগণ', 'গণশিক্ষা', 'শিক্ষাগত', 'শিক্ষকও', 'শিক্ষিক', 'শিক্ষকরা', 'অশিক্ষক', 'শিক্ষক', 'শিক্ষিকা', 'শিক্ষকই']
['গরু', 'গুরগ', 'গরুর', 'গরুও', 'গগৈর', 'গরুই', 'গিরু', 'গুরং', 'গুরি', 'গণরুম']
['গলেছে', 'লেগেছ', 'মেলছে', 'ফেলছে', 'ছেলে', 'লেগেছে', 'ছেলেই', 'খেলছে', 'ছেলেও', 'বলেছে']
['মেয়ে', 'গেয়ে', 'মেয়েরে', 'মেয়েই', 'মেয়েও', 'গেয়েছে', 'মেয়েকে', 'মেয়ের', 'যেয়ে', 'মেঝেয়']
['ভাই', 'ভাগই', 'ভাইও', 'ভাইট', 'ভাইন', 'ভাইর', 'ভাইল', 'ভাইব', 'লাভই', 'ভালই']
['পাখি', 'পাখিও', 'পাখির', 'চাপাখি', 'পাখিরা', 'পাখিই', 'পরিখা', 'পাগলি', 'পাখিরও', 'পাখনা']
['সচিবগণ', 'সচিবও', 'সচিব', 'বিচরণ', 'বাগচি', 'গিবসন', 'বিচরন', 'সচিন', 'কবিগণ', 'বিচলন']
['দর্শকগণ', 'দর্শকগন', 'দর্শকও', 'দর্শনগত', 'দর্শকরা', 'দর্শক', 'দর্শকই', 'আদর্শগত', 'দর্শকরাও', 'দর্শকখরা']
['শিক্ষকগণ', 'গণশিক্ষা', 'শিক্ষাগত', 'শিক্ষকও', 'শিক্ষিক', 'শিক্ষকরা', 'অশিক্ষক', 'শিক্ষক', 'শিক্ষিকা', 'শিক্ষকই']
['সুধী', 'সুধীন', 'বেগুণী', 'সুধীর', 'গুণী', 'সুগন্ধী', 'গোধুলী', 'সুধীজন', 'যুগী', 'গুণীর']
['সম্পাদকগণ', 'সম্পাদকও', 'সম্পাদকরা', 'সম্পাদক', 'সম্পাদকঃ', 'সম্পাদিকা', 'অধ্যাপকগণ', 'সম্পদায়', 'পদত্যাগসহ', 'সম্পাদনাও']
['পণ্ডিতগণ', 'পন্ডিতগণ', 'পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতরা', 'পাণ্ডবগণ', 'পণ্ডিতগণের', 'মণ্ডিত', 'মহাপণ্ডিত', 'টপোগণিত']
['মন্ত্রীগণ', 'গণতন্ত্রী', 'মন্ত্রীগণের', 'মন্ত্রীও', 'গণতন্ত্রে', 'আমন্ত্রণে', 'মন্ত্রীরা', 'মন্ত্রীর', 'গণতন্ত্রের', 'মন্ত্রগুলি']
['আগমণ', 'আমগর', 'আগামি', 'আগমন', 'আগাম', 'আমরণ', 'আওমি', 'আগলি', 'আজমি', 'আমরি']
['অণুমতি', 'মুমিনগণ', 'পিতৃগণ', 'তিনগুণ', 'অণুমিত', 'গুরুমিত', 'অণুগত', 'গোমতি', 'অণুপমা', 'গতিমুখ']
['সে', 'গেসে', 'গেস', 'গণে', 'গে', 'বেসে', 'হেসে', 'রেসে', 'গেমসে', 'সোই']
['তিগিন', 'মতিনগর', 'জিনগত', 'মিনতি', 'বিনতি', 'দিনগত', 'তিঁনি', 'পরিগনিত', 'পরিগণিত', 'গনপতি']
['শিক্ষকগণ', 'গণশিক্ষা', 'শিক্ষকগণের', 'শিক্ষাগত', 'পরীক্ষকগণ', 'শ্রমিকগণ', 'গৃহশিক্ষক', 'শিক্ষকও', 'শিক্ষকরা', 'দর্শকগণ']
['মামণি', 'মাঝগাঁও', 'মগনামা', 'মাঝমাঠ', 'রাজমণি', 'ঘটমাঝি', 'ইমামগণ', 'আগামি', 'তাগমা', 'মাঝারি']
['ছাত্রগণ', 'ছাত্রও', 'গাণপত্য', 'ছাত্তার', 'ভ্রাতৃগণ', 'যাত্রীগণ', 'ছাত্রলীগ', 'ডাক্তারগণ', 'ছত্তার', 'ছাত্রই']
['ধমনী', 'ধনী', 'ধমণী', 'ধরনী', 'ধনীক', 'ধানী', 'ধরণী', 'ধনীর', 'গন্ধক', 'হরধনু']
['ভাগই', 'ভাই', 'ভাইও', 'ভাইগাই', 'ভাইট', 'ভাইল', 'ভাবাই', 'ভাইভা', 'ভাইর', 'ভাগা']
['শিক্ষকগণ', 'গণশিক্ষা', 'শিক্ষকগণের', 'শিক্ষাগত', 'পরীক্ষকগণ', 'শ্রমিকগণ', 'গৃহশিক্ষক', 'শিক্ষকও', 'শিক্ষকরা', 'দর্শকগণ']
['গুরগ', 'গরু', 'গুরুগণ', 'গরুর', 'গণরুম', 'গগৈর', 'রগরগে', 'গরুও', 'গুণগত', 'গর্গ']
['লেগেছে', 'গলেছে', 'লেগেছ', 'চলেগেছে', 'তেলেগু', 'ফেলেছে', 'মেলেছে', 'ছেলেরে', 'তুলেছে', 'ফেলছে']
['গেয়ে', 'মেয়েরে', 'গেয়েছে', 'মেয়ে', 'মেয়েকে', 'ফুয়েগো', 'মেয়েও', 'পেয়েছে', 'মেয়েগুলো', 'মেয়েই']
['ভাগই', 'ভাই', 'ভাইও', 'ভাইগাই', 'ভাইট', 'ভাইল', 'ভাবাই', 'ভাইভা', 'ভাইর', 'ভাগা']
['চাপাখি', 'পাখিরা', 'বাজপাখি', 'পাখিও', 'পাখিরও', 'পাখির', 'পাংখা', 'পাগলি', 'পাখি', 'পাখার']
['সদস্যগণ', 'সদস্যগন', 'সদস্যগণকে', 'সদস্যও', 'সদস্যগণের', 'সদস্যর', 'সদস্যঃ', 'সদস্যা', 'সদস্যসহ', 'সদস্যপদ']
['দর্শকগণ', 'দর্শকগন', 'দর্শকও', 'দর্শনগত', 'আদর্শগত', 'দর্শকরা', 'আবদ্ধকরণ', 'শব্দগ্রহণ', 'অদৃশ্যকরণ', 'আদর্শনগর']
['শিক্ষকগণ', 'গণশিক্ষা', 'শিক্ষকগণের', 'শিক্ষাগত', 'পরীক্ষকগণ', 'শ্রমিকগণ', 'গৃহশিক্ষক', 'শিক্ষকও', 'শিক্ষকরা', 'দর্শকগণ']
['বেগুণী', 'গোধুলী', 'সুগন্ধী', 'গুণী', 'গুণীকে', 'সুধী', 'সুযোগে', 'গুণীর', 'বন্ধুগণ', 'গুণ্ডরী']
['সম্পাদকগণ', 'গণপদত্যাগ', 'সম্পাদকও', 'সম্পাদকরা', 'সম্পাদকঃ', 'আপাদমস্তক', 'সম্পাদক', 'অধ্যাপকগণ', 'পদত্যাগসহ', 'সম্পাদকসহ']
['পণ্ডিতগণ', 'পন্ডিতগণ', 'পণ্ডিতগণের', 'পাণ্ডবগণ', 'পণ্ডিত', 'পুণর্গঠিত', 'পণ্ডিতবর্গ', 'পণ্ডিতই', 'পণ্ডিতরা', 'সুপণ্ডিত']
['মন্ত্রীগণ', 'গণতন্ত্রী', 'মন্ত্রীগণের', 'গণতন্ত্রে', 'মন্ত্রগুলো', 'স্ত্রীগণ', 'আমন্ত্রণে', 'মন্ত্রমুগ্ধ', 'গঙ্গোত্রী', 'গণপূর্তমন্ত্রী']
['আমিনী', 'আমিনো', 'আনিমে', 'আমিন', 'আমিমুল', 'আমিনুল', 'আজমি', 'আমিই', 'আজমুন', 'আমুন']
['মনুস্মৃতি', 'মুতুম্বামি', 'পুনঃমুক্তি', 'মনোবৃত্তি', 'মৃত্যুজনিত', 'অনুকৃতি', 'স্মৃতিময়', 'জীবনস্মৃতি', 'মরুভুমিতে', 'মুলতুবি']
['সে', 'বেসে', 'সেবে', 'সেজে', 'সড়ে', 'সেনে', 'জেসে', 'মেসে', 'হেসে', 'পেসে']
['জিতেননি', 'তিন্নি', 'বিনুনি', 'তিনদিনে', 'তিনজনে', 'চিন্তামনি', 'ডিজনিতে', 'নিম্নগতি', 'অনিবন্ধিত', 'নিবন্ধিত']
['শিক্ষকবৃন্দ', 'শিক্ষকমন্ডলী', 'শিক্ষকবৃন্দের', 'নিম্নকক্ষে', 'শিক্ষকমন্ডলীঃ', 'শিক্ষকমণ্ডলী', 'নিম্নকক্ষের', 'আনুবীক্ষণিক', 'নিম্নকক্ষ', 'আণুবীক্ষনিক']
['মাঝিড়া', 'বোঝাননি', 'মাড়াননি', 'বাজিমাৎ', 'বেনজামিন', 'গুমনামি', 'মেজবানি', 'বাড়াননি', 'চিনাম্মা', 'জামিনে']
['ছাত্রবৃন্দ', 'ছাত্রবৃত্তি', 'পুনরাবৃত্ত', 'ছাত্রবৃত্তির', 'ছাড়পত্রের', 'মাত্রাবৃত্ত', 'ছাত্রত্ব', 'পর্যাবৃত্ত', 'বৃত্তান্ত', 'পরাবৃত্তের']
['বন্ধনী', 'ধোনী', 'বন্ধী', 'ধ্বনী', 'মধুবনী', 'বন্ধকী', 'বন্ধনীতে', 'অধীনে', 'পীড়নে', 'বন্ধনে']
['ভাবেই', 'ভাইবে', 'ভাবেঃ', 'ভাইনে', 'অভাবেই', 'বেভান', 'ওভাবেই', 'ভাবেন', 'এভাবেই', 'এভাবেঃ']
['শিক্ষকবৃন্দ', 'শিক্ষকমন্ডলী', 'শিক্ষকবৃন্দের', 'নিম্নকক্ষে', 'শিক্ষকমন্ডলীঃ', 'শিক্ষকমণ্ডলী', 'নিম্নকক্ষের', 'আনুবীক্ষণিক', 'নিম্নকক্ষ', 'আণুবীক্ষনিক']
['গুবরে', 'গুমরে', 'গুজবে', 'গুরু', 'গৃহবধু', 'গ্রুব', 'জগবন্ধু', 'ভৃগুর', 'বুজর্গ', 'নগরজুড়ে']
['ফেলেছে', 'ছেলেমেয়ে', 'ছেলেবন্ধু', 'মেলেছে', 'ঢেলেছে', 'চেলেছে', 'ছেলেমেয়েই', 'খেলেছে', 'ফেলেছেন', 'ডেম্বেলে']
['ঘেমেনেয়ে', 'ছেলেমেয়ে', 'মেয়েকে', 'নেচেগেয়ে', 'খেয়েদেয়ে', 'পেয়েছে', 'বেড়িয়েছে', 'মেয়েরে', 'বুয়েটে', 'ধুয়েমুছে']
['ভাবেই', 'ভাইবে', 'ভাবেঃ', 'ভাইনে', 'অভাবেই', 'বেভান', 'ওভাবেই', 'ভাবেন', 'এভাবেই', 'এভাবেঃ']
['পাখিসেবা', 'নিমপোখ', 'বখাটেপনা', 'পুনাখা', 'পশুপাখি', 'তোপখানা', 'বাজপাখি', 'পানখালী', 'খুনখারাপি', 'বক্ষপাখনা']
['সদস্যবৃন্দ', 'সদস্যবৃন্দের', 'সেনাসদস্য', 'সামসুদ্দীন', 'হৃদস্পন্দন', 'স্বতঃসিদ্ধ', 'দুঃস্বপ্ন', 'স্বাস্থ্যসনদ', 'দাসমুন্সী', 'সম্যকসম্বুদ্ধ']
['সুবাসিচ', 'চিরসবুজ', 'সচিবকে', 'সচিবের', 'উপসচিবের', 'রেলসচিব', 'আইনসচিব', 'ধর্মসচিব', 'দ্বিবচন', 'সুবিচার']
['শিক্ষকবৃন্দ', 'শিক্ষকমন্ডলী', 'শিক্ষকবৃন্দের', 'নিম্নকক্ষে', 'শিক্ষকমন্ডলীঃ', 'শিক্ষকমণ্ডলী', 'নিম্নকক্ষের', 'আনুবীক্ষণিক', 'নিম্নকক্ষ', 'আণুবীক্ষনিক']
['সুধেন্দু', 'সুগন্ধী', 'তুলোধুনো', 'ধীরেসুস্থে', 'ভুতুড়ে', 'স্বীকৃতী', 'গোধুলী', 'চীনজুড়ে', 'ধুয়েমুছে', 'বুদ্ধজীবী']
['সম্পাদকমন্ডলীর', 'সম্পাদকমণ্ডলী', 'সম্পাদকমণ্ডলীর', 'সম্পাদনাকে', 'কর্মসম্পাদন', 'মর্যাদাসম্পন্ন', 'কন্দস্বামী', 'পদমর্যাদাসম্পন্ন', 'গোবিন্দপাড়া', 'সুবিধাসম্পন্ন']
['তাণ্ডবনৃত্য', 'স্থপতিবৃন্দ', 'স্বর্ণমণ্ডিত', 'পাণ্ডিত্য', 'ছিন্নমুণ্ডা', 'পণ্ডিত্যপূর্ণ', 'পাণ্ডিত্যে', 'পাণ্ডুলিপিতে', 'পঞ্চমুণ্ডির', 'পণ্ডিতবর্গ']
['মন্ত্রীত্বের', 'মন্ত্রীত্ব', 'নের্তৃত্বে', 'সেতুমন্ত্রী', 'নৌমন্ত্রী', 'বিদ্যুৎমন্ত্রী', 'মুখ্যমুন্ত্রী', 'মন্ত্রীকে', 'সম্পর্কোন্নয়নে', 'সেতুমন্ত্রীকে']
['আদমি', 'আমি', 'আমনে', 'আজমি', 'আমিন', 'আমিনী', 'আগমনী', 'আমিই', 'আমিনো', 'আমদো']
['মনুস্মৃতি', 'তৃণমুল', 'দুঃস্মৃতি', 'মনোবৃত্তি', 'ইন্দুমতি', 'মধুমতী', 'তুম্বা', 'ইন্দুমতী', 'মুতুম্বামি', 'মৃদুমন্দ']
['সে', 'সেবে', 'সড়ে', 'বেসে', 'সেনে', 'সেজে', 'জেসে', 'মেসে', 'হেসে', 'গেসে']
['তিনদিনে', 'তিন্নি', 'জিতেননি', 'দমননীতি', 'তিনজনে', 'পদন্নতি', 'বিনুনি', 'জননীতি', 'বিনতি', 'বিপন্নতা']
['শিক্ষকবৃন্দ', 'শিক্ষকবৃন্দের', 'দর্শকবৃন্দ', 'সর্বনিকৃষ্ট', 'কর্মিবৃন্দ', 'দক্ষিনপূর্ব', 'সৈনিকবৃন্দ', 'রক্তবিন্দু', 'নিম্নকক্ষের', 'লক্ষদ্বীপ']
['মাঝিড়া', 'বোঝাননি', 'মাড়াননি', 'মাঝখানে', 'মান্মাদ', 'জমানায়', 'মানদৃভা', 'মেজবানি', 'বেনামি', 'জামদানী']
['ছাত্রবৃন্দ', 'ছাত্রবৃত্তি', 'ছাড়পত্রের', 'ছাত্রত্ব', 'মাত্রাবৃত্ত', 'পরাবৃত্তের', 'পর্যাবৃত্ত', 'পুনরাবৃত্ত', 'ভ্রাতৃত্ব', 'মাতৃত্বের']
['ধোনী', 'বন্ধী', 'বন্ধনী', 'ধ্বনী', 'ধনী', 'বেনী', 'অধীনে', 'ধন্দে', 'ফেনী', 'বন্ধনে']
['ভাবেই', 'ভাবেঃ', 'ভাইবে', 'ভাবে', 'ভাইনে', 'বেভান', 'ভানে', 'ওভাবেই', 'ভাবেন', 'বড়ভাই']
['শিক্ষকবৃন্দ', 'শিক্ষকবৃন্দের', 'দর্শকবৃন্দ', 'সর্বনিকৃষ্ট', 'কর্মিবৃন্দ', 'দক্ষিনপূর্ব', 'সৈনিকবৃন্দ', 'রক্তবিন্দু', 'নিম্নকক্ষের', 'লক্ষদ্বীপ']
['গুবরে', 'গোরু', 'গুরু', 'গুমরে', 'গ্রুব', 'গর্বে', 'রুগী', 'গোবরে', 'ভৃগুর', 'গুরো']
['ফেলেছে', 'ছেলেবন্ধু', 'মেলেছে', 'ছেলেমেয়ে', 'দুলেছে', 'ঢেলেছে', 'চেলেছে', 'খেলেছে', 'দেম্বেলে', 'ছেলেরে']
['ঘেমেনেয়ে', 'খেয়েদেয়ে', 'নেচেগেয়ে', 'ছেলেমেয়ে', 'মেয়েরে', 'মেয়ে', 'মেয়েকে', 'পেয়েছে', 'দেয়ে', 'ধেয়ে']
['ভাবেই', 'ভাবেঃ', 'ভাইবে', 'ভাবে', 'ভাইনে', 'বেভান', 'ভানে', 'ওভাবেই', 'ভাবেন', 'বড়ভাই']
['পুনাখা', 'তোপখানা', 'বখাটেপনা', 'পানখালী', 'বরুনপাখার', 'পাখিসেবা', 'খুনখারাপি', 'খানপুর', 'বাজপাখি', 'পায়খানা']
['সদস্যবৃন্দ', 'সদস্যবৃন্দের', 'বনদস্যু', 'সদস্যদের', 'সদস্যপদে', 'সেনাসদস্য', 'হৃদস্পন্দন', 'সামসুদ্দীন', 'সদস্যদেশ', 'গ্যাসসমৃদ্ধ']
['সচিবদের', 'সচিবের', 'সুবচন', 'চিরসবুজ', 'সচিবও', 'সচিব', 'দ্বিবচন', 'সচদেব', 'রেলসচিব', 'সুবাসিচ']
['দর্শকবৃন্দ', 'সমুদ্রবন্দর', 'নদীবন্দরের', 'সমুদ্রবন্দরে', 'নদীবন্দরে', 'বরেন্দ্রর', 'রবীন্দ্রসদন', 'প্রদর্শকদের', 'সমুদ্রবন্দরকে', 'বঙ্গদর্শনে']
['সুধেন্দু', 'সুগন্ধী', 'সুধীন্দ্র', 'সুদৃঢ়', 'বুদ্ধজীবী', 'ধীরেসুস্থে', 'চৌধুরী', 'গোধুলী', 'সুগন্ধে', 'দ্বীপজুড়ে']
['সম্পাদকমন্ডলীর', 'পদমর্যাদাসম্পন্ন', 'সম্পাদকদের', 'কর্মসম্পাদন', 'সম্পাদনাকে', 'মর্যাদাসম্পন্ন', 'সম্পাদকমণ্ডলী', 'মানবসম্পদের', 'সম্প্রদায়সহ', 'সম্পাদকমণ্ডলীর']
['তাণ্ডবনৃত্য', 'স্থপতিবৃন্দ', 'স্বর্ণমণ্ডিত', 'পিতৃপ্রদত্ত', 'দণ্ডপ্রাপ্ত', 'পণ্ডিতবর্গ', 'স্বতঃপ্রণোদিত', 'পণ্ডিত্যপূর্ণ', 'পাণ্ডিত্য', 'মন্দবৃত্ত']
['মন্ত্রীত্বের', 'মন্ত্রীত্ব', 'নের্তৃত্বে', 'যুদ্ধমন্ত্রী', 'রবীন্দ্রজয়ন্তী', 'নৌমন্ত্রী', 'সেতুমন্ত্রী', 'বিদ্যুৎমন্ত্রী', 'দুর্বৃত্তের', 'নেতৃবৃন্দের']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আমি', 'আজমি', 'আমিষ', 'আমলি', 'আমিই', 'আমিত', 'আমিও', 'আমিন', 'আমির', 'আমিনী']
['মধুমতী', 'তৃণমুল', 'তুমুল', 'তুমি', 'ফুলমতী', 'ভুমিতে', 'ঋতুমতী', 'মুত্তমং', 'মধুমতি', 'মুলতুবি']
['সে', 'সড়ে', 'সেজে', 'সয়ে', 'জেসে', 'মেসে', 'হেসে', 'ঘেসে', 'সেচে', 'লেসে']
['তিনি', 'তুলিনি', 'তিঁনি', 'মিনতি', 'নিতি', 'তিনি৷', 'তিন্নি', 'সুনিতি', 'জিতেননি', 'বিনতি']
['শিক্ষকমণ্ডলী', 'শিক্ষকমণ্ডলীর', 'শিক্ষকমন্ডলী', 'স্কুলশিক্ষক', 'শ্রেণিশিক্ষক', 'স্কুলশিক্ষা', 'স্কুলশিক্ষকের', 'প্রশিক্ষণকে', 'প্রশিক্ষণমূলক', 'শ্রেণিশিক্ষককে']
['মাঝি', 'মাঝিড়া', 'নিজামী', 'মাঝির', 'রামোজি', 'মুলজাম', 'মাজি', 'মোজাম', 'রুমালি', 'মোজিলা']
['ছাত্রী', 'ছাত্রত্ব', 'ছাত্রের', 'কলেজছাত্রী', 'ছাত্রছাত্রী', 'ছাড়পত্রের', 'ছাত্রীর', 'কলেজছাত্রের', 'ছাত্রে', 'ছাত্রীও']
['ধোনী', 'ধনী', 'বন্ধী', 'রোধী', 'ধনু', 'ধ্বনী', 'লোধী', 'ফেনী', 'রুনী', 'যোনী']
['ভাই', 'ভালে', 'লাভে', 'ভারে', 'ভাইল', 'ভাইরে', 'ভাবেই', 'ভাবে', 'লেভা', 'লাইভে']
['শিক্ষকমণ্ডলী', 'শিক্ষকমণ্ডলীর', 'শিক্ষকমন্ডলী', 'স্কুলশিক্ষক', 'শ্রেণিশিক্ষক', 'স্কুলশিক্ষা', 'স্কুলশিক্ষকের', 'প্রশিক্ষণকে', 'প্রশিক্ষণমূলক', 'শ্রেণিশিক্ষককে']
['গুরু', 'রুগী', 'গরু', 'গোরু', 'গুরো', 'মুরগী', 'রোগী', 'গ্রু', 'গোরী', 'গুমরে']
['ফেলেছে', 'মেলেছে', 'তুলেছে', 'ঢেলেছে', 'তুলেছে৷', 'চেলেছে', 'ভুলেছে', 'খেলেছে', 'ছেলেমেয়ে', 'লড়েছে']
['মেয়ে', 'ছেলেমেয়ে', 'ঘেমেনেয়ে', 'মেয়েরে', 'নেচেগেয়ে', 'ধেয়ে', 'মেয়েকে', 'মেয়ো', 'ছেয়ে', 'গেয়ে']
['ভাই', 'ভালে', 'লাভে', 'ভারে', 'ভাইল', 'ভাইরে', 'ভাবেই', 'ভাবে', 'লেভা', 'লাইভে']
['পাখিগুলি', 'পাখি', 'খাপলু', 'পশুপাখি', 'খেলাপি', 'বুখারি', 'কৈখালি', 'পুনাখা', 'পানখালী', 'মাখজুমি']
['সদস্যগুলো', 'সদস্য৷', 'সদস্যবৃন্দ', 'সদস্যগুলোর', 'জলদস্যু', 'সদস্যে', 'সদস্যগুলি', 'বনদস্যু', 'সদস্যভুক্ত', 'পর্যদুস্ত']
['সচিব', 'সচিবও', 'রেলসচিব', 'সচিবের', 'চিরসবুজ', 'লিচুসহ', 'লুবিচ', 'সুচির', 'সুবচন', 'সমুচিত']
['প্রদর্শণীর', 'দর্শকপূর্ণ', 'প্রদর্শকের', 'প্রদর্শণের', 'রক্ষণশীলদের', 'ক্রুশবিদ্ধ', 'দর্শকশূন্য', 'দর্শকেরও', 'প্রদর্শক', 'দর্শকবৃন্দ']
['শিক্ষকমণ্ডলী', 'শিক্ষকমণ্ডলীর', 'শিক্ষকমন্ডলী', 'স্কুলশিক্ষক', 'শ্রেণিশিক্ষক', 'স্কুলশিক্ষা', 'স্কুলশিক্ষকের', 'প্রশিক্ষণকে', 'প্রশিক্ষণমূলক', 'শ্রেণিশিক্ষককে']
['সুধী', 'গোধুলী', 'ভুতুড়ে', 'সুগন্ধী', 'চোধুরী', 'সুধু', 'চৌধুরী', 'শ্রেণীগুলো', 'মুণ্ডু', 'জুড়ীতে']
['স্বর্ণমণ্ডিত', 'পাণ্ডিত্য', 'পণ্ডিত্যপূর্ণ', 'মুণ্ডিত', 'পণ্ডিতগণের', 'সুপণ্ডিত', 'ত্রিখণ্ডিত', 'পণ্ডিতের', 'পাণ্ডিত্যে', 'কুণ্ডলিত']
['পূর্ণমন্ত্রী', 'মন্ত্রীত্বের', 'সেতুমন্ত্রী', 'মন্ত্রীত্ব', 'পূর্তমন্ত্রী', 'মন্ত্রমুগ্ধের', 'মুখ্যমুন্ত্রী', 'সেতুমন্ত্রীকে', 'সেতুমন্ত্রীর', 'নৌমন্ত্রী']
['আমরি', 'আরমি', 'আমি', 'আমির', 'আমর', 'আমগর', 'আজমি', 'আসমি', 'আরবি', 'আমিষ']
['মুলতুবি', 'তৈমুরি', 'গুরুমিত', 'কুরতুবি', 'বসুমতী', 'মুরব্বি', 'বনমুরগী', 'তুমি', 'তিমুরে', 'বিমুর্ত']
['সে', 'বসে', 'সবে', 'বে', 'সরে', 'বেসে', 'সেবে', 'রে', 'সহে', 'সেব']
['বিনতি', 'মিনতি', 'তিনি', 'তিনবার', 'তিঁনি', 'বিতরন', 'পরিনতি', 'বিনতা', 'তিগিন', 'তিনবিঘা']
['শিক্ষাবর্ষ', 'সর্বশিক্ষা', 'প্রশিক্ষক', 'শিক্ষাক্রম', 'ধর্মশিক্ষক', 'শিক্ষকেরা', 'প্রশিক্ষকরা', 'শিক্ষকরা', 'অক্ষরক্রমিক', 'সার্বক্ষনিক']
['মাঝারি', 'মাঝি', 'মাঝির', 'মাঝিরা', 'রামজি', 'মাজারি', 'বামার', 'মারমা', 'বামরা', 'মালাবি']
