['আপনারা', 'তোমরা', 'আপনি', 'তুমি', 'তোমরা', 'তোমাদের', 'তুই', 'তোমারা', 'আমরা', 'আপোন']
['সুধী', 'সুধীরা', 'সুধীজনদের', 'সুধীর', 'সুধীজনের', 'সুধীরকে', 'সুভদ্র', 'সুভাষের', 'সুধীজন', 'সুহৃদ']
['সম্পাদকদের', 'সম্পাদকরা', 'সম্পাদকগণ', 'সম্পাদকেরা', 'সম্পাদক', 'সম্পাদকের', 'সম্পাদকে', 'সম্পাদককে', 'সম্পাদকীয়', 'সম্পাদকও']
['পণ্ডিতদের', 'পণ্ডিতগণের', 'পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতগণ', 'পণ্ডিতের', 'পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতবর্গ', 'পণ্ডিতকে']
['মন্ত্রীদের', 'মন্ত্রীগণ', 'মন্ত্রীদেরকে', 'মন্ত্রীগণের', 'মন্ত্রীরা', 'মন্ত্রীর', 'মন্ত্রী', 'মন্ত্রীপরিষদের', 'মন্ত্রীকে', 'মন্ত্রীই']
['আমি', 'মই', 'إِنِّي', 'আমিতো', 'আমিই', 'আমিবা', 'আমারে', 'আমিত', 'আমায়', 'অামি']
['আপনারা', 'আপনি', 'তোমরা', 'তোমরা', 'তুমি', 'তোমাদের', 'তুই', 'তোমাদেরকে', 'তোমাদের', 'আপনাদেরকে']
['সে', 'তিনি', 'তি\u200cনি', 'ő', 'তিনিই', 'উনি', 'তার', '\u200b\u200bতার', 'ওঁর', 'إِنَّهُ']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'উনি', 'ő', 'তাঁর', 'وَإِنَّهُ', 'উনিই', 'ওঁর']
['শিক্ষকদের', 'শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের', 'শিক্ষিকারা', 'শিক্ষকনেতারা']
['মাঝিরা', 'মাঝিদের', 'মাঝির', 'মাঝি', 'মাঝিকে', 'মাজীদের', 'মেয়ারস', 'মেষপালকদের', 'মেয়ররা', 'মাস্টারদের']
['ছাত্ররা', 'ছাত্রদের', 'শিক্ষার্থীরা', 'ছাত্রগণ', 'ছাত্রেরা', 'শিক্ষার্থীদের', 'ছাত্রবৃন্দ', 'ছাত্রছাত্রীদের', 'ছাত্রছাত্রীরা', 'শিক্ষার্থীগণ']
['ধনীরা', 'ধনী', 'ধনীদের', 'ধনীর', 'বিত্তবানদের', 'ধনবান', 'সমৃদ্ধশালী', 'ধনশালী', 'ধনকুবেরদের', 'সম্পদশালী']
['ভাইরা', 'ভাইদের', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদেরকে', 'ভাইয়েদের', 'ভাইয়ের', 'ভাইবোনদের', 'ভাইবোনেদের', 'ভাইবোনরা']
['শিক্ষকদের', 'শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের', 'শিক্ষিকারা', 'শিক্ষকনেতারা']
['গরুদের', 'গরুগুলো', 'গরুগুলোকে', 'গরু', 'গরুর', 'গরুগুলোর', 'গরুও', 'গরুকে', 'গরুই', 'ঘোড়াগুলি']
['ছেলেদের', 'ছেলেরাই', 'ছেলেরা', 'ছেলেদেরকে', 'ছেলেগুলোকে', 'ছেলেগুলো', 'ছেলেমেয়েদের', 'বালকদের', 'ছেলেগুলোর', 'ছেলেমেয়েদের']
['ভাইরা', 'ভাইদের', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদেরকে', 'ভাইয়েদের', 'ভাইয়ের', 'ভাইবোনদের', 'ভাইবোনেদের', 'ভাইবোনরা']
['পাখিগুলি', 'পাখিদের', 'পাখিরাই', 'পাখিরা', 'পাখিগুলো', 'পাখিগুলোকে', 'পাখিদেরকে', 'পাখির', 'পাখিগুলোর', 'পাখি']
['সদস্যা', 'সদস্যেদের', 'সদস্যদরা', 'সদস্যদের', 'সদস্যারা', 'সদস্যগুলি', 'সদস্যবৃন্দের', 'সদস্যগন', 'সদস্যগণের', 'সদস্যেরা']
['সচিবদের', 'সচিবগণ', 'সচিবেরা', 'সচিব', 'সচিবের', 'সচিবকে', 'সচিবও', 'সচিবালয়ের', 'সচিবালয়ের', 'সচিবালয়কে']
['দর্শকগণ', 'দর্শকরা', 'দর্শকেরা', 'দর্শকবৃন্দ', 'দর্শকগন', 'দর্শকদের', 'দর্শকখরা', 'দর্শকেরাই', 'দর্শকেরাও', 'দর্শক']
['শিক্ষকদের', 'শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের', 'শিক্ষিকারা', 'শিক্ষকনেতারা']
['সুধী', 'সুধীরা', 'সুধীর', 'সুধীজনদের', 'সুধীজনের', 'সুহৃদ', 'সুষ্পষ্ট', 'সুভদ্র', 'সুভাষের', 'সুধার']
['সম্পাদকদের', 'সম্পাদকরা', 'সম্পাদকগণ', 'সম্পাদকেরা', 'সম্পাদক', 'সম্পাদকের', 'সম্পাদকে', 'সম্পাদকও', 'সম্পাদকীয়', 'সম্পাদকীয়']
['পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতগণের', 'পণ্ডিতদের', 'পণ্ডিতগণ', 'পণ্ডিতবর্গ', 'পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতের', 'পণ্ডিতবিহারের']
['মন্ত্রীদের', 'মন্ত্রীরা', 'মন্ত্রীগণ', 'মন্ত্রীগণের', 'মন্ত্রীদেরকে', 'মন্ত্রীপরিষদের', 'মন্ত্রীর', 'মন্ত্রী', 'মন্ত্রিপরিষদের', 'মন্ত্রীই']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আমি', 'মই', 'إِنِّي', 'আমিতো', 'আমিই', 'আমিবা', 'আমারে', 'আমিত', 'অামি', 'আমার']
['আপনারা', 'তোমরা', 'তোমরা', 'আপনি', 'তুমি', 'তুই', 'তোমরাই', 'তোমাদের', 'আপনারাই', 'তোমারা']
['সে', 'তিনি', 'তি\u200cনি', 'তিনিই', 'ő', 'সেঃ', 'উনি', 'সেগুলি', 'إِنَّهُ', 'তিনি৷']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'ő', 'উনি', 'তাঁরা', 'তিনি৷', 'এঁরা', 'সেগুলির']
['শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের']
['মাঝিরা', 'মাঝিদের', 'মাঝি', 'মাঝির', 'মাঝিকে', 'মেয়ররা', 'মেয়ারস', 'কর্ণধারেরা', 'মেয়ার্স', 'মেরিনার্স']
['ছাত্রগণ', 'ছাত্রেরা', 'শিক্ষার্থীগণ', 'ছাত্রবৃন্দ', 'ছাত্ররা', 'শিক্ষার্থীবৃন্দ', 'শিক্ষার্থীরা', 'ছাত্রছাত্রীরা', 'শিষ্যরা', 'স্টুডেন্টস']
['ধনীরা', 'ধনীদের', 'ধনী', 'ধনকুবেররা', 'ধনীর', 'বিত্তবানদের', 'ধনকুবেরদের', 'ধনবান', 'ধনশালী', 'সমৃদ্ধশালী']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাইয়েদের', 'ভাইদেরকে', 'ভাইকিঙেরা', 'ভাই', 'ভাইবোনেরা']
['শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের']
['গরুগুলো', 'গরুদের', 'গরুগুলোকে', 'গরু', 'গরুগুলোর', 'ছাগলগুলো', 'ঘোড়াগুলি', 'ঘোড়াগুলো', 'গরুর', 'গরুও']
['ছেলেগুলো', 'ছেলেরা', 'ছেলেরাই', 'ছেলেমেয়েরা', 'ছেলেমেয়েরা', 'পুত্ররা', 'ছেলেগুলোর', 'বালকেরা', 'পুত্রেরা', 'ছেলেমেয়েরাই']
['মেয়েরা', 'মেয়েরাই', 'মেয়েরা', 'মেয়েগুলো', 'মেয়েদের', 'বালিকারা', 'কন্যারা', 'মেয়েদের', 'মেয়ে', 'বালিকাদের']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাইয়েদের', 'ভাইদেরকে', 'ভাইকিঙেরা', 'ভাই', 'ভাইবোনেরা']
['পাখিগুলি', 'পাখিগুলো', 'পাখিরা', 'পাখিরাই', 'পাখিদের', 'পাখিগুলোকে', 'পাখিগুলোর', 'পাখি', 'পাখিদেরকে', 'পাখির']
['সচিবগণ', 'সচিবেরা', 'সচিবদের', 'সচিব', 'সচিবের', 'সচিবালয়ের', 'সচিবালয়', 'সচিবও', 'সচিবালয়', 'সচিবকে']
['দর্শকরা', 'দর্শকগণ', 'দর্শকেরা', 'দর্শকবৃন্দ', 'দর্শকগন', 'দর্শকদের', 'দর্শকখরা', 'ভিক্ষুগণ', 'দর্শকেরাই', 'দর্শকেরাও']
['শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের']
['সুধী', 'সুধীরা', 'সুধীর', 'সুধীজনদের', 'সুধীজন', 'সুহৃদ', 'সুধার', 'সুধু', 'সুধীজনের', 'সুভদ্র']
['সম্পাদকগণ', 'সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকদের', 'সম্পাদক', 'এডিটর্স', 'সম্পাদকঃ', 'সম্পাদকের', 'এডিটরস', 'সম্পাদকে']
['পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতগণ', 'পণ্ডিতদের', 'পণ্ডিতগণের', 'পণ্ডিতবর্গ', 'পণ্ডিত', 'জ্ঞানীরা', 'পণ্ডিতই', 'পন্ডিতগণ']
['মন্ত্রীগণ', 'মন্ত্রীরা', 'মন্ত্রীদের', 'মন্ত্রীগণের', 'মন্ত্রীদেরকে', 'মন্ত্রীপরিষদের', 'মন্ত্রী', 'মন্ত্রীরাও', 'মন্ত্রিপরিষদের', 'মন্ত্রীর']
['আমি', 'মই', 'إِنِّي', 'আমিতো', 'আমিই', 'আমিবা', 'অামি', 'আমারে', 'আমিত', 'আমায়']
['আপনারা', 'তোমরা', 'তুমি', 'তোমরা', 'আপনি', 'তুই', 'তোমরাই', 'তোমারা', 'আপনারাই', 'তোমাদের']
['সে', 'তিনি', 'তি\u200cনি', 'ő', 'তিনিই', 'উনি', 'সেঃ', 'إِنَّهُ', 'সেসকল', 'উনিই']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'ő', 'উনি', 'উনিই', 'তাঁরা', 'এঁরা', 'ওঁরা']
['শিক্ষকগণ', 'শিক্ষকবৃন্দ', 'শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের']
['মাঝিরা', 'মাঝিদের', 'মাঝি', 'মাঝির', 'মাঝিকে', 'মেয়ারস', 'মেয়ররা', 'যাজকরা', 'প্রজাগণ', 'যাজকেরা']
['ছাত্রগণ', 'ছাত্রেরা', 'ছাত্রবৃন্দ', 'ছাত্ররা', 'শিক্ষার্থীগণ', 'শিক্ষার্থীবৃন্দ', 'ছাত্রছাত্রীরা', 'শিক্ষার্থীরা', 'শিষ্যরা', 'শিষ্যেরা']
['ধনীরা', 'ধনী', 'ধনীদের', 'ধনীর', 'বিত্তবানদের', 'ধনকুবেররা', 'ধনবান', 'ধনশালী', 'সমৃদ্ধশালী', 'ধনকুবেরদের']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাইকিঙেরা', 'ভাইয়েদের', 'ভাই', 'ভাইদেরকে', 'ভাইবোনেরা']
['শিক্ষকগণ', 'শিক্ষকবৃন্দ', 'শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের']
['গরুগুলো', 'গরুদের', 'গরু', 'গরুগুলোকে', 'গরুগুলোর', 'গরুর', 'গরুই', 'ছাগলগুলো', 'গরুও', 'গাভী']
['ছেলেরা', 'ছেলেরাই', 'ছেলেগুলো', 'ছেলেমেয়েরা', 'ছেলেমেয়েরা', 'পুত্ররা', 'ছেলেমেয়েই', 'ছেলেমেয়েরাই', 'পুত্রেরা', 'ছেলেমেয়ে']
['মেয়েরা', 'মেয়েরাই', 'মেয়েরা', 'মেয়েগুলো', 'মেয়েদের', 'কন্যারা', 'বালিকারা', 'মেয়ে', 'মেয়েদের', 'মেয়ে']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাইকিঙেরা', 'ভাইয়েদের', 'ভাই', 'ভাইদেরকে', 'ভাইবোনেরা']
['পাখিগুলি', 'পাখিরা', 'পাখিরাই', 'পাখিগুলো', 'পাখিদের', 'পাখি', 'পাখির', 'পাখিগুলোকে', 'পাখিদেরকে', 'পাখিগুলোর']
['সদস্যারা', 'সদস্যগুলি', 'সদস্যা', 'সদস্যদরা', 'সদস্যগণ', 'সদস্যবৃন্দ', 'সদস্যগন', 'সদস্যেরা', 'সদস্যরা', 'সদস্যগুলো']
['দর্শকগণ', 'দর্শকেরা', 'দর্শকবৃন্দ', 'দর্শকরা', 'দর্শকগন', 'দর্শকখরা', 'দর্শকদের', 'দর্শকেরাই', 'ভিক্ষুগণ', 'দর্শক']
['শিক্ষকগণ', 'শিক্ষকবৃন্দ', 'শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের']
['সুধী', 'সুধীরা', 'সুধীর', 'সুধীজন', 'সুধীজনদের', 'সুধীজনের', 'সুহৃদ', 'সুষ্পষ্ট', 'সুভদ্র', 'সুধার']
['সম্পাদকরা', 'সম্পাদকগণ', 'সম্পাদকেরা', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদকের', 'এডিটর্স', 'এডিটরস', 'সম্পাদকীয়', 'সম্পাদকও']
['পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতগণ', 'পণ্ডিতবর্গ', 'পণ্ডিতদের', 'পণ্ডিতগণের', 'পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতের', 'পন্ডিতগণ']
['মন্ত্রীগণ', 'মন্ত্রীরা', 'মন্ত্রীদের', 'মন্ত্রীগণের', 'মন্ত্রীদেরকে', 'মন্ত্রীপরিষদের', 'মন্ত্রী', 'মন্ত্রীর', 'মন্ত্রীরাও', 'মন্ত্রিপরিষদের']
['আমি', 'إِنِّي', 'মই', 'আমিতো', 'আমিই', 'আমিবা', 'অামি', 'আমারে', 'আমিত', 'আমার']
['তুমি', 'আপনারা', 'আপনি', 'তোমরা', 'তোমরা', 'তুই', 'তোমরাই', 'তোমারা', 'আপনারাই', 'اِنَّكَ']
['সে', 'তিনি', 'তি\u200cনি', 'ő', 'তিনিই', 'উনি', 'সেঃ', 'উনিই', 'إِنَّهُ', 'সেও']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'ő', 'উনি', 'উনিই', 'তিনি৷', 'তাঁর', 'وَإِنَّهُ']
['শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকনেতারা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষক', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের']
['মাঝি', 'মাঝিরা', 'মাঝির', 'মাঝিদের', 'মাঝিকে', 'মেথর', 'মেয়ারস', 'মেহকার', 'মেয়ার', 'মেরাজ']
['ছাত্রগণ', 'ছাত্রবৃন্দ', 'ছাত্রেরা', 'ছাত্ররা', 'শিক্ষার্থীবৃন্দ', 'শিক্ষার্থীগণ', 'ছাত্রছাত্রীরা', 'শিক্ষার্থীরা', 'ছাত্র', 'ছাত্রদের']
['ধনী', 'ধনীরা', 'ধনীর', 'ধনবান', 'ধনশালী', 'ধনীদের', 'সমৃদ্ধশালী', 'ধনীক', 'ধনাঢ্য', 'সম্পদশালী']
['ভাইয়েরা', 'ভাইরা', 'ভাইয়েরা', 'ভাই', 'ভাইও', 'ভাইয়ের', 'ভাইদের', 'ভাইয়ে', 'ভাইয়ে', 'ভাইবোনরা']
['শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকনেতারা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষক', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের']
['গরু', 'গরুদের', 'গরুগুলো', 'গরুর', 'গরুই', 'গরুও', 'গরুগুলোকে', 'গাভী', 'গরুড়', 'গরুকে']
['ছেলে', 'ছে\u200cলে', 'ছেলেরা', 'ছেলেরাই', 'ছেলেমেয়ে', 'ছেলেমেয়ে', 'ছেলেমেয়েরা', 'ছেলের', 'ছেলেমেয়েই', 'ছেলেমেয়েরা']
['মেয়েরা', 'মেয়ে', 'মেয়েরাই', 'মেয়ে', 'মেয়েরা', 'মেয়েদের', 'মেয়েরে', 'কন্যারা', 'মেয়েই', 'মেয়েগুলো']
['ভাইয়েরা', 'ভাইরা', 'ভাইয়েরা', 'ভাই', 'ভাইও', 'ভাইয়ের', 'ভাইদের', 'ভাইয়ে', 'ভাইয়ে', 'ভাইবোনরা']
['পাখিগুলি', 'পাখিরাই', 'পাখিরা', 'পাখি', 'পাখিগুলো', 'পাখির', 'পাখিদের', 'পাখিমারা', 'পাখিগুলোকে', 'পাখিদেরকে']
['সদস্যদরা', 'সদস্যা', 'সদস্যারা', 'সদস্যগন', 'সদস্যগুলি', 'সদস্যবৃন্দ', 'সদস্য', 'সদস\u200d্য', 'সদস্যগণ', 'সদস্যেরা']
['সচিবগণ', 'সচিবেরা', 'সচিব', 'সচিবদের', 'সচিবের', 'সচিবও', 'সচিবকে', 'সচিবালয়ের', 'সচিবালয়', 'সেক্রেটারি']
['শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকনেতারা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষক', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের']
['সুধী', 'সুধীরা', 'সুধীর', 'সুধীজন', 'সুহৃদ', 'সুধু', 'সুষ্পষ্ট', 'সুধার', 'সুধীজনের', 'সুশীতল']
['সম্পাদকরা', 'সম্পাদকগণ', 'সম্পাদকেরা', 'সম্পাদক', 'সম্পাদকদের', 'সম্পাদকের', 'সম্পাদকও', 'সম্পাদকীয়', 'সম্পাদকঃ', 'সম্পাদকীয়']
['পণ্ডিত', 'পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতবর্গ', 'পণ্ডিতই', 'পণ্ডিতগণ', 'পণ্ডিতের', 'পণ্ডিতগণের', 'পণ্ডিতদের', 'মুণ্ডিত']
['মন্ত্রীগণ', 'মন্ত্রীরা', 'মন্ত্রী', 'মন্ত্রীদের', 'মন্ত্রীগণের', 'মন্ত্রীর', 'মন্ত্রীপরিষদের', 'মন্ত্রীই', 'মন্ত্রীদেরকে', 'মন্ত্রীও']
['আমি', 'إِنِّي', 'মই', 'আমিতো', 'আমিই', 'আমিবা', 'আমিত', 'অামি', 'আই', 'আমারে']
['আপনারা', 'আপনি', 'তুমি', 'তোমরা', 'তোমরা', 'তুই', 'তোমরাই', 'আপনারাই', 'তোমাদের', 'তোমারা']
['সে', 'তিনি', 'তি\u200cনি', 'ő', 'তিনিই', 'উনি', 'সেঃ', 'সেগুলি', 'উনিই', 'إِنَّهُ']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'উনি', 'ő', 'তাঁরা', 'এঁরা', 'উনিই', 'ওঁরা']
['শিক্ষকবৃন্দ', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের']
['মাঝিরা', 'মাঝি', 'মাঝিদের', 'মাঝির', 'মাঝিকে', 'মেয়ররা', 'কর্ণধারেরা', 'প্রধানেরা', 'মেয়ারস', 'প্রজাগণ']
['ছাত্রবৃন্দ', 'ছাত্রগণ', 'ছাত্রেরা', 'শিক্ষার্থীবৃন্দ', 'শিক্ষার্থীগণ', 'ছাত্ররা', 'ছাত্রছাত্রীরা', 'শিক্ষার্থীরা', 'স্টুডেন্টস', 'ছাত্রদের']
['ধনীরা', 'ধনী', 'ধনীদের', 'ধনীর', 'ধনবান', 'সমৃদ্ধশালী', 'ধনশালী', 'ধনকুবেররা', 'বিত্তবানদের', 'ধনীক']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাইকিঙেরা', 'ভাইয়েদের', 'ভাই', 'ভাইয়ের', 'ভাইদেরকে']
['শিক্ষকবৃন্দ', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরাই', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের']
['গরুদের', 'গরুগুলো', 'গরু', 'গরুগুলোকে', 'গরুর', 'গরুগুলোর', 'গরুই', 'গরুও', 'ছাগলগুলো', 'গাভী']
['ছেলেরা', 'ছেলেরাই', 'ছেলেগুলো', 'ছেলেমেয়েরা', 'ছেলেমেয়েরা', 'পুত্ররা', 'ছেলে', 'ছে\u200cলে', 'ছেলেমেয়েরাই', 'ছেলেমেয়েই']
['মেয়েরা', 'মেয়েরাই', 'মেয়েরা', 'মেয়েদের', 'মেয়েগুলো', 'কন্যারা', 'বালিকারা', 'মেয়ে', 'মেয়েদের', 'মেয়ে']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাইকিঙেরা', 'ভাইয়েদের', 'ভাই', 'ভাইয়ের', 'ভাইদেরকে']
['পাখিগুলি', 'পাখিরাই', 'পাখিরা', 'পাখিগুলো', 'পাখিদের', 'পাখি', 'পাখির', 'পাখিগুলোকে', 'পাখিদেরকে', 'পাখিগুলোর']
['সদস্যদরা', 'সদস্যারা', 'সদস্যা', 'সদস্যবৃন্দ', 'সদস্যগুলি', 'সদস্যগন', 'সদস্যগণ', 'সদস্যেরা', 'সদস্যগুলো', 'সদস্যদের']
['সচিবগণ', 'সচিবেরা', 'সচিবদের', 'সচিব', 'সচিবের', 'সচিবও', 'সচিবকে', 'সচিবালয়ের', 'সচিবালয়', 'সচিবালয়']
['দর্শকবৃন্দ', 'দর্শকগণ', 'দর্শকেরা', 'দর্শকরা', 'দর্শকগন', 'দর্শকখরা', 'দর্শকদের', 'ভিক্ষুগণ', 'দর্শকেরাই', 'দর্শক']
['সুধী', 'সুধীরা', 'সুধীর', 'সুধীজন', 'সুহৃদ', 'সুধীজনের', 'সুধার', 'সুষ্পষ্ট', 'সুভদ্র', 'সুধু']
['সম্পাদকগণ', 'সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদকের', 'এডিটর্স', 'সম্পাদকও', 'সম্পাদকঃ', 'সম্পাদকীয়']
['পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতগণ', 'পণ্ডিতবর্গ', 'পণ্ডিতদের', 'পণ্ডিতগণের', 'পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতের', 'জ্ঞানীরা']
['মন্ত্রীগণ', 'মন্ত্রীরা', 'মন্ত্রীগণের', 'মন্ত্রীদের', 'মন্ত্রী', 'মন্ত্রীপরিষদের', 'মন্ত্রীদেরকে', 'মন্ত্রীর', 'মন্ত্রীই', 'মন্ত্রীরাও']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আমি', 'আমিতো', 'মই', 'إِنِّي', 'আমিই', 'আমিবা', 'আমারে', 'অামি', 'আমিমুল', 'আমায়']
['তুমি', 'তোমরা', 'তোমারা', 'তোমরা', 'আপনি', 'আপনারা', 'তুই', 'তোমরাই', 'اِنَّكَ', 'তোমাদের']
