['তুলা', 'তুলার', 'তুলাই', 'তুলাতুলি', 'তুলায়', 'তুলাধোনা', 'তুলাবরম', 'খুলা', 'কুলা', 'তুলাতুলী']
['অগ্নি', 'আগুন', 'অগ্নির', 'আগুনটা', 'আগুনের', 'আগুনই', 'অগ্নিগড়', 'অগ্নিকে', 'অগ্নিকান্ড', 'অগ্নিকুন্ড']
['সুতা', 'সুত', 'সুতি', 'সুতো', 'সুট', 'সুতাকে', 'সুতির', 'সুতোর', 'সুলা', 'সুতোয়']
['চন্দ্র', 'চন্দ্রের', 'চন্দ্রকে', 'চন্দ্রচূড়', 'চন্দ্রও', 'চন্দ্রচূড়', 'চাঁদের', 'চাঁদ', 'চন্দ্রে', 'চন্দ্রভাগা']
['জুতা', 'জুতার', 'জুতো', 'জুতাপেটা', 'জুতাই', 'জুতাও', 'জুতায়', 'জুতাকে', 'জুতোর', 'জুতাটি']
['তুলা', 'তুলার', 'তুলাই', 'তুলাবরম', 'তুলায়', 'তুলাধোনা', 'তুলাতুলি', 'খুলা', 'তাঁতপল্লি', 'তুলাতলি']
['পূজা', 'পূজার', 'পূজার্চনা', 'পূজার্চনার', 'পূজাই', 'পূজাকে', 'পূজাও', 'পূজানুষ্ঠান', 'পূজাটি', 'পূজায়']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতি', 'জ্যোতির', 'জ্যোতির্লিঙ্গ', 'জ্যোতিশ্চক্র', 'জ্যৈষ্ঠের', 'জ্যোতির্লিঙ্গের', 'জ্যোতিষের', 'জ্যোতিরাও']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতকে', 'পুরোহিতরা', 'পুরোহিতেরা', 'ধর্মপিতা', 'পুরোহিতদের', 'পুরোহিতগণের', 'সন্ন্যাসীর', 'সন্ন্যাসী']
['শুষ্ক', 'শুকনো', 'শুকিয়ে', 'শুকিয়ে', 'শুকানো', 'শুকর', 'শুকনা', 'শুকরান', 'শুকলা', 'শুকানোর']
['বন্য', 'বন্যপ্রাণ', 'বন্যজীব', 'বন্যপ্রাণের', 'বন্যপ্রাণীর', 'বন্যপ্রাণী', 'বন্যপ্ৰাণী', 'বন্যজীবনের', 'বন্যজীবন', 'বন্যপ্রাণীদের']
['হস্ত', 'হস্তের', 'হাত', 'হস্তী', 'হাতলটি', 'হাতটা', 'হস্তে', 'হাতজোড়', 'হাতখরচ', 'হাতপাখা']
['নাসিকা', 'নাসিকের', 'নাসিক', 'নাইসিয়া', 'নাশিক', 'নক্শা', 'নক্\u200cশা', 'নকিয়া', 'নকসা', 'নকিয়া']
['ঘৃত', 'বেষ্টিত', 'ঘেরা', 'আড়ত', 'মোড়া', 'মোড়ানো', 'আবরিত', 'বাক্\u200cরুদ্ধ', 'মোড়ানো', 'বাঁধত']
['ব্যাঘ্র', 'ব্যাপী', 'দৈর্ঘের', 'দৈর্ঘ', 'ব্যাসার্ধ', 'অর্ঘ', 'দৈৰ্ঘ্য', 'ব্যাপি', 'প্রস্থ', 'প্রস্থের']
['শৃগাল', 'খড়গ', 'কাঁপল', 'খরখগ', 'শৃঙ্গ', 'শেরগড়', 'খড়গ', 'কাঙাল', 'গড়াল', 'খড়কী']
['হস্তী', 'হস্তের', 'হস্ত', 'হাতখরচ', 'হস্তীর', 'হাতুড়', 'হাতপাখা', 'হাতলটি', 'হাতুরি', 'হাতার']
['পক্ষী', 'পক্ষীর', 'পাখীর', 'পক্ষল', 'বেড়াল', 'পাখী', 'পক্ষিবিশেষ', 'পাঁপড়', 'পাখি', 'পালক']
['মৎস্য', 'মৎস্যের', 'মাছ', 'মাছের', 'মৎস্যজাত', 'মাছগুলি', 'মাছই', 'মাছদের', 'মৎস্যখামার', 'মাছেদের']
['আগুন', 'অগ্নি', 'আগুনটা', 'আগুনের', 'অগ্নির', 'অগ্নিগড়', 'আগুনই', 'ফায়ার', 'অগ্নিকুন্ড', 'আগুনকে']
['বুড়া', 'বুড়া', 'বুড়োর', 'বুড়ো', 'বুড়ো', 'বুড়ি', 'বৃদ্ধ', 'বুড়োর', 'বৃদ্ধের', 'বুড়ো']
['চন্দ্র', 'চন্দ্রের', 'চন্দ্রকে', 'চন্দ্রও', 'চন্দ্রচূড়', 'চন্দ্রচূড়', 'চাঁদ', 'চন্দ্রে', 'চাঁদের', 'চাঁদর']
['জুতা', 'জুতো', 'জুতার', 'জুতাই', 'জুতাপেটা', 'জুতাও', 'জুতোর', 'জুতায়', 'জুতাকে', 'জুতাটি']
['তুলা', 'তুলাই', 'তুলার', 'তুলাতুলি', 'তুলাবরম', 'খুলা', 'তুলাধোনা', 'কুলা', 'তুলাতলি', 'তুলায়']
['পূজা', 'পূজাই', 'পূজার্চনা', 'পূজার', 'পূজাও', 'পূজাকে', 'পূজার্চনার', 'উপাসনা', 'পূজো', 'পূজানুষ্ঠান']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতি', 'জ্যোতির', 'জ্যোতির্লিঙ্গ', 'জ্যৈষ্ঠ', 'জ্যোতিষ্ক', 'জ্যোতিপ্রিয়', 'জ্যোতিকা', 'জ্যৈষ্ঠের']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতকে', 'ধর্মপিতা', 'পুরোহিতরা', 'পুরোহিতেরা', 'পুরোহিতদের', 'পুরোহিতগণের', 'সন্ন্যাসী', 'মুহাদ্দিস']
['শুষ্ক', 'শুকনো', 'শুকিয়ে', 'শুকিয়ে', 'শুকনা', 'শুকলা', 'শুকর', 'শুকানো', 'শুক্ল', 'শুকরান']
['বন্য', 'বন্যপ্রাণ', 'বন্যজীব', 'বন্যপ্রাণের', 'বন্যপ্রাণী', 'বন্যপ্ৰাণী', 'বন্যপ্রাণীর', 'বন্যজীবন', 'বন্যজীবনের', 'বনজীবী']
['হস্ত', 'হস্তী', 'হাত', 'হস্তের', 'হাতলটি', 'হাতুড়', 'হাতা', 'হাতটা', 'হাতজোড়', 'হাতপাখা']
['নাসিকা', 'নকসা', 'নক্শা', 'নক্\u200cশা', 'নাজকা', 'নাইসিয়া', 'নালিকা', 'নকিয়া', 'নাসিক', 'নাকা']
['ঘৃত', 'মোড়া', 'আড়ত', 'বেষ্টিত', 'ঘেরা', 'প্রতিষ্টিত', 'আবরিত', 'মোড়ানো', 'মোড়ানো', 'বৃত']
['ব্যাঘ্র', 'ব্যাসার্ধ', 'ব্যাস্ত', 'ব্যাপী', 'অর্ঘ', 'দৈৰ্ঘ্য', 'দৈর্ঘ', 'প্রস্থর', 'প্রস্থ', 'দৈর্ঘের']
['শৃগাল', 'খড়গ', 'মৃগালা', 'খড়গ', 'শৃঙ্গ', 'গোছল', 'গড়াল', 'কৃষাঙ্গ', 'কাঁপল', 'মীড়']
['হস্তী', 'হস্তীর', 'হস্ত', 'হাতুড়', 'হস্তের', 'হাতখরচ', 'হাতলটি', 'হস্তলিপি', 'হাতুরি', 'হাতা']
['পক্ষী', 'পক্ষীর', 'পক্ষল', 'পক্ষিবিশেষ', 'পাখী', 'পাখীর', 'পাখি', 'পালক', 'বেড়াল', 'কচ্ছপরা']
['মৎস্য', 'মৎস্যের', 'মাছ', 'মৎস্যজাত', 'মাছই', 'মাছেরা', 'মাছুদ', 'মাছের', 'মৎস্যসম্পদ', 'মৎস্যপুরাণ']
['অগ্নি', 'আগুন', 'অগ্নিগড়', 'অগ্নির', 'অগ্নিশিখা', 'আগুনটা', 'অগ্নিকুন্ড', 'অগ্নিকান্ড', 'আগুনই', 'আগুনের']
['বুড়া', 'বুড়া', 'বুড়ো', 'বুড়ি', 'বুড়োর', 'বুড়ো', 'বুড়ো', 'বুড়ি', 'বৃদ্ধ', 'বুঢ়া']
['সুতা', 'সুত', 'সুতি', 'সুতো', 'সুট', 'সুতির', 'সুতাকে', 'সুতোর', 'সুতপা', 'সুতোয়']
