['ব্র্গ্যাদ', 'গারুদা', 'বাগদাদ', 'বাগদা', 'ব্রিগ', 'গ্রিড', 'ব্রাগা', 'গড়াইয়া', 'গ্রিডের', 'গজরাজ']
['', '', '', '', '', '', '', '', '', '']
['ফ্রেসনো', 'ফ্রাননি', 'ফ্লিনের', 'ফ্লিন', 'ফ্লুরিন', 'ফ্রান', 'ফ্লানেল', 'এলাইন', 'ফ্রিন', 'ফ্রেন্স']
['ইলুমিনাতি', 'এলিমিনেট', 'ক্লেমেন্ত', 'ইমপ্লান্ট', 'এলুমিনা', 'এলিমিনেটরে', 'ইমপ্ল্যান্টের', 'ইউমেলানিন', 'ক্লেয়ারমন্ট', 'এলমান']
['ইলিনয়', 'ইলিনয়', 'মেলিনা', 'মেসা', 'এলাইন', 'ইলিনা', 'ইলিনয়েস', 'ইলিনয়ে', 'এলিন', 'ইলিয়ানা']
['আটলান্টা', 'ইলিনয়', 'অাটলান্টা', 'আলথানি', 'ইলিনয়', 'আটলান্টিস', 'আটলান্টায়', 'আটলান্টার', 'ইলান', 'ইলিনা']
['এলুমিনা', 'ইলমী', 'উলেমা', 'ইলিনয়', 'আমেনা', 'ওমানের', 'অনিমা', 'অ্যালুমিনা', 'অমিয়', 'অমলা']
['মিনামি', 'এমিনি', 'ইলমী', 'ইলমি', 'আমীন', 'মিয়ামি', 'ইমলি', 'ইলুমিনাতি', 'আমীনের', 'এমিনেম']
['', '', '', '', '', '', '', '', '', '']
['ওয়েল্যান্ড', 'ইলন', 'অলিন্দ', 'ইলিনয়ে', 'ইলিনয়', 'ইলিনয়', 'এলেইন', 'ইলিনয়ের', 'ওলঁদ', 'ইলান']
['ক্লিভল্যান্ড', 'ক্লীভল্যান্ড', 'ক্লিভল্যান্ডের', 'ইলিনয়ের', 'ইলিনয়', 'ক্লেভল্যান্ড', 'ইলিনয়', 'ইলিনয়েজ', 'ইলিনয়েস', 'ইলিনয়ে']
['মিনিয়াপলিস', 'ইলিনয়েস', 'ইলিনয়িস', 'ইলিনয়েজ', 'ইলিনয়', 'ইলিনয়', 'মিনেলির', 'মিনেলি', 'ইলিনয়ের', 'মিনিয়াপোলিস']
['', '', '', '', '', '', '', '', '', '']
['আরলিংটন', 'ইলিংটন', 'এলিনর', 'আর্লিন', 'এলাইন', 'এলিন', 'ইলিনয়ের', 'এলেইন', 'এলিনের', 'ইলিনয়ের']
['', '', '', '', '', '', '', '', '', '']
['ইম্পালা', 'টমলিন', 'টাম্পা', 'টলেমী', 'তেনালি', 'ইলিনা', 'তানিম', 'টিনা', 'তহমিনা', 'ইলিনয়']
['', '', '', '', '', '', '', '', '', '']
['ইলেনহল', 'হনলুলু', 'হনুলুলু', 'হনলুলুর', 'ইলেনহলের', 'ইলিনয়', 'ইলিনয়ে', 'ইলিনয়ের', 'ইলিনয়েস', 'ইলন']
['পিটারসেন', 'ইলিনয়েজ', 'প্লিনির', 'এলিসনের', 'পিটারসেনের', 'এলফিনস্টন', 'বালিস্তান', 'ইলিনয়েস', 'ইলিনয়িস', 'প্লাইনির']
['এলিসনের', 'লিন্সটেনটেইন', 'লিনেনের', 'লেনিনের', 'লেননের', 'এলিসন', 'ইলিংটন', 'এলাইন', 'লেনিন', 'ইসলিংটন']
['এল্টন', 'ইস্টন', 'ইসলিংটন', 'ইটনের', 'ইটন', 'ইলিংটন', 'এলটন', 'ইলিন', 'এলটনের', 'এইটিন']
['ইলিনয়', 'ইলিনয়', 'ইলিনয়েস', 'ইলিনয়িস', 'ইলিনয়েজ', 'ইলিনয়ে', 'ইলিনয়ের', 'সিনসিনাটি', 'ইলিনা', 'ইলিনয়ের']
['', '', '', '', '', '', '', '', '', '']
['ফিলাদেলফিয়া', 'ফিলাডেলফিয়া', 'ফিলাডেলফিয়া', 'ফেলিক্স', 'টেলেক্স', 'ফিলাডেলফিয়ায়', 'ফিলাডেলফিয়ার', 'টেলিফাস', 'ফেলিক্সের', 'ফেলিক্সকে']
['ফিনিক্স', 'টেলেক্স', 'টেক্সাস', 'টেক্স', 'ফিনিক্সের', 'ফিকাস', 'টেকস', 'ফেলিক্স', 'ফেডেক্স', 'টেক্সী']
['টেক্সাস', 'টেলেক্স', 'টেক্সাকো', 'টেক্স', 'টেক্সি', 'জ্যাকেল', 'টেক্সী', 'জ্যাকসনভিল', 'টেক্সান', 'ট্যাকলের']
['ইন্ডিয়ানাপোলিস', 'ইন্ডিয়ানাপলিস', 'টেক্সাস', 'नेपाल', 'টেলেক্স', 'নেপালি', 'তানজিলা', 'নেপাল', 'টপলেস', 'নেকলেস']
['ডেট্রয়েট', 'টেক্সাস', 'টেলেক্স', 'ডেট্রয়েট', 'টেকস', 'ডেট্রয়েটের', 'ডেকটি', 'টেকার', 'টেট্রা', 'ট্রায়াক']
['মেমফিস', 'মেম্ফিস', 'মেকপিস', 'টেমসের', 'মেমফিসের', 'মেকস', 'টেক্সাস', 'টেলেক্স', 'টেকস', 'টেম্পেরা']
['টেক্সাস', 'টেক্সান', 'টেক্স', 'টেক্সি', 'টেক্স্\u200cট', 'টেক্সাকো', 'টেক্সী', 'টেকস', 'টেক্সাসের', 'টেক্সাসে']
['টেলেক্স', 'তাকজিল', 'সিয়াটেল', 'টাকিলা', 'টেইল', 'ট্যাকল', 'টেইলস', 'ট্যাকলের', 'তাজেল', 'তকলিস']
['ডেনভার', 'টেকনাফের', 'টেকনাফ', 'টেকনাফে', 'ডেভার', 'ডেনভারের', 'ডেভর', 'টেকার', 'টেকওভার', 'ড্যানভার্স']
['টলেমাইক', 'টেলেক্স', 'টলেমিক', 'ট্যালক', 'বাল্টিমোর', 'টেলিটক', 'টেলোমিয়ার', 'টলেমির', 'টেমাসেক', 'টেম্পলেট']
['নেকলেস', 'নেক্সাস', 'নিকোলাস', 'টেলেক্স', 'নেকলেসের', 'ন্যাশভিল', 'নিকলাস', 'নেভেল', 'ট্যাকল', 'নেসলের']
['টেলেক্স', 'টেক্সাস', 'লেক্সাস', 'টেক্স', 'তকলিস', 'টেকস', 'টেলস্', 'টেলস্\u200c', 'টেক্সি', 'টপলেস']
['মালেকী', 'মালেকা', 'মালাক্কা', 'মালকি', 'মালেককে', 'মালাইকা', 'মালেক', 'মালেকের', 'মিলওয়াকি', 'টাকিলা']
['টেলেক্স', 'টেকপাড়া', 'পোতালা', 'টেক্সাস', 'ট্যালক', 'পারটেক্স', 'পোর্টল্যান্ড', 'ট্যাকল', 'প্রটোকল', 'পোল্যান্ড']
['', '', '', '', '', '', '', '', '', '']
['ফ্রেস্কো', 'থ্রাক্স', 'ফ্রেসকো', 'ফ্লেক্স', 'টেক্সাস', 'ফ্রাঙ্কা', 'ট্রেস্কো', 'ফ্রাঙ্কোস', 'ফ্রেন্স', 'ফ্রেস']
['স্যাক্রামেন্টো', 'স্যাক্রাম', 'স্পেক্ট্রাম', 'টেক্সাকো', 'স্পেকট্রাম', 'টেক্সকোকো', 'টেকক্রাঞ্চ', 'স্যাঙ্কটাম', 'স্পেকট্রামের', 'টেক্সাস']
['ট্যাকা', 'টেকস', 'টেক্সাস', 'মেসা', 'টেলেক্স', 'টেক্স', 'মেকস', 'তামাশা', 'টেসা', 'টকস']
['তানাকা', 'ট্যাকলটা', 'ট্যাকা', 'আটলান্টা', 'টেলেক্স', 'তকলিস', 'ট্যাকলে', 'টেক্সাস', 'তানাক', 'আটালান্টা']
['টাকোমা', 'এমেকা', 'ট্যাকা', 'তোকমা', 'তাগমা', 'তোয়্যামা', 'ওমেগা', 'থমা', 'উমাকে', 'তামারা']
['ট্যামি', 'টমি', 'মায়ামি', 'মিয়ামি', 'ম্যাক্সিমা', 'মায়ামি', 'মায়াময়', 'টেমসের', 'মামি', 'ম্যাক্সি']
['', '', '', '', '', '', '', '', '', '']
['টেলেক্স', 'ট্যালক', 'ট্যাকলে', 'ট্যাকল', 'তকলিস', 'ওকল্যান্ড', 'টেক্সাস', 'ওকল্যাণ্ড', 'অকল্যান্ড', 'ট্যাকলের']
['টেলেক্স', 'তকলিস', 'ট্যালক', 'টাকিলা', 'ক্লেভল্যান্ড', 'ক্লেকে', 'টিএলসি', 'টপলেস', 'ট্যাকলে', 'টলেমাইক']
['মিনিয়াপলিস', 'মিনিয়াপোলিস', 'টপলেস', 'টেলেক্স', 'টিপিক্যাল', 'মেকপিস', 'মিনিক্লিপ', 'টেক্সাস', 'নিকলাস', 'মিনিসিরিজ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['টাম্পা', 'টেপা', 'টপ্পা', 'ট্যাকা', 'টেকপাড়া', 'টেম্পেরা', 'টপরাক', 'টেপ', 'টেপের', 'টাকোমা']
['', '', '', '', '', '', '', '', '', '']
['টেলকো', 'টেলেক্স', 'টেগালুয়া', 'টোকেলাউ', 'ট্যাকল', 'টেংকু', 'ট্যাকলে', 'টেংরাটিলা', 'তানজিলা', 'টাংগাইল']
['টেক্সাস', 'পিটারসবারগ', 'টেকপাড়া', 'পিটসবার্গ', 'টেলেক্স', 'টেকপাড়ার', 'টেকস', 'টেক্স', 'টেক্সি', 'পিটসবার্গের']
['টেক্সাস', 'টেলেক্স', 'টেক্স', 'টেক্সান', 'টেক্সাকো', 'টেক্সি', 'টেক্স্\u200cট', 'টেকস', 'টেক্সী', 'টেক্সাসের']
['টেক্স্\u200cট', 'টেক্সাস', 'টেক্স', 'টেক্সাকো', 'টেকস', 'স্টেকের', 'টেক্সান', 'স্টাকো', 'স্টোক্\u200cস', 'টেক্সি']
['টেক্সাস', 'সেনেকা', 'তানজিকা', 'সিনট্যাক্স', 'সিনিকা', 'সিকনেস', 'সিনসিনাটি', 'সিনট্যাক্সের', 'টেনিসি', 'টেক্সান']
['', '', '', '', '', '', '', '', '', '']
['টলেডো', 'টেলেক্স', 'টেলকো', 'টেকো', 'টেকস', 'ট্যালক', 'টেলস্', 'টেলস্\u200c', 'টেক্সাস', 'টোকিও']
['পেনসি', 'ফিনিক্স', 'ফিনিক্সের', 'পেনসন', 'পেন্সন', 'পেনিস', 'নিক্সনের', 'পারকিনসন্স', 'কেনশিন', 'কেনশিনের']
['ডালাস', 'ডালাসের', 'পালসের', 'পাল্স', 'পাল্\u200cস', 'পেনস', 'সেনসাস', 'পারসন্স', 'সানস', 'পারসনস']
['জ্যাকসনভিল', 'জ্যাকসনভিলের', 'জ্যাকসনভিলে', 'জ্যানসেন', 'সানশাইন', 'জ্যাকসন', 'জ্যাকবসন', 'জনসন', 'জ্যাকসনের', 'বাসনকোসন']
['ইন্ডিয়ানাপোলিস', 'ইন্ডিয়ানাপলিস', 'পেনিনসুলা', 'পেনসিলভানিয়া', 'পেনিনসুলায়', 'পেনসিলভানিয়ার', 'পেনসিলভানিয়ার', 'পেনিনসুলাতে', 'পেনসিলভেনিয়ার', 'পেনসিলভানিয়ায়']
['অস্টেনের', 'অস্টিন', 'অস্টেন', 'অস্টিনের', 'আস্টিন', 'অস্টিনকে', 'অ্যানিস্টন', 'অস্টিনে', 'এনসাইন', 'অসেন']
['ডেনটেট', 'ডেট্রয়েট', 'ডেনেটের', 'ডিসেন্ট্রি', 'ডেনেট', 'ডেট্রয়েটের', 'ডেস্ট্রয়ার', 'ডিসেন্ট', 'ডেণ্টাল', 'ডেনসিটি']
['মুসেভেনি', 'মম্\u200cসেন', 'মেনশেভিক', 'মেনসিয়াস', 'মেনোপজ', 'মেনজিস', 'মেনসিয়াসের', 'মমসেন', 'ম্যাসিভ', 'মেনস']
['বোস্টন', 'বোস্টনের', 'বসনিয়ান', 'বুনসেন', 'বাসনকোসন', 'বোস্টনে', 'বোসনের', 'বসনিয়ান', 'বস্টনের', 'বোসন']
['সিয়াটেল', 'সেন্টিনেল', 'সেন্টাল', 'সিয়াটল', 'সানিভেল', 'সিয়াটল', 'সেন্ত্রাল', 'সায়ানেট', 'সেলেস্টিয়াল', 'সানসিলা']
['ডেনভার', 'ডেনভারের', 'ডেনভারে', 'ডেনভি', 'ডেভনের', 'ডেভিনসন', 'ডেভন', 'ড্যানভার্স', 'সানবার্ন', 'ডেভনে']
['বাল্টিমোর', 'পালমারস্টোন', 'বাল্টিমোরের', 'বানরসেনার', 'পোভেনমার', 'বাল্টিমোরে', 'পালমোনারী', 'পালমোনারি', 'বাংসামোরো', 'বোল্টজম্যান']
['ন্যাশভিল', 'ন্যাশভিলে', 'ন্যাশানাল', 'এনএসওয়ান', 'নাসিওনাল', 'ন্যাশিওনাল', 'ন্যাশন', 'ন্যাশন্স', 'নেভিল', 'নেসলের']
['লুইসভিল', 'ভিসুয়াল', 'লুইসিয়ানার', 'পেনসিলভানিয়ার', 'পেনসিলভানিয়ার', 'পেনসিলভানিয়া', 'লউসন', 'লুইসিয়ানা', 'পেনসিলভানিয়া', 'মুসেভেনি']
['মিলওয়াকি', 'মিয়ানওয়ালী', 'মানচিনি', 'মিয়ানওয়ালি', 'মিনকভস্কি', 'মালঞ্চি', 'মঞ্জকি', 'ম্যানিয়াক', 'মেনশেভিক', 'ম্যানিক']
['পোর্টল্যান্ড', 'পোর্টল্যান্ডের', 'পেন্টাথলন', 'পেন্টাথলনের', 'পোর্টন', 'পোর্টল্যান্ডে', 'পার্কিনসন', 'পেনসন', 'পেন্টেনের', 'পার্কিনসনের']
['', '', '', '', '', '', '', '', '', '']
['পেন্সন', 'প্রসুন', 'পেনসন', 'ফ্রেসনো', 'প্রসেন', 'পারসোনা', 'ভেসিনো', 'পার্সোনা', 'প্রসেনকে', 'প্রিসন']
['স্যাক্রামেন্টো', 'স্যাক্রামেন্টোতে', 'সাক্রামেন্টো', 'স্যাঙ্কটাম', 'স্যাক্রামেন্ট', 'সানস্ক্রিন', 'স্নোম্যান', 'স্যাম্পসন', 'সানম্যান', 'স্যান্ডস্টোন']
['মেসা', 'মেনসা', 'মনসা', 'মানসা', 'ম্যাসন', 'মনিশ', 'মনসাকে', 'মানিসা', 'মেসিনা', 'মেইসন']
['আটলান্টা', 'অ্যান্টেনা', 'এ্যান্টেনা', 'আটলান্টায়', 'এন্টিনা', 'আটালান্টা', 'এন্টেনা', 'আতালান্টা', 'আটলান্টিস', 'অাটলান্টা']
['ওমাহা', 'ওমানের', 'ওমানে', 'ওমান', 'ওমানকে', 'আমেনা', 'ওমানি', 'ওনানা', 'ওসামা', 'ওসমানিয়া']
['মিনামি', 'মিয়ামি', 'মানচিনি', 'মিয়ামানি', 'ম্ন্যাম', 'ম্যানিয়া', 'মুনিমের', 'ম্যানি', 'মমিনা', 'নিজামিয়া']
['', '', '', '', '', '', '', '', '', '']
['ওকল্যান্ড', 'ওকল্যাণ্ড', 'ওকল্যান্ডের', 'অকল্যান্ড', 'ওকল্যাণ্ডে', 'ওয়েংচেন', 'ওয়েনলক', 'ওয়ার্কিংটন', 'অকল্যান্ডে', 'ওকসানার']
['ক্লিভল্যান্ড', 'ক্লীভল্যান্ড', 'কুইন্সল্যান্ড', 'কেলভিন', 'ক্লিভল্যান্ডের', 'ক্লেভল্যান্ড', 'কেলভিনের', 'ক্যালভিনের', 'পেনসিলভানিয়া', 'কুইন্সল্যান্ডের']
['মিনিয়াপলিস', 'মিনিয়াপোলিস', 'পেনিনসুলা', 'পেনসিলভানিয়ার', 'পেনিনসুলায়', 'পেনসিলভানিয়ার', 'পেনসিলভানিয়া', 'পেনসিলভানিয়া', 'পেনিনসুলার', 'পেনিনসুলাতে']
['', '', '', '', '', '', '', '', '', '']
['আর্লিংটন', 'আর্লিংটনের', 'আর্লিংটনে', 'অ্যাক্রিংটন', 'আরলিংটন', 'বেনিংটন', 'অ্যানিস্টন', 'ওয়ারিংটন', 'ব্যারিংটন', 'বার্লিংটন']
['', '', '', '', '', '', '', '', '', '']
['টাম্পা', 'টুম্পা', 'টম্পসন', 'টিসাংপা', 'টপ্পা', 'পানামা', 'টেপেন', 'তামান্না', 'তাম্বন', 'পেম্বা']
['', '', '', '', '', '', '', '', '', '']
['হনলুলু', 'হনুলুলু', 'হনলুলুর', 'হনলুলুতে', 'চুন্নু', 'সাহনেওয়াল', 'মনসুরুল', 'কুনলুন', 'মন্নুজান', 'মুনসুরুল']
['লেক্সিংটন', 'কেন্সিংটন', 'বেঙ্কেনস্টেইন', 'কেনসিংটন', 'কিংসটন', 'শিনকানসেন', 'বেকেনস্টাইন', 'বেঙ্কেনস্টেইনের', 'কিংস্টন', 'লিভিংস্টোন']
['স্টকটন', 'স্টিভেনসন', 'স্টিভেন্সন', 'স্টিভেনসনের', 'স্যাক্সটন', 'স্কটন', 'স্ট্যানটন', 'স্টোনের', 'স্ট্যান্টন', 'স্টোনকে']
['সিনসিনাটি', 'সিনসিন্নাটি', 'সিনসিনাটির', 'সিনসিনাটিতে', 'সিনেনসিস', 'সানজানা', 'সানশাইন', 'শিনকানসেন', 'সানস্ক্রিন', 'সসনিয়ন']
['', '', '', '', '', '', '', '', '', '']
['টেনো', 'টলানো', 'টেনসেন্ট', 'টেন্ডন', 'টেনিসন', 'টেন', 'টেন্ডনের', 'টলেডো', 'টিনসেড', 'টরেন্টো']
['', '', '', '', '', '', '', '', '', '']
['ডালাস', 'ডালাসের', 'ডালিয়া', 'ডালিয়া', 'ডালাসে', 'অ্যালোসরাস', 'অ্যারিওলা', 'ডালা', 'আসালা', 'অ্যারিজোনা']
['অ্যারিজোনা', 'আরসালান', 'জ্যাকসনভিল', 'জ্যাকসনভিলে', 'অ্যারিজোনার', 'জ্যাকসনভিলের', 'আরসালানের', 'অ্যারোসল', 'অ্যারিজোনায়', 'আর্সলান']
['ইন্ডিয়ানাপোলিস', 'অ্যারিজোনা', 'অ্যারিওলা', 'আরিজাবালাগা', 'ইন্ডিয়ানাপলিস', 'অ্যারিজোনার', 'ওদ্রিওজোলা', 'অ্যারিজোনায়', 'অ্যাড্রিয়ানা', 'আরিজোনা']
['অ্যারিজোনা', 'অস্টেনের', 'অস্টিন', 'অস্টেন', 'আর্টিসান', 'আস্টিন', 'অগাস্টিন', 'অ্যাসিটোন', 'অস্টিনের', 'আর্টিজান']
['ডেট্রয়েট', 'ডেট্রয়েটের', 'অ্যাটরেয়া', 'ডিট্রয়েট', 'ডেট্রয়েটে', 'ডেস্ট্রয়ার', 'ডেট্রয়েট', 'আদ্রিয়ানো', 'ডেরায়', 'অ্যাড্রিয়ানা']
['অ্যামিবোজোয়া', 'অ্যারাবিয়া', 'অ্যারাবিয়া', 'অ্যামব্রোস', 'আমাসিয়া', 'অ্যামব্রোসের', 'আমব্রোসের', 'আমব্রোস', 'অ্যারিজোনা', 'মরমিয়া']
['বোস্টন', 'বোস্টনের', 'অ্যাস্টন', 'বোস্টনে', 'অ্যারিজোনা', 'রোস্টন', 'এজবাস্টন', 'অ্যারোনসন', 'এজবাস্টনের', 'অ্যারোনসনের']
['অ্যারিওলা', 'সিয়াটেল', 'অ্যারিওলার', 'সিয়াটল', 'সিয়াটল', 'সিয়াটলের', 'সাথালিয়া', 'সাওতাল', 'আহিরীটোলা', 'সিয়াটলের']
['ডেবরা', 'ডেনভার', 'ডেবোরাহ', 'ডেভার', 'ডার্বান', 'অরুভান', 'অ্যারাবিয়ান', 'ডেনভারের', 'ডেভর', 'ডেনভারে']
['অ্যালবার্তো', 'অ্যালবার্টা', 'বাল্টিমোরে', 'আলবার্টো', 'অ্যালাবামার', 'বাল্টিমোর', 'আরবোরেটুম', 'আলবার্তো', 'অ্যাল্থামের', 'অথেরোমা']
['অ্যারাইভাল', 'অ্যাশওয়েল', 'অ্যারোসল', 'ন্যাশভিল', 'নারোওয়াল', 'অ্যারিওলা', 'ন্যাশভিলে', 'ন্যাসিওলান', 'আরশোলা', 'অ্যারিজোনা']
['অউজিয়ালো', 'অরুয়াইল', 'অ্যারাইভাল', 'লুইসভিল', 'অ্যালভিওলার', 'অ্যারিওলা', 'অরুয়াইল', 'এলসভিয়ার', 'উরসুলা', 'আরিজাবালাগা']
['অ্যারিওলা', 'অ্যারাবিয়া', 'মারিয়াও', 'ম্যালোরি', 'অ্যারাবিয়া', 'মারভিয়া', 'মাওয়ালি', 'মালাউই', 'মারোয়াড়ী', 'আমড়াগাছিয়া']
['পোর্টল্যান্ড', 'আর্থারটন', 'পোর্টল্যান্ডের', 'ঔডারল্যান্ড', 'অরল্যান্ডোতে', 'অরল্যান্ডো', 'পোর্টল্যান্ডে', 'অরলান্ডো', 'অ্যারিজোনা', 'অ্যাস্টোরিয়া']
['অ্যারিজোনা', 'আদ্রিয়ানো', 'আরিজোনা', 'অ্যারিজোনার', 'অ্যারিজোনায়', 'আরিজোনার', 'অরসন', 'আদ্রিয়ানোর', 'অর্জুনা', 'আরাওনা']
['স্যাক্রামেন্টো', 'সারামাগো', 'স্যাক্রামেন্টোতে', 'সাক্রামেন্টো', 'স্কারবোরো', 'অ্যারিজোনা', 'আদ্রিয়ানো', 'অ্যাস্ট্রো', 'স্ট্র্যাবো', 'আলমাগ্রো']
['আটলান্টা', 'আতালান্টা', 'আটালান্টা', 'আটলান্টায়', 'অ্যাটরেয়া', 'অাটলান্টা', 'আটলান্টায়', 'অ্যারিজোনা', 'অ্যালবার্টা', 'অ্যারিয়ানা']
['আমরোহা', 'ওমাহা', 'অরোমা', 'ওহামা', 'আওরাবা', 'অওরা', 'আরাও', 'আহোমেরা', 'ওসামা', 'অহোমেরা']
['অমিয়া', 'আরিমা', 'মরমিয়া', 'আমাসিয়া', 'মারিয়াম', 'মিয়ামি', 'মায়াময়', 'মরিয়ম', 'আমরোহা', 'আমেলিয়া']
['', '', '', '', '', '', '', '', '', '']
['অকল্যান্ড', 'ওকল্যান্ড', 'ওকল্যাণ্ড', 'অকল্যান্ডে', 'অরলান্ডো', 'অ্যাল্যান্ড', 'ওকল্যাণ্ডে', 'অ্যারিওলা', 'অরল্যান্ডোতে', 'ওকল্যান্ডের']
['ক্লীভল্যান্ড', 'ক্লিভল্যান্ড', 'ক্লেভল্যান্ড', 'ক্লিভল্যান্ডের', 'ক্লিভল্যান্ডে', 'ক্রাভালিও', 'অলিভিয়া', 'অলিভিয়েরা', 'অলিভেইরা', 'অ্যালভিওলার']
['অ্যারিজোনা', 'অ্যারিওলা', 'আরিজাবালাগা', 'অ্যারিজোনার', 'অ্যারিজোনায়', 'মিনিয়াপলিস', 'মিনিয়াপোলিস', 'অ্যারাবিয়া', 'অ্যারাবিয়া', 'অ্যারিয়ানা']
['', '', '', '', '', '', '', '', '', '']
['আর্লিংটন', 'আর্লিংটনের', 'আর্লিংটনে', 'আরলিংটন', 'অ্যাক্রিংটন', 'আর্থারটন', 'অ্যারিজোনা', 'অ্যারাগর্ন', 'আর্ট্রাটন', 'অ্যারিজোনার']
['', '', '', '', '', '', '', '', '', '']
['আওরাবা', 'টাম্পা', 'অ্যারাবিয়া', 'অ্যারাবিয়া', 'অ্যালাবামা', 'তামবোরা', 'আদাবাড়িয়া', 'আওবা', 'টাবা', 'ট্যারা']
['', '', '', '', '', '', '', '', '', '']
['অ্যারিওলা', 'হনলুলু', 'আহ\u200c্ছানউল্লা', 'আহ্\u200cছানউল্লা', 'আহছানউল্লা', 'অ্যারিওলার', 'ওরাওঁ', 'আরানমুলা', 'আরশোলা', 'অ্যাঞ্জেলোর']
['অস্টবার্গ', 'আরিজাবালাগা', 'অস্তোর্গা', 'পিটারসবারগ', 'পিটসবার্গ', 'ওস্টবার্গ', 'এজবাস্টন', 'পিটসবার্গের', 'পিটসবার্গে', 'অ্যারিস্টটলের']
['অ্যারিজোনা', 'এলিজাবেথান', 'লেক্সিংটন', 'আর্লিংটন', 'আরিজোনা', 'অষ্টগান', 'আরলিংটন', 'অ্যারিজোনার', 'এজবাস্টন', 'আর্থারটন']
['স্টকটন', 'অ্যাথারটন', 'আর্থারটন', 'অ্যাথারটনের', 'অ্যাস্টন', 'এস্টন', 'অষ্টগান', 'এস্ট্রোজেন', 'আর্ট্রাটন', 'অ্যাশটন']
['অ্যারিজোনা', 'আরিজোনা', 'অ্যারিজোনায়', 'অ্যারিজোনার', 'আরিজোনার', 'সিরিসেনা', 'অ্যারিয়ানা', 'অ্যারিয়ানা', 'অর্জুনা', 'আহসানিয়া']
['', '', '', '', '', '', '', '', '', '']
['টলেডো', 'অ্যারিওলা', 'ওদ্রিওজোলা', 'আদ্রিয়ানো', 'ট্রুডো', 'এডুয়ার্ডো', 'অথেলো', 'অর্লান্ডো', 'অরলান্ডো', 'এ্যারো']
['', '', '', '', '', '', '', '', '', '']
['অ্যারোনসন', 'এডারসন', 'অ্যারোনসনের', 'অ্যারিজোনার', 'অ্যারিজোনা', 'অ্যান্ডারসন', 'এডারসনের', 'অ্যান্ডারসনের', 'এন্ডারসন', 'অ্যান্ডারসেন']
['জ্যাকসনভিল', 'জ্যাকসনভিলের', 'জ্যাকসনভিলে', 'টেক্সান', 'টেক্সাকো', 'জেকবসন', 'টেক্সকোকো', 'জ্যাকবসন', 'জ্যাকসন', 'টেক্স্\u200cট']
['ইন্ডিয়ানাপোলিস', 'ইন্ডিয়ানাপলিস', 'টেক্সাস', 'ইন্দোনেশিয়াও', 'কেনিয়্যানথ্রোপাস', 'ইন্দোনেশিয়া', 'ইন্দোচিনা', 'ইন্দোনেশিয়া', 'ইন্দোচিনার', 'ভারতকোষ']
['ডেট্রয়েট', 'ডেট্রয়েটের', 'টেকেরঘাট', 'টেকটনিক', 'টেকনোক্র্যাট', 'টেক্স্\u200cট', 'টেকেরহাট', 'ডেট্রয়েটে', 'টেকক্রাঞ্চ', 'টেক্সাস']
['মেমফিস', 'মেম্ফিস', 'মেমফিসের', 'মেনিফেস্টো', 'মেকিফের', 'মেফিস্টো', 'মেকপিস', 'মেক্সিকিয়', 'মেমফিসে', 'মেকিফ']
['বোস্টন', 'বোস্টনের', 'বোস্টনে', 'বেকেনস্টাইন', 'টেক্সান', 'ব্ত্সুন', 'বাসনকোসন', 'বেটসন', 'ব্ত্সন', 'ব্ত্সান']
['সিয়াটেল', 'টেক্স্\u200cট', 'সিটাকুয়া', 'টেক্সটের', 'সাইটোকিন', 'টেক্সী', 'টেক্সি', 'টেইটকে', 'টেক্সচার', 'সেতিয়েন']
['টেকনাফের', 'টেকনাফ', 'টেকনাফে', 'টেকওভার', 'টেকওভারের', 'ডেনভার', 'টয়েনবী', 'টেনসেন্ট', 'ডেনভারে', 'ট্রান্সিভার']
['ভেট্টোরিকে', 'টেক্সটবুক', 'টেকস্টবুক', 'টেকটনিক', 'টিমোথির', 'টইটম্বুর', 'টইটুম্বুর', 'টেক্স্\u200cট', 'টেক্সকোকো', 'বিমসটেক']
['নেভ্\u200cস্কির', 'নেভস্কি', 'ন্যাশভিল', 'নেভ্\u200cস্কি', 'নেসক্যাফে', 'ন্যাশভিলে', 'নেটওয়র্ক', 'টেক্স্\u200cট', 'টেক্সি', 'নেপচুনোত্তর']
['লুইসভিল', 'টেক্সি', 'টেক্সটবুক', 'টেক্সী', 'টেক্স্\u200cট', 'টেক্সাস', 'টেকস্টবুক', 'টেক্সচার', 'টেক্সটের', 'ইয়েভতুশেঙ্কোর']
['মেক্সিকিয়', 'মেক্সিকোই', 'মিনকভস্কি', 'মেক্\u200cকে', 'মেক্সিকো', 'মুকওয়েজি', 'মুকওয়েজি', 'মিলওয়াকি', 'মেকিয়াভেলি', 'মেক্সিকোকে']
['পোর্টল্যান্ড', 'পোর্টল্যান্ডের', 'পট্টনায়েক', 'পট্টনায়েক', 'পোর্টল্যান্ডে', 'টার্কিংটন', 'পট্টনায়েকের', 'টেক্স্\u200cট', 'টেনোচতিৎলান', 'পট্টনায়ক']
['', '', '', '', '', '', '', '', '', '']
