['আপু', 'খালা', 'মামাতো', 'ঠাকুমা', 'বোন', 'চাচা', 'আম্মু', 'শ্বাশুড়ি', 'বোনের', 'আম্মুর']
['বিজয়', 'বিজয়', 'বিজয়া', 'বিজয়পাত', 'জয়লাভ', 'বিজয়ন', 'বিজয়ের', 'জয়', 'বিজয়িনী', 'জয়']
['পাঠক', 'পাঠকারী', 'পাঠকই', 'পাঠকের', 'পড়শী', 'পাঠকে', 'পাঠকেরা', 'পাঠকরা', 'পাঠককে', 'পড়শি']
['লেখক', 'রচনাকার', 'লেখিকার', 'লেখকের', 'রচনাকারী', 'লেখিকা', 'লেখকই', 'রচনাবিদ', 'লেখনীর', 'প্রণেতার']
['গায়ক', 'গায়ক', 'গায়কোয়াড়', 'গায়কীর', 'গীতকার', 'গীতিকার', 'গায়িকা', 'গায়িকার', 'গায়কি', 'গায়িকা']
['খোকা', 'খোকাবাবু', 'খোকার', 'বাচ্চাকাচ্চা', 'খুদে', 'খোকাকে', 'বাচ্চা', 'শিশুকন্যা', 'বালকি', 'শিশুকন্যার']
['ছাত্র', 'শিক্ষার্থী', 'ছাত্রী', 'ছাত্রছাত্রী', 'স্টুডেন্ট', 'ছাত্রীর', 'ছাত্রনেতা', 'ছাত্রছাত্রীর', 'ছাত্রই', 'শিক্ষার্থীর']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষিকা', 'শিক্ষয়িত্রী', 'শিক্ষিকার', 'অশিক্ষক', 'শিক্ষকই', 'শিক্ষকের', 'শিক্ষনুরাগী', 'প্রশিক্ষক']
['নেতা', 'নেত্রী', 'নেতা৷', 'নেতাকর্মী', 'নেতাকে', 'নেত্রীর', 'নেতার', 'নেতাকেই', 'নেতাও', 'লিডার']
['পাগল', 'পাগলী', 'পাগলি', 'পাগলীর', 'পাগলা', 'পাগলের', 'পাগলার', 'পাগলু', 'উন্মাদ', 'পাগলপ্রায়']
['প্রিয়', 'প্রিয়', 'প্রিয়পাত্র', 'প্রিয়পাত্রী', 'প্রিয়দর্শী', 'প্রিয়জন', 'প্রিয়তমা', 'প্রিয়তমার', 'প্রিয়ভাজন', 'প্রেমী']
['কনিষ্ঠ', 'কমবয়সী', 'কনিষ্ঠতম', 'কমবয়সী', 'লঘিষ্ঠ', 'কিশোরী', 'অল্পবয়সী', 'কিশোর', 'অল্পবয়স', 'সর্বকনিষ্ঠ']
['লোক', 'মানুহ', 'মানুষ', 'মানুষী', 'মানুষজন', 'লোকমান', 'জনমানব', 'লোকক', 'ব্যক্তি', 'লোকজন']
['শ্রমিক', 'কর্মী', 'শ্রমিকের', 'শ্রমিকনেতা', 'কর্মচারি', 'শ্রমজীবী', 'কর্মকার', 'চাকরিজীবী', 'শ্রমিকই', 'শ্রমজীবি']
['বাবা', 'বাবামা', 'বাবাই', 'পিতা', 'বাবার', 'বাবাকে', 'পিতাই', 'পিতৃ', 'বাবাও', 'বাবারা']
['চাচা', 'খালা', 'চাচাও', 'চাচী', 'ঠাকুমা', 'চাচাতো', 'শ্বাশুড়ি', 'ঠাকুমার', 'চাচাত', 'চাচাতো']
['দাদা', 'দাদাভাই', 'ঠাকুমা', 'দাদু', 'দাদুর', 'শ্বাশুড়ি', 'আব্বা', 'দাদাপীর', 'দাদাও', 'দাদামশাই']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানাবতী', 'নানাকি', 'নানার', 'নানাজনের', 'নানাবাড়ি', 'নানাবাড়ি', 'নানান', 'নানাসে', 'নানী']
['জেলে', 'জেলেই', 'জেলেকে', 'জেলের', 'জেলেও', 'জেলহাজতে', 'বন্দিদশায়', 'জেলবন্দী', 'জেলেনা', 'বন্দিদশায়']
['ধোপা', 'ধোপাঘাটা', 'ধাবা', 'ধোওয়া', 'ধোপাপাড়া', 'ধামা', 'ধোবি', 'ধমণী', 'ধোয়া', 'গোছা']
['বেদে', 'বালুতে', 'কূলে', 'সমুদ্রপৃষ্ঠে', 'সমুদ্রতটে', 'সমুদ্রতলে', 'ভূবনে', 'পীরে', 'বাতিতে', 'বটমূলে']
['গুরু', 'গুরুই', 'গুরুর', 'গুরুজন', 'গুরুকে', 'ਗੁਰੂ', 'গুরুজনের', 'গুরুজির', 'গুরুরা', 'গুরুপদ']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'ছেলেকে', 'ছেলেমেয়ে', 'ছেলেসন্তান', 'ছেলেই', 'ছেলেমেয়ে', 'ছেলেবন্ধু', 'বালক']
['বর', 'বরই', 'বণী', 'বী', 'বয়', 'বৌ', 'বরও', 'বয়', 'বীণ', 'বরে']
['বাদশা', 'বাদশার', 'বাদশাকে', 'বাদুড়', 'বাদশাহরা', 'বাদুড়', 'প্রজাপতি', 'বাদশাহো', 'বাদশাহের', 'বাদশাহি']
['কাঙ্গাল', 'কাঙ্গালিনী', 'গালানগল', 'গঙ্গাজল', 'কাঞ্জোয়াল', 'গঙ্গাজলি', 'কাঞ্জিলাল', 'কালেঙ্গা', 'ক্যানাল', 'নাঙ্গাল']
['বাঘ', 'বাঘটি', 'বাঘও', 'বাঘই', 'বাঘী', 'বাঘি', 'বাঘের', 'বাঘেল', 'বাঘকে', 'বাঘে']
['যোগী', 'যোগি', 'যোগীর', 'যোগিনী', 'যোগেশ্বরী', 'যোগীরা', 'যোগিনীর', 'যোগেশ্বর', 'যোগীকে', 'যোগজ']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্বীর', 'তেজস্ক্রিয়', 'তেজুকা', 'তেজস', 'তেজুকার', 'ধূমাবতী', 'তেজু', 'ভগবতী']
['কিশোরী', 'কিশোর', 'কিশোরীর', 'কিশোরই', 'কিশোরের', 'কিশোরীকে', 'কিশোরীটি', 'কিশোরটি', 'যুবতী', 'যুবতীর']
['নর', 'নার', 'নরা', 'নরের', 'নল', 'নদ', 'ন্যু', 'নর্ম', 'নরি', 'নুর']
['সুন্দর', 'সুন্দরী', 'সুন্দরের', 'সুন্দরীর', 'সুদৃশ্য', 'সুদর্শন', 'রূপবতী', 'সৌন্দর্যময়', 'সুন্দরকে', 'সুন্দরীকে']
['গুণবতী', 'পুণ্যবান', 'পুণ্যময়', 'সুভাষিণীর', 'সুভাষিণী', 'ভগবতী', 'দেবদাসী', 'দয়াময়ীর', 'পুণ্যাহ', 'কল্যাণময়']
['বুদ্ধিমান', 'বুদ্ধিমতী', 'বুদ্ধিকা', 'বুদ্ধিদীপ্ত', 'বুদ্ধিমতি', 'বুদ্ধির', 'বুদ্ধিসম্পন্ন', 'বুদ্ধিগত', 'বুদ্ধিমানের', 'বুদ্ধিমত্তাসম্পন্ন']
['শ্রীমান', 'শ্রীমন্ত', 'শ্রীমৎ', 'শ্রীমা', 'শ্রীম', 'শ্রীমদ্', 'শ্রীশ্রীমা', 'শ্রীরঙ্গমের', 'শ্রীরঙ্গম', 'শ্রীরাম']
['বিজয়', 'বিজয়', 'বিজয়পাত', 'বিজয়া', 'জয়লাভ', 'বিজয়ও', 'বিজয়া', 'জয়', 'বিজয়ের', 'জয়']
['পাঠক', 'পাঠকারী', 'পাঠকই', 'পাঠকের', 'পাঠকে', 'পাঠকেরা', 'পাঠকরা', 'পাঠককে', 'পড়শী', 'পাঠকও']
['লেখক', 'লেখিকা', 'লেখকের', 'লেখকই', 'লেখিকার', 'লেখনীর', 'রচনাকার', 'লেখকও', 'লেখনীকে', 'রচনাকারী']
['গায়ক', 'গায়ক', 'গায়কি', 'গায়কীর', 'গায়বী', 'গায়কোয়াড়', 'গায়কী', 'গীতিকা', 'গায়িকার', 'গায়িকার']
['খোকা', 'বাচ্চাকাচ্চা', 'খোকাবাবু', 'খোকার', 'খোকাকে', 'বাচ্চা', 'শিশুকন্যা', 'শিশুকন্যার', 'খুদে', 'বাচ্চাটা']
['ছাত্রী', 'ছাত্রছাত্রী', 'ছাত্র', 'ছাত্রীর', 'শিক্ষার্থী', 'ছাত্রীই', 'ছাত্রছাত্রীর', 'ছাত্রছাত্রীকে', 'স্টুডেন্ট', 'ছাত্রই']
['শিক্ষক', 'শিক্ষিকা', 'শিক্ষিকার', 'শিক্ষয়িত্রী', 'শিক্ষকনেতা', 'শিক্ষকই', 'শিক্ষিকাকে', 'শিক্ষকের', 'শিক্ষিকারা', 'শিক্ষকমন্ডলী']
['নেতা', 'নেত্রী', 'নেতা৷', 'নেতাও', 'নেত্রীর', 'নেতাই', 'নেতাকে', 'নেতায়', 'নেতাকেই', 'নেত্রীকে']
['পাগল', 'পাগলা', 'পাগলি', 'পাগলী', 'পাগলপ্রায়', 'পাগলের', 'পাগলীর', 'পাগলামো', 'পাগলাটে', 'পাগলার']
['প্রিয়', 'প্রিয়', 'প্রিয়পাত্র', 'প্রিয়পাত্রী', 'প্রিয়তমা', 'প্রিয়তমার', 'প্রিয়তমা', 'প্রিয়তমেষু', 'প্রিয়পাত্র', 'প্রিয়তমার']
['কনিষ্ঠ', 'কমবয়সী', 'কমবয়সী', 'কনিষ্ঠতম', 'কিশোরী', 'অরুন্ধতী', 'কিশোরীর', 'নাবালিকা', 'অল্পবয়স', 'অল্পবয়সী']
['লোক', 'মানুহ', 'মানুষ', 'মানুষজন', 'মানুষী', 'লোকই', 'লোকক', 'লোকজন', 'লোকেরা', 'লোকের']
['শ্রমিক', 'শ্রমিকের', 'কর্মী', 'শ্রমিকই', 'চাকুরিজীবী', 'চাকরিজীবীর', 'শ্রমিকনেতা', 'কর্মীর', 'চাকরিজীবী', 'শ্রমিকও']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['বাবা', 'পিতা', 'বাবাই', 'বাবার', 'পিতৃ', 'বাবাকে', 'বাবামা', 'পিতাই', 'বাপের', 'বাবারা']
['চাচা', 'চাচাও', 'চাচাত', 'চাচী', 'চাচাতো', 'চাচাতো', 'চাচীর', 'ঠাকুমার', 'ভাই', 'চাচাকে']
['দাদা', 'দাদু', 'দাদাভাই', 'দাদুর', 'দাদাপীর', 'আব্বু', 'আব্বা', 'আব্বস', 'বড়ভাই', 'দাদার']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানান', 'নানাজনের', 'নানার', 'নানাকি', 'নানাবাড়ি', 'নানাবাড়ি', 'নানাবতী', 'নানাপ্রকার', 'বিবিধ']
['জেলে', 'জেলেই', 'জেলেকে', 'জেলের', 'জেলহাজতে', 'জেলবন্দী', 'জেলেও', 'বন্দিদশায়', 'কারাগারে', 'বন্দিদশায়']
['ধোপা', 'ধাবা', 'ধোপাপাড়া', 'ধোপাঘাটা', 'ধোপার', 'ধোওয়া', 'ধোয়ার', 'ধামা', 'ধড়ক', 'ধোবি']
['বেদে', 'বালুতে', 'পীরে', 'সমুদ্রপৃষ্ঠে', 'কূলে', 'সমুদ্রতলে', 'বালুচরে', 'সমুদ্রতটে', 'বালুর', 'খড়্গে']
['গুরু', 'গুরুর', 'গুরুজন', 'গুরুই', 'ਗੁਰੂ', 'গুরুকে', 'গুরুপদ', 'গুরুজনের', 'গুরুজির', 'গুরুরা']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'ছেলেকে', 'ছেলেসন্তান', 'ছেলেমেয়ে', 'ছেলেবন্ধু', 'ছেলেই', 'বালক', 'ছেলেটা']
['বর', 'বরই', 'বরও', 'বীণ', 'বির', 'বী', 'বয়', 'বুর', 'বয়ার', 'বয়']
['বাদশা', 'বাদশার', 'বাদশাকে', 'বাদশাহরা', 'বাদশাহের', 'বাদশাহ', 'বাদশাহো', 'বাদশাহী', 'বাদশাহ্\u200c', 'বাদশাহ্']
['কাঙ্গাল', 'কাঙ্গালিনী', 'কাঞ্জোয়াল', 'কাঙাল', 'ক্যানাল', 'গালানগল', 'ক্যাঙ্গারু', 'কাংরা', 'নাঙ্গাল', 'হাঙ্গাল']
['বাঘ', 'বাঘটি', 'বাঘও', 'বাঘই', 'বাঘী', 'বাঘের', 'বাঘি', 'বাঘেল', 'বাঘবেড়', 'বাঘকে']
['যোগী', 'যোগীর', 'যোগি', 'যোগিনী', 'যোগেশ্বরী', 'যোগীকে', 'যোগীরা', 'যোগিনীর', 'যোগেশ্বর', 'যোগেশ']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্বীর', 'তেজস্ক্রিয়', 'তেজুকার', 'তেজস্ক্রিয়', 'তেজুকা', 'তেজদীপ্ত', 'তেজস', 'তরুক্ষীর']
['কিশোর', 'কিশোরী', 'কিশোরের', 'কিশোরই', 'অল্পবয়স্ক', 'অল্পবয়সী', 'কমবয়সী', 'কিশোরকে', 'কিশোরটি', 'কিশোরকালীন']
['নর', 'নার', 'নরের', 'নল', 'নদ', 'নীড়ের', 'নুর', 'নর্ম', 'নরা', 'নাইর']
['সুন্দর', 'সুদর্শন', 'সুন্দরের', 'সুদৃশ্য', 'সৌন্দর্যময়', 'সুন্দরী', 'সুদর্শনের', 'সুন্দরীর', 'সৌন্দর্যমণ্ডিত', 'সৌন্দর্যমন্ডিত']
['গুণবান', 'গুণী', 'গুণকাম', 'গুণগ্রাহী', 'গুণীর', 'গুণসম্পন্ন', 'গুণনীয়ক', 'গুণান্বিত', 'গুণীজন', 'পুণ্যবান']
['পুণ্যবান', 'পুণ্যময়', 'গুরুত্তপূর্ণ', 'গুণবান', 'আশীর্বাদপুষ্ট', 'ঐশ্বর্যশালী', 'দয়াময়ীর', 'দয়াময়ী', 'কল্যাণময়', 'ঐশ্বর্যপূর্ণ']
['শ্রীমান', 'শ্রীরাম', 'শ্রীমৎ', 'শ্রীমদ্', 'শ্রীমন্ত', 'শ্রীম', 'শ্রীরামের', 'শ্রীরঙ্গমের', 'শ্রীরঙ্গম', 'শ্রীশৈলম']
['বিজয়', 'বিজয়', 'বিজয়পাত', 'বিজয়ের', 'জয়লাভ', 'বিজয়া', 'জয়', 'বিজয়ের', 'জয়', 'জয়লাভ']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পাঠকই', 'পাঠকে', 'পাঠকেরা', 'পড়শী', 'পাঠকরা', 'পাঠককে', 'পাঠকদের']
['লেখক', 'লেখকের', 'রচনাকার', 'লেখিকার', 'রচনাকারী', 'লেখকই', 'লেখনীর', 'প্রণেতার', 'লেখকও', 'লেখনীকে']
['গায়ক', 'গায়ক', 'গায়কোয়াড়', 'গীতকার', 'গায়কীর', 'গায়কী', 'গায়কি', 'গায়কের', 'গীতিকার', 'গায়কোয়াড়ের']
['খোকা', 'খোকাবাবু', 'বাচ্চাকাচ্চা', 'খোকার', 'খোকাকে', 'বাচ্চা', 'বালকি', 'শিশু', 'বালক', 'খুদে']
['ছাত্র', 'শিক্ষার্থী', 'ছাত্রছাত্রী', 'ছাত্রের', 'স্টুডেন্ট', 'শিক্ষার্থীর', 'ছাত্রী', 'ছাত্রছাত্রীর', 'ছাত্রই', 'ছাত্রীর']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষিকার', 'শিক্ষকের', 'শিক্ষিকা', 'শিক্ষকই', 'শিক্ষয়িত্রী', 'অশিক্ষক', 'শিক্ষনুরাগী', 'শিক্ষকেরা']
['নেতা', 'নেত্রী', 'নেতাকে', 'নেতা৷', 'নেতাকর্মী', 'নেতার', 'নেতায়', 'নেতাও', 'নেত্রীর', 'নেতাকেই']
['পাগল', 'পাগলী', 'পাগলের', 'পাগলি', 'পাগলার', 'পাগলীর', 'পাগলু', 'পাগলপ্রায়', 'পাগলা', 'পাগলামির']
['প্রিয়', 'প্রিয়', 'প্রিয়পাত্র', 'প্রিয়তমার', 'প্রিয়দর্শী', 'প্রিয়পাত্র', 'প্রিয়তমার', 'প্রিয়জন', 'প্রেমী', 'প্রিয়তম']
['কনিষ্ঠ', 'কনিষ্ঠতম', 'লঘিষ্ঠ', 'কমবয়সী', 'কমবয়সী', 'অল্পবয়স', 'ক্ষুদ্রতম', 'ক্ষুদ্রতর', 'সর্বকনিষ্ঠ', 'ছোটর']
['লোক', 'মানুহ', 'মানুষ', 'লোকক', 'মানুষজন', 'লোকের', 'মানুষী', 'লোকজন', 'লোকই', 'জনমানব']
['শ্রমিক', 'কর্মী', 'শ্রমিকের', 'শ্রমিকই', 'কর্মীর', 'কর্মকার', 'কর্মচারি', 'শ্রমিকনেতা', 'চাকরিজীবীর', 'শ্রমজীবী']
['পিতায়য়া', 'বাবা', 'মাতাপিতা', 'বাবামা', 'বাবাই', 'পিতা', 'পিতৃ', 'দাদী', 'পিতাই', 'আব্বস']
['শ্বাশুড়ি', 'খালা', 'চাচী', 'চাচা', 'চাচাত', 'আপু', 'চাচীর', 'খালাসী', 'চাচাতো', 'চাচাতো']
['দাদা', 'দাদাভাই', 'দাদি', 'দিদি', 'শ্বাশুড়ি', 'ঠাকুরি', 'দাদীমা', 'দাদু', 'দাচী', 'দাদাজী']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানাবতী', 'নানাকি', 'নানান', 'ননী', 'নানার', 'ননি', 'নাতী', 'নানাবাড়ি', 'দাতী']
['জেলে', 'জেলেই', 'জেলের', 'জেলেকে', 'বন্দিদশায়', 'বন্দিদশায়', 'জেলবন্দী', 'জেলহাজতে', 'বন্দিশালায়', 'জেলেও']
['ধোপা', 'ধোপাঘাটা', 'ধোওয়া', 'ধাবা', 'ধোবি', 'ধমণী', 'ধোপাদী', 'ধোপার', 'ধোপাপাড়া', 'গোছা']
['বেদে', 'বাতিতে', 'পীরে', 'ভাদে', 'বেডে', 'কূলে', 'গদিতে', 'বেটে', 'খড়্গে', 'দুয়ারে']
['গুরু', 'গুরুর', 'গুরুই', 'গুরুজন', 'গুরুপদ', 'ਗੁਰੂ', 'গুনী', 'গুরুজির', 'গুরুগম্ভীর', 'গুরুজি']
['কন্যাশিশু', 'মেয়েলি', 'পুত্রবধু', 'কন্যাসন্তান', 'বালকি', 'পুত্রী', 'কন্যা', 'কন্যাশিশুটি', 'বালিকা', 'বালিকার']
['বর', 'বণী', 'বী', 'বেতী', 'বরশী', 'বরই', 'বাযের', 'বৌ', 'বয়', 'বটি']
['বাদশা', 'বাদশার', 'বাদুড়', 'বাদশাকে', 'বাদশাহরা', 'বাদুড়', 'দেবদাসী', 'বাদুড়ের', 'বাদশাহি', 'বাদশাহী']
['কাঙ্গাল', 'গৈলা', 'কাঞ্জোয়াল', 'গাঙ্গুলী', 'কালাগলা', 'কানজি', 'কাগা', 'কলসী', 'গালরাণী', 'গয়াল']
['বাঘটি', 'বাঘই', 'বাঘী', 'বাঘ', 'বাঘি', 'বাঘও', 'বাঘের', 'বাঘেল', 'বাঘে', 'বাঘবেড়']
['যোগী', 'যোগি', 'যোগীর', 'যোগেশ্বরী', 'যোগিনী', 'যোগেশ', 'যোগীকে', 'জায়সী', 'যোগেশ্বর', 'যোশী']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্বীর', 'উর্বশী', 'তেহজীব', 'জৌলুশপূর্ণ', 'তেজুকা', 'তেজস্ক্রিয়', 'চাতুর্যময়', 'তেজদীপ্ত']
['কিশোরী', 'কিশোরীর', 'কিশোর', 'কিশোরীটি', 'যুবতী', 'যুবতীর', 'কিশোরীকে', 'কিশোরের', 'চিরুনী', 'বয়েসী']
['নর', 'নটী', 'নটীর', 'নরের', 'নার', 'ন্য', 'ন্যি', 'নদ', 'নভি', 'নল']
['সুন্দরী', 'সুন্দর', 'সুন্দরীর', 'সুদৃশ্য', 'সৌন্দর্যময়', 'সুদর্শন', 'সুন্দরের', 'সৌন্দর্যমণ্ডিত', 'সুদর্শনের', 'সৌন্দর্যমন্ডিত']
['গুণবান', 'গুণবতী', 'গুণী', 'গুণকাম', 'গুণীর', 'গুণগ্রাহী', 'সুভাষিণীর', 'সুপণ্ডিত', 'গুণসম্পন্ন', 'পুণ্যময়']
['পুণ্যবান', 'পুণ্যময়', 'সুভাষিণীর', 'গুণবতী', 'গুরুত্তপূর্ণ', 'সুভাষিণী', 'সুধাময়', 'গুণবান', 'সুপণ্ডিত', 'ঐশ্বর্যপূর্ণ']
['বুদ্ধিমতী', 'বুদ্ধিমান', 'বুদ্ধিসম্পন্ন', 'বুদ্ধিদীপ্ত', 'বুদ্ধিমত্তাসম্পন্ন', 'বুদ্ধিমানের', 'বুদ্ধির', 'বিজ্ঞ', 'বুদ্ধিকা', 'মেধাবী']
['বিজয়া', 'বিজয়', 'বিজয়', 'বিজয়া', 'বিজয়ি', 'বিজয়ের', 'বিজয়পাত', 'বিজয়ের', 'বিজয়িনী', 'জয়লাভ']
['পাঠকারী', 'পাঠক', 'পড়শী', 'পাঠকের', 'পাঠকই', 'পাঠকে', 'পড়তির', 'পড়ুয়া', 'পড়শি', 'পড়শিরা']
['লেখিকা', 'লেখক', 'রচনাকারী', 'রচনাকার', 'লেখিকার', 'প্রণেতার', 'প্রণেতা', 'লেখনীর', 'রচয়িতা', 'লেখকই']
['গায়বী', 'গায়কি', 'গায়কী', 'গায়ক', 'গায়কীর', 'গায়িকা', 'গায়ক', 'গায়িকা', 'গায়িকার', 'গায়কোয়াড়']
['খোকা', 'খোকার', 'বাচ্চাকাচ্চা', 'খোকাবাবু', 'খুদে', 'শিশুকন্যা', 'শিশুকন্যার', 'কন্যাশিশুটি', 'মেয়েলি', 'খোকাকে']
['ছাত্রী', 'ছাত্রীর', 'ছাত্রছাত্রী', 'ছাত্র', 'ছাত্রীটি', 'ছাত্রীই', 'শিক্ষার্থী', 'ছাত্রীকে', 'ছাত্রছাত্রীর', 'ছাত্রছাত্রীকে']
['শিক্ষিকা', 'শিক্ষয়িত্রী', 'শিক্ষিকার', 'শিক্ষক', 'শিক্ষকনেতা', 'অধ্যাপিকা', 'শিক্ষিকাকে', 'শিক্ষনুরাগী', 'অধ্যাপনার', 'অশিক্ষক']
['নেতা', 'নেত্রী', 'নেতায়', 'নেত্রীর', 'নেতাই', 'নেতাকর্মী', 'নেতায়', 'নেতাকে', 'অধিনায়িকা', 'নেতাজীর']
['পাগলী', 'পাগল', 'পাগলি', 'পাগলা', 'পাগলের', 'পাগলীর', 'পাগলু', 'পাগলাটে', 'পাগলার', 'পাগলামির']
['প্রিয়', 'প্রিয়', 'স্নেহময়ী', 'সুপ্রিয়', 'আদরের', 'স্নেহময়', 'প্রেমময়', 'প্রিয়পাত্র', 'স্নেহপূর্ণ', 'প্রীতিকর']
['কনিষ্ঠ', 'কমবয়সী', 'কমবয়সী', 'কিশোরী', 'লঘিষ্ঠ', 'শ্রেয়সী', 'নাবালিকা', 'কিশোরীর', 'কনিষ্ঠতম', 'অরুন্ধতী']
['লোক', 'ব্যক্তি', 'মানুষী', 'লোকের', 'ব্যক্তিবর্গ', 'ব্যক্তিবর্গ\u200c', 'মানুহ', 'ব্যক্তিগন', 'ব্যাক্তি', 'লোকমান']
['শ্রমিক', 'কর্মচারি', 'চাকুরিজীবী', 'কর্মী', 'কর্মকার', 'চাকরিজীবী', 'কর্মীর', 'চাকরিজীবীর', 'শ্রমজীবী', 'শ্রমজীবি']
['বাবা', 'বাবামা', 'পিতা', 'বাবাই', 'পিতৃ', 'বাবার', 'বাবাকে', 'বাবারা', 'পিতাই', 'মাতাপিতার']
['চাচা', 'চাচাত', 'চাচাতো', 'শ্বাশুড়ি', 'চাচার', 'খালা', 'খালার', 'ঠাকুমার', 'চাচী', 'চাচীর']
['দাদা', 'দাদাভাই', 'দাদুর', 'দাদী', 'দাদাপীর', 'দাদু', 'শ্বাশুড়ি', 'সৎপিতা', 'মামাশ্বশুর', 'দাদাজী']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানাবতী', 'নানাজনের', 'নানান', 'নানার', 'নানাকি', 'নানাবাড়ি', 'নানাবিদ', 'নানাবাড়ি', 'নানাপ্রকার']
['জেলে', 'জেলের', 'জেলেকে', 'জেলেই', 'কারাবন্দীর', 'কারারক্ষী', 'জেলবন্দী', 'কয়েদী', 'জেলেও', 'কারাবন্দীকে']
['ধোপার', 'ধোপা', 'ধমণী', 'ধোপাদী', 'ধলাপাড়া', 'ধোয়ার', 'ধোয়ার', 'ধোওয়ার', 'ধামার', 'ধোয়ামোছার']
['বেদে', 'বালুচরে', 'পীরে', 'বালুতে', 'বালুর', 'সমুদ্রপৃষ্ঠে', 'সমুদ্রতলে', 'সমুদ্রতলের', 'সমুদ্রতটে', 'বেদেদের']
['গুরু', 'গুরুর', 'গুরুজন', 'ਗੁਰੂ', 'গুরুই', 'গুরুকে', 'প্রাধ্যক্ষ', 'উস্তাদ', 'গুরুগম্ভীর', 'গুরুজনের']
['ছেলে', 'ছে\u200cলে', 'ছেলেসন্তান', 'ছেলের', 'ছেলেবন্ধু', 'বালক', 'ছেলেমেয়ে', 'ছেলেশিশু', 'ছেলেসন্তানের', 'ছেলেমেয়ে']
['বর', 'বধুর', 'বয়ার', 'বাযের', 'বরই', 'বুর', 'বণী', 'বী', 'বেকারী', 'বরবার']
['বাদশা', 'বাদশার', 'বাদশাকে', 'বাদশাহরা', 'রাষ্টপতি', 'বাদশাহী', 'বাদশাহের', 'বাদুর', 'বাদশাহি', 'রাষ্টদূত']
['কাঙ্গাল', 'কাঙ্গালিনী', 'কঙ্গনার', 'কালেঙ্গার', 'কাঞ্জোয়াল', 'ক্যানাল', 'কাঞ্জিলাল', 'ক্যানেল', 'ক্যানালের', 'গালানগল']
['বাঘ', 'বাঘটি', 'বাঘের', 'বাঘী', 'বাঘই', 'বাঘও', 'বাঘি', 'বাঘবেড়', 'বাঘেল', 'বাঘিনী']
['যোগী', 'যোগীর', 'যোগিনী', 'যোগিনীর', 'যোগেশ্বরী', 'যোগি', 'যোগীকে', 'যোগীরা', 'জায়েগী', 'যোগেশ্বর']
['তেজস্বী', 'তেজস্বিনী', 'তেজুকার', 'তেজস্ক্রিয়', 'তেজস্বীর', 'তরুক্ষীর', 'ধরিত্রী', 'ধিবেহী', 'সরহপাদার', 'ধ্বজাধারী']
['কিশোরী', 'কিশোর', 'কিশোরের', 'কিশোরীর', 'কিশোরই', 'কিশোরটি', 'কিশোরীকে', 'কিশোরীটি', 'কমবয়সী', 'অল্পবয়সী']
['নর', 'নরনারী', 'নটীর', 'নার', 'নরের', 'নরনারীর', 'নুর', 'নোর', 'নাইর', 'নঁতের']
['সুন্দরীর', 'সুন্দরী', 'সুন্দর', 'সৌন্দর্যময়', 'সুদর্শন', 'সুন্দরের', 'সুদৃশ্য', 'সুদর্শনের', 'সৌন্দর্যমন্ডিত', 'সৌন্দর্যমণ্ডিত']
