['সক্ষম', 'সকর্মক', 'সক্ষমতায়', 'সক্ষমতায়', 'সক্ষমতাও', 'সামর্থ্যই', 'অক্ষ', 'সামর্থ্যে', 'ক্ষমতাই', 'সক্ষমতার']
['ঋণাত্মক', 'দীর্ঘ', 'ঋণাত্নক', 'ঋনাত্বক', 'দীর্ঘকালীন', 'ঋণগ্রস্ত', 'দীর্ঘ্য', 'ঋণাত্বক', 'ঋনাত্মক', 'ঋনাত্নক']
['ভিজা', 'ঋণখেলাপি', 'ঋণটি', 'ঋণকে', 'ঋণাত্নক', 'ঋণাত্মক', 'ভিতা', 'ঋনাত্বক', 'ঋণখেলাপির', 'ঋণাত্বক']
['ঋণখেলাপি', 'ঋণগ্রস্ত', 'ঋণাত্মক', 'ঋনাত্বক', 'ঋণাত্নক', 'ঋণকে', 'ঋনাত্নক', 'ঋণাত্বক', 'ঋণখেলাপির', 'ঋনাত্মক']
['ঋণগ্রস্ত', 'ঋণাত্নক', 'ঋণাত্মক', 'ঋনাত্নক', 'ঋনাত্বক', 'ঋণাত্বক', 'ঋণখেলাপি', 'ঋণকৃত', 'ঋনাত্মক', 'ঋণাত্মকতা']
['ঋণগ্রস্ত', 'ঋনাত্নক', 'ঋণাত্মক', 'ঋণাত্নক', 'ঋনাত্বক', 'ঋণখেলাপি', 'আঁটসাঁট', 'ঋনাত্মক', 'ঋণাত্মকতা', 'ঋণখেলাপির']
['ঋণাত্মক', 'ঋণাত্নক', 'ঋণাত্বক', 'ঋণে', 'ঋনাত্বক', 'ঋনাত্নক', 'ঋণটি', 'ঋণকে', 'ঋন', 'ঋণী']
['ঋণাত্নক', 'ঋণে', 'ঋণগ্রস্ত', 'ঋন', 'ঋণকৃত', 'ঋণকে', 'ঋণাত্বক', 'ঋণী', 'ঋণাত্মক', 'ঋনাত্নক']
['ঋণাত্মক', 'ঋণাত্নক', 'ঋনাত্বক', 'ঋণাত্বক', 'ঋনাত্নক', 'ঋণগ্রস্ত', 'ঋনাত্মক', 'ঋণকৃত', 'পরিষ্কার', 'পরিষ্কারক']
['ঋণাত্মক', 'ঋনাত্বক', 'ঋনাত্মক', 'ঋনাত্নক', 'ঋণগ্রস্ত', 'ঋণাত্নক', 'ঋণখেলাপি', 'ঋণাত্মকতা', 'ঋণাত্বক', 'ঋণখেলাপির']
['অকর্মক', 'পুরাতন', 'অমর্যাদাকর', 'অনৈক্যের', 'অমর্যাদার', 'অদ্বৈত', 'অনৈক্য', 'অবর্ণনীয়', 'পুরাতাত্বিক', 'অকালিক']
['পুরাতন', 'অক্ষম', 'অক্ষমতাজনিত', 'ক্ষমতাহীন', 'অযোগ্যতার', 'প্রাচীণ', 'পুরাতাত্বিক', 'অযোগ্য', 'প্রবীণ', 'বয়স্ক']
['পুরাতন', 'প্রবীণ', 'বুড়োর', 'প্রাচীণ', 'বুড়া', 'প্রাচীন', 'পুরাতাত্বিক', 'বাগ্মী', 'প্রবীন', 'পুদিত']
['পুরাতন', 'প্রবীণ', 'পুরাতাত্বিক', 'প্রাচীণ', 'অচেতন', 'বুড়োর', 'বাগ্মী', 'দীপ্তিমান', 'বড়বাগ', 'গুরুদয়াল']
['পুরাতন', 'প্রবীণ', 'প্রাচীন', 'অণুন্নত', 'প্রবীন', 'পুরাতাত্বিক', 'প্রাচীণ', 'বুড়া', 'পুদিত', 'বুড়োর']
['পুরাতন', 'অনুরাগ', 'পুদিত', 'প্রবীণ', 'বুড়িয়ে', 'বৃদ্ধিকরণ', 'বুড়োর', 'প্রবীন', 'দীপিকার', 'বুড়িয়ে']
['অহিংস', 'পুরাতন', 'দূর্বাঘাস', 'বুড়িচং', 'ধর্ষকামী', 'বহির্মুখী', 'অহংবোধের', 'বিরুদ্ধবাদী', 'অহিংসার', 'অশালীন']
['পুরাতন', 'আলস্য', 'পুরাতাত্বিক', 'শকাল', 'প্রবীণ', 'বুড়োর', 'বুড়া', 'বড়িশায়', 'প্রবীন', 'বয়স্কা']
['পুরাতন', 'পুরাতাত্বিক', 'প্রবীণ', 'বুড়োর', 'আসক্ত', 'পুদিত', 'বড়িশায়', 'বয়স্ক', 'বুড়িয়ে', 'বয়স্ক']
['পুরাতন', 'আস্তিক', 'পুরাতাত্বিক', 'আস্তিক্যবাদী', 'প্রবীণ', 'আবদীন', 'প্রাচীণ', 'বয়স্ক', 'দীদার', 'পুদিত']
['পুরাতন', 'বুড়োর', 'বুড়ো', 'বয়স্ক', 'পুরাণকে', 'বুড়া', 'পুরণ', 'প্রবীন', 'প্রবীণ', 'বৃদ্ধের']
['পুরাতন', 'বাদুড়', 'উচ্চ', 'প্রবীণ', 'বুড়োর', 'প্রবীন', 'মড়ক', 'বুড়া', 'বুড়ো', 'বুড়িয়ে']
['পুরাতন', 'বয়স্কতম', 'বয়স্ক', 'উৎকৃষ্ট', 'বুড়োর', 'উৎকৃষ্টতর', 'বুড়ো', 'বয়স্ক', 'বৃদ্ধিকরণ', 'প্রাচীনতম']
['পুরাতন', 'প্রবীণ', 'প্রবীন', 'বুড়িয়ে', 'পুরাতাত্বিক', 'বুড়া', 'বুড়োর', 'পুরণ', 'দীদার', 'পুরাণকে']
['পুরাতন', 'বৃদ্ধিকরণ', 'বুড়িয়ে', 'বৃদ্ধিকালে', 'বয়স্ক', 'উন্নিত', 'বুড়া', 'বয়স্ক', 'উন্নততর', 'উন্নত']
['পুরাতন', 'বৃদ্ধিকরণ', 'উন্নততর', 'উন্নতিকরণ', 'বুড়িয়ে', 'উন্নতকরণ', 'উন্নত', 'উন্নতি', 'বৃদ্ধিকালে', 'উন্নীত']
['পুরাতাত্বিক', 'পুরাতন', 'দীপিকার', 'প্রবীণ', 'পুরাতাত্ত্বিক', 'উপকারিতা', 'দীদার', 'পুদিত', 'তদ্বীয়', 'বদান্যতা']
['উষ্ণ', 'উষ্ণতম', 'উষ্ণশোণিত', 'উষ্ণতর', 'উষ্ণতার', 'পুরাতন', 'উষ্ণতা', 'উষ্ণায়ন', 'উষ্ণায়নের', 'গরম']
['বুড়িচং', 'বুড়িচং', 'কচি', 'বুড়িচংয়ের', 'কাচ্চি', 'পুরাতন', 'বুড়িঘাট', 'কচুয়া', 'কুচি', 'কবজি']
['কুৎসিত', 'পুরাতন', 'পুরাতাত্বিক', 'প্রাচীণ', 'ঘৃণ্য', 'গরীব', 'ঘৃণ্যতম', 'হানিকর', 'প্রাচীনতম', 'বিষণ্ণ']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'কৃতজ্ঞতা', 'কৃতজ্ঞতাস্বরূপ', 'কৃতজ্ঞতায়', 'কৃতজ্ঞতার', 'কৃতজ্ঞচিত্তে', 'কৃতার্থ', 'কৃতদাস', 'কৃতি', 'পুরাতন']
['পুরাতন', 'বড়াইল', 'বুড়িঘাট', 'বুড়িচং', 'বুড়িবালাম', 'পুরাতাত্বিক', 'পুরণ', 'মড়ক', 'বুড়োর', 'পুরাণ']
['পুরাতন', 'বুড়োর', 'বুড়োদের', 'বুড়া', 'বয়স্করা', 'প্রবীন', 'বয়স্কদের', 'বুড়ি', 'বড়রা', 'প্রবীণ']
['পুরাতন', 'বুড়িচং', 'বুড়া', 'বুড়োর', 'বুড়িরচর', 'বুড়িরহাট', 'বুড়িচংয়ের', 'বড়রা', 'মড়ক', 'প্রবীণ']
['পুরাতন', 'বয়স্ক', 'বয়স্কতম', 'প্রবীণ', 'বয়স্ক', 'পুরাতাত্বিক', 'প্রাচীনতম', 'বুড়োর', 'বৃদ্ধিকরণ', 'প্রাচীন']
['পুরাতন', 'পুরাতাত্বিক', 'খ্যাতি', 'বড়িশায়', 'বুড়োর', 'প্রবীণ', 'বয়স্ক', 'বৃদ্ধাশ্রমের', 'বৃদ্ধিকরণ', 'বৃদ্ধাশ্রমে']
['পুরাতন', 'বুড়োর', 'বুড়িয়ে', 'বুড়িয়ে', 'বয়স্ক', 'বয়স্ক', 'প্রবীণ', 'বুড়া', 'বুড়া', 'পুরণ']
['গঞ্জনা', 'বুড়িগঙ্গা', 'বুড়িগঙ্গায়', 'গঞ্জা', 'বুড়িগঙ্গার', 'বুড়িচং', 'গন্ডোয়ানা', 'গাঞ্জা', 'গাজনা', 'বুড়িতিস্তা']
['পুরাতন', 'গরল', 'প্রাচীণ', 'প্রাচীন', 'প্রবীণ', 'বুড়োর', 'বয়স্ক', 'বুড়া', 'পুরাতাত্বিক', 'বীণ']
['প্রবীণ', 'বুড়িচং', 'গৌণ', 'পুরাতন', 'পুরাতাত্বিক', 'প্রাচীন', 'বীণ', 'বাগ্মী', 'বুড়িমারী', 'প্রাচীণ']
['পুরাতাত্বিক', 'পুরাতন', 'বুড়িচং', 'বুড়িচং', 'চঞ্চল', 'প্রাচীণ', 'বুড়িচংয়ের', 'বুড়িঘাট', 'বড়িশায়', 'বড়জোড়া']
['জটিল', 'পুরাতন', 'জটিলতায়', 'জটিলতার', 'জটিলতায়', 'জটিলের', 'জটিলতর', 'জটিলই', 'জটিলতাই', 'পুরাতাত্বিক']
['জ্ঞানী', 'জ্ঞানীর', 'জ্ঞানদাস', 'জ্ঞানদা', 'জ্ঞানীদের', 'জ্ঞানীগুণী', 'জ্ঞানালোক', 'পুরাতন', 'জ্ঞানদাসের', 'জ্ঞাতিভ্রাতা']
['পুরাতন', 'বুড়োর', 'বয়স্কা', 'পুরণ', 'পুরাতাত্বিক', 'প্রবীণ', 'গুরুদয়াল', 'মড়ক', 'বড়িশায়', 'বড়দা']
['পুরাতন', 'দুরন্ত', 'বুড়িয়ে', 'প্রবীণ', 'বুড়িয়ে', 'বয়স্ক', 'বুড়োর', 'বয়স্ক', 'বৃদ্ধাশ্রম', 'বয়স্কা']
['পুরাতন', 'পুরাতাত্বিক', 'দুর্নাম', 'বড়িশায়', 'দুর্বার', 'দীপঙ্কর', 'বুড়িঘাট', 'বুড়োর', 'বুড়িচং', 'প্রাচীণ']
['দুর্ভাগ্য', 'দূর্ভাগ্য', 'হতভাগ্য', 'দুর্ভাগ্যের', 'দূর্ভাগ্যের', 'দুর্ভাগ্যকে', 'দুর্দশা', 'দুর্ভাগ্যই', 'দুর্ভাগ্যজনক', 'দুর্ভাগ্যে']
['পুরাতন', 'বুড়িচং', 'দীদার', 'প্রবীণ', 'বুড়া', 'পুরাতাত্বিক', 'বুড়িমারী', 'বুড়োর', 'বয়াতী', 'তদ্বীয়']
['পুরাতন', 'পুরাতাত্বিক', 'প্রাচীণ', 'প্রাচীন', 'বড়িশায়', 'প্রবীণ', 'বাদুড়', 'ধূর্ত', 'বড়ছড়া', 'পুরাণ']
['দোষ', 'দোষও', 'দোষারোপ', 'দোষটা', 'দোষই', 'দোষের', 'দোষে', 'দোষী', 'দোষীকে', 'দোষারোপের']
['দোষী', 'দোষীকে', 'দোষীর', 'দোষারোপের', 'দোষীসাব্যস্ত', 'দোষীদের', 'দোষারোপ', 'দোষের', 'দোষও', 'দোষটা']
['পুরাতাত্বিক', 'পুরাতন', 'পুরাতাত্ত্বিক', 'ধনাত্মক', 'প্রাচীণ', 'বাগ্মী', 'প্রাচীনতম', 'তদ্বীয়', 'প্রবীণ', 'বড়বাগ']
['নশ্বর', 'পুরাতন', 'প্রবীণ', 'পুরাতাত্বিক', 'বুড়ির', 'প্রবীন', 'বুড়িচং', 'বৃদ্ধাশ্রম', 'বড়িশার', 'তদ্বীয়']
['পুরাতন', 'বুড়িরচর', 'পুরাতাত্বিক', 'বুড়িচং', 'বুড়িঘাট', 'মড়ক', 'বাদুড়', 'প্রবীণ', 'বুড়িচং', 'বুড়োর']
['মিথ্যা', 'মিথ্যাভাবে', 'মিথ্যে', 'মিথ্যের', 'মিথ্যাচারে', 'মিথ্যাও', 'মিথ্যায়', 'মিথ্যাই', 'মিথ্যাবাদী', 'মিথ্যাকে']
['বড়', 'পুরাতন', 'বুড়ো', 'বুড়া', 'বয়স্ক', 'বুড়িয়ে', 'বয়স্ক', 'বড়ে', 'বুড়োর', 'বড়বড়']
['সস্তা', 'পুরাতন', 'সস্তায়', 'পুরাতাত্বিক', 'প্রাচীণ', 'দুর্মূল্য', 'বুড়োর', 'প্রাচীনতম', 'প্রাচীন', 'বয়স্ক']
['পরিষ্কার', 'পরিষ্কারক', 'পরিষ্কারে', 'পুরাতন', 'পরিষ্কারের', 'অষ্টপরিষ্কার', 'পরিষ্কারই', 'পরিষ্কারভাবে', 'পুরাতাত্বিক', 'বয়স্কতম']
['সহজ', 'পুরাতন', 'সাধল', 'সহজে', 'সহজতম', 'সহজসাধ্য', 'পুরাতাত্বিক', 'বয়স্কতম', 'সহজের', 'বয়স্ক']
['ভারী', 'পুরাতন', 'প্রবীণ', 'প্রাচীণ', 'প্রাচীন', 'বুড়োর', 'বীণ', 'বয়স্ক', 'প্রবীন', 'পুরাতাত্বিক']
['পুরাতন', 'গরম', 'প্রাচীণ', 'পুরাতাত্বিক', 'প্রাচীন', 'প্রবীণ', 'বীণ', 'গরমের', 'প্রাচীনতম', 'বয়স্ক']
['ধনী', 'ধনীদের', 'বড়লোক', 'ধনদৌলত', 'বড়বাগ', 'ধনীর', 'ধনীরা', 'পুরাতাত্বিক', 'পুরাতন', 'প্রাচীণ']
['অবিবাহিত', 'অবিবাহিতা', 'বিবাহিত', 'বিবাহযোগ্য', 'বিবাহিতা', 'পুরাতন', 'বিবাহযোগ্যা', 'বিবাহবহির্ভূত', 'বিবাহপূর্ব', 'বিবাহোত্তর']
['ঠিক', 'পুরাতন', 'সঠিক', 'ঠিকরে', 'ঠিকমত', 'বুড়োর', 'বয়স্ক', 'ঠিকঠাক', 'ঠিকমতো', 'বুড়ো']
['নিরাপদ', 'নিরাপদে', 'নিরাপদভাবে', 'নিরাপদেই', 'নিরাপত্তাজনিত', 'পুরাতন', 'নিরাপত্তাহীন', 'নিরাপত্তাগত', 'রক্ষনাত্মক', 'নিরাপত্তাতল্লাশি']
['পুরাতন', 'পুরাতাত্বিক', 'প্রবীণ', 'প্রাচীণ', 'বুড়িবালাম', 'বৃদ্ধিকরণ', 'বড়ছড়া', 'বড়িশায়', 'বুড়িচং', 'পুরণ']
['পুরাতন', 'পুরাতাত্বিক', 'পুরণ', 'পুরাণ', 'বড়িশায়', 'বুড়িবালাম', 'মড়ক', 'প্রাচীন', 'বুড়োর', 'প্রবীণ']
['লম্বা', 'লম্বাও', 'লম্বাই', 'পুরাতন', 'লম্বায়', 'বড়বড়', 'লম্বায়', 'বড়ু', 'বড', 'বয়স্ক']
['দীর্ঘ', 'দীর্ঘ্য', 'পুরাতন', 'দীর্ঘায়ু', 'দীর্ঘকালীন', 'সুদীর্ঘ', 'দীর্ঘকায়', 'দীর্ঘায়িত', 'সুদীর্ঘকাল', 'দীর্ঘকাল']
['ভিজা', 'ভেগা', 'ভিজিএ', 'ভিসিরা', 'ভিগা', 'ভিতা', 'ভিসিএ', 'ভিস্টা', 'বুড়িচং', 'ভিয়া']
['পুরাতন', 'বড্ড', 'দুরন্ত', 'বুড়োর', 'মড়ক', 'পুরোন', 'বড়ি', 'পুরাণ', 'পুরণ', 'পুরু']
['পুরাতন', 'প্রবীণ', 'বুড়িয়ে', 'পুরাতাত্বিক', 'পুরাণ', 'বুড়িয়ে', 'বাদুড়', 'বুড়িঘাট', 'প্রবীন', 'বুড়োর']
['আঁটসাঁট', 'বুড়িঘাট', 'পুরাতন', 'আঁটছে', 'বুড়িচং', 'বাদুড়', 'আঁটির', 'বুড়িয়ে', 'আঁটলেন', 'আঁটে']
['পুরাতন', 'বুড়ো', 'বয়স্ক', 'বুড়োর', 'বড', 'বয়স্কা', 'বয়স্ক', 'বড়দা', 'বয়স্কতম', 'ভালো']
['পুরাতন', 'খোলা', 'খুলল', 'খোলসা', 'খোলায়', 'খোলের', 'খুলে', 'পুরাণ', 'খোলে', 'খোলানো']
['পরিষ্কার', 'পরিষ্কারক', 'পরিষ্কারে', 'পুরাতন', 'পরিষ্কারের', 'অষ্টপরিষ্কার', 'পরিষ্কারই', 'পরিষ্কারভাবে', 'পুরাতাত্বিক', 'বয়স্কতম']
['পুরাতন', 'পুরাতাত্বিক', 'দীদার', 'প্রবীণ', 'প্রাচীণ', 'গুরুদয়াল', 'প্রাচীন', 'দামী', 'দীনদয়াল', 'তদ্বীয়']
['অকর্মক', 'অভাবনীয়', 'অপচনশীল', 'অবিশুদ্ধ', 'অপ্রাপ্তির', 'অপ্রস্তুত', 'অসজ্জিত', 'অনর্থক', 'অকাদেমী', 'অপ্রতিভ']
['অক্ষম', 'অক্ষমতাজনিত', 'অক্ষতই', 'ক্ষমতাহীন', 'অযোগ্যতার', 'অক্ষমতার', 'অসমর্থ', 'অবকক্ষ', 'অভাবনীয়', 'আপসহীন']
['অতিশীতল', 'অসমতল', 'অযাচিত', 'অবসর্পিণী', 'অপ্রচলিত', 'অপ্রতুল', 'অসমাপিকা', 'অপরিমিত', 'অবিদিত', 'অতিবাহিত']
['অচেতন', 'অসজ্জিত', 'অচেতনতা', 'অবিদিত', 'অবিশ্রান্ত', 'অবসর্পিণী', 'অসচেতনতার', 'অপ্রচলিত', 'অযাচিত', 'অবিচলিত']
['অনুকূল', 'অনুকল্পিত', 'অনুকূলিত', 'অবকাশকালীন', 'অসদৃশ', 'অতিশীতল', 'অনাবৃত', 'অপরিমিত', 'অনিগমিত', 'অপসূর']
['অনুরাগ', 'অনুরাগের', 'অনুরাগী', 'অনুরাগীর', 'অপরীক্ষিত', 'অবসাদজনিত', 'অনুজাচরণ', 'অসংলগ্ন', 'অনুরক্ত', 'অনুরাসিরি']
['অহিংস', 'অহংবোধের', 'অপঘর্ষক', 'অবরোধ', 'অদূরদর্শিতা', 'অবর্ণনীয়', 'অনির্ণীত', 'অশালীন', 'অনাবাদি', 'অপমৃত্যুর']
['আলস্য', 'অব্যহতির', 'আলহাজ', 'আলামত', 'অবিনশ্বর', 'অকালমৃত্যুর', 'অপরিশোধিত', 'অকালমৃত্যু', 'আলহাজ্ব', 'অবসর্পিণী']
['আসক্ত', 'অবসাদজনিত', 'অবিসংবাদিত', 'অবিহিত', 'অপরীক্ষিত', 'অবলোহিত', 'অবক্ষয়', 'অসনাক্ত', 'অবক্ষয়ের', 'অঘোষিত']
['আস্তিক', 'অবিরামভাবে', 'অতিরক্ষণশীল', 'অবকাশে', 'অবসাদজনিত', 'অবনতিশীল', 'আস্তিক্যবাদী', 'অবিরাম', 'অতিরঞ্জিত', 'অবিদিত']
['ইতর', 'অব্যহতির', 'অদূরেই', 'অপসূর', 'অনতিদূরে', 'অদূর', 'ইতে', 'অপরিবর্তিতই', 'অনুবর্তী', 'অপরিণত']
['অপূর্বর', 'অপূর্ব', 'উচ্চ', 'অলক্ষিত', 'অস্থিরতার', 'অনাত্তলক্ষন', 'অবিলম্ব', 'পূর্ণেন্দু', 'অতিরঞ্জন', 'উচ্চকিত']
['উৎকৃষ্ট', 'উৎকৃষ্টতর', 'সর্বোৎকৃষ্ট', 'সর্বজ্যেষ্ঠ', 'শ্রেষ্ঠ', 'অসুবিধাজনক', 'পরলোকগত', 'গুণগত', 'অদূর', 'গুণগতমান']
['অতিকায়', 'অতিশীতল', 'অনতিদূরে', 'অতিবাহিত', 'অপরিমিত', 'অসম্পন্ন', 'অতিমাত্রায়', 'অতৃপ্তি', 'অপরিবর্তিতই', 'অতিরঞ্জন']
['উন্নত', 'উন্নততর', 'উন্নতর', 'উন্নতিতে', 'উন্নতিকরণ', 'উন্নতির', 'উন্নতিই', 'উন্নতি', 'উন্নতকরণ', 'উন্নতিসাধনে']
['উন্নতি', 'উন্নতিকরণ', 'উন্নতির', 'উন্নতিতে', 'উন্নতিসাধনে', 'উন্নতর', 'উন্নতকরণ', 'উন্নতিকে', 'উন্নতিই', 'উন্নতিসাধন']
['উপকারিতা', 'অদূরদর্শিতা', 'অপরিশোধিত', 'অবসর্পিণী', 'অখণ্ডিত', 'অকালমৃত্যুর', 'অসমতল', 'অপ্রাপ্তি', 'অপরিমিত', 'অকালমৃত্যু']
['উষ্ণ', 'উষ্ণতম', 'উষ্ণতর', 'উষ্ণশোণিত', 'উষ্ণায়ন', 'উষ্ণতার', 'উষ্ণায়নের', 'উষ্ণতা', 'উষ্ণতাও', 'উষ্ণায়ন']
['কচি', 'পরিচি', 'অপরিশোধিত', 'চোকসি', 'অবকাশের', 'কুশখালী', 'কুচকুচি', 'চিকণ', 'কদমতলী', 'পটকাবাজি']
['কুৎসিত', 'অরুন্ধতী', 'হৈমবতী', 'অসুন্দর', 'ঘৃণ্য', 'ভয়াবহ', 'বিষণ্ণ', 'অব্দবিশেষ', 'জঘন্য', 'অালী']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'কৃতজ্ঞতাস্বরূপ', 'কৃতজ্ঞতায়', 'কৃতজ্ঞতা', 'কৃতজ্ঞতার', 'কৃতজ্ঞচিত্তে', 'কৃতি', 'কৃতার্থ', 'কৃতকাজ', 'কৃপাবলম্বনকরী']
['কোমল', 'কোমলতা', 'অমিল', 'অমিলের', 'অমলকে', 'কোমলতার', 'অমলের', 'অপরিশোধিত', 'অপরিমিত', 'অনত্যম']
['গণ্য', 'পরিব্যক্তি', 'প্রত্যুষ', 'অক্ষমদের', 'অব্যহতির', 'স্বজনদের', 'উপভোক্তা', 'অনাগরিকদের', 'অনার্যদের', 'তদের']
['অপরিশোধিত', 'অবসর্পিণী', 'অপরিমিত', 'অসমসাহসী', 'অবলুপ্তি', 'অব্যহতির', 'অতিধনীর', 'অসমাপিকা', 'অপ্রতুল', 'অপবর্জন']
['গরিষ্ঠ', 'বরিষ্ঠ', 'অপরিমিত', 'অতিরক্ষণশীল', 'অব্দবিশেষ', 'অতিদ্রুত', 'অপরিশোধিত', 'সুতীক্ষ্ণ', 'অবর্তীণ', 'অনির্দিষ্টকাল']
['খ্যাতি', 'খ্যাতিতে', 'তারকাখ্যাত', 'খ্যাতিকে', 'খ্যাতিমান', 'বিশ্বখ্যাত', 'খ্যাতির', 'স্বনামখ্যাত', 'জগদ্বিখ্যাত', 'বিখ্যাতটি']
['খ্যাত', 'প্রখ্যাত', 'অলক্ষিত', 'আখ্যাত', 'স্বনামখ্যাত', 'তারকাখ্যাত', 'অবক্ষেপনের', 'অবিহিত', 'অবক্ষয়ের', 'অবসর্পিণী']
['গঞ্জনা', 'গোবিন্দা', 'গঞ্জা', 'গন্ডোয়ানা', 'গাঞ্জা', 'গণ্ডোয়ানা', 'গৌরাঙ্গের', 'গাজনা', 'গোপীনাথের', 'গুনাতিলকা']
['গরল', 'অতিশীতল', 'অতুলনীয়', 'বরকল', 'অমুল্য', 'অবিরল', 'অতিদানব', 'অপ্রতুল', 'অনবরত', 'অতিদ্রুত']
['গৌণ', 'বীজগণিত', 'অপরিশোধিত', 'গৌতম', 'গৌরবময়', 'গৌতমী', 'অতিশীতল', 'অলঙ্ঘনীয়', 'গৌরী', 'অকালী']
['চঞ্চল', 'অপরিশোধিত', 'অবসর্পিণী', 'অপরিমিত', 'অবক্ষেপিত', 'অপ্রচলিত', 'অনাকাঙ্ক্ষিত', 'অবক্ষেপণ', 'অমার্জিত', 'অবস্তুগত']
['জটিল', 'জটিলই', 'জটিলতার', 'জটিলতায়', 'জটিলতাই', 'জটিলতা', 'জটিলতায়', 'জটিলতর', 'জটিলের', 'ঝামেলাপূর্ণ']
['জ্ঞানী', 'জ্ঞানীর', 'জ্ঞানার্জনের', 'জ্ঞানদা', 'জ্ঞানদানের', 'জ্ঞানালোক', 'জ্ঞানের', 'জ্ঞানীগুণী', 'জ্ঞানদান', 'জ্ঞানান্বেষী']
['অপরিশোধিত', 'অপরিমিত', 'অখণ্ডিত', 'অপ্রতুল', 'অবসর্পিণী', 'অকপটে', 'অতিমহানগরী', 'অপ্রজনন', 'অগোচর', 'অনুপলব্ধ']
['দুরন্ত', 'দুরন্তপনার', 'বদান্যতা', 'দুরন্তপনা', 'অবিরল', 'অবিদিত', 'অতিবাহিত', 'অণুন্নত', 'অবিরাম', 'বেদান্তের']
['অবলুপ্তি', 'অবসর্পিণী', 'অবাঞ্চিত', 'অপ্রাপ্তি', 'অব্দবিশেষ', 'অবমুক্তিকালীন', 'অসমতল', 'অসুবিধে', 'অনাকাঙ্ক্ষিত', 'অনাত্তলক্ষন']
['দুর্ভাগ্য', 'দূর্ভাগ্য', 'হতভাগ্য', 'দুর্ভাগ্যের', 'দুর্ভাগ্যই', 'দূর্ভাগ্যের', 'দুর্ভাগ্যকে', 'দুর্ভাগ্যজনক', 'দূর্ভাগ্যজনক', 'দুর্ভাগ্যে']
['অপরিশোধিত', 'দেশী', 'অনত্যম', 'অপরিমিত', 'অসমসাহসী', 'অবসর্পিণী', 'অসমতল', 'অবিনাশী', 'অবস্তুগত', 'দেশহীন']
['অনাকাঙ্ক্ষিত', 'অবসর্পিণী', 'অপ্রচলিত', 'অবিশ্রান্ত', 'অবিশুদ্ধ', 'অপরিশোধিত', 'অসজ্জিত', 'অপরিমিত', 'অবলুপ্তি', 'অলক্ষিত']
['দোষ', 'দোষও', 'দোষেই', 'দোষই', 'দোষারোপ', 'দোষটা', 'দোষে', 'দোষত্রুটি', 'দোষী', 'দোষের']
['দোষী', 'দোষীকে', 'দোষীর', 'দোষারোপের', 'দোষীসাব্যস্ত', 'দোষারোপ', 'দোষই', 'দোষও', 'দোষীদের', 'নির্দোষ']
['ধনাত্মক', 'অতিশীতল', 'অপবিত্র', 'অবিশুদ্ধ', 'অতিদ্রুত', 'অলক্ষ্মী', 'অজামিনযোগ্য', 'অপরিশোধিত', 'অসঙ্গতিপূর্ণ', 'অনাকাঙ্ক্ষিত']
['নতুন', 'নতুনতর', 'নতুনরা', 'অব্যহতির', 'নতুনপাড়া', 'নতুনে', 'অবক্ষেপনের', 'অপরিমিত', 'নতুনত্বের', 'অতিধনীর']
['অবিরাম', 'অতিরঞ্জন', 'অপরিমিত', 'অস্থিরতার', 'অনাত্তলক্ষন', 'অবলুপ্তি', 'অনধিগম্য', 'অব্যহতির', 'অখণ্ডিত', 'অনবরত']
['মিথ্যা', 'মিথ্যাভাবে', 'মিথ্যের', 'মিথ্যে', 'মিথ্যাই', 'মিথ্যাও', 'মিথ্যায়', 'মিথ্যাচারে', 'মিথ্যাবাদী', 'মিথ্যাচার']
['বড়', 'বড়ে', 'বড়ু', 'বড়ো', 'বুড়ো', 'বুড়া', 'বড়ে', 'বড', 'বড়া', 'বড়দা']
['সস্তা', 'অসবর্ণ', 'সস্তায়', 'অমূল্য', 'অবিশুদ্ধ', 'অতিশীতল', 'অভাবজনিত', 'দুর্মূল্য', 'প্রতিদানহীন', 'অমুল্য']
['পরিষ্কার', 'পরিষ্কারে', 'পরিষ্কারক', 'পরিষ্কারের', 'পরিষ্কারই', 'অপরিষ্কার', 'অষ্টপরিষ্কার', 'পরিষ্কারভাবে', 'পরিষ্কারভাবেই', 'পরিস্কারভাবে']
['সহজ', 'সহজের', 'সহজে', 'সহজেই', 'সহজসাধ্য', 'সহজভাবে', 'সহজতম', 'সহজভাবেই', 'সহজসরল', 'সহজই']
['ভারী', 'অপরিশোধিত', 'অপরিমিত', 'অতিবেগুণী', 'অতিবাহিত', 'অবসর্পিণী', 'অনধিগম্য', 'অতিমহানগরী', 'অতিধনীর', 'অবস্তুগত']
['গরম', 'অতুলনীয়', 'গরমের', 'ভরহীন', 'অবিরামভাবে', 'আগরকর', 'অতিদানব', 'অতিশীতল', 'অতিরক্ষণশীল', 'অসজ্জিত']
['ধনী', 'ধনীদের', 'ধনীর', 'সম্পদশালী', 'ধনদৌলত', 'সমৃদ্ধশালী', 'সমৃদ্ধভাবে', 'ধনীরা', 'সমৃদ্ধ', 'ধনসম্পদ']
