['চাচা', 'চাচাকে', 'আংকেল', 'আঙ্কল', 'নানু', 'আঙ্কর', 'আঙ্কেল', 'চাচাতো', 'মামা', 'মা']
['ছেলে', 'ছেল', 'ছেলেরে', 'ছেলেই', 'ছেলের', 'ছেলেমেয়েকে', 'ছেলেকে', 'ছেলেমেয়ে', 'ছেলেকেই', 'ছেলেমেয়ের']
['বর', 'বারা', 'বহি', 'বরের', 'রণে', 'বকরের', 'যমের', 'পাবন', 'তরলা', 'বাইত']
['বাদশা', 'বাদশাকে', 'বাদশাহী', 'বাদশাহকে', 'বাদশাহো', 'বাদশাহ', 'উপাসনা', 'বাদশাদের', 'বাদশাহদের', 'বাদশাহর']
['কাঙ্গাল', 'কাঞ্চী', 'কাঙ্গালিনী', 'কাঞ্চনমালা', 'কাঞ্চীর', 'কোংকা', 'কাঞ্জোয়াল', 'কঙ্কালীতলা', 'কাঞ্চন', 'কান্ধলভি']
['বাঘ', 'বাঘের', 'বাঘি', 'বাঘও', 'বাঘায়', 'বাঘকে', 'বাঘে', 'বাঘটির', 'বাঘই', 'বাঘী']
['যোগী', 'যোগীর', 'যোগীকে', 'যোগিতা', 'যোগিনী', 'সমাগমের', 'যোগদা', 'যোগিনীর', 'যোগি', 'সহপাঠি']
['তেজস্বী', 'তেজস্বীর', 'তেজহাটী', 'যশস্বী', 'তেজতুরী', 'তপস্বী', 'তেমুহনী', 'তাপনী', 'তাবলীগের', 'তাবলীগ']
['কিশোর', 'কিশোরের', 'কিশোরীর', 'কিশোরীটির', 'কিশোরটির', 'কিশোরকে', 'কিশোরী', 'কিশোরীটি', 'কিশোরই', 'কিশোরকালীন']
['নর', 'নার', 'নাইর', 'নুরে', 'নির', 'নিরেন', 'নাইরে', 'নরের', 'নিরো', 'নুর']
['সুন্দর', 'সুন্দরতম', 'সুন্দরম', 'সুন্দরি', 'সৌন্দর্যই', 'সুন্দরী', 'সৌন্দর্যময়', 'সুদর্শন', 'সৌন্দর্যে', 'সুন্দরীর']
['গুণবান', 'গুণবতী', 'গুণাবলী', 'গুণাবলির', 'গুণাগুণ', 'গুণাবলি', 'মহানবমী', 'গুণাবলীর', 'গুণগান', 'গুণী']
['পুণ্যবান', 'পুণ্যলতা', 'বেষ্টন', 'পরিমাপন', 'উপশাখা', 'প্রশাখা', 'পরাগরেণু', 'প্রবচন', 'প্রযত্ন', 'নকশাল']
['শ্রীমান', 'শ্রীময়ী', 'শ্রীনগর', 'শ্রীমা', 'শ্রীমদ্', 'শ্রীম', 'শ্রীশ্রী', 'শ্রীমতি', 'শ্রীরামকে', 'শ্রীপদ']
['বিজয়', 'বিজিতা', 'বিজয়নগরে', 'বিজয়ের', 'জয়ধ্বনী', 'জয়ধ্বনি', 'বিজয়ন', 'বিজয়িনী', 'জয়ধ্বজ', 'বিজয়ন']
['পাঠক', 'পাঠকের', 'পাঠকারী', 'পাঠককে', 'পাঠকদের', 'পাঠকক্ষ', 'পাঠকরা', 'পাঠকেরা', 'পাঠকে', 'পাঠিকাদের']
['লেখক', 'লেখিকার', 'লেখকের', 'লিখক', 'লেখনীর', 'লেখনী', 'লেখককে', 'লেখকগণের', 'লেখিকা', 'লেখিকাদের']
['গায়ক', 'গায়িকার', 'গায়িকা', 'গায়িকাকে', 'গায়কের', 'সঙ্গীতালোচক', 'গায়ত্রী', 'সঙ্গীতধারার', 'গায়ককে', 'গানলেখক']
['খোকা', 'গোশালা', 'খোকাবাবু', 'উপজেলা', 'খোকাকে', 'বাগধা', 'মাগধী', 'যশোদল', 'খোকনের', 'শলাকা']
['ছাত্র', 'ছাত্রের', 'ছাত্রীর', 'ছাত্রকে', 'ছাত্রে', 'ছাত্রছাত্রীর', 'ছাত্রদের', 'ছাত্রটির', 'ছাত্রছাত্রী', 'ছাত্রশিবির']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষকের', 'শিক্ষকগণের', 'শিক্ষকতার', 'শিক্ষককে', 'শিক্ষিকা', 'শিক্ষকই', 'শিক্ষাদর্শন', 'শিক্ষানগরী']
['নেতা', 'নেতার', 'নেতাজীর', 'নেতায়', 'নেতাজী', 'নেতাজি', 'নেতায়', 'নেতাজির', 'নেতাই', 'নেতাকে']
['পাগল', 'পাগলা', 'পাগলী', 'পাগলীর', 'পাগলি', 'পাগলের', 'পাগলও', 'পাগলায়', 'পাগলার', 'পাগলাটে']
['প্রিয়', 'প্রিয়তম', 'প্রিয়তমা', 'প্রিয়জন', 'প্রিতম', 'প্রিয়জনের', 'প্রিয়তা', 'প্রমোদ', 'প্রিয়', 'প্রেমাম']
['কনিষ্ঠ', 'গরিষ্ঠ', 'অল্পে', 'বরইতলা', 'ধিমাল', 'ছোটনের', 'ন্যুনতম', 'ছোটভাকলা', 'গরমজনিত', 'সর্বাঙ্গীণ']
['লোক', 'লোকজন', 'লোকজন', 'লোকটা', 'লোকটির', 'লোকজনের', 'লোকটি', 'লোকটিকে', 'ব্যক্তি', 'লোকদের']
['শ্রমিক', 'শ্রমিকের', 'শ্রমিকনেতা', 'শ্রমিককে', 'শ্রমিকশ্রেণির', 'শ্রমিকরা', 'শ্রমের', 'শ্রমিকদের', 'চাকুরী', 'কর্মবীর']
['বাবা', 'বাপের', 'বাপা', 'পিতাই', 'বাবাই', 'বাবাও', 'বাপ', 'আব্বা', 'পিতা', 'পিতি']
['চাচা', 'চাচাতো', 'চাচাকে', 'আঙ্কল', 'আংকেল', 'আঙ্কর', 'আঙ্কেল', 'চাচাতো', 'চাচাও', 'চাচারা']
['দাদা', 'দাদি', 'দাদু', 'দাদাজী', 'দাদার', 'দাদরি', 'দাদাপীর', 'দাদন', 'দাদির', 'দাদাপুর']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানি', 'নিদা', 'নেশা', 'অনিতা', 'নয়তলা', 'নুন্দা', 'ভাদা', 'নাইনা', 'নিয়া']
['জেলে', 'জেলেই', 'জেলহাজতে', 'জেলখানায়', 'কারাগারে', 'কারাদন্ডে', 'কারাগারটিতে', 'কারাদণ্ডে', 'জেলের', 'বন্দীশালায়']
['ধোপা', 'চৌকষ', 'শালগাছ', 'গোঁড়ামি', 'তোড়', 'পটকা', 'পলাশী', 'ধামাচাপা', 'গোঁয়াখালী', 'ভোজদেব']
['বেদে', 'বরইতলী', 'বেদই', 'সারদামণি', 'সরোদে', 'বরতমানে', 'বরইতলা', 'আদরে', 'শালদিহা', 'আদুরে']
['গহবর', 'গীত', 'গোচরে', 'বরাহ', 'গুরগ', 'গহপুর', 'গুরগুরি', 'গুরু', 'চৌকষ', 'হালের']
['ছেলেই', 'ছেলে', 'ছেল', 'ছেলের', 'ছেলেরে', 'ছেলেকেই', 'ছেলেকে', 'ছেলেমেয়ে', 'ছেলেবেলা', 'পুত্রই']
['বর', 'বিছে', 'বরজে', 'বখে', 'বরের', 'দৌলে', 'অলবর', 'বরইতলা', 'সরোদে', 'বরাবর']
['বাদশা', 'বাদশাহী', 'বাদশাহো', 'বাদশাহকে', 'বাদশাকে', 'বাদশাহর', 'উপাসনা', 'বাদশাহ', 'বাদশাহদের', 'যুগবাণী']
['কাঙ্গাল', 'কুনহাল', 'কংসাবতী', 'কান্ধলভি', 'কান্ধলভী', 'কংলাক', 'কংকর', 'কঙ্কালীতলা', 'কাণ্ডারী', 'কটিয়াদী']
['বাঘ', 'বাঘের', 'বাঘে', 'বাঘও', 'বাঘাইছড়ির', 'দীঘির', 'বাঘই', 'বাঘি', 'বাঘকে', 'ঘোড়াঘাট']
['যোগী', 'যোগীর', 'যোগদা', 'যোগীকে', 'যোগিতা', 'যোগীপোল', 'যোগের', 'সহপাঠি', 'যোগকে', 'যৌথ']
['তেজস্বী', 'বরইতলী', 'তেজখালী', 'বিশ্বজনমত', 'তেজস্বীর', 'তেজহাটী', 'শালদিহা', 'শস্যোৎসব', 'শারদোৎসব', 'আসনপ্রতি']
['কিশোর', 'কিশোরীর', 'কিশোরের', 'বরইতলী', 'যুগলকিশোর', 'ছোটগল্পের', 'গুঁইসাপের', 'ছোটগল্পে', 'কিশোরী', 'ছোটভাকলা']
['নর', 'নুরে', 'নিরোদ', 'নদর', 'নদ', 'নতুর', 'নোরগে', 'নিরস', 'নিতুর', 'নিরাইন']
['সুন্দর', 'সুন্দরম', 'সুন্দরতম', 'সুন্দরি', 'সৌন্দর্যই', 'সুন্দরী', 'সুদর্শন', 'সুক্ষ্ম', 'সুন্দরভাবে', 'দরুণ']
['অধীকার', 'গুণাবলী', 'বিলাশবহুল', 'গুণবান', 'পৌলমী', 'শালদিহা', 'অত্যুৎসাহী', 'গুণবতী', 'গুণী', 'গুঁইসাপের']
['শোভাবর্ধক', 'অনুপ্রস্থ', 'অধীনস্থ', 'প্রান্তস্থ', 'তন্তুযুক্ত', 'প্রস্ত্তত', 'বার্ধক্যজনিত', 'প্রবাহীর', 'তেজদীপ্ত', 'শালদিহা']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতী', 'বুদ্ধিমতি', 'সুবুদ্ধি', 'বুদ্ধিমত্তা', 'বুদ্ধিগত', 'বুদ্ধিদীপ্ত', 'শুদ্ধি', 'বিশুদ্ধতম']
['বিজয়', 'বিজয়পাত', 'বিজয়ের', 'বিজয়নগরে', 'জয়মতী', 'বিজয়ী', 'বিজয়নগর', 'বিজয়াবর্ধনে', 'বিজয়িনী', 'বিজয়ন']
['পাঠক', 'পাঠকের', 'পাঠককে', 'পাঠকক্ষ', 'পাঠকই', 'পাঠকারী', 'পাঠকদের', 'পাঠকরা', 'পাঠকে', 'পাঠকেরা']
['লেখক', 'লেখকের', 'লিখক', 'লেখনীর', 'লেখনী', 'লেখককে', 'লেখিকার', 'লেখিকাদের', 'লিখুক', 'লেখিকাকে']
['গায়ক', 'গায়িকা', 'গায়িকার', 'গায়িকাকে', 'গায়কের', 'উদাসী', 'গানলেখক', 'গাইছি', 'সংগী', 'গায়িকার']
['খোকা', 'শালদা', 'চৌকষ', 'ঠোকর', 'ঠোকা', 'মোকছেদুল', 'শালগম', 'শালদিহা', 'বরইতলী', 'গোঁড়ামি']
['ছাত্র', 'ছাত্রে', 'ছাত্রের', 'ছাত্রকে', 'ছাত্রছাত্রীর', 'ছাত্রটির', 'ছাত্রটি', 'ছাত্রটিকে', 'ছাত্রীর', 'ছাত্রই']
['শিক্ষক', 'শিক্ষকই', 'শিক্ষকের', 'শিক্ষকগণের', 'অশিক্ষক', 'শিক্ষকনেতা', 'শিক্ষকতার', 'শিক্ষিকা', 'শিক্ষিকার', 'শিক্ষকরূপে']
['নেতা', 'নেতায়', 'নেতার', 'নেতাজী', 'নেতাজীর', 'নেতাকে', 'নেতায়', 'নেতাজি', 'নেতাই', 'নেতাকেই']
['পাগলী', 'পাগল', 'পাগলের', 'পাগলাপীর', 'পাগলও', 'পাগলীর', 'পাগলা', 'পাগলি', 'পাগলামি', 'পাগলামির']
['প্রিয়', 'প্রিয়তম', 'প্রিয়তমা', 'প্রিতম', 'প্রিয়জনের', 'প্রিয়জন', 'প্রিয়তা', 'প্রমোদ', 'প্রিয়তা', 'প্রেমতোষ']
['কনিষ্ঠ', 'বরইতলা', 'বস্তুনিষ্ঠ', 'বরইতলী', 'গরিষ্ঠ', 'অধীকার', 'সুক্ষ', 'অশিষ্ট', 'অল্পক্ষণ', 'ততোধিক']
['লোক', 'লোকটা', 'লোকটির', 'লোকজন', 'লোকজন', 'লোকটি', 'লোকজনের', 'লোকটাকে', 'লোককে', 'লোকের']
['শ্রমিক', 'শ্রমিকের', 'শ্রমিকনেতা', 'শ্রমিককে', 'শ্রমের', 'চাকুরী', 'চাকরী', 'শ্রমিকগণ', 'শ্রমিকদের', 'শ্রমিকশ্রেণির']
['বাবা', 'বাবাই', 'বাবাও', 'বাপের', 'বাপা', 'বাবার', 'বাবি', 'বাপ', 'বাবর', 'বাবে']
['চাচা', 'চাচাকে', 'চাচাতো', 'আংকেল', 'আঙ্কল', 'আঙ্কর', 'আঙ্কেল', 'মামা', 'চাচারা', 'চাচাতো']
['দাদা', 'দাদাজী', 'দাদরি', 'দাদি', 'দাদাপীর', 'দাদার', 'দাদন', 'দাদু', 'দাদাপুর', 'দাদির']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নাজনা', 'নাইনা', 'নানাজনের', 'নুনু', 'নানি', 'নুনা', 'নিয়া', 'য়ানা', 'নানান']
['জেলে', 'জেলেই', 'জেলখানায়', 'জেলহাজতে', 'কারাগারে', 'জেলখানায়', 'কারাদন্ডে', 'বন্দীশালায়', 'জেলের', 'বন্দীশিবিরে']
['ধোপা', 'শালগাছ', 'ধলাটুপি', 'ধলালেজ', 'ধোপাদী', 'ধুবরী', 'গুড়েবালি', 'কধুরখীল', 'খুচরো', 'ছুতোয়']
['বেদে', 'বেদই', 'বেয়াদবি', 'বেদিতে', 'বেদখলে', 'বিন্দি', 'সারদামণি', 'বল্দাক', 'বেখেয়ালী', 'বরইতলী']
['গুরু', 'খুবিই', 'গুরগুরি', 'চৌহালি', 'গহর', 'খুচরো', 'গোখরো', 'খলজী', 'খুবি', 'খরুচে']
['ছেলে', 'ছেলেই', 'ছেলেরে', 'ছেল', 'ছেলেকে', 'ছেলেকেই', 'ছেলেমেয়ে', 'ছেলেবেলা', 'যুবাইরের', 'যুবাইর']
['বর', 'বাহির', 'বহি', 'বরাবর', 'বেতাই', 'বাহী', 'বরের', 'বেতী', 'স্বন', 'বর্তুল']
['বাদশা', 'বাদশাহী', 'বাদশাহো', 'বাদশাহকে', 'বাদশাকে', 'উপাসক', 'যুগবাণী', 'পদবীকে', 'বাদশাহদের', 'বাদশাহ']
['কাঙ্গাল', 'কুনহাল', 'কাঙ্গালিনী', 'কাঞ্চী', 'কান্ধলভি', 'কিনজাল', 'কাঞ্জোয়াল', 'কোনাখালী', 'কঙ্কালীতলা', 'কাঞ্চনমালা']
['বাঘ', 'বাঘও', 'বাঘাইছড়ির', 'বাঘের', 'বাঘি', 'বাঘই', 'বাঘবেড়', 'বাঘসহ', 'বাঘটির', 'বাঘাবাড়ি']
['যোগী', 'যোগীর', 'যোগিনী', 'যোগীকে', 'যুগোপযোগী', 'যোগদানকারী', 'যোগসাজশ', 'সঙ্গতকারী', 'যোগীপোল', 'যোজক']
['তেজস্বী', 'তেজস্বীর', 'তেজতুরী', 'তোত্তোরি', 'শৌলমারী', 'সুঠামদেহী', 'তেজখালী', 'ছত্রাকজনিত', 'যাতায়াতকারী', 'তেজহাটী']
['কিশোর', 'কিশোরের', 'কিশোরই', 'কিশোরীর', 'কিশোরী', 'যুগলকিশোর', 'কিশোরকালীন', 'কিশোরকে', 'কিশোরীটি', 'কৈশোরের']
['নর', 'নুরে', 'নিরেন', 'নার', 'নির', 'নীর', 'নুর', 'নিরোকে', 'নরুল', 'নদর']
['সুন্দর', 'সুন্দরম', 'সুন্দরতম', 'সুন্দরি', 'সুদর্শন', 'সুক্ষ্ম', 'সুন্দরভাবে', 'সুন্দরী', 'দরুণ', 'সৌন্দর্যই']
['গুণবান', 'খানবিলকর', 'বিলাশবহুল', 'গুণাবলী', 'বারুয়াখালী', 'স্বাবলম্বী', 'গুনগতমান', 'সবুক্তগিন', 'পৌলমী', 'খিরসাপাতি']
['পুণ্যবান', 'স্বাবলম্বী', 'প্রাবন্ধিক', 'প্রান্তস্থ', 'শৃঙ্গযুক্ত', 'খানবিলকর', 'নুরুদ্দীন', 'ব্রাক্ষ্মণ', 'স্বরবর্ণ', 'খলনায়ক']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতী', 'বুদ্ধিমতি', 'বুদ্ধিদীপ্ত', 'বুদ্ধিগত', 'বিশুদ্ধতম', 'সুবুদ্ধি', 'বুদ্ধিমত্তা', 'শুদ্ধি']
['শ্রীমান', 'শ্রীময়ী', 'শ্রীমতী', 'শ্রীম', 'শ্রীমতি', 'শ্রীকান্তকে', 'শ্রীমদ্ভাগবত', 'শ্রীমা', 'শ্রীপদ', 'শ্রীমঙ্গলের']
['পাঠক', 'পাঠকের', 'পাঠককে', 'পাঠকারী', 'পাঠকক্ষ', 'পাঠকদের', 'পাঠকরা', 'পাঠকেরা', 'পাঠকই', 'পাঠিকাদের']
['লেখক', 'লিখক', 'লেখকের', 'লেখিকার', 'লেখনীর', 'লেখিকাদের', 'লেখককে', 'লেখকগণের', 'লেখিকাকে', 'লেখিকা']
['গায়ক', 'গায়িকার', 'গায়িকা', 'গানলেখক', 'গায়িকাকে', 'গায়কের', 'গায়ককে', 'গায়ত্রী', 'গায়িকার', 'সঙ্গীতালোচক']
['খোকা', 'খুচরো', 'খোকাবাবু', 'ছোঁয়াই', 'গুড়েবালি', 'খোজাদের', 'খোকাকে', 'শালগাছ', 'চৌহালী', 'ছোঁয়ান']
['ছাত্র', 'ছাত্রকে', 'ছাত্রছাত্রীর', 'ছাত্রের', 'ছাত্রশিবির', 'ছাত্রদের', 'ছাত্রীর', 'ছাত্রে', 'ছাত্রবিষয়ক', 'ছাত্রলীগের']
['শিক্ষক', 'শিক্ষকই', 'শিক্ষকের', 'শিক্ষিকার', 'শিক্ষাথী', 'শিক্ষানগরী', 'শিক্ষকগণের', 'শিক্ষাদানকারী', 'শিক্ষাবিষয়ক', 'অশিক্ষক']
['নেতা', 'নেতাজি', 'নেতাজী', 'নেতার', 'নেতাই', 'নেতায়', 'নেতাজীর', 'নেতাকে', 'নেতায়', 'নেতাকেই']
['পাগলি', 'পাগলী', 'পাগল', 'পাগলাপীর', 'পাগলীর', 'পাগলের', 'পাগলার', 'পাগলা', 'পাগলও', 'পাগলকে']
['প্রিয়', 'প্রিয়তম', 'প্রিয়জন', 'প্রিয়জনের', 'প্রিতম', 'প্রিয়কের', 'প্রিয়তমা', 'প্রমোদ', 'প্রিয়ন', 'প্রিয়জনকে']
['কনিষ্ঠ', 'নিদারুণ', 'অশিষ্ট', 'গরিষ্ঠ', 'বিনম্র', 'ক্যত', 'বিনপুর', 'সচেয়ে', 'বারোতম', 'কনিষ্ঠতম']
['লোক', 'লোকজন', 'লোকটা', 'লোকটি', 'লোকটির', 'লোকজন', 'লোকজনের', 'লোকের', 'লোকতাক', 'লোককে']
['শ্রমিক', 'শ্রমিকের', 'শ্রমিকনেতা', 'শ্রমিককে', 'শ্রমবিষয়ক', 'শ্রমিকরা', 'কর্মবীর', 'শ্রমিকশ্রেণির', 'শ্রমিকগণ', 'শ্রমিকদের']
['বাবা', 'আব্বা', 'বাপা', 'বাবর', 'বাবে', 'বাবাও', 'আব্বুর', 'বাবরকে', 'আব্বাছ', 'আবাবা']
['চাচা', 'আংকেল', 'আঙ্কল', 'চাচাকে', 'আঙ্কেল', 'আঙ্কর', 'মামা', 'চাচাতো', 'চাচাতো', 'আঙ্কোলা']
['দাদা', 'দাদি', 'দাদন', 'দাদার', 'দাদু', 'দাদাকে', 'পরদাদা', 'দাদীর', 'দাদুকে', 'দাদাজী']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নাইনা', 'নাজনা', 'নুনা', 'নায়া', 'নানি', 'নিয়া', 'য়ানা', 'নানকানা', 'নানান']
['জেলে', 'জেলেই', 'জেলখানায়', 'কারাগারে', 'জেলখানায়', 'কারাদন্ডে', 'জেলহাজতে', 'জেলখানা', 'জেলের', 'কারাদণ্ডে']
['ধোপা', 'টুকরো', 'তুলিকা', 'মাতলা', 'ধুবড়িয়া', 'ধনুকা', 'ফোকলা', 'শুল্কায়ন', 'ধোলাই', 'ধোপাঘাটা']
['বেদে', 'বেদকে', 'আবাদে', 'সারদা', 'বেদিতে', 'বেয়াড়া', 'বাগিয়ে', 'আদুরে', 'খেপিয়ে', 'ভোগা']
['গুরু', 'গুরো', 'গুরা', 'গোয়া', 'গুনা', 'গুরুর', 'গুহকে', 'গুহর', 'গুহের', 'গুহায়']
['ছেলে', 'ছেল', 'ছেলেরে', 'পুত্রে', 'ছেলেমেয়ে', 'পুত্রা', 'ছেলেই', 'ছেলেকে', 'পুত্ৰ', 'ছেলেবেলা']
['বর', 'বারা', 'বহে', 'বইঠা', 'কররে', 'বাইত', 'তরলা', 'স্বন', 'রণে', 'বেরা']
['বাদশা', 'বাদশাকে', 'বাদশাহকে', 'বাদশাহো', 'উপাসনাকে', 'উপাসনা', 'উপাসনায়', 'বাদশাহী', 'উপাসনালয়ে', 'উপদেবতা']
['কাঙ্গাল', 'কুঞ্জে', 'কাঙ্গালিনী', 'কাঙাল', 'কানহাইয়া', 'কাংশা', 'কোংকা', 'কুঞ্জলতা', 'কুনাল', 'কানাল']
['বাঘ', 'বাঘায়', 'বাঘে', 'বাঘি', 'বাঘকে', 'বাঘের', 'বাঘার', 'বাঘটিকে', 'বাঘবেড়', 'বাঘও']
['যোগী', 'যোগিতা', 'যোগজ', 'যোগদা', 'যোগাযোগ', 'যোগীর', 'সহপাঠি', 'যোগি', 'সহযোগিতা', 'সঙ্গিত']
['তেজস্বী', 'তেজস্বীর', 'তপস্বী', 'তেজহাটী', 'তেজাব', 'তাবলীগ', 'ইচ্ছাঘোড়া', 'তাপনী', 'তোপখানা', 'তিজাহাজা']
['কিশোর', 'কিশোরীর', 'কেশের', 'আশিকুর', 'কিশোরের', 'কেশবের', 'কিশোরীটির', 'যশপুর', 'নিশাকে', 'জটায়ু']
['নর', 'নার', 'নিরেন', 'নুরে', 'নির', 'নদর', 'নর্দ', 'নরুল', 'নরা', 'নর্তন']
['সুন্দর', 'সুন্দরম', 'সুন্দরতম', 'সুন্দরি', 'সুদর্শন', 'সৌন্দর্যময়', 'সৌন্দর্যই', 'সৌন্দর্যে', 'সুন্দরের', 'সুন্দরী']
['গুণবান', 'গুণাবলি', 'গুণগান', 'গুণবতী', 'গল্পবলা', 'গুণকাম', 'গুণাগুন', 'গুণাবলী', 'গুণাগুণ', 'মগনামা']
['পুণ্যবান', 'স্ব্যিন', 'তন্তুবায়', 'পুণ্যলতা', 'শ্রেষ্ঠা', 'একরত্ন', 'পরগনায়', 'দর্শায়', 'প্রযত্ন', 'পুণ্যময়']
['বুদ্ধিমান', 'বুদ্ধিমতি', 'বুদ্ধিমানের', 'সুবুদ্ধি', 'বুদ্ধিমত্তা', 'বুদ্ধিমতী', 'শুদ্ধি', 'উপলদ্ধি', 'বুদ্ধিমত্তায়', 'বুদ্ধিমত্তায়']
['শ্রীমান', 'শ্রীমদ্', 'শ্রীমা', 'শ্রীনগর', 'শ্রীরামকে', 'শ্রীশ্রী', 'শ্রাইন', 'শ্রীপ্রিয়া', 'শ্রীম', 'শ্রীময়ী']
['বিজয়', 'বিজিতা', 'বিজয়ন', 'জয়ধ্বনি', 'জয়ধ্বজ', 'জয়ধ্বনী', 'বিজয়া', 'বিজয়', 'বিজয়গড়', 'বিজয়নগরে']
['লেখক', 'লেখনী', 'লেখিকা', 'লেখিকার', 'গ্রন্থগত', 'পাঠিকা', 'আমলনামা', 'গ্রন্থের', 'লিখবার', 'গ্রন্থ']
['গায়ক', 'গায়িকা', 'গায়িকাকে', 'গায়িকার', 'গানকে', 'গানে', 'সংঙ্গীত', 'সঙ্গীতা', 'সঙ্গীতঙ্গ', 'সিং']
['খোকা', 'শলাকা', 'উপজেলা', 'হোগলা', 'খুকু', 'নকলা', 'খাতা', 'আখিলা', 'বহুধা', 'পরিখা']
['ছাত্র', 'ছাত্রের', 'ছাত্রবৃত্তি', 'ছাত্রে', 'ছাত্রীর', 'ছাত্রত্ব', 'ছাত্রবৃত্তির', 'ছাত্রকে', 'দন্ত', 'ছাত্রছাত্রীর']
['শিক্ষক', 'শিক্ষকতার', 'শিক্ষকনেতা', 'শিক্ষকতা', 'শিক্ষিকা', 'শিক্ষাদর্শন', 'শিক্ষককে', 'শিক্ষকের', 'অধ্যাপিকা', 'শিক্ষকরূপে']
['নেতা', 'নেতায়', 'নেতায়', 'নেতার', 'নেতৃবৃন্দ', 'নেতাজি', 'নেতাজীর', 'নেতাজী', 'নেতাও', 'নেতাই']
['পাগল', 'পাগলা', 'পাগলায়', 'পাগলামি', 'পাগলি', 'পাগলাটে', 'পাগলু', 'পাগলী', 'পাগলার', 'পাগলের']
['প্রিয়', 'প্রিয়তমা', 'প্রিয়তম', 'প্রিয়জন', 'প্রিয়', 'প্রিয়তা', 'প্রেমাম', 'প্রিতম', 'প্রেমা', 'প্রিয়তা']
['কনিষ্ঠ', 'গরিষ্ঠ', 'শিষ্ট', 'উর্ধতন', 'ক্যত', 'বরইতলা', 'প্রান্তভাগ', 'বামনা', 'আধেয়', 'দস্তুর']
['লোক', 'লোকজন', 'মস্ত', 'লোকজন', 'মানুকে', 'লোকটা', 'ব্যক্ত', 'মানেকা', 'লোকটির', 'স্বজন']
['শ্রমিক', 'শ্রমিকের', 'শ্রমিকনেতা', 'শ্রমের', 'শ্রমিককে', 'শ্রমিকশ্রেণির', 'সেপারেশন', 'চাকুরী', 'চাকুরীর', 'ব্যাবসা']
['বাবা', 'বাপা', 'আব্বা', 'বাপ', 'বাবে', 'বাবাই', 'বাবর', 'বাবাও', 'বাপের', 'আব্বু']
['চাচা', 'চাচাকে', 'আঙ্কল', 'আংকেল', 'চাচাতো', 'আঙ্কর', 'আঙ্কোলা', 'চাচাতো', 'মামা', 'আঙ্কটাড']
['দাদা', 'দাদু', 'দাদার', 'দাদি', 'দাদন', 'দাদী', 'দাদীর', 'দাদরি', 'দাদাপীর', 'দাদাজী']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নাইনা', 'নাজনা', 'য়ানা', 'নুনা', 'নিয়া', 'নিনা', 'নুন্দা', 'নানকানা', 'আনাইয়া']
['জেলে', 'জেলেই', 'জেলখানায়', 'কারাগারে', 'কারাদন্ডে', 'জেলখানায়', 'জেলহাজতে', 'কারাদণ্ডে', 'জেলের', 'কারগারে']
['ধোপা', 'কুপতলা', 'ধোবাউড়া', 'চুকা', 'খুচরা', 'মাতলা', 'ধলাটুপি', 'ঝুমকা', 'ধাঁচ', 'ধলপুর']
['বেদে', 'বেদই', 'বেদিতে', 'বেদকে', 'খালাকে', 'বাগিয়ে', 'ছেদে', 'ওলামায়ে', 'জাবেদকে', 'দাপিয়ে']
['গুরু', 'গোয়া', 'গয়া', 'গুরা', 'খুচরা', 'গয়া', 'খরা', 'গদা', 'গুনা', 'গুরো']
['ছেলে', 'ছেল', 'ছেলেরে', 'ছেলেবেলা', 'ছেলেমেয়ে', 'ছেলেই', 'ছেলেমেয়েকে', 'ছেলেকে', 'পুত্ৰ', 'বালকা']
['বর', 'বারা', 'বহে', 'বরা', 'বরের', 'বাহা', 'বেরা', 'ফেলা', 'ভোলা', 'ভাজ']
['বাদশা', 'বাদশাহো', 'বাদশাহকে', 'বাদশাকে', 'বাদশাহী', 'উপাসনা', 'বাদশাহর', 'পদবীকে', 'উপাসনাকে', 'বাদশাহদের']
['কাঙ্গাল', 'কোংকা', 'কাঞ্চনমালা', 'কাঙ্গালিনী', 'কঙ্কালীতলা', 'কাঞ্চী', 'কুঞ্জে', 'কেঁওচিয়া', 'কান্ধলভি', 'কালেঙ্গা']
['বাঘ', 'বাঘে', 'বাঘি', 'বাঘও', 'বাঘকে', 'বাঘায়', 'বাঘের', 'বাঘবেড়', 'বাঘটির', 'বাঘটিকে']
['যোগী', 'যোগদা', 'যোগিতা', 'যোগীকে', 'সঙ্গা', 'যোগি', 'যোগকে', 'যোগীর', 'যোগানে', 'যোগানের']
['তেজস্বী', 'তেজস্বীর', 'তিজাহাজা', 'তিতপল্লা', 'তেজহাটী', 'তেজতুরী', 'অতিথিশালা', 'তপস্বী', 'শ্রীকৃষ্ণকে', 'পাক্তিকা']
['কিশোর', 'কিশোরের', 'কিশোরীর', 'কিশোরী', 'কিশোরই', 'কিশোরকে', 'কিশোরীটির', 'কেহলাতা', 'কেশবের', 'খিশা']
