['দুইবেলা', 'দুই', 'দুইশো', 'দুজন', 'দুইতলা', 'দুটার', 'দুইটা', 'দুটোরই', 'দুটিও', 'দুইট']
['সতেরো', 'তালশহর', 'জারে', 'সততার', 'সচেয়ে', 'সমহারে', 'বোধির', 'সারস্বত', 'প্রচলিতভাবে', 'রূপকভাবে']
['আঠারো', 'আঠারোজন', 'আঠারো', 'আঠারোবাঁকি', 'আঠারখাদা', 'আঠারগাছিয়া', 'আঠাল', 'খেসারতই', 'আঠটি', 'আঠারোতম']
['উনিশ', 'উনিশে', 'অণুভব', 'ফৌজে', 'বিশে', 'উনিশের', 'নানাবতী', 'অধাতুর', 'অধি', 'শাষণ']
['একুশ', 'একুশে', 'মক্কায়', 'ইশকুল', 'আবুজায়', 'আকুতি', 'খুরশিদা', 'খুশবু', 'গোশত', 'যাকাতুল']
['বাইশ', 'বাইশে', 'বাজিল', 'বিশে', 'বাইজ', 'আবুধাবিতে', 'বায়তুল', 'বাইচুং', 'বেখাপ্পা', 'বিশদ']
['তেইশ', 'তহুরুল', 'তকমায়', 'তালশহর', 'তরিৎ', 'তেজগাঁও', 'তকতকে', 'তেমাথা', 'গুণাবলিকে', 'তেজাব']
['চব্বিশ', 'হাবভাবে', 'চব্বিশতম', 'মহালছড়ি', 'খাসমহল', 'হজ্বব্রত', 'শালদিহা', 'বিশদভাবে', 'মহাবাক্য', 'মহাব্রত']
['পঁচিশ', 'পঁচিশের', 'পঁচিশে', 'পাঁচপীর', 'পাঁচেই', 'পীল', 'পাঁজা', 'পঞ্চামৃত', 'পঞ্চলক্ষণ', 'পেষণ']
['ছাব্বিশে', 'ছাব্বিশ', 'আবুধাবিতে', 'বদরপুরে', 'প্রবাহপথে', 'দামুড়হুদায়', 'প্রবাহপথ', 'উচ্ছ্বাসে', 'পরম্পরায়', 'প্রতাপপুর']
['সাতাশ', 'সাজ্জাত', 'সাজাত', 'সাদাসিধে', 'সাজ্জাদ', 'সজ্জায়', 'সমুহে', 'সাদাত', 'সঞ্জাত', 'সাবেত']
['আটাশ', 'আতাবেগ', 'আসক্তি', 'আখতারুল', 'তরতাজা', 'আটতলা', 'আসক্তিতে', 'তাপ্তি', 'আটচালা', 'আটকাল']
['ঊনত্রিশ', 'ঊনত্রিশটি', 'ঊনসত্তরের', 'নয়জনের', 'তিনশোর্ধ্ব', 'ঊনসত্তর', '৩৯তম', 'তিনটে', 'নয়জন', '৯টিতে']
['ত্রিশ', 'ত্রিশে', 'ত্রিশের', 'ত্রিশতম', 'ত্রিশটি', 'ত্রিশলা', 'ত্রিশুল', 'ত্রিভুজে', 'ছত্রিশ', 'ত্রিশূলী']
['একত্রিশ', 'একত্রিশতম', 'একচল্লিশ', 'রচনাকাল', 'রচনাকালে', 'একাদশতম', 'একতলার', 'একরপ্রতি', 'চারধামের', 'সর্ধনকুটি']
['এক', 'একেএকে', 'একটির', 'একং', 'এককটি', 'একটী', 'একটি', 'একেকটির', 'একক', 'এককটির']
['দুই', 'দুটিকে', 'দুটি', 'দুটির', 'দুইটির', 'দুইটি', 'দুটিতে', 'দুটো', 'দুটা', 'দুইটায়']
['তিন', 'তিনের', 'তিনটি', 'তিনে', 'তিনটিও', 'তিনটির', 'তিনটা', 'তিনজন', 'তিনটিকে', 'তিনখানি']
['চার', 'চারটার', 'চারী', 'চারের', 'চারতলা', 'চারটের', 'চারতলার', 'চারকে', 'চারতলায়', 'চারটিই']
['পাঁচ', 'পাঁচের', 'পাঁচটার', 'পাঁচজনে', 'পাঁচ্চর', 'পাঁচজনের', 'পাঁচজন', 'পাঁচগুণ', 'পাঁচটিই', 'পাঁচবাগ']
['ছয়', 'ছয়ে', 'ছয়', 'ছয়ে', 'ছয়ের', 'ছই', 'ছয়ানী', 'ছয়ের', 'ছয়তলা', 'ছয়েই']
['সাত', 'সাত্তে', 'সপ্তক', 'সাতগুণ', 'সেনসাত', 'সাতটি', 'সাতটির', 'সাতই', 'সাতটা', 'সপ্তকের']
['আট', 'আটজন', 'আটটি', 'আটটির', 'আটজনকে', 'আটটায়', 'আটজনই', '৬টা', '৮টা', 'আটজনের']
['নয়', 'নি', 'না', 'হয়না', 'হয়নি', 'হইনি', 'নই', 'হননি', 'হয়নি', 'হতোনা']
['দশ', 'দশটায়', 'দশটা', 'দশমে', 'দশজন', 'দশটি', 'দশজনকে', 'দশমীর', 'দশমী', 'দশটির']
['এগারো', 'একরের', 'একরামুলকে', 'এগলো', 'এগোবেন', 'একগামী', 'একরোখা', 'আকরের', 'এগারোটায়', 'এগারতম']
['বারো', 'বারোটা', 'পরোটা', 'বারে', 'বারই', 'বকরের', 'সতেরটি', 'চরমে', 'বরিশালে', 'বারোটি']
['তেরো', 'তেরোটা', 'তীর', 'তেরজন', 'তেরোটি', 'তলের', 'তিরপ', 'তিরু', 'টেরে', 'তেরোজন']
['চৌদ্দ', 'চৌদ্দবার', 'চৌদ্দজন', 'চণ্ডীগড়', 'চণ্ডীচরণ', 'চৌধরী', 'চণ্ডীগড়ে', 'চৌকাঠের', 'চৌহদ্দির', 'চিদামের']
['পনেরো', 'পনেরোটি', 'পনেরটি', 'পনের', 'পিনেলের', 'পনিরের', 'পিনাংয়ের', 'পিঞ্জরে', 'পেনেল', 'পনির']
['ষোল', 'ষোলজন', 'ষোলনল', 'তোলপাড়', 'ধারকের', 'হড়কানোর', 'ধরপাকড়', 'তোষণ', 'ষোলোয়', 'হটলে']
['সতেরো', 'চরমে', 'সচেয়ে', 'ঘনভাবে', 'সতের', 'সমহারে', 'সরলতম', 'বরতমানে', 'জারে', 'বরইতলী']
['আঠারো', 'আঠারোতম', 'আঠারোজন', 'আঠারোবাঁকি', 'আঠটি', 'আঠেরো', 'আঠারগাছিয়া', 'আঠাল', 'আঠারখাদা', 'ঠেকানোর']
['উনিশ', 'উনিশে', 'উনিশের', 'উনিশটি', 'নয়ছয়', 'নংথমবম', 'চতুষ্পদী', 'রচনাকাল', 'শতিকার', 'ছেংতু']
['বিশ', 'বিশে', 'বৃটিশের', 'বিচে', 'চতুষ্পদী', 'সুধীরের', 'ভাপে', 'বিমূঢ়', 'ঊর্ধতন', 'আধাআধি']
['বাইশ', 'বাইশে', 'বাজিল', 'বাজিলের', 'বিগল', 'বাইয়েত্তি', 'বিলাপের', 'বাইপাসে', 'বাইজ', 'বাইম']
['তেইশ', 'তারিণী', 'তিলিহাঁস', 'সতীর', 'তেজাব', 'তকতকে', 'তথাগত', 'সতীকে', 'সিধাই', 'চতল']
['চব্বিশ', 'মহালছড়ি', 'চব্বিশতম', 'প্রচণ্ডভাবে', 'সারদামণি', 'জংলীমহল', 'বিন্দুটিই', 'বিশদভাবে', 'ঘনভাবে', 'সচেয়ে']
['পঁচিশ', 'পাঁচপীর', 'পঁচিশতম', 'পাঁজি', 'পাঁচেক', 'পঁচিশের', 'পাঁচেকের', 'পাঁচবিবি', 'পাঁচবিবির', 'পাঁচতারকা']
['ছাব্বিশ', 'ছাব্বিশে', 'মুষলধারে', 'প্রবাহপথ', 'বদরপুরে', 'খপ্পরে', 'ছাপাঙ্কিত', 'তদবিরে', 'খিলক্ষেত', 'ছাব্বিশতম']
['সাতাশ', 'সাতাইশ', 'সাজ্জাত', 'সাজাত', 'সাতাশটি', 'সঞ্জাত', 'সাদাসিধে', 'সতীকে', 'সাততলায়', 'সাবেত']
['আটাশ', 'আটতলা', 'আটখানা', 'আটকাল', 'আটগুণ', 'আটতলায়', 'তারিণী', 'আটচালা', 'তথাগত', 'আখতারুল']
['ঊনত্রিশ', 'ঊনত্রিশটি', '৩৯তম', '২৯শে', '২৯তম', 'ঊনবিংশ', 'ঊনসত্তরের', 'নয়জনের', 'তিনটে', '৬৯তম']
['ত্রিশ', 'ত্রিশতম', 'ত্রিশটি', 'ত্রিশে', 'ছত্রিশ', 'ত্রিশজন', 'ত্রিশের', 'তিনতলা', 'ত্রিশুল', 'পঁয়ত্রিশ']
['একত্রিশ', 'একত্রিশতম', 'একচল্লিশ', 'একবিংশ', 'চতুর্দশী', 'শতাধিকের', 'তিনভাগে', 'শতককে', 'একাদশতম', 'শতকটি']
['এক', 'একেএকে', 'একং', 'একে', 'এককে', 'একটির', 'একের', 'এককটি', 'এককটির', 'এঁকে']
['দুই', 'দুটি', 'দুটিও', 'দুটো', 'দুটা', 'দুটোই', 'দুইটা', 'দুইটি', 'দুইট', 'দুইটিই']
['তিন', 'তিনের', 'তিনে', 'তিনটিও', 'তিনটি', 'তিনটা', 'তিনজন', 'তিনটির', 'তিনতলা', 'তিনখানা']
['চার', 'চারী', 'চারটার', 'চারটের', 'চারের', 'চারতলা', 'চারতলার', 'চতুর্থী', 'চারটিই', 'চতুর্থবারের']
['পাঁচ', 'পাঁচের', 'পাঁচটার', 'পাঁচ্চর', 'পাঁচজন', 'পাঁচটিই', 'পাঁচজনে', 'পাঁচজনের', 'পাঁচটি', 'পাঁচবাগ']
['ছয়', 'ছয়ে', 'ছয়', 'ছয়ে', 'ছই', 'ছয়ের', 'ছা', 'ছয়ানী', 'স্তবে', 'ছয়ের']
['সাত', 'সাত্তে', 'সাতই', 'সাতের', 'সাত্তা', 'সাতগুণ', 'সপ্তক', 'সাততলা', 'সাতশ', 'সাতে']
['আট', 'আটজন', 'আটটি', '৬টা', '৮টা', 'আটটির', 'আটটায়', 'আটশ', 'আটজনকে', 'আটজনই']
['নয়', 'না', 'নি', 'নই', 'হয়না', 'হইনি', 'নন', 'নয়তো', 'হয়নি', 'নও']
['দশ', 'দশটা', 'দশমে', 'দশজন', 'দশটায়', 'দশজনকে', 'দশটি', 'দশমী', 'দশটির', 'দশমীর']
['এগারো', 'এগারোটা', 'এগোবেন', 'এগারজন', 'এগারোটায়', 'এগার', 'এগলো', 'এগোবে', 'এগারোজন', 'এগুনোর']
['বারো', 'বারে', 'বারই', 'বকরের', 'বরের', 'বারও', 'বারেই', 'বরাবর', 'বারু', 'বরে']
['তেরো', 'তেরোটা', 'তেরার', 'তেরচা', 'তেরোজন', 'টেরও', 'তেরজন', 'ওতেরো', 'টেরে', 'তীর']
['চৌদ্দ', 'চৌদ্দগ্রাম', 'চৌধুরাণীর', 'চৌদ্দজন', 'চৌরঙ্গীর', 'চৌকিদারের', 'চৌরাস্তা', 'চৌধুরীর', 'চৌধুরির', 'চিৎপুরের']
['পনেরো', 'পনেরোটি', 'পনের', 'পনেরোর', 'পনেরটি', 'পনসের', 'পিন্টোর', 'পনির', 'পিন্টো', 'পনিরের']
['ষোল', 'ষোলজন', 'ষোলো', 'তালুর', 'ভোলা', 'তুলুজের', 'গোসাঁইর', 'ভোতা', 'পোষা', 'জলধারায়']
['সতেরো', 'সতের', 'সতীর', 'বোধির', 'জারে', 'তালশহর', 'সতী', 'প্রমথ', 'সতত', 'স্তবের']
['আঠারো', 'আঠারোজন', 'আঠারো', 'আঠারখাদা', 'আঠারোতম', 'আঠারোর', 'আঠেরো', 'আঠার', 'আঠাল', 'উপকরণে']
['উনিশ', 'উনিশে', 'উনিশের', 'উনিশশো', 'বিবশ', 'উনিশটি', 'অধি', 'উজনী', 'ইতিউতি', 'বৃত্ত']
['বিশ', 'বিশে', 'বিশদে', 'বিশের', 'বাইশে', 'বিটিশ', 'جَزَاء', 'বিচে', 'পাঁচলাইশ', 'বিগে']
['একুশ', 'একুশে', 'আকুতি', 'ইশকুল', 'পরশু', 'ভাসকেজ', 'যোশিকে', 'একেশ্বর', 'নাকাশ', 'শাইখা']
['তেইশ', 'তেকিশ', 'তেজে', 'তরিৎ', 'তূরাই', 'তেজপুরে', 'তেজা', 'তেজী', 'তপেশ', 'ইথারে']
['চব্বিশ', 'শায়িত', 'হজ্বে', 'শালদিহা', 'ছাব্বিশে', 'চব্বিশতম', 'পদ্মাবত', 'সুপ্ত', 'হজ্বব্রত', 'সুচতুর']
['পঁচিশ', 'পাঁচেক', 'পাঁচপীর', 'পাঁজি', 'পঁচিশের', 'পাঁচতলা', 'পাঁচগাঁও', 'পাঁচে', 'পাঁচেকের', 'পাঁচবিবির']
['ছাব্বিশ', 'ছাব্বিশে', 'ছাব্বের', 'পরম্পরাকে', 'পরম্পরায়', 'উপধারায়', 'পম্পেই', 'ছিভাপ্পু', 'ছক্কায়', 'জব্দে']
['সাতাশ', 'সাতাইশ', 'সাবেত', 'সাতাশটি', 'সাতার', 'সাজ্জাত', 'সাদাত', 'সাজ্জাদ', 'সাইতারে', 'সিতে']
['আটাশ', 'আটশ', 'তেজের', 'তেইশ', 'তপেশ', 'তেওতা', 'আটিলা', 'তাত্রা', 'টিশ', 'আতাত']
['ঊনত্রিশ', 'ঊনত্রিশটি', 'ঊনবিংশ', '২৯শে', 'ঊনসত্তরের', '৩৯তম', '২৯তম', 'নয়জন', 'তিনটে', 'ঊনিশ']
['ত্রিশ', 'ত্রিশতম', 'ছত্রিশ', 'ত্রিশজন', 'ত্রিশের', 'ত্রিশে', 'ত্রিশটি', 'ত্রিশলা', 'বত্রিশ', 'সায়ত্রিশ']
['একত্রিশ', 'একত্রিশতম', 'চতুর্দশী', 'একচল্লিশ', 'তিনশোর্ধ্ব', 'তিনতলা', 'শতাধিকের', 'শতপদী', 'একবিংশ', 'শতককে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'একং', 'একক', 'এককে', 'একককে', 'এককটি', 'একেএকে', 'একজ', 'একের', 'এককটির']
['দুইটায়', 'দুই', 'দুটার', 'দুইটা', 'দুটির', 'দুটোকে', 'দুইটি', 'দুটিও', 'দুটিকে', 'দুটি']
['তিন', 'নছিমনে', 'নিতুর', 'তারঁ', 'তিনখানি', 'নতুর', 'নহাটা', 'নটীর', 'নুইয়ে', 'তিনমাথা']
['চার', 'চারাগাছ', 'চারমাথা', 'চারগুন', 'চারঘাট', 'চারকোণা', 'চারী', 'চারঘাটের', 'চারকে', 'চারখি']
['পাঁচদোনা', 'পাঁচরুখী', 'পাঁচবাড়িয়া', 'পাঁচগুণ', 'পাঁচখোলা', 'পাঁচটার', 'পাঁচটি', 'পাঁচতারকা', 'পাঁচ', 'পাঁচটিই']
['ছয়', 'ছেয়ে', 'শুরায়', 'শুরা', 'শুয়ে', 'ছাওয়া', 'ওড়া', 'ছয়ে', 'ছইল', 'ছাইয়ে']
['সাত', 'সাতনা', 'সাতি', 'সাতে', 'স্যাটা', 'শুরায়', 'শীট', 'শাশ্বত', 'শুড', 'সাহিবে']
['আট', 'আটে', 'আটশ', 'আটা', 'ছিটিয়ে', '৬টা', 'আটটায়', 'আটগুণ', 'আটশত', 'আটবছর']
['নয়', 'নি', 'না', 'নই', 'হয়না', 'নন', 'হইনি', 'নেই', 'নাহ', 'নোনা']
['দশ', 'দশমে', 'দশটা', 'দশম', 'দশমী', 'দশটি', 'দশমিকের', 'দশজন', 'দশমিক', 'দশটায়']
['এগারো', 'এগারোজন', 'এগোবেন', 'একরামুলকে', 'এগলো', 'এগারজন', 'একরোখা', 'আগুয়া', 'এগোবে', 'করানোটা']
['বারো', 'বরাবর', 'বেরোবে', 'বরজে', 'তুমহারে', 'বরাবরে', 'বরাহের', 'বাগিয়ে', 'বারে', 'বানো']
['তেরো', 'তিরু', 'টেরও', 'তানোরে', 'টেরে', 'তেরোটা', 'তুড়ি', 'থালে', 'তাহারে', 'তিরুনেশ']
['চৌদ্দ', 'চৌহাট্টা', 'চৌরাস্তা', 'চৌদ্দগ্রাম', 'খোরশেদ', 'খুরুশকুল', 'খোরশেদা', 'খিচুড়ির', 'চৌধুরাণী', 'চৌধুরীহাট']
['পনেরো', 'পিনোচে', 'পিঞ্জরে', 'পনেরোটি', 'পনিরের', 'পিঞ্জর', 'পাংকু', 'পান্নু', 'পুণ্ড্রনগর', 'পিণ্ডের']
['ষোল', 'ষোলো', 'ঢেলে', 'ষোলোয়', 'ষোলনল', 'ছুড়লেন', 'ছুড়ল', 'ধাওয়া', 'ছুটলেন', 'তোলপাড়']
['সতেরো', 'চরাচরে', 'সততায়', 'তাড়িৎ', 'সতোপন্থ', 'খুঁচিয়ে', 'সততার', 'সতের', 'সমহারে', 'খুড়তুত']
['আঠারো', 'আঠারগাছিয়া', 'আঠেরো', 'আঠারোজন', 'খুঁচিয়ে', 'ঠেকাবে', 'আঠাল', 'আঠারখাদা', 'আঠারোশ', 'আঠারোবাঁকি']
['উনিশ', 'উনিশে', 'নেভায়', 'উজাড়', 'নীতুকে', 'নেশনসে', 'নুসরত', 'ছাঁটাই', 'ছাতক', 'খুবি']
['বিশ', 'বিজু', 'শেহবাজ', 'দ্বাবিংশ', 'বিগে', 'বিশে', 'বিকাশকে', 'বিকাশ', 'বিচে', 'শাখাকে']
['একুশ', 'শুকায়', 'কাসুকাবে', 'খুজা', 'আবুজায়', 'খুরুশকুল', 'শুশুক', 'মক্কায়', 'খুবি', 'খইলশা']
['বাইশ', 'ধুকপুক', 'বাইচুং', 'বাইশে', 'বিজু', 'বেখাপ্পা', 'তুমহারে', 'বিদুর', 'খইলশা', 'বোধকে']
['তাতিয়ে', 'তারিয়ে', 'তেইশ', 'তেমাথা', 'তেজে', 'তথাপি', 'তুতসি', 'তপেশ', 'শুকাতে', 'তুলাইহা']
['চব্বিশ', 'খুঁচিয়ে', 'দামুড়হুদায়', 'খুশিমনে', 'রাধাকান্ত', 'কচ্ছপকে', 'খিষ্টাব্দে', 'কচ্ছপদের', 'তামাংয়ের', 'তেঁতুলিয়ায়']
['ছাব্বিশ', 'ছাব্বিশে', 'ছাপ্পান্ন', 'বেখাপ্পা', 'দামুড়হুদায়', 'পামুক্কালের', 'খুঁচিয়ে', 'তাজ্জব', 'গুচ্ছাকারে', 'দুধপান']
['সাতাশ', 'সাজাতেন', 'সাদাত', 'সাজ্জাদ', 'সাঁওতাল', 'সুজাবাদ', 'সাজ্জাত', 'সাজাতে', 'সাদাটে', 'সাজ্জাদুল']
['আটাশ', 'তাখত', 'তাতিয়ে', 'আতোয়াঁ', 'আটকাল', 'থুবড়ে', 'খাটাশ', 'তাজহাট', 'থুবড়ে', 'আবুজায়']
['ঊনত্রিশ', 'ঊনত্রিশটি', 'ঊনসত্তরের', 'ঊনসত্তর', 'ঊনবিংশ', 'নয়টিতে', 'সপ্তডিঙ্গা', 'ঊনকোটি', 'সাতগাছিয়া', 'নয়জনের']
['ত্রিশে', 'ত্রিশ', 'ত্রিশের', 'ত্রিমোড়', 'ত্রিংশ', 'ত্রিশটি', 'ছত্রিশ', 'ত্রিমুখী', 'ত্রিশা', 'তিরিশের']
['একত্রিশ', 'একত্রিশতম', 'রচনাকাল', 'একচল্লিশ', 'একাদশতম', 'তিনতলায়', 'তৎসঙ্গে', 'একগুঁয়ে', 'একবিন্দু', 'একধারে']
['এক', 'একেএকে', 'একং', 'একে', 'এককে', 'অক', 'এঁকে', 'একটির', 'একের', 'এককটি']
['দুই', 'দুটো', 'দুটোই', 'দুটি', 'দুটিও', 'দুইট', 'দুইই', 'দুটা', 'দুটার', 'দুইটি']
['তিন', 'তিনের', 'তিনে', 'তিনটিও', 'তিনটি', 'তিনটা', 'তিনটির', 'তিনখানি', 'তিনেক', 'তিনখানা']
['চার', 'চারটার', 'চারী', 'চারটের', 'চারতলা', 'চারের', 'চতুর্থী', 'চারতলার', 'চতুর্থত', 'চারকে']
['পাঁচ', 'পাঁচের', 'পাঁচ্চর', 'পাঁচটার', 'পাঁচজন', 'পাঁচগুণ', 'পাঁচটিই', 'পাঁচজনে', 'পাঁচশ', 'পাঁজি']
['ছয়', 'ছয়ে', 'ছয়', 'ছই', 'ছয়ে', 'ছা', 'ছয়ের', 'স্তবে', 'ছইল', 'ছয়ানী']
['সাত', 'সাত্তে', 'সাতই', 'সপ্তক', 'সাতের', 'সাতগুণ', 'সাত্তা', 'সাতি', 'সাততলা', 'সাতে']
['আট', '৬টা', '৮টা', 'আটজন', 'আটটি', 'আটশ', 'আটটির', 'আটটায়', 'আটবছর', '৮টি']
['নয়', 'নি', 'না', 'নই', 'হয়না', 'হইনি', 'নন', 'নয়তো', 'হয়নি', 'নয়']
['দশ', 'দশমে', 'দশটা', 'দশজন', 'দশটায়', 'দশটি', 'দশমী', 'দশজনকে', 'দশটির', 'দশমীর']
['এগারো', 'এগলো', 'এগোবেন', 'এগারজন', 'এগারোটা', 'এগারোজন', 'এগার', 'এগারোটায়', 'এগুনোর', 'এগোবে']
['বারো', 'বারে', 'বারই', 'বারও', 'বরাবর', 'বানো', 'বকরের', 'বরের', 'বারেই', 'বারোটি']
['তেরো', 'তেরোটা', 'টেরও', 'টেরে', 'তেরার', 'তিরু', 'তীর', 'তেরোজন', 'তেরচা', 'তেরজন']
['চৌদ্দ', 'চৌদ্দগ্রাম', 'চৌকিদারের', 'চৌগ্রাম', 'চৌধুরাণী', 'চৌদ্দজন', 'চৌরঙ্গী', 'চৌধুরাণীর', 'চৌধুরির', 'চৌরাস্তা']
['পনেরো', 'পনেরোটি', 'পনেরোর', 'পনের', 'পিন্টোর', 'পনির', 'পনিরের', 'পনেরটি', 'পিঞ্জরে', 'পিন্টো']
['ষোল', 'ষোলো', 'ষোলজন', 'ষোলোয়', 'ষোলনল', 'মোড়ল', 'তালুর', 'তোলপাড়', 'টোল', 'ভোলা']
['সতেরো', 'সতের', 'জারে', 'বোধির', 'সততার', 'তালশহর', 'সতী', 'সততায়', 'সচেয়ে', 'তোষামোদি']
['আঠারো', 'আঠারো', 'আঠারোজন', 'আঠেরো', 'আঠাল', 'আঠারখাদা', 'আঠারগাছিয়া', 'আঠারোবাঁকি', 'আঠারোর', 'আঠার']
['উনিশ', 'উনিশে', 'উনিশের', 'উনিশশো', 'অধি', 'উনিশটি', 'ইতিউতি', 'স্বভোজী', 'নিলয়', 'তান্তী']
['বিশ', 'বিশে', 'বিশদে', 'বিশের', 'বিটিশ', 'বিগে', 'বিচে', 'বিটু', 'বাইশে', 'দ্বাবিংশ']
['একুশ', 'একুশে', 'আকুতি', 'ইশকুল', 'পরশু', 'ইয়াকুত', 'একাদশ', 'এজকন', 'খুবি', 'আকুবপুর']
['বাইশ', 'বাইশে', 'বাইজ', 'বাইচুং', 'বিপুলের', 'বাইপাসে', 'বিচি', 'বাইতুল', 'বাইয়েত্তি', 'বিজু']
['তেইশ', 'তেকিশ', 'তরিৎ', 'তিথি', 'তেজী', 'তেজে', 'তারিয়ে', 'তপেশ', 'তিথী', 'ক্ষিতি']
['চব্বিশ', 'হজ্বে', 'চব্বিশতম', 'হজ্বব্রত', 'চরজব্বর', 'শালদিহা', 'বিচ্ছুর', 'খাসমহল', 'খিষ্টাব্দে', 'রাধাকান্ত']
['পঁচিশ', 'পাঁচেক', 'পাঁচপীর', 'পঁচিশের', 'পাঁচে', 'পাঁজি', 'পাঁচতলা', 'পাঁচগাঁও', 'পাঁচেকের', 'পাঁচথুবী']
['সাতাশ', 'সাতাইশ', 'সাতাশটি', 'সাজ্জাদ', 'সাজ্জাত', 'সাদাত', 'সাবেত', 'সাইদ', 'সাতার', 'সাঁওতাল']
['আটাশ', 'আটশ', 'আটকাল', 'আতাত', 'আটিলা', 'তাতিয়ে', 'তপেশ', 'আতোয়াঁ', 'আতাবেগ', 'তেইশ']
['ঊনত্রিশ', 'ঊনত্রিশটি', 'ঊনবিংশ', 'ঊনসত্তরের', '২৯শে', '২৯তম', '৩৯তম', 'ঊনিশ', 'তিনশোর্ধ্ব', 'নয়জন']
['ত্রিশ', 'ত্রিশতম', 'ত্রিশের', 'ত্রিশটি', 'ত্রিশে', 'ত্রিশজন', 'ছত্রিশ', 'ত্রিশলা', 'ত্রিশুল', 'ত্রিভুজে']
['একত্রিশ', 'একত্রিশতম', 'চতুর্দশী', 'একচল্লিশ', 'তিনশোর্ধ্ব', 'শতাধিকের', 'চতুর্দিকে', 'চতুর্দিক', 'একবিংশ', 'শতপদী']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
