['অলীক', 'ভক্ষ্য', 'অলঙ্কৃতা', 'উল্লুক', 'ভবিষ্য', 'ভবিষ্যৎ', 'উল্লেখজনক', 'ভবপ্রীতানন্দ', 'অভেদ্য', 'ফলশ্রুতি']
['বাস্তব', 'ভিতরে', 'ভিতরের', 'বাস্তবে', 'বাস্তবের', 'ভিতরেই', 'আসল', 'বাস্তবেই', 'বাস্তবিকভাবে', 'বাস্তবিকই']
['বাস্তব', 'বাস্তবের', 'আসল', 'প্রকৃষ্ট', 'প্রকৃতই', 'স্বভাবের', 'স্বভাবকে', 'বাস্তববাদ', 'বাস্তবিকতা', 'বাস্তবানুগ']
['বাস্তব', 'আসল', 'বাস্তবের', 'বাস্তবে', 'বাস্তবেই', 'বাস্তবিকই', 'বাস্তবিক', 'সত্যিকারের', 'বাস্তবিকভাবে', 'সত্যিকার']
['বাস্তব', 'ডান', 'বাস্তবের', 'আসল', 'বাস্তবে', 'সত্ৰ', 'বাস্তবিকতা', 'সত্যকার', 'বাস্তুহারা', 'সত্রের']
['বাস্তব', 'তরুণ', 'বাস্তবের', 'আসল', 'বাস্তবে', 'বাস্তবিক', 'বাস্তববাদের', 'সত্যিকারের', 'বাস্তবেই', 'বাস্তবিকই']
['অতীত', 'অতীতের', 'অতীতকে', 'অতীব', 'অতীতও', 'অতীন', 'অতীতে', 'অতীতেও', 'অতীবাহিত', 'অতীতেই']
['অলীক', 'সুমেরু', 'সুয়ালক', 'সুমী', 'সুজয়', 'সুশীতল', 'অলিকের', 'সুচি', 'সুবিদ', 'সলিহ']
['আকর্ষণ', 'আকর্ষণের', 'আকর্ষণী', 'আকর্ষণে', 'আকর্ষণই', 'আকর্ষণকে', 'আকর্ষণেই', 'আকর্ষণকারী', 'আকর্ষনের', 'আকর্ষণীয়']
['আগমন', 'আগমণ', 'আগমনের', 'আগমণের', 'আগোত', 'আগমনে', 'আগমনকে', 'আগমনী', 'আসতানায়', 'আগমের']
['আজ', 'আজকে', 'আজই', 'আজকের', 'এদিন', 'আজকেও', 'আজকালের', 'আজকাল', 'আইদিন', 'আজকেই']
['আদি', 'আদা', 'আদী', 'আদমি', 'ইদি', 'আদব', 'সহি', 'আচি', 'সুদাইরি', 'সুজয়']
['আবশ্যক', 'আবশ্যিক', 'সুরেই', 'অত্যাবশ্যক', 'সুরম্য', 'নিশ্চই', 'নিশ্চল', 'কশ্যপের', 'সুমিত্র', 'সুজা']
['আরোহন', 'সুইংয়ে', 'সুমের', 'সুমেরু', 'সুমেরুবৃত্তের', 'সুমিত', 'সুয়ে', 'সুধু', 'সুজয়', 'সুমন']
['আলো', 'আলোর', 'আলোটা', 'আলোসহ', 'আলোয়', 'সুরের', 'সুলে', 'সুর', 'সলতের', 'বাতিন']
['আশীর্বাদ', 'আশীর্বাদের', 'আশীর্বাদধন্য', 'আশীর্বাদস্বরূপ', 'প্রশংসায়', 'আশীর্বাদে', 'প্রশংসাই', 'প্রশংসা', 'প্রশংসাও', 'আশীর্বাদও']
['ইচ্ছুক', 'সুমিত', 'ইচ্ছাশক্তি', 'সুমতি', 'সুতা', 'সুবর্ণযুগ', 'ইচ্ছাপুর', 'সুধু', 'ইচ্ছাপত্র', 'সুজা']
['ইহকাল', 'সমকাল', 'পুরাণের', 'অকাল', 'বয়সজনিত', 'পরকালীন', 'দৈব', 'দীননাথ', 'আখেরাত', 'বাসন্তীর']
['উত্তর', 'উত্তরও', 'উত্তরই', 'উত্তরেও', 'উত্তরখান', 'উত্তরটা', 'উত্তরণ', 'উত্তরের', 'উত্তরটি', 'উত্তরোত্তর']
['', '', '', '', '', '', '', '', '', '']
['উত্থান', 'উত্ত', 'উত্থানের', 'সজাগ', 'উত্তোরণ', 'উত্থানকে', 'উত্তোলন', 'উতর', 'উতলা', 'উতবা']
['সুজয়', 'উদয়', 'সুমিত', 'সুতা', 'সুধু', 'সুজা', 'সুমের', 'সুদে', 'সমুদের', 'সুরভিত']
['অতিবৃষ্টি', 'অতিবৃষ্টির', 'সুমেরুবৃত্তের', 'সুবর্ণরেখা', 'জল্পনা', 'সুতী', 'সুবর্ণযুগ', 'সুসজ্জিত', 'ধ্বনী', 'সুদূরপরাহত']
['উজান', 'উজানের', 'উসমান', 'উজানির', 'উসাইন', 'সুজান', 'উসমানের', 'সুয়েন', 'উজানি', 'উজানে']
['উৎরাই', 'উৎরে', 'সুরজিত', 'তৎপরতাই', 'সরালে', 'সদুত্তর', 'তৎপরতায়', 'তৎপরতা', 'সূতা', 'তৎপরতার']
['উত্তীর্ণ', 'সুবর্ণযুগ', 'সুমেরুবৃত্তের', 'সুবর্ণরেখা', 'সুপ্রসন্ন', 'সুপ্রচলিত', 'সুবর্ণজয়ন্তী', 'সুবর্ণ', 'সুরুল', 'সুপ্রিয়র']
['', '', '', '', '', '', '', '', '', '']
['সুমেরু', 'সুধু', 'সুজা', 'সুতা', 'সুমতি', 'ঊষা', 'সুমের', 'সুইটির', 'সুতোপো', 'সুজয়']
['একাল', 'সুদে', 'সুসময়ে', 'সুজয়', 'সুধু', 'সুতা', 'সুইটির', 'সুল', 'সুজাতার', 'সুমেরু']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'এখনে', 'এখনো', 'এখনের', 'এখনেই', 'এখনই', 'এখনকার', 'এখনি', 'আজকেই', 'সখনো']
['কল্পনা', 'কল্পনাই', 'কল্পনাকে', 'কল্পনাও', 'কল্পনার', 'রূপকল্পনা', 'ভাবাবেগ', 'কল্পনায়', 'কল্পনায়', 'কল্পনাশক্তি']
['সুবর্ণযুগ', 'সুবর্ণরেখা', 'সুমেরুবৃত্তের', 'ক্ষণস্থায়ী', 'সোনাক্ষীর', 'সুবর্ণচরে', 'সুবর্ণজয়ন্তী', 'সুতারখালী', 'সুবর্ণখালি', 'সুপ্রিয়া']
['কৃষ্ণাঙ্গ', 'কৃষ্ণাঙ্গদের', 'কৃষ্ণচূড়া', 'কালো', 'শ্বেতাঙ্গ', 'রঙের', 'তুষারযুগের', 'শ্বেতকণিকা', 'কৃষ্ণাঙ্গরা', 'রঙয়ের']
['ঘৃণা', 'ঘৃনা', 'ঘৃণার', 'ঘৃণায়', 'ঘৃণাবোধ', 'ঘৃণাকে', 'ঘৃণাও', 'ঘৃণায়', 'ঘৃণানির্ভর', 'ঘৃত']
['গোপন', 'গোপনের', 'গোপনে', 'গোপনীয়', 'গোপনীয়তার', 'গোপনীয়তা', 'গোপনীয়', 'গোপনীয়তা', 'গোপনীয়তা', 'গোপনের']
['গুপ্ত', 'সুবর্ণযুগ', 'সুবর্ণা', 'সুমেরুবৃত্তের', 'সুবক্তা', 'সুতানুটির', 'স্পীড', 'সুক্কল', 'সুক্কুর', 'সুসজ্জিত']
['গ্রহণ', 'গ্রহণে', 'গ্রহণের', 'গ্রহনে', 'গ্রহণকে', 'গ্রহাণুর', 'গ্রহাণুটি', 'গ্রহণেও', 'গ্রহাণু', 'গ্রহীত']
['গ্রাম্য', 'সুমেরু', 'গ্রিম', 'গ্রায়েম', 'গ্রিমের', 'সুর্মা', 'গ্রামই', 'গ্রমের', 'সুমেরুর', 'সুমেরুবৃত্তের']
['সুতা', 'সুমিত', 'চলিত', 'সুমতি', 'সনজিত', 'সুলেখা', 'শরিয়ত', 'সুজয়', 'সুরভিত', 'সুলে']
['জন্ম', 'জন্মাত', 'জন্মে', 'জন্মের', 'জন্মায়', 'জন্মু', 'জন্মনাম', 'জন্মসনদ', 'জন্মই', 'জন্মাল']
['জরিমানা', 'জরিমানার', 'জরিমানাসহ', 'জরিমানাও', 'নিষাদের', 'অনামিকার', 'নিষিক্ত', 'নিষাদ', 'সুবিদ', 'সুপ্রীতি']
['জলে', 'জলের', 'জল', 'জলজ', 'জলা', 'জলেই', 'জলধি', 'জলমা', 'জলেতে', 'জলদ']
['জোয়ার', 'সুমেরু', 'সুমেরুর', 'সুজার', 'জোয়ির', 'সোয়াত', 'জোয়ারের', 'সুজয়ের', 'সুজাউর', 'সুমাইয়ার']
['দুর্লভ', 'বিরল', 'দূর্লভ', 'স্লামজয়ী', 'সুতাকল', 'স্বাদু', 'সুগম', 'সুদীপ্ত', 'স্পীড', 'সুবল']
['তিরস্কার', 'তিরস্কারের', 'সুস্মিতার', 'সুমেরুবৃত্তের', 'সুবর্ণরেখা', 'সুক্কুর', 'সাচিংপ্রু', 'সুবর্ণযুগ', 'শরিয়তের', 'সুবর্ণা']
['সুতাকল', 'সুতা', 'সুক্মা', 'সুতী', 'সুপেয়', 'তুষ্ট', 'সুমিত', 'সুতাং', 'সুতোর', 'সুবর্ণরেখা']
['দিবা', 'দিবি', 'সুদে', 'দিত', 'দিযে', 'সুদকে', 'সুধু', 'দেবা', 'সুজা', 'সুসময়ে']
['দিবস', 'দিবর', 'দিনশা', 'দিবসের', 'দিন', 'দিনের', 'দিবার', 'দিবসসমূহ', 'দিবসকে', 'দিনকর']
['দীর্ঘায়ু', 'দীর্ঘায়ু', 'দীর্ঘায়ন', 'দীর্ঘদেহী', 'দীর্ঘপথ', 'দীর্ঘায়িত', 'দীর্ঘদেহের', 'দীর্ঘলম্ফ', 'দীর্ঘায়িত', 'দৈর্ঘ্যর']
['দূর', 'দূরতম', 'দূরে', 'দূরের', 'দূরই', 'দূরবর্তী', 'দূরেই', 'দূরেও', 'দূরূহ', 'দূরবর্তি']
['দেনা', 'দেনায়', 'দেন', 'দাওনা', 'দিনি', 'দিতেন', 'দেওন', 'দানাই', 'সুজা', 'দেবা']
['নিঃশ্বাস', 'নিঃশ্বাসে', 'নিঃশ্বাসের', 'শ্বাস', 'শ্বাসের', 'শ্বাসন', 'শ্বাসকার্য', 'শ্বাসপ্রশ্বাস', 'শ্বাসগ্রহণ', 'শ্বাসরোধে']
['নির্দিষ্ট', 'সুনির্দিষ্ট', 'নির্দিষ্টতা', 'নির্দিষ্টভাবে', 'নিদিষ্ট', 'সুনির্দিষ্টভাবে', 'বৈশিষ্ট', 'সুনির্দ্দিষ্ট', 'বৈশিষ্টগত', 'বৈশিষ্ট্যময়']
['ন্যায়', 'সুযোগে', 'ন্যাশ', 'সুজা', 'সুল', 'সুমন্ত', 'শোধ', 'সুসময়ে', 'সুধা', 'ন্যাশকে']
['পূর্ণিমা', 'পূর্ণিমায়', 'পূর্ণা', 'পূর্ণিমার', 'পূর্ণিমাকে', 'পরিপূর্ন', 'পূর্ণতার', 'পূর্ণনাম', 'পূর্ণের', 'পূর্ণাংগ']
['প্রসারণ', 'সুমেরুবৃত্তের', 'সুপ্রকাশ', 'প্রসারন', 'সুবর্ণযুগ', 'সুবর্ণরেখা', 'সদুত্তর', 'সুতা', 'প্রসারণের', 'শুভ্রকরণ']
['বক্তা', 'সুলেখা', 'বক্তাই', 'সুতা', 'সুইটির', 'সুবর্ণা', 'সুমের', 'বনলতা', 'সুমেরু', 'বন্দ']
['প্রারম্ভ', 'প্রারাম্ভ', 'প্রাইমাস', 'প্রাইমাল', 'সুমেরু', 'প্রাইম', 'প্রারম্ভিক', 'সুমেরুবৃত্তের', 'প্রাইমা', 'প্রিমিও']
['ভূমিকা', 'ভূমিকাও', 'ভূমিকাই', 'ভূমিকায়', 'ভূমিকার', 'ভূমিকায়', 'ভূমিকাকে', 'ভূমিকাটির', 'ভূমিকাটি', 'ভুমিকা']
['মৌখিক', 'সুমেরু', 'সুশীতল', 'সুয়ুতী', 'সুবর্ণচর', 'সুনির্মল', 'সম্ভাজী', 'সুস্মিতা', 'সুমেরুবৃত্তের', 'সুবর্ণচরের']
['দূরে', 'দূরই', 'দূরেই', 'দূরের', 'দূর', 'দূরহ', 'দূরেও', 'দুরে', 'দূরতম', 'দূরবর্তী']
['ভিতরে', 'ভিতরেই', 'ভিতরের', 'ভেতরে', 'ভেতরের', 'ভিতর', 'ভেতরই', 'ভেতরেই', 'ভিতরেও', 'ভেতরও']
['আলো', 'আলোর', 'আলোটা', 'আলোসহ', 'আলোয়', 'সুরের', 'সুলে', 'সুর', 'সলতের', 'বাতিন']
['অনেক', 'অনেকটা', 'অনেকটাই', 'অনেকগুণ', 'অনেকর', 'অনেকরকম', 'অনেকটুকু', 'অনেকবেশি', 'অনেকটি', 'অনেকখানি']
['ডান', 'ডানাই', 'ডানা', 'ডানি', 'ডান্ডা', 'ডেন', 'ডানার', 'সুজা', 'সুধু', 'দেন']
['তরুণ', 'তরুণই', 'তরুণতম', 'তরুণের', 'তরুণটি', 'তরুণটির', 'তরুনী', 'তরুণীটি', 'তরুণী', 'তারুণ্যকে']
['দীর্ঘস্থায়ী', 'দীর্ঘতর', 'দীর্ঘতম', 'দীর্ঘজীবী', 'অতীত', 'দীর্ঘকালীন', 'অতীতকে', 'দীর্ঘকাল', 'দীর্ঘজীবি', 'দীর্ঘসময়']
['দীর্ঘস্থায়ী', 'সুদীর্ঘ', 'দীর্ঘজীবী', 'দীর্ঘদেহী', 'দীর্ঘকালীন', 'দীর্ঘায়িত', 'দীর্ঘায়ু', 'দীর্ঘতর', 'দীর্ঘজীবি', 'দীর্ঘকাল']
['দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'দীর্ঘকালীন', 'দীর্ঘতর', 'দীর্ঘজীবি', 'দীর্ঘায়িত', 'সুদীর্ঘ', 'দীর্ঘদেহী', 'দীর্ঘসময়', 'দীর্ঘকাল']
['দীর্ঘস্থায়ী', 'আগমন', 'দীর্ঘতর', 'দীর্ঘকালীন', 'দীর্ঘকাল', 'আগমনে', 'দীর্ঘজীবী', 'আগমণ', 'দীর্ঘকালের', 'দীর্ঘতম']
['আজ', 'আজকে', 'আজকাল', 'এদিন', 'দীর্ঘতর', 'আইদিন', 'দীর্ঘস্থায়ী', 'দীর্ঘতম', 'আজকালের', 'এদিনে']
['আদি', 'দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'দীর্ঘকাল', 'দীর্ঘতর', 'দীর্ঘজীবি', 'দীর্ঘকালের', 'দীর্ঘকালীন', 'দীর্ঘস্থায়ী', 'দীর্ঘদেহী']
['দীর্ঘস্থায়ী', 'দীর্ঘতর', 'দীর্ঘজীবী', 'দীর্ঘকালীন', 'দীর্ঘতম', 'দীর্ঘকাল', 'দীর্ঘসময়', 'সুদীর্ঘ', 'দীর্ঘদেহী', 'দীর্ঘকালের']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'দীর্ঘদেহী', 'দীর্ঘতর', 'সুদীর্ঘ', 'দীর্ঘকাল', 'দীর্ঘকালের', 'দীর্ঘজীবি', 'দীর্ঘদেহের']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'আলো', 'দীর্ঘকালের', 'দীর্ঘকাল', 'দীর্ঘজীবি', 'দীর্ঘতর', 'সুদীর্ঘ', 'দীর্ঘদেহী']
['আশীর্বাদ', 'আশীর্বাদের', 'দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'আশীর্বাদে', 'প্রশংসায়', 'আশীর্বাদধন্য', 'প্রশংসাই', 'প্রশংসাও', 'প্রশংসা']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘদেহী', 'দীর্ঘজীবী', 'দীর্ঘায়িত', 'দীর্ঘতর', 'সুদীর্ঘ', 'দীর্ঘকাল', 'দীর্ঘদেহের', 'দীর্ঘকালের']
['দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'ইহকাল', 'সুদীর্ঘ', 'দীর্ঘকালীন', 'দীর্ঘতম', 'দীর্ঘকাল', 'দীর্ঘতর', 'দীর্ঘকালের', 'দীর্ঘজীবন']
['উত্তর', 'উত্তরও', 'উত্তরই', 'উত্তরটা', 'উত্তরেও', 'উত্তরখান', 'উত্তরণ', 'উত্তরের', 'উত্তরটি', 'দীর্ঘতর']
['', '', '', '', '', '', '', '', '', '']
['দীর্ঘস্থায়ী', 'সুদীর্ঘ', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'দীর্ঘাপাড়', 'উত্থান', 'দীর্ঘায়িত', 'দীর্ঘকাল', 'দীর্ঘতর', 'দীর্ঘদেহী']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'সুদীর্ঘ', 'দীর্ঘদেহী', 'দীর্ঘায়িত', 'দীর্ঘজীবি', 'দীর্ঘকাল', 'দীর্ঘতর', 'দীর্ঘকালের']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'দীর্ঘায়িত', 'দীর্ঘদেহী', 'দীর্ঘজীবি', 'সুদীর্ঘ', 'দীর্ঘায়ত', 'দীর্ঘতর', 'দীর্ঘদেহের']
['উজান', 'উজানের', 'দীর্ঘস্থায়ী', 'উসমান', 'উজানে', 'উগয়েন', 'উজানির', 'উসাইন', 'উলান', 'উসমানের']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'দীর্ঘতর', 'দীর্ঘজীবি', 'দীর্ঘকাল', 'দীর্ঘদেহী', 'দীর্ঘকালের', 'সুদীর্ঘ', 'দীর্ঘদেহের']
['দীর্ঘস্থায়ী', 'সুদীর্ঘ', 'দীর্ঘকালীন', 'দীর্ঘায়িত', 'দীর্ঘজীবী', 'দীর্ঘদেহী', 'দীর্ঘতর', 'দীর্ঘকাল', 'দীর্ঘকালব্যাপী', 'দীর্ঘ']
['', '', '', '', '', '', '', '', '', '']
['দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'দীর্ঘদেহী', 'দীর্ঘকালীন', 'দীর্ঘতর', 'সুদীর্ঘ', 'দীর্ঘকাল', 'দীর্ঘকালের', 'দীর্ঘজীবি', 'দীর্ঘদেহের']
['দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'সুদীর্ঘ', 'দীর্ঘতর', 'দীর্ঘকালীন', 'দীর্ঘজীবি', 'দীর্ঘকাল', 'দীর্ঘদেহী', 'দীর্ঘকালের', 'দীর্ঘক্ষন']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'এখনে', 'এখনের', 'এখনো', 'দীর্ঘস্থায়ী', 'দীর্ঘতর', 'দীর্ঘকাল', 'দীর্ঘতম', 'এখনেই', 'আজকাল']
['দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'দীর্ঘতর', 'দীর্ঘজীবি', 'দীর্ঘজীবন', 'দীর্ঘকালের', 'দীর্ঘকালীন', 'দীর্ঘকাল', 'দীর্ঘদেহী', 'দীর্ঘদেহের']
['দীর্ঘস্থায়ী', 'সুদীর্ঘ', 'দীর্ঘজীবী', 'দীর্ঘদেহী', 'দীর্ঘজীবি', 'দীর্ঘায়ু', 'দীর্ঘকালীন', 'দীর্ঘকালের', 'দীর্ঘতর', 'দীর্ঘস্থায়ী']
['কৃষ্ণাঙ্গ', 'দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'দীর্ঘতর', 'দীর্ঘকাল', 'সুদীর্ঘ', 'দীর্ঘকালের', 'দীর্ঘজীবি', 'দীর্ঘায়ু']
['ঘৃণা', 'দীর্ঘস্থায়ী', 'দীর্ঘতর', 'ঘৃণার', 'ঘৃণাবোধ', 'দীর্ঘজীবী', 'ঘৃনা', 'ঘৃণায়', 'দীর্ঘকালের', 'দীর্ঘজীবি']
['দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'দীর্ঘতর', 'দীর্ঘকালীন', 'দীর্ঘদেহী', 'দীর্ঘজীবি', 'সুদীর্ঘ', 'দীর্ঘায়িত', 'দীর্ঘতম', 'দীর্ঘকাল']
['দীর্ঘস্থায়ী', 'সুদীর্ঘ', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'দীর্ঘায়িত', 'দীর্ঘদেহী', 'দীর্ঘতর', 'দীর্ঘপথ', 'দীর্ঘায়ু', 'দীর্ঘকাল']
['দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'দীর্ঘকালীন', 'দীর্ঘজীবি', 'দীর্ঘতর', 'দীর্ঘকাল', 'দীর্ঘদেহী', 'গ্রহণ', 'দীর্ঘায়িত', 'দীর্ঘকালের']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'সুদীর্ঘ', 'দীর্ঘজীবী', 'দীর্ঘকাল', 'গ্রাম্য', 'দীর্ঘদেহী', 'দীর্ঘায়িত', 'দীর্ঘকালের', 'দীর্ঘস্থায়ী']
['দীর্ঘস্থায়ী', 'সুদীর্ঘ', 'দীর্ঘকালীন', 'দীর্ঘায়িত', 'দীর্ঘদেহী', 'দীর্ঘজীবী', 'দীর্ঘকাল', 'দীর্ঘতর', 'দীর্ঘজীবি', 'দীর্ঘ']
['জন্ম', 'দীর্ঘস্থায়ী', 'জন্মাত', 'জন্মকে', 'দীর্ঘজীবী', 'জন্মদান', 'জন্মগ্রহণ', 'দীর্ঘতর', 'দীর্ঘকালীন', 'জন্মদানে']
['জরিমানা', 'দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'দীর্ঘজীবি', 'দীর্ঘতর', 'দীর্ঘজীবন', 'দীর্ঘকালীন', 'দীর্ঘস্থায়ী', 'দীর্ঘকালের', 'জরিমানার']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'দীর্ঘতর', 'দীর্ঘকালের', 'দীর্ঘজীবি', 'দীর্ঘদেহী', 'দীর্ঘকাল', 'দীর্ঘায়িত', 'দীর্ঘদেহের']
['দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'সুদীর্ঘ', 'দীর্ঘকালীন', 'দীর্ঘদেহী', 'দীর্ঘস্থায়ী', 'দীর্ঘজীবি', 'দীর্ঘকালের', 'দীর্ঘায়িত', 'দীর্ঘদেহের']
['দীর্ঘস্থায়ী', 'সুদীর্ঘ', 'দীর্ঘদেহী', 'দীর্ঘকালীন', 'দুর্লভ', 'দীর্ঘজীবী', 'দীর্ঘতম', 'দীর্ঘায়িত', 'দীর্ঘতর', 'দীর্ঘায়ু']
['দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'দীর্ঘকালীন', 'দীর্ঘায়িত', 'দীর্ঘদেহী', 'সুদীর্ঘ', 'দীর্ঘজীবি', 'দীর্ঘতর', 'দীর্ঘায়ত', 'দীর্ঘদেহের']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'সুদীর্ঘ', 'দীর্ঘায়িত', 'দীর্ঘদেহী', 'দীর্ঘতর', 'দীর্ঘকাল', 'দীর্ঘজীবী', 'দীর্ঘায়ু', 'দীর্ঘদেহের']
['দীর্ঘস্থায়ী', 'দীর্ঘকাল', 'দীর্ঘতর', 'দীর্ঘজীবী', 'দীর্ঘকালীন', 'দীর্ঘকালের', 'দীর্ঘজীবি', 'দীর্ঘক্ষন', 'দীর্ঘদেহী', 'দীর্ঘতম']
['দীর্ঘতর', 'দীর্ঘকাল', 'দিবস', 'দীর্ঘকালের', 'দীর্ঘতম', 'দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'দীর্ঘক্ষন', 'বহুদিন', 'দীর্ঘজীবি']
['দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'দীর্ঘতর', 'সুদীর্ঘ', 'দীর্ঘজীবি', 'দীর্ঘকালীন', 'দীর্ঘসময়', 'দীর্ঘদেহী', 'দীর্ঘায়ু', 'দীর্ঘকাল']
['দীর্ঘতর', 'দীর্ঘস্থায়ী', 'দীর্ঘকাল', 'দীর্ঘকালীন', 'দীর্ঘ্য', 'সুদীর্ঘ', 'দীর্ঘই', 'দীর্ঘ', 'দীর্ঘসময়', 'দীর্ঘসময়']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘকাল', 'দীর্ঘজীবী', 'দীর্ঘতর', 'দেনা', 'দীর্ঘকালের', 'দীর্ঘদেহী', 'দীর্ঘজীবি', 'সুদীর্ঘ']
['নিঃশ্বাস', 'নিঃশ্বাসে', 'নিঃশ্বাসের', 'শ্বাস', 'দীর্ঘস্থায়ী', 'শ্বাসের', 'সুদীর্ঘ', 'দীর্ঘজীবী', 'শ্বাসন', 'দীর্ঘকালীন']
['দীর্ঘস্থায়ী', 'দৈর্ঘ্যবিশিষ্ট', 'নির্দিষ্ট', 'সুদীর্ঘ', 'দীর্ঘসময়', 'দীর্ঘকালীন', 'দীর্ঘস্থায়ী', 'দীর্ঘতর', 'দীর্ঘতম', 'দীর্ঘ']
['দীর্ঘস্থায়ী', 'দীর্ঘকাল', 'দীর্ঘকালীন', 'দীর্ঘকালের', 'দীর্ঘতর', 'দীর্ঘতম', 'দীর্ঘদেহী', 'দীর্ঘজীবী', 'দীর্ঘক্ষন', 'দীর্ঘমেয়াদে']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'দীর্ঘায়িত', 'সুদীর্ঘ', 'দীর্ঘদেহী', 'দীর্ঘতর', 'দীর্ঘজীবি', 'দীর্ঘকাল', 'দীর্ঘকালের']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'দীর্ঘায়িত', 'দীর্ঘজীবি', 'দীর্ঘদেহী', 'সুদীর্ঘ', 'দীর্ঘতর', 'দীর্ঘকালের', 'দীর্ঘপথ']
['দীর্ঘস্থায়ী', 'সুদীর্ঘ', 'দীর্ঘজীবী', 'দীর্ঘকালীন', 'দীর্ঘতর', 'দীর্ঘদেহী', 'দীর্ঘকালের', 'দীর্ঘজীবি', 'দীর্ঘকাল', 'দীর্ঘদেহের']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'সুদীর্ঘ', 'দীর্ঘদেহী', 'দীর্ঘায়িত', 'দীর্ঘকালের', 'দীর্ঘকাল', 'দীর্ঘতর', 'দীর্ঘজীবি']
['ভূমিকা', 'দীর্ঘস্থায়ী', 'দীর্ঘতর', 'দীর্ঘজীবী', 'দীর্ঘজীবি', 'দীর্ঘকালীন', 'ভূমিকার', 'ভূমিকায়', 'দীর্ঘকাল', 'দীর্ঘকালের']
['দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'দীর্ঘদেহী', 'সুদীর্ঘ', 'দীর্ঘকালীন', 'দীর্ঘজীবি', 'দীর্ঘায়িত', 'দীর্ঘায়ু', 'দীর্ঘতর', 'দীর্ঘদেহের']
['দীর্ঘতর', 'দূরে', 'দীর্ঘই', 'দীর্ঘস্থায়ী', 'দীর্ঘকাল', 'দীর্ঘদিন', 'দীর্ঘ্য', 'দূরহ', 'দীর্ঘসময়', 'দীর্ঘসময়']
['ভিতরে', 'ভিতরেই', 'ভিতরের', 'ভিতরেও', 'ভিতর', 'দীর্ঘস্থায়ী', 'ভেতরের', 'দীর্ঘতর', 'ভেতরে', 'দীর্ঘমেয়াদে']
['দীর্ঘস্থায়ী', 'দীর্ঘকালীন', 'দীর্ঘজীবী', 'আলো', 'দীর্ঘকালের', 'দীর্ঘকাল', 'দীর্ঘজীবি', 'দীর্ঘতর', 'সুদীর্ঘ', 'দীর্ঘদেহী']
['দীর্ঘদিন', 'দীর্ঘই', 'দীর্ঘতর', 'দীর্ঘদিনের', 'দীর্ঘতম', 'দীর্ঘসময়', 'দীর্ঘদিনেও', 'দীর্ঘকাল', 'দীর্ঘসময়', 'দীর্ঘদিনে']
['ডান', 'দীর্ঘস্থায়ী', 'দীর্ঘজীবী', 'দীর্ঘকাল', 'দীর্ঘতর', 'দীর্ঘকালীন', 'দীর্ঘস্থায়ী', 'দীর্ঘকালের', 'সুদীর্ঘ', 'দীর্ঘদেহী']
['তরুণ', 'দীর্ঘস্থায়ী', 'দীর্ঘতর', 'দীর্ঘকালীন', 'দীর্ঘতম', 'দীর্ঘকাল', 'সুদীর্ঘ', 'দীর্ঘজীবী', 'দীর্ঘকালের', 'দীর্ঘদেহী']
