['তুমি', 'আমরা', 'আপনা', 'আপনি', 'আমারা', 'আপনারই', 'তোমাদের', 'আমাদেরই', 'তোমরা', 'আমাদের']
['মাঝি', 'মাঝামাঝি', 'তহসিলগুলি', 'মাখজুমি', 'মেহরি', 'মেহসুদের', 'মহকুমাগুলি', 'মাজারগুলি', 'মেহরাবটি', 'মাগসি']
['ছাত্রদের', 'ছাত্ররা', 'ছাত্রনেতাদের', 'ছাত্রেরা', 'ছাত্রগণ', 'ছাত্র', 'ছাত্রদেরকে', 'ছাত্রনেতারা', 'ছাত্ররাই', 'ছাত্রছাত্রীরা']
['ধনীরা', 'ধনী', 'ধনীদের', 'ধনীর', 'সমৃদ্ধশালী', 'বড়লোকদের', 'ধনদৌলত', 'সম্পদশালী', 'সমৃদ্ধ', 'বড়লোক']
['ভাই', 'ভাইরা', 'ভাইও', 'ভাইবে', 'বান্দারা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইকিংদের', 'ভাইয়েদের', 'ভাইবোনেরা']
['শিক্ষকগণ', 'শিক্ষকদের', 'শিক্ষকগণের', 'শিক্ষিকাদের', 'শিক্ষিকারা', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষকেরাই', 'শিক্ষাবিদগণ', 'শিক্ষাবিদদের']
['গালভরা', 'গুরুরা', 'গরুদের', 'গুরিরা', 'গোর্খারা', 'গরুমারা', 'গরুগুলোর', 'ঘোরাফেরা', 'গোচরা', 'গরু']
['ছোটদের', 'ছেলেদের', 'পুত্রদের', 'বালকদের', 'ছেলেমেয়েদের', 'ছোটদের', 'ছেলেরা', 'ছেলেরাই', 'যুবাইরের', 'বালকেরা']
['ভাই', 'ভাইরা', 'ভাইও', 'ভাইবে', 'বান্দারা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইকিংদের', 'ভাইয়েদের', 'ভাইবোনেরা']
['পাখি', 'পাখীদের', 'পাখিগুলি', 'পাখিদের', 'পাখিরাই', 'পাখী', 'পাখিগুলোর', 'পাখনাগুলোকে', 'পাখনাগুলো', 'পাখির']
['সদস্যদের', 'সদস্যেদের', 'সদস্যেরা', 'সদস্যদরা', 'সদস্যগণ', 'সদস্যরা', 'সদস্যগুলোর', 'সদস্যরাই', 'সদস্যগুলি', 'সদস্যগুলো']
['সচিব', 'সচিবের', 'সিপাহীদের', 'শেখপুরা', 'বসতিগুলি', 'উচ্চারণগুলি', 'উপশাখাগুলি', 'সাপগুলি', 'যবসুরা', 'কবিগণ']
['দর্শকগণ', 'দর্শকদের', 'দর্শকেরা', 'দর্শকরা', 'পরিদর্শকদের', 'দর্শকেরাই', 'দর্শকের', 'দর্শকদেরকে', 'প্রদর্শকদের', 'পরিদর্শকেরা']
['শিক্ষকগণ', 'শিক্ষকদের', 'শিক্ষকগণের', 'শিক্ষিকাদের', 'শিক্ষিকারা', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষকেরাই', 'শিক্ষাবিদগণ', 'শিক্ষাবিদদের']
['সাধকেরা', 'সুধীজনদের', 'সাদবিরোধীরা', 'সুধীরা', 'সাবেকরা', 'পুরোহিতরা', 'এতিমদের', 'সাপগুলি', 'সমরসেকরা', 'সওদাগরদের']
['সম্পাদকগণ', 'সম্পাদকদের', 'সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকের', 'সম্পাদক', 'সম্পাদিকার', 'সম্পাদককে', 'সম্পাদনার', 'সম্পাদকীয়']
['পণ্ডিতগণ', 'পণ্ডিতদের', 'পণ্ডিতের', 'পণ্ডিতরা', 'বিবরণগুলি', 'পণ্ডিতগণের', 'পণ্ডিত', 'দর্শনগুলির', 'প্রথাগুলির', 'পাণ্ডবদের']
['মন্ত্রীদের', 'মন্ত্রীগণ', 'মন্ত্রীদেরকে', 'মন্ত্রীরা', 'মন্ত্রীগণের', 'মন্ত্রীও', 'মন্ত্রীপরিষদের', 'মন্ত্রী', 'মন্ত্রিপরিষদের', 'উপমন্ত্রীদের']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আমি', 'আমারই', 'আমরাই', 'আমানি', 'আমরা', 'আমগুলো', 'আমারা', 'আমা', 'আমারে', 'আমিই']
['তুমি', 'আপনি', 'আপনারই', 'তুমিই', 'আপনারাই', 'আপনা', 'তোমরা', 'তোমরা', 'আপনিই', 'তোমাদের']
['সে', '°সে', 'তিনি', 'সই', 'উনা', 'উনাই', 'উনি', 'উনিই', 'তাঁর', 'সেই']
['তিনি', 'তিনিই', 'তারাই', 'উনাই', 'তাঁরাই', 'উনিই', 'তাঁরা', 'উনাদের', 'তাদেরই', 'তারা']
['শিক্ষকগণ', 'শিক্ষকদের', 'শিক্ষকগণের', 'শিক্ষিকাদের', 'শিক্ষকরা', 'শিক্ষিকারা', 'শিক্ষক', 'শিক্ষকনেতারা', 'শিক্ষকের', 'শিক্ষকেরা']
['মাঝি', 'মাঝামাঝি', 'মাখজুমি', 'ব্ঝি', 'মাগসি', 'মাঝামঝি', 'মক্খলি', 'মাঝেই', 'মাউশি', 'মাতাজি']
['ছাত্র', 'ছাত্রদের', 'ছাত্ররা', 'ছাত্রনেতাদের', 'ছাত্রগণ', 'ছাত্রছাত্রীরা', 'ছাত্রের', 'ছাত্রেরা', 'শিষ্যদের', 'ছাত্রনেতারা']
['ধনী', 'ধনীরা', 'ধনীদের', 'ধনীর', 'ধনদৌলত', 'সমৃদ্ধশালী', 'ধনসম্পদ', 'ধনের', 'সম্পদশালী', 'ধনসম্পদের']
['ভাই', 'ভাইও', 'ভাইবে', 'ভাইরা', 'ভাইয়ে', 'ভাইব', 'ভাইয়া', 'ভাইয়া', 'ভাইকে', 'ভাইয়ের']
['শিক্ষকগণ', 'শিক্ষকদের', 'শিক্ষকগণের', 'শিক্ষিকাদের', 'শিক্ষকরা', 'শিক্ষিকারা', 'শিক্ষক', 'শিক্ষকনেতারা', 'শিক্ষকের', 'শিক্ষকেরা']
['গরু', 'গালভরা', 'গরুদের', 'গরুর', 'গুরুরা', 'গজরা', 'গুরিরা', 'গরুমারা', 'গোর্খারা', 'গারুদা']
['ছেলে', 'ছেলেরে', 'ছেলের', 'ছেলেধরা', 'ছেলেই', 'ছেলেমেয়েকে', 'ছেল', 'ছেলেদের', 'ছেলেকে', 'ছেলেমেয়েদের']
['মেয়ে', 'মেয়ে', 'মেয়েকে', 'মেয়ের', 'কন্যাদের', 'মেয়েকে', 'মেয়েই', 'স্ত্রী', 'মেয়েশিশুর', 'মেয়েশিশু']
['ভাই', 'ভাইও', 'ভাইবে', 'ভাইরা', 'ভাইয়ে', 'ভাইব', 'ভাইয়া', 'ভাইয়া', 'ভাইকে', 'ভাইয়ের']
['পাখি', 'পাখী', 'পাখিটি', 'পাখিরাই', 'পাখতুন', 'পাখীদের', 'পাখিগুলি', 'পাখিদের', 'পাখিতে', 'পাখা']
['সচিব', 'সচিবের', 'শিবাজী', 'উপসচিব', 'সভাকবি', 'সিতসিপাস', 'সাপগুলি', 'সচিবকে', 'আশিকুল', 'যবসুরা']
['দর্শক', 'দর্শকগণ', 'দর্শকের', 'দর্শকগন', 'দর্শকদের', 'দর্শকরা', 'দর্শকেরা', 'পরিদর্শক', 'পরিদর্শকদের', 'দর্শকেরাই']
['শিক্ষকগণ', 'শিক্ষকদের', 'শিক্ষকগণের', 'শিক্ষিকাদের', 'শিক্ষকরা', 'শিক্ষিকারা', 'শিক্ষক', 'শিক্ষকনেতারা', 'শিক্ষকের', 'শিক্ষকেরা']
['সুধী', 'সুধীরা', 'সুতী', 'সমাধী', 'সজনী', 'সুধীজন', 'সামছুল', 'সুধীজনের', 'শেণী', 'সাপগুলি']
['সম্পাদকগণ', 'সম্পাদকরা', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদকেরা', 'সম্পাদিকার', 'সম্পাদকের', 'সম্পাদনার', 'সম্পাদককে', 'সম্পাদকীয়']
['পণ্ডিত', 'পণ্ডিতের', 'পণ্ডিতগণ', 'পণ্ডিতগণের', 'পাণ্ডিত্যের', 'পণ্ডিতই', 'পণ্ডিতদের', 'দন্ডিত', 'সুপণ্ডিত', 'পণ্ডিতরা']
['মন্ত্রীগণ', 'মন্ত্রীদের', 'মন্ত্রী', 'মন্ত্রীগণের', 'মন্ত্রি', 'মন্ত্রীর', 'মন্ত্রীপরিষদের', 'মন্ত্রীই', 'মন্ত্রীও', 'মন্ত্রিপরিষদের']
['আমি', 'আমারই', 'আমরা', 'আমা', 'আমারা', 'আমগুলো', 'আমারে', 'আমানি', 'আমরাই', 'আমাদের']
['তুমি', 'আপনি', 'আপনা', 'আপনারই', 'তুমিই', 'তোমাদের', 'আপনিই', 'তোমরা', 'আপনারাই', 'আপনারা']
['সে', 'উনা', 'তিনি', 'উনাই', 'তাঁর', 'þ', 'উনিই', 'ì', 'উনি', 'সেগুলা']
['তিনি', 'তিনিই', 'উনাই', 'উনিই', 'তারাই', 'তাঁরাই', 'তাঁরা', 'উনাদের', 'তারা', 'তাঁদের']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকদের', 'শিক্ষকের', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষককে', 'শিক্ষিকাদের', 'শিক্ষকনেতারা', 'শিক্ষকেরা']
['মাঝি', 'মাখজুমি', 'সচিবগণ', 'মামুলি', 'মাঝামাঝি', 'মেহদি', 'মদভাটি', 'মহকুমাগুলি', 'মক্খলি', 'অঙ্গুলি']
['ছাত্র', 'ছাত্রদের', 'ছাত্ররা', 'ছাত্রের', 'ছাত্রছাত্রীর', 'ছাত্রছাত্রীরা', 'ছাত্রনেতাদের', 'ছাত্রীর', 'ছাত্রছাত্রীদের', 'ছাত্রগণ']
['ধনী', 'ধনীদের', 'ধনীরা', 'ধনীর', 'ধনসম্পদ', 'ধনদৌলত', 'সমৃদ্ধশালী', 'সম্পদশালী', 'বড়লোক', 'ধনসম্পদের']
['ভাই', 'ভাইও', 'ভাইয়া', 'ভাইয়ের', 'ভাইবে', 'ভাইকে', 'ভাইয়ে', 'ভাইয়া', 'ভাইজান', 'ভাইয়াকে']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকদের', 'শিক্ষকের', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষককে', 'শিক্ষিকাদের', 'শিক্ষকনেতারা', 'শিক্ষকেরা']
['গরু', 'গরুদের', 'গরুর', 'গলদা', 'গুরুরা', 'গজরা', 'গড়াল', 'গয়াল', 'গাঁটের', 'গৌরীর']
['ছেলে', 'ছেলেরে', 'ছেল', 'পুত্রা', 'ছেলের', 'পুত্রে', 'বালকা', 'ছেলেমেয়েকে', 'ছেলেকে', 'ছেলেমেয়ের']
['মেয়ে', 'মেয়ের', 'মেয়ে', 'স্ত্রী', 'মেয়েকে', 'মেয়েকে', 'পুত্রী', 'بنت', 'বালিকা', 'কন্যাদের']
['ভাই', 'ভাইও', 'ভাইয়া', 'ভাইয়ের', 'ভাইবে', 'ভাইকে', 'ভাইয়ে', 'ভাইয়া', 'ভাইজান', 'ভাইয়াকে']
['পাখি', 'পাখী', 'পাখীদের', 'পাখিটি', 'পাখিগুলি', 'পাখিদের', 'পাখতুন', 'পাখিটা', 'পাখিরা', 'পাখনাগুলো']
['সদস্য', 'সদস্যগণ', 'সদস্যদের', 'সদস্যের', 'সদস্যেদের', 'সদস্যগন', 'সদস্যদেশ', 'সদস্যগণের', 'সদস্যেরা', 'সদস্যদরা']
['দর্শক', 'দর্শকের', 'দর্শকগণ', 'পরিদর্শক', 'দর্শকগন', 'দর্শকদের', 'দর্শকরা', 'দর্শকেরা', 'দর্শনীর', 'দর্শককে']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকদের', 'শিক্ষকের', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষককে', 'শিক্ষিকাদের', 'শিক্ষকনেতারা', 'শিক্ষকেরা']
['সচিবগণ', 'সুধী', 'মদনখালী', 'সংযমী', 'প্রতিকূল', 'সগত', 'গুণী', 'কুঠি', 'সমাধী', 'সমাধিগুলি']
['সম্পাদক', 'সম্পাদকগণ', 'সম্পাদিকার', 'সম্পাদকরা', 'সম্পাদকদের', 'সম্পাদনার', 'সম্পাদকেরা', 'সম্পাদকের', 'সম্পাদককে', 'সম্পাদিকা']
['পণ্ডিত', 'সচিবগণ', 'উপদেষ্ঠা', 'প্রতিবন্ধিতা', 'গ্রন্থাদি', 'দাক্ষিণ্য', 'উপগোষ্ঠী', 'আর্কষণ', 'পণ্ডিতের', 'সংবদ্ধ']
['মন্ত্রী', 'মন্ত্রীগণের', 'মন্ত্রীপরিষদের', 'মন্ত্রীর', 'মন্ত্রীই', 'মন্ত্রি', 'মন্ত্রীদের', 'মন্ত্রক', 'মন্ত্রীগণ', 'মন্ত্রীকে']
['আমি', 'আমারই', 'আমানি', 'আমরাই', 'أَأَنتُمْ', 'আমে', 'আমামি', 'আমটি', 'আমারে', 'আমনা']
['তুমি', 'তুমিই', 'আপনাআপনি', 'আপনি', 'আপনারই', 'আপনাআপনিই', 'তোমারই', 'আপনিই', 'তুই', 'তোমায়']
['সে', '°সে', 'তিনি', 'তারই', 'তুমসে', 'তাঁর', 'উনি', 'যমকে', 'যারে', 'সেই']
['তিনি', 'তিনিই', 'উনাই', 'তাঁরাই', 'উনিই', 'তাঁরই', 'তোমায়', 'তোমারই', 'তারই', 'আপনমনে']
['শিক্ষকবৃন্দ', 'শিক্ষকমন্ডলী', 'শিক্ষকমণ্ডলীর', 'শিক্ষকমণ্ডলী', 'শিক্ষকতার', 'শিক্ষকই', 'শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষকসংকটের', 'শিক্ষাদানকারী']
['মাঝি', 'মাঝামাঝি', 'মাঝামঝি', 'মাখজুমি', 'মক্খলি', 'ব্ঝি', 'মেঘডুবি', 'মস্তকটি', 'মাঝেই', 'কুশমণ্ডি']
['ছাত্রবৃত্তির', 'ছাত্রে', 'ছাত্রবৃত্তি', 'ছাত্র', 'ছাত্রত্ব', 'ছাত্রসমাজ', 'ছাত্রের', 'ছাত্রবৃন্দ', 'ছাত্রকে', 'ছাত্রছাত্রীর']
['ধনী', 'ধনীর', 'ধনদৌলত', 'ধনীদের', 'সমৃদ্ধশালী', 'ধনাত্বক', 'সম্পদশালী', 'সমৃদ্ধ', 'ধনসম্পদ', 'ধনীরা']
['ভাই', 'ভাইবে', 'ভাইও', 'ভাইয়ে', 'ভাইব', 'ভাইয়া', 'ভাইপো', 'ভাইয়া', 'দোস্তাম', 'ভাইয়াকে']
['শিক্ষকবৃন্দ', 'শিক্ষকমন্ডলী', 'শিক্ষকমণ্ডলীর', 'শিক্ষকমণ্ডলী', 'শিক্ষকতার', 'শিক্ষকই', 'শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষকসংকটের', 'শিক্ষাদানকারী']
['গরু', 'গোরখপুর', 'গোরখপুরে', 'গুরগাঁওয়ের', 'গাবতলা', 'গরালগাছা', 'গালগল্প', 'ঘাজীপুর', 'গরুর', 'গাবতলীর']
['ছেলেবেলা', 'ছেলেই', 'ছেলে', 'ছেলেরে', 'ছেলের', 'ছেল', 'ছেলেকেই', 'যুবাইরের', 'ছেলেকে', 'পুত্রই']
['মেয়ে', 'মেয়ে', 'মেয়েকে', 'মেয়েকেই', 'মেয়েই', 'মেয়ের', 'মেয়েই', 'মেয়েকে', 'মেয়েলীপনা', 'মেয়েরে']
['ভাই', 'ভাইবে', 'ভাইও', 'ভাইয়ে', 'ভাইব', 'ভাইয়া', 'ভাইপো', 'ভাইয়া', 'দোস্তাম', 'ভাইয়াকে']
['পাখি', 'পাখতুনখাওয়া', 'পাখতুনখোয়া', 'পাখতুন', 'পাখিতে', 'পাখিসেবা', 'পাখতুনখাওয়ার', 'পাখা', 'পাখিটি', 'পাখপাখালি']
['সদস্যবৃন্দ', 'সদস্যরূপে', 'সদস্যরূপ', 'সদস্য', 'সদস্যভূক্ত', 'সদস্যে', 'সদস্যকে', 'সদস্যের', 'সদস্যপদের', 'সদস্যগণের']
['সচিব', 'খাসনবিশ', 'শুরাহবিল', 'শাবিপ্রবি', 'শেকৃবি', 'সীতাকুণ্ড', 'চিদাম', 'বশেমুরকৃবি', 'শিবাজী', 'সচিবের']
['শিক্ষকবৃন্দ', 'শিক্ষকমন্ডলী', 'শিক্ষকমণ্ডলীর', 'শিক্ষকমণ্ডলী', 'শিক্ষকতার', 'শিক্ষকই', 'শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষকসংকটের', 'শিক্ষাদানকারী']
['সুধী', 'সাদামাটাই', 'সামছুল', 'শুদ্ধবাস', 'সাদামাটি', 'সুধীজন', 'সুতারখালী', 'সুবর্ণখালি', 'সুবক্তা', 'সুধীরলাল']
['সম্পাদকমণ্ডলীর', 'সম্পাদকের', 'সম্পাদক', 'সম্পাদকীয়', 'সম্পাদকমণ্ডলী', 'সম্পাদিকার', 'সম্পাদনকারী', 'সম্পাদককে', 'সম্পাদকমন্ডলীর', 'সম্পাদনার']
['পণ্ডিত', 'পণ্ডিতবিহারে', 'দন্তৌষ্ঠ্য', 'কুণ্ডলিত', 'পণ্ডিতই', 'চণ্ডীতলা', 'পণ্ডিতবিহার', 'পদাভিষিক্ত', 'ত্রিখণ্ডিত', 'পণ্ডিতের']
['মন্ত্রীত্বের', 'মন্ত্রী', 'মন্ত্রীত্ব', 'মন্ত্রিত্বের', 'মন্ত্রীপর্যায়ের', 'মন্ত্রীর', 'মন্ত্রি', 'মন্ত্রীকে', 'মন্ত্রসমূহের', 'মন্ত্রিত্ব']
['আমি', 'আমারই', 'আমানি', 'আমরাই', 'আমা', 'আমিতো', 'আমারে', 'أَأَنتُمْ', 'আমারো', 'আমরা']
['তুমি', 'আপনি', 'তুমিই', 'আপনারই', 'আপনাআপনিই', 'আপনাআপনি', 'আপনা', 'তোমারই', 'আপনিই', 'তুই']
['সে', '°সে', 'উনা', 'তিনি', 'তাঁর', 'উনিই', 'সই', 'সেই', 'উনি', 'ıı']
['তিনি', 'তিনিই', 'উনিই', 'উনাই', 'তাঁরাই', 'তাঁরই', 'তারাই', 'তারই', 'তোমায়', 'যিনা']
['শিক্ষকবৃন্দ', 'শিক্ষকতার', 'শিক্ষকনেতা', 'শিক্ষকমন্ডলী', 'শিক্ষাদানকারী', 'শিক্ষকবৃন্দের', 'শিক্ষিকা', 'শিক্ষকতা', 'শিক্ষকমণ্ডলীর', 'শিক্ষাথী']
['মাঝি', 'মাঝামাঝি', 'ব্ঝি', 'মাখজুমি', 'মক্খলি', 'মাঝামঝি', 'কুশমণ্ডি', 'মাঝেই', 'মণি', 'মস্তকটি']
['ছাত্র', 'ছাত্রের', 'ছাত্রে', 'ছাত্রকে', 'ছাত্রছাত্রীর', 'ছাত্রবৃত্তির', 'ছাত্রদের', 'ছাত্রত্ব', 'ছাত্রবৃত্তি', 'ছাত্রীর']
['ধনী', 'ধনীর', 'ধনীদের', 'ধনদৌলত', 'সমৃদ্ধশালী', 'ধনাত্বক', 'ধনীরা', 'সমৃদ্ধ', 'ধনসম্পদ', 'সম্পদশালী']
['ভাই', 'ভাইবে', 'ভাইও', 'ভাইয়ে', 'ভাইব', 'ভাইয়া', 'ভাইপো', 'ভাইয়া', 'ভাইয়াকে', 'ভাইকে']
['শিক্ষকবৃন্দ', 'শিক্ষকতার', 'শিক্ষকনেতা', 'শিক্ষকমন্ডলী', 'শিক্ষাদানকারী', 'শিক্ষকবৃন্দের', 'শিক্ষিকা', 'শিক্ষকতা', 'শিক্ষকমণ্ডলীর', 'শিক্ষাথী']
['গরু', 'গরুর', 'গরালগাছা', 'গাবতলা', 'গোর্খা', 'গুরগাঁওয়ের', 'গুর্খা', 'গরুভর্তি', 'গর্ভেই', 'গোরখপুর']
['ছেলে', 'ছেলেই', 'ছেল', 'ছেলেবেলা', 'ছেলেরে', 'ছেলেমেয়ের', 'ছেলের', 'ছেলেকেই', 'ছেলেমেয়ে', 'ছেলেকে']
['মেয়ে', 'মেয়ে', 'মেয়েকে', 'মেয়ের', 'মেয়েকে', 'মেয়েকেই', 'মেয়েশিশুর', 'মেয়েই', 'মেয়েই', 'পুত্রস্নেহে']
['ভাই', 'ভাইবে', 'ভাইও', 'ভাইয়ে', 'ভাইব', 'ভাইয়া', 'ভাইপো', 'ভাইয়া', 'ভাইয়াকে', 'ভাইকে']
['পাখি', 'পাখতুন', 'পাখতুনখাওয়া', 'পাখিতে', 'পাখিটি', 'পাখী', 'পাখতুনখোয়া', 'পাখিসেবা', 'পাখা', 'পাখিও']
['সদস্য', 'সদস্যবৃন্দ', 'সদস্যে', 'সদস্যের', 'সদস্যগন', 'সদস্যকে', 'সদস্যরূপ', 'সদস্যরূপে', 'সদস্যগণের', 'সদস্যই']
['সচিব', 'সচিবের', 'উপসচিব', 'শিবাজী', 'সচিদানন্দ', 'শৈলজানন্দ', 'স্বাচিপ', 'চিদামের', 'শুরাহবিল', 'শাখাওয়াত']
['দর্শক', 'দর্শকগন', 'দর্শকের', 'দর্শকবৃন্দ', 'দর্শকাসন', 'দর্শককে', 'দর্শকগণ', 'পরিদর্শক', 'দর্শকে', 'দর্শকখরা']
['সুধী', 'শুদ্ধবাস', 'সুধীজন', 'সদ্যজাত', 'সদ্যই', 'সামছুল', 'সুবর্ণখালি', 'সুবক্তা', 'সাদামাটাই', 'সুতারখালী']
['সম্পাদক', 'সম্পাদিকার', 'সম্পাদনার', 'সম্পাদকের', 'সম্পাদককে', 'সম্পাদকীয়', 'সম্পাদিকা', 'সম্পাদকগণ', 'সম্পাদকমণ্ডলীর', 'সম্পাদকীয়']
['পণ্ডিত', 'পণ্ডিতের', 'দিখন্ডিত', 'পাণ্ডিত্যের', 'পণ্ডিতই', 'দন্তৌষ্ঠ্য', 'পাণ্ডিত্য', 'সুপণ্ডিত', 'দন্ডিত', 'ত্রিখণ্ডিত']
['মন্ত্রি', 'মন্ত্রিত্বের', 'মন্ত্রী', 'মন্ত্রীত্বের', 'মন্ত্রীত্ব', 'মন্ত্রীকে', 'মন্ত্রীর', 'মন্ত্রিত্ব', 'মন্ত্রযান', 'মন্ত্রীগণের']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আমি', 'আমারই', 'আমটি', 'আমানি', 'আমরাই', 'আমিসহ', 'তোয়োতোমি', 'আমগুড়ি', 'তোতাপাখি', 'أَأَنتُمْ']
['তুমি', 'তুমিই', 'তোমারই', 'আপনাআপনিই', 'আপনাআপনি', 'আপনারই', 'আপনি', 'তুই', 'আপনিই', 'তোমায়']
['সে', '°সে', 'ওরই', 'উনি', 'সেটিরই', 'তিনি', 'প্যতি', 'সজনেখালি', 'সেই', 'তুমসে']
['তিনি', 'তিনিই', 'উনিই', 'তাঁরাই', 'তাঁরই', 'ছিটমহলটি', 'উনাই', 'তোতাপাখি', 'তারকামণ্ডলীর', 'নৃত্যটি']
['শিক্ষকমণ্ডলী', 'শিক্ষকমন্ডলী', 'শিক্ষকমণ্ডলীর', 'শিখণ্ডী', 'শিক্ষকসংকটের', 'শিক্ষাথী', 'শিক্ষকবৃন্দ', 'শিক্ষকই', 'শিক্ষনুরাগী', 'শিক্ষাদানকারী']
['মাঝি', 'মাঝামাঝি', 'মাঝামঝি', 'কুশমণ্ডি', 'কোষঝিল্লি', 'মাখজুমি', 'বিসমিল্লাহি', 'মেঘডুবি', 'মক্খলি', 'মুত্তাকি']
['ছাত্রবৃত্তির', 'ছাত্রসমাজ', 'ছাত্রবৃত্তি', 'ছাত্রের', 'ছাত্রে', 'ছাত্রবিষয়ক', 'ছাত্রত্ব', 'ছাত্র', 'দন্তিদুর্গের', 'ওদন্তপুরী']
['ধনী', 'ধনীর', 'ধনদৌলত', 'ধনীদের', 'সমৃদ্ধশালী', 'সম্পদশালী', 'ধনাত্বক', 'ধনীরা', 'ধনসম্পত্তির', 'ধনসম্পদ']
['ভাই', 'ভাইবে', 'দোস্তাম', 'ভাইও', 'ভাইয়ে', 'ভাইব', 'সৎভাই', 'ভাইয়া', 'ব্রহ্মবান্ধব', 'ভাইগাই']
['শিক্ষকমণ্ডলী', 'শিক্ষকমন্ডলী', 'শিক্ষকমণ্ডলীর', 'শিখণ্ডী', 'শিক্ষকসংকটের', 'শিক্ষাথী', 'শিক্ষকবৃন্দ', 'শিক্ষকই', 'শিক্ষনুরাগী', 'শিক্ষাদানকারী']
['গোরখপুর', 'গাবতলী', 'গলাগলি', 'গোরখপুরে', 'গরু', 'গালগল্প', 'গরুবোঝাই', 'গুনগ্রাহী', 'গরিয়াবন্দ', 'গোল্লাছুট']
['ছেলেই', 'ছেলেবেলা', 'ছেলেমানুষি', 'ছেলে', 'ছেলেমেয়ের', 'ছেলেকেই', 'ছেলেমেয়েই', 'ছেলেরে', 'ছোটহাতের', 'ছেলেবেলায়']
['মেয়েই', 'মেয়ে', 'মেয়ে', 'মেয়েলি', 'মেয়েলীপনা', 'মেয়েই', 'মেয়েজামাই', 'মেয়েকেই', 'মেয়েকে', 'মেয়েলী']
