['হইয়াছি', 'হইয়াও', 'হইয়াছিল', 'লইলাম', 'হইয়াছে', 'অতছ', 'আসিয়াছিল', 'আছিলাম', 'খসিয়া', 'হইয়া']
['দেখিয়াই', 'দেখিয়াছে', 'দেখিয়াছি', 'দেখিল', 'থাকিত', 'আসিয়াছে', 'দেখিয়াছ', 'দেখিলে', 'আসিয়াছিল', 'বলিবে']
['পড়িলে', 'উঠিলে', 'উঠিবে', 'উঠিল', 'পড়িত', 'লইল', 'পড়িয়াছে', 'চলিলে', 'উঠিব', 'নাঢ়া']
['পড়িলে', 'উঠিলে', 'উঠিবে', 'উঠিল', 'পড়িত', 'লইল', 'পড়িয়াছে', 'চলিলে', 'উঠিব', 'নাঢ়া']
['লাগিলো', 'লাগিলেন', 'দেখিল', 'থাকিত', 'উঠিলে', 'উঠিল', 'পড়িতেছে', 'উঠিলেন', 'চলিলে', 'ধরিলেন']
['তুলিয়া', 'ছিড়িয়া', 'লবটুলিয়া', 'খুলিয়াছে', 'ধরিয়া', 'পড়িয়া', 'ফেলিয়া', 'আনিয়া', 'খুলিল', 'ঠেলিয়া']
['বলিয়াই', 'বলিয়অ', 'বলিয়াছি', 'বলিয়াছিল', 'বলিয়াছে', 'বলিয়াÂ', 'করিয়া', 'বলিবে', 'বলিবেন', 'বলিলে']
['উঠিবে', 'উঠিলে', 'ভাঙিল', 'বহিয়া', 'লইল', 'পড়িয়া', 'আজিও', 'পড়িলে', 'উঠিব', 'পড়িল']
['বসাইতে', 'পাডাইতে', 'শুধাইতে', 'জাইতে', 'শুকাইতে', 'ফিরাইতে', 'চরাইতে', 'ধরাইতে', 'পরাইতে', 'ঝিমাইতে']
['ফুটিয়াছে', 'ফুটিয়াছিল', 'টুটিয়া', 'ফুটিবে', 'ফুটিল', 'চটিয়া', 'আঁটিয়া', 'ভরিয়া', 'ছুটিয়া', 'দেখিল']
['ছুটিতেছে', 'ছুটিতেও', 'ছুটিতেই', 'ছুটি', 'ছুটিসহ', 'ছুটিব', 'ছুটিল', 'ছুটিছে', 'ছুটিই', 'ছুটিয়া']
['আসিয়াই', 'বসিয়া', 'খসিয়া', 'আসিয়াছি', 'আসিয়াছিল', 'আসিয়াছ', 'উঠিবে', 'বহিয়া', 'ধরিয়া', 'চলিলে']
['লইবে', 'হইবা', 'লইলাম', 'থাকিত', 'বসিল', 'লইল', 'উঠিবে', 'লইয়াই', 'হইয়াও', 'দেখিল']
['চলিবে', 'করিয়া', 'করিবে', 'উঠিবে', 'করিতেছে', 'যেইরূপ', 'থাকিত', 'করিবারে', 'দেখিবার', 'লইয়াই']
['চলিবে', 'করিয়া', 'করিবে', 'উঠিবে', 'করিতেছে', 'যেইরূপ', 'থাকিত', 'করিবারে', 'দেখিবার', 'লইয়াই']
['পাইয়াছিল', 'পাইয়াছি', 'লইয়াছিল', 'লইয়াছিলেন', 'পাইয়াছে', 'চাহিয়াছিলেন', 'রাখিয়াছিলেন', 'পাইয়াছিলাম', 'বলিয়াছিলেন', 'উঠিয়াছিল']
['গিয়াছিল', 'আসিয়াছিলেন', 'বলিয়াছিলেন', 'রাখিয়াছিলেন', 'গিয়াছি', 'আসিয়াছিল', 'উঠিয়াছিল', 'চাহিয়াছিলেন', 'রাখিয়াছিল', 'পড়িয়াছিলেন']
['লইয়াছিলেন', 'রাখিয়াছিলেন', 'আসিয়াছিলেন', 'পাইয়াছিলেন', 'চাহিয়াছিলেন', 'গিয়াছিলেন', 'পড়িয়াছিলেন', 'বলিয়াছিলেন', 'হইয়াছিলেন', 'লইয়াছিল']
['উঠিয়াছে', 'রহিয়াছি', 'রহিয়াছেন', 'রাখিয়াছে', 'রহিয়া', 'লইয়াছে', 'আনিয়াছে', 'উঠিবে', 'পলাইয়াছে', 'থাকিত']
['থাকিত', 'হইতেন', 'হইয়াও', 'আসিলেন', 'চলিলে', 'দেখিল', 'বলিলে', 'লইয়াই', 'উঠিলেন', 'উঠিবে']
['চলিবে', 'হইয়াও', 'লইবে', 'দেখিল', 'লইয়াই', 'বলিবে', 'লইল', 'ঘটিল', 'বলিলে', 'উঠিবে']
['হইয়াও', 'উঠিবে', 'বহিয়া', 'লইয়াই', 'যাইয়া', 'থাকিত', 'ছড়াইয়া', 'পলাইয়া', 'বসিল', 'লইল']
['দেখিল', 'লইয়াই', 'চাখিয়া', 'উঠিবে', 'দেখিয়াই', 'থাকিত', 'লইবে', 'রাখিয়া', 'দেখিলে', 'দেখিয়াছি']
['করিলম', 'করিলেও', 'করিলো', 'ধরিলেন', 'করিল', 'আসিলেন', 'করিলেক', 'বলিলে', 'চলিলে', 'উঠিলেন']
['উঠিবে', 'লইল', 'নাঢ়া', 'বসিল', 'উঠিল', 'উঠিলে', 'চলিলে', 'উঠিব', 'আজিও', 'কেহবা']
['লাগিলো', 'দেখিল', 'চলিলে', 'উঠিল', 'উঠিবে', 'উঠিলে', 'লাগিলেন', 'বসিল', 'লাগিত', 'লইল']
['তুলিয়া', 'লবটুলিয়া', 'লইল', 'খুলিল', 'ঠেলিয়া', 'ধরিয়া', 'উঠিবে', 'আনিয়া', 'রাখিয়া', 'টানিয়া']
['বলিয়াই', 'বলিয়অ', 'বলিবে', 'উঠিবে', 'বলিয়াছি', 'লইয়াই', 'লইবে', 'বলিলে', 'করিয়া', 'চলিবে']
['উঠিবে', 'লইল', 'নাঢ়া', 'উঠিলে', 'আজিও', 'রহিছে', 'ভাঙিল', 'ধরিছে', 'বসিল', 'উঠিব']
['জাইতে', 'চরাইতে', 'শুকাইতে', 'শুধাইতে', 'ফিরাইতে', 'আনিতে', 'পলাইতে', 'পাডাইতে', 'বসাইতে', 'উঠিবে']
['ফুটিবে', 'ফুটিল', 'ফুটিয়াছে', 'তুলিল', 'উঠিবে', 'উঠিলে', 'ফুটিয়াছিল', 'দেখিল', 'উঠিল', 'বহিয়া']
['ছুটিতেছে', 'ছুটিতেও', 'ছুটিল', 'ছুটিছে', 'ছুটিব', 'ছুটিবে', 'ছুটিতেই', 'ছুটিয়া', 'ছুটি', 'যাইবার']
['আসিয়াই', 'বসিয়া', 'আসিয়াছি', 'খসিয়া', 'আসিয়াছিল', 'আসিয়াছে', 'বহিয়া', 'উঠিবে', 'আসিয়াছ', 'আনিয়া']
['বসিল', 'দেখিল', 'থাকিত', 'লাগিল', 'লইলাম', 'উঠিলে', 'উঠিবে', 'লইল', 'কহিলো', 'লইবে']
['যেইরূপ', 'করিয়া', 'উঠিবে', 'চলিবে', 'থাকিত', 'করিবে', 'করিবারে', 'লইল', 'করিতেছে', 'তাহাও']
['যেইরূপ', 'করিয়া', 'উঠিবে', 'চলিবে', 'থাকিত', 'করিবে', 'করিবারে', 'লইল', 'করিতেছে', 'তাহাও']
['পাইয়াছিল', 'লইয়াছিল', 'পাইয়াছি', 'লইয়াছিলেন', 'পড়িয়াছিলেন', 'দিয়াছিলেন', 'আসিয়াছিলেন', 'রাখিয়াছিলেন', 'চাহিয়াছিলেন', 'উঠিয়াছিল']
['গিয়াছিল', 'আসিয়াছিলেন', 'গিয়াছি', 'আসিয়াছিল', 'পড়িয়াছিলেন', 'রাখিয়াছিলেন', 'বলিয়াছিলেন', 'উঠিয়াছিল', 'চাহিয়াছিলেন', 'গিয়াছেন']
['আসিয়াছিলেন', 'লইয়াছিলেন', 'গিয়াছিলেন', 'পড়িয়াছিলেন', 'রাখিয়াছিলেন', 'চাহিয়াছিলেন', 'পাইয়াছিলেন', 'বলিয়াছিলেন', 'দেখিয়াছিলেন', 'হইয়াছিলেন']
['উঠিয়াছে', 'আসিয়াছে', 'গিয়াছে', 'আনিয়াছে', 'পড়িয়াছে', 'রহিয়া', 'রহিয়াছি', 'উঠিবে', 'থাকিত', 'রাখিয়াছে']
['থাকিত', 'আসিলেন', 'দেখিল', 'চলিলে', 'উঠিলেন', 'হইতেন', 'শিমশোন', 'উঠিবে', 'লাগিল', 'হইয়াও']
['দেখিল', 'লইল', 'চলিবে', 'হইয়াও', 'উঠিবে', 'বলিলে', 'ঘটিল', 'লইবে', 'বলিবে', 'বসিল']
['উঠিবে', 'হইয়াও', 'বহিয়া', 'উঠিলে', 'বসিল', 'উঠিব', 'থাকিত', 'উঠিল', 'লইল', 'আনিয়া']
['দেখিল', 'উঠিবে', 'দেখিয়াছি', 'দেখিয়াই', 'থাকিত', 'লইয়াই', 'ধরিল', 'চলিল', 'উঠিলে', 'চাখিয়া']
['করিলম', 'করিলো', 'ধরিলেন', 'করিল', 'আসিলেন', 'বসিলেন', 'রহিলেন', 'করিলেও', 'উঠিলেন', 'চলিলে']
['নাঢ়া', 'উঠিবে', 'বসিল', 'লইল', 'উঠিলে', 'উঠিব', 'উঠিল', 'চলিলে', 'ধরিল', 'চলিলো']
['লাগিলো', 'দেখিল', 'উঠিলে', 'চলিলে', 'উঠিল', 'উঠিবে', 'লাগিলেন', 'বসিল', 'লাগিছে', 'লাগিত']
['তুলিয়া', 'লবটুলিয়া', 'লইল', 'খুলিল', 'আনিয়া', 'উঠিবে', 'ঠেলিয়া', 'ঢুলিয়া', 'বহিয়া', 'ছিড়িয়া']
['বলিয়াই', 'বলিয়অ', 'উঠিবে', 'বলিয়াছি', 'শিমশোন', 'বলিবে', 'করিয়া', 'লইল', 'বলিলে', 'বলিয়াছিল']
['উঠিবে', 'নাঢ়া', 'ভাঙিল', 'উঠিলে', 'লইল', 'রহিছে', 'বসিল', 'উঠিব', 'চলিল', 'বহিয়া']
['আনিতে', 'চরাইতে', 'উঠিবে', 'জাইতে', 'শুকাইতে', 'বসাইতে', 'শুধাইতে', 'ফিরাইতে', 'পাডাইতে', 'কহিতে']
['ফুটিল', 'ফুটিবে', 'ফুটিয়াছে', 'উঠিলে', 'টুটিয়া', 'ফুটিয়াছিল', 'দেখিল', 'বহিয়া', 'উঠিবে', 'তুলিল']
['ছুটিতেছে', 'ছুটিল', 'ছুটিছে', 'ছুটিয়া', 'ছুটিব', 'ছুটিবে', 'ছুটিতেও', 'ছুটিতেই', 'লবটুলিয়া', 'আসিয়াছি']
['খসিয়া', 'আসিয়াই', 'বসিয়া', 'আসিয়াছিল', 'আসিয়াছি', 'ঘসিয়া', 'পড়িল', 'আসিয়াছে', 'উঠিলে', 'আনিয়া']
['লাগিলো', 'দেখিল', 'লইবে', 'লইলাম', 'উঠিলে', 'বলিলে', 'উঠিয়াছিল', 'লইয়াই', 'হইয়াছি', 'পড়িয়াছিল']
['করিয়া', 'তাহার', 'লাগিলো', 'লইয়াছি', 'উঠিবে', 'চলিবে', 'লইয়াই', 'তাহারই', 'তাহাও', 'করিবারে']
['করিয়া', 'তাহার', 'লাগিলো', 'লইয়াছি', 'উঠিবে', 'চলিবে', 'লইয়াই', 'তাহারই', 'তাহাও', 'করিবারে']
['পাইয়াছিল', 'লইয়াছিল', 'লইয়াছিলেন', 'উঠিয়াছিল', 'পড়িয়াছিলেন', 'পাইয়াছি', 'চাহিয়াছিলেন', 'রাখিয়াছিলেন', 'পাইয়াছে', 'দিয়াছিলেন']
['গিয়াছিল', 'উঠিয়াছিল', 'পড়িয়াছিলেন', 'রাখিয়াছিলেন', 'আসিয়াছিলেন', 'বলিয়াছিলেন', 'গিয়াছি', 'চাহিয়াছিলেন', 'রাখিয়াছিল', 'বসিয়াছিল']
['লইয়াছিলেন', 'পড়িয়াছিলেন', 'রাখিয়াছিলেন', 'চাহিয়াছিলেন', 'আসিয়াছিলেন', 'গিয়াছিলেন', 'ভাবিয়াছিলেন', 'পাইয়াছিলেন', 'দেখিয়াছিলেন', 'বলিয়াছিলেন']
['উঠিয়াছে', 'রাখিয়াছে', 'আনিয়াছে', 'বসিয়াছে', 'পড়িয়াছে', 'লইয়াছে', 'রহিয়াছি', 'পলাইয়াছে', 'গিয়াছে', 'ঘটিয়াছে']
['লাগিলেন', 'লাগিলো', 'উঠিলেন', 'থাকিত', 'দেখিলেন', 'দেখিল', 'উঠিয়াছিল', 'বলিলে', 'হইয়াও', 'বসিলেন']
['দেখিল', 'বলিলে', 'লইবে', 'হইয়াও', 'লইয়াই', 'লাগিলো', 'ঘটিল', 'হইলেই', 'যাইত', 'চলিবে']
['হইয়াও', 'উঠিবে', 'এড়াইয়া', 'ছড়াইয়া', 'উঠিলে', 'লইয়াই', 'উঠিয়াছে', 'যাইয়া', 'হইয়াছি', 'উঠিয়াছিল']
['দেখিয়াই', 'দেখিল', 'দেখিয়াছি', 'লইয়াই', 'দেখিলে', 'দেখিয়াছে', 'বুঝিল', 'দেখিয়াছ', 'লাগিলো', 'লাগিত']
['করিলম', 'ধরিলেন', 'উঠিলেন', 'করিলো', 'লাগিলেন', 'বসিলেন', 'রহিলেন', 'বলিলে', 'করিলেক', 'করিলেও']
['উঠিবে', 'উঠিলে', 'উঠিল', 'পড়িত', 'চলিলে', 'উঠিব', 'নাঢ়া', 'দেখিল', 'লইল', 'বসিল']
['উঠিবে', 'উঠিলে', 'উঠিল', 'পড়িত', 'চলিলে', 'উঠিব', 'নাঢ়া', 'দেখিল', 'লইল', 'বসিল']
['তুলিয়া', 'লবটুলিয়া', 'খুলিল', 'ঠেলিয়া', 'ঢুলিয়া', 'খুলিয়াছে', 'ঢলিয়া', 'আনিয়া', 'টলিয়া', 'ফেলিয়া']
['বলিয়াই', 'বলিয়অ', 'বলিয়াছিল', 'বলিয়াছি', 'বলিলে', 'লইয়াই', 'লইবে', 'উঠিবে', 'বলিবে', 'তাহাও']
['উঠিবে', 'উঠিলে', 'ভাঙিল', 'ভাঙিলে', 'দেখিল', 'লইবে', 'উঠিল', 'উঠিব', 'কেহবা', 'মরিছে']
['বসাইতে', 'চরাইতে', 'পাডাইতে', 'জাইতে', 'শুকাইতে', 'ধরাইতে', 'উঠাইতে', 'শুধাইতে', 'দমাইতে', 'ফিরাইতে']
['ফুটিয়াছে', 'ফুটিয়াছিল', 'ফুটিল', 'ফুটিবে', 'ফুটিলে', 'দেখিল', 'উঠিলে', 'উঠিয়াছিল', 'তুলিয়া', 'উঠিল']
['ছুটিতেছে', 'ছুটিতেই', 'ছুটিল', 'ছুটিতেও', 'ছুটিয়া', 'ছুটিছে', 'ছুটি', 'লবটুলিয়া', 'ছুটিবে', 'ছুটিব']
['খসিয়া', 'ঘসিয়া', 'চলিয়া', 'আসিয়াই', 'বসিয়া', 'লবটুলিয়া', 'ঢলিয়া', 'ধরিয়া', 'আসিয়াছিল', 'আসিয়াছি']
['হইয়াও', 'হইয়াছি', 'লইলাম', 'লবটুলিয়া', 'গিয়াছি', 'আছিলাম', 'হইয়া', 'হইয়াছিল', 'টলিয়া', 'হইলেও']
['করিয়া', 'হইয়াছিল', 'তুলিয়া', 'হইয়াছে', 'করিয়াছি', 'লইয়াছি', 'করিবেন', 'লইয়া', 'হইয়াছি', 'হইয়াও']
['করিয়া', 'হইয়াছিল', 'তুলিয়া', 'হইয়াছে', 'করিয়াছি', 'লইয়াছি', 'করিবেন', 'লইয়া', 'হইয়াছি', 'হইয়াও']
['লইয়াছিলেন', 'পাইয়াছিল', 'গিয়াছিলেন', 'পাইয়াছি', 'বলিয়াছিলেন', 'হইয়াছিলেন', 'পাইয়াছিলাম', 'পড়িয়াছিলেন', 'চাহিয়াছিলেন', 'দিয়াছিলেন']
['গিয়াছিল', 'গিয়াছি', 'গিয়াছেন', 'গিয়াছিলাম', 'বলিয়াছিলেন', 'গিয়াছিলুম', 'গিয়াছিলো', 'আসিয়াছিলেন', 'পড়িয়াছিলেন', 'গিয়াছে']
['গিয়াছিলেন', 'লইয়াছিলেন', 'হইয়াছিলেন', 'পড়িয়াছিলেন', 'বলিয়াছিলেন', 'পাইয়াছিলেন', 'আসিয়াছিলেন', 'চাহিয়াছিলেন', 'পারিয়াছিলেন', 'রাখিয়াছিলেন']
['গিয়াছে', 'রহিয়াছি', 'খুলিয়াছে', 'উঠিয়াছে', 'রহিয়াছেন', 'লইয়াছে', 'হইয়াছে', 'হইয়াছিল', 'রহিয়া', 'পড়িয়াছে']
['হইয়াও', 'হইয়াছি', 'হইয়াছিল', 'হইয়াছিলেন', 'গিয়াছি', 'টলিয়া', 'লইলেন', 'লবটুলিয়া', 'গিয়াছেন', 'হইয়াছেন']
['হইয়াও', 'লবটুলিয়া', 'যাইত', 'হইয়াছিল', 'হইলেও', 'লইয়া', 'হইলে', 'হইলেই', 'হইয়াছি', 'হইলো']
['হইয়াও', 'হইয়াছি', 'লবটুলিয়া', 'চলিয়া', 'যাইয়া', 'হইয়াছে', 'হইয়াছিল', 'ঢলিয়া', 'লইয়া', 'টলিয়া']
['তুলিয়া', 'লবটুলিয়া', 'লইয়া', 'ধরিয়া', 'লইয়াই', 'গিয়াছি', 'দেখিয়াছি', 'চলিয়া', 'করিয়া', 'ঢলিয়া']
['করিলম', 'ধরিলেন', 'করিলেও', 'উঠিলেন', 'করিলেক', 'করিলো', 'রহিলেন', 'পড়িলেন', 'আসিলেন', 'হইয়াছিল']
['লবটুলিয়া', 'নাঢ়া', 'খসিয়া', 'পড়িত', 'উঠিবে', 'ঢলিয়া', 'উঠিল', 'তুলিয়া', 'উঠিলে', 'চলিয়া']
['লবটুলিয়া', 'নাঢ়া', 'খসিয়া', 'পড়িত', 'উঠিবে', 'ঢলিয়া', 'উঠিল', 'তুলিয়া', 'উঠিলে', 'চলিয়া']
['লবটুলিয়া', 'লাগিলেন', 'লাগিলো', 'উঠিল', 'উঠিলে', 'গিয়াছি', 'থাকিত', 'উঠিলেন', 'খসিয়া', 'লাগিত']
['বলিয়াই', 'টলিয়া', 'লবটুলিয়া', 'তুলিয়া', 'ঢলিয়া', 'দলিয়া', 'বলিয়াছি', 'হইয়াও', 'চলিয়া', 'করিয়া']
['লবটুলিয়া', 'তুলিয়া', 'নাঢ়া', 'উঠিবে', 'ধরিয়া', 'ভাঙিল', 'চলিয়া', 'ঢলিয়া', 'উঠিলে', 'পড়িয়া']
['ফিরাইতে', 'বসাইতে', 'পাডাইতে', 'ঢলিয়া', 'চরাইতে', 'পলাইতে', 'পুড়াইতে', 'টলিয়া', 'দলিয়া', 'তুলিয়া']
['তুলিয়া', 'ফুটিয়াছিল', 'কাটিয়া', 'ফুটিয়াছে', 'টুটিয়া', 'লবটুলিয়া', 'চটিয়া', 'ঢলিয়া', 'আনিয়া', 'ধরিয়া']
['লবটুলিয়া', 'নুলিয়া', 'হুলহুলিয়া', 'ঢুলিয়া', 'ছুটিতেছে', 'দলিয়া', 'ঢলিয়া', 'পলিয়া', 'চলিয়া', 'চকদুবুলিয়া']
['আসিয়াই', 'আসিয়াছি', 'বসিয়া', 'খসিয়া', 'আসিয়াছিল', 'চলিয়া', 'পড়িয়া', 'আসিয়াছে', 'আসিয়াছ', 'আসিয়াছো']
['হইয়াছি', 'হইয়া', 'হইয়াও', 'লইলাম', 'আসিয়াছি', 'হইয়াছিল', 'গিয়াছি', 'হইলেন', 'পড়িয়াছি', 'আসিয়াছিল']
['করিয়া', 'বলিয়াই', 'হইবার', 'করিবেন', 'হইয়াছে', 'করিয়াছি', 'লইয়া', 'তাহার', 'হইয়াছিল', 'লইয়াছে']
['করিয়া', 'বলিয়াই', 'হইবার', 'করিবেন', 'হইয়াছে', 'করিয়াছি', 'লইয়া', 'তাহার', 'হইয়াছিল', 'লইয়াছে']
['বলিয়াছিলেন', 'চাহিয়াছিলেন', 'আসিয়াছিলেন', 'পড়িয়াছিলেন', 'লইয়াছিলেন', 'হইয়াছিলেন', 'দিয়াছিলেন', 'গিয়াছিলেন', 'রাখিয়াছিলেন', 'লিখিয়াছিলেন']
['বলিয়াছিলেন', 'আসিয়াছিলেন', 'গিয়াছিল', 'গিয়াছিলাম', 'গিয়াছি', 'গিয়াছেন', 'চাহিয়াছিলেন', 'পড়িয়াছিলেন', 'আসিয়াছিল', 'রাখিয়াছিলেন']
['বলিয়াছিলেন', 'আসিয়াছিলেন', 'গিয়াছিলেন', 'পড়িয়াছিলেন', 'লইয়াছিলেন', 'চাহিয়াছিলেন', 'হইয়াছিলেন', 'রাখিয়াছিলেন', 'লিখিয়াছিলেন', 'পাইয়াছিলেন']
['গিয়াছে', 'উঠিয়াছে', 'আনিয়াছে', 'বলিয়াছে', 'রহিয়াছি', 'পড়িয়াছে', 'আসিয়াছে', 'রহিয়াছেন', 'লইয়াছে', 'রাখিয়াছে']
['হইয়াও', 'হইয়াছি', 'বলিয়াই', 'হইয়াছেন', 'হইয়াছিলেন', 'লইলেন', 'হইয়াছিল', 'বলিয়াছিলেন', 'গিয়াছেন', 'হইয়া']
['হইয়াও', 'বলিয়াই', 'হইয়াছিল', 'লইয়া', 'হইয়া', 'যাইয়া', 'করিয়া', 'বলিয়াছিল', 'আসিয়াই', 'পড়িয়া']
['হইয়াও', 'পড়িয়া', 'হইয়াছি', 'বলিয়াই', 'যাইয়া', 'হইয়াছে', 'করিয়া', 'হইয়াছিল', 'লইয়া', 'হইয়াছ']
['দেখিয়াই', 'করিয়া', 'রাখিয়া', 'দেখিয়াছি', 'বলিয়াই', 'পড়িয়া', 'লইয়া', 'আসিয়াই', 'চাখিয়া', 'আসিয়াছে']
['ধরিলেন', 'করিলম', 'বসিলেন', 'পড়িলেন', 'করিয়া', 'বলিয়াই', 'বলিয়াছিলেন', 'উঠিলেন', 'বলিয়াছিল', 'বলিয়াছি']
['পড়িয়া', 'পড়িত', 'উঠিবে', 'উঠিল', 'পড়িয়াছে', 'নাঢ়া', 'আসিয়া', 'খসিয়া', 'উঠিব', 'হইয়অ']
['পড়িয়া', 'পড়িত', 'উঠিবে', 'উঠিল', 'পড়িয়াছে', 'নাঢ়া', 'আসিয়া', 'খসিয়া', 'উঠিব', 'হইয়অ']
['লাগিলো', 'লাগিলেন', 'দেখিল', 'লাগিত', 'উঠিল', 'পড়িল', 'উঠিয়াছে', 'আসিয়াছে', 'আসিয়াছি', 'উঠিয়াছিল']
['তুলিয়া', 'ছিড়িয়া', 'চলিয়া', 'পড়িয়া', 'লবটুলিয়া', 'ঢলিয়া', 'টলিয়া', 'আনিয়া', 'ঠেলিয়া', 'ধরিয়া']
['পড়িয়া', 'উঠিবে', 'পড়িল', 'ধরিয়া', 'আনিয়া', 'নাঢ়া', 'উঠিলে', 'ছিড়িয়া', 'ঘিরিয়া', 'ভাংগিয়া']
['বসাইতে', 'ফিরাইতে', 'পাডাইতে', 'পুড়াইতে', 'ঝিমাইতে', 'চরাইতে', 'ছড়াইতে', 'ছুটাইতে', 'উড়াইতে', 'গড়াইতে']
['ফুটিয়াছে', 'আনিয়া', 'ফুটিয়াছিল', 'ছিড়িয়া', 'আনিয়াছি', 'তুলিয়া', 'ধরিয়া', 'টানিয়া', 'ঘিরিয়া', 'অাঁটিয়া']
['চলিয়া', 'আসিয়াই', 'ছুটিয়া', 'আসিয়াছি', 'ছুটিতেছে', 'আসিয়া', 'আসিয়াছো', 'ছুটি', 'যাইবার', 'ছুটিল']
['বসিয়া', 'আসিয়াই', 'আসিয়াছি', 'আনিয়া', 'খসিয়া', 'আসিয়াছিল', 'আসিয়াছে', 'ধরিয়া', 'পড়িল', 'ঘসিয়া']
['লইলাম', 'অতছ', 'আছিলাম', 'আতকা', 'হইব', 'কইও', 'আইছি', 'রহিছে', 'কহিলে', 'লই']
['করিয়া', 'চলিবে', 'করিয়াছি', 'করিবো', 'উঠিবে', 'করিতেছে', 'করিবে', 'থাকিত', 'কেহবা', 'করিত']
['করিয়া', 'চলিবে', 'করিয়াছি', 'করিবো', 'উঠিবে', 'করিতেছে', 'করিবে', 'থাকিত', 'কেহবা', 'করিত']
['পাইয়াছি', 'পাইয়াছিল', 'পাইয়াছে', 'গিয়াছেন', 'উঠিয়াছিল', 'বলিয়াছিলেন', 'দিয়াছিলেন', 'গিয়াছিলেন', 'বসিয়াছিল', 'আনিয়াছিল']
['গিয়াছিল', 'গিয়াছি', 'গিয়াছেন', 'গিয়াছিলাম', 'গিয়াছে', 'গিয়াছিলুম', 'গিয়াছিলো', 'আসিয়াছিল', 'বলিয়াছিলেন', 'আনিয়াছিল']
['গিয়াছিলেন', 'আসিয়াছিলেন', 'বলিয়াছিলেন', 'পড়িয়াছিলেন', 'গিয়াছেন', 'রাখিয়াছিলেন', 'নিয়াছিলেন', 'চাহিয়াছিলেন', 'গিয়াছিল', 'লইয়াছিলেন']
['রহিয়াছি', 'আনিয়াছে', 'গিয়াছে', 'বসিয়াছে', 'পড়িয়াছে', 'রহিয়াছেন', 'আসিয়াছে', 'উঠিয়াছে', 'লইয়াছে', 'রহিয়া']
['হইয়াও', 'থাকিত', 'কহিলেন', 'আসিলেন', 'লইলেন', 'উঠিলেন', 'গিয়াছি', 'শিমশোন', 'বসিলেন', 'দেখিলেন']
['হইয়াও', 'হইব', 'ঘটিল', 'যাইত', 'দেখিল', 'চলিবে', 'হইতেছে', 'বলিলে', 'বলিবে', 'আনিয়াছি']
['হইয়াও', 'উঠিবে', 'লইত', 'পড়িত', 'উঠিব', 'আনিয়া', 'যাইত', 'বসিয়া', 'পড়িবে', 'যাইয়া']
['দেখিয়াই', 'দেখিল', 'কেহবা', 'দেখিয়াছি', 'দেখিলে', 'বুঝিল', 'লইত', 'উঠিবে', 'লউন', 'লইয়াই']
['ধরিলেন', 'করিলো', 'করিলম', 'আসিলেন', 'কহিলেন', 'বসিলেন', 'উঠিলেন', 'রহিলেন', 'করিয়াছি', 'বলিলে']
['নাঢ়া', 'উঠিব', 'উঠিবে', 'কেহবা', 'রহিছে', 'লইত', 'উঠিলে', 'পড়িত', 'আজিও', 'ঘিরি']
['নাঢ়া', 'উঠিব', 'উঠিবে', 'কেহবা', 'রহিছে', 'লইত', 'উঠিলে', 'পড়িত', 'আজিও', 'ঘিরি']
['লাগিলো', 'কেহবা', 'উঠিলে', 'দেখিল', 'লাগিলেন', 'রহিছে', 'উঠিবে', 'উঠিল', 'লাগিত', 'চলিলো']
['তুলিয়া', 'আনিয়া', 'লবটুলিয়া', 'ধরিয়া', 'লইল', 'বসিয়া', 'খুলিল', 'নাঢ়া', 'উঠিবে', 'উঠিলে']
['বলিয়াই', 'বলিয়অ', 'বলিয়াছি', 'বলিয়াছিল', 'শিমশোন', 'বলিবে', 'উঠিবে', 'আনিয়া', 'বলিলে', 'লইত']
['বসাইতে', 'জাইতে', 'পিডাইতে', 'বুজাইতে', 'উঠাইতে', 'পাডাইতে', 'ছুটাইতে', 'শুকাইতে', 'জোটাইতে', 'পলাইতে']
['ফুটিল', 'ফুটিবে', 'ফুটিয়াছে', 'ফুটিলে', 'ফুটিয়াছিল', 'ফুটিছে', 'উঠিলে', 'আনিয়া', 'আনিয়াছি', 'যেমতি']
['ছুটিল', 'ছুটিতেছে', 'ছুটিছে', 'আসিয়াছি', 'ছুটিব', 'ছুটিয়া', 'ছুটিবে', 'বসিয়া', 'নাঢ়া', 'কেহবা']
['বসিয়া', 'আসিয়াই', 'যাইয়া', 'উঠাইয়া', 'খসিয়া', 'গিয়া', 'আনিয়া', 'উঠিয়া', 'আগাইয়া', 'ঘসিয়া']
['লইলাম', 'আইলাম', 'কইলাম', 'হইছেন', 'হইবা', 'দেইখো', 'যাইবো', 'পইড়া', 'কইতাছি', 'বইলাম']
['লইতে', 'করিয়া', 'দেখিবার', 'করিলে', 'চলিবে', 'করিবারে', 'ধরিবার', 'উঠিবার', 'দিবার', 'থাকিলে']
['লইতে', 'করিয়া', 'দেখিবার', 'করিলে', 'চলিবে', 'করিবারে', 'ধরিবার', 'উঠিবার', 'দিবার', 'থাকিলে']
['পাইয়াছি', 'দিয়াছিলেন', 'পাইয়াছিল', 'পাইয়াছিলাম', 'লইয়াছিলেন', 'পাঠাইয়াছিলেন', 'পাইয়াছেন', 'দিয়াছিলাম', 'রাখিয়াছিলেন', 'করাইয়াছিলেন']
